sample_index,filename,true_species,predicted_species,true_class_id,predicted_class_id,confidence,true_class_prob
6,tree_Sikar_Sikar_0_333_low_density_near_north_0_20250528_064440_422556.jpg,Vachellia leucophloea,Vachellia nilotica,175,176,0.8666759729385376,0.0032207686454057693
14,tree_Sikar_Sikar_3_65_low_density_near_north_0_20250528_071242_920998.jpg,Azadirachta indica,Ailanthus excelsa,23,192,0.8848591446876526,0.007698787376284599
34,tree_Sikar_Sikar_5_98_low_density_near_southwest_0_20250528_075027_764446.jpg,Azadirachta indica,Vachellia nilotica,23,176,0.8773242831230164,0.025206370279192924
47,tree_Sikar_Sikar_6_126_low_density_near_west_0_20250528_080755_073376.jpg,Ailanthus excelsa,Azadirachta indica,192,23,0.8044193983078003,0.184724360704422
50,tree_Sikar_Sikar_6_242_low_density_near_southwest_0_20250528_081418_014147.jpg,Ailanthus excelsa,Vachellia nilotica,192,176,0.9043736457824707,0.06529748439788818
53,tree_Sikar_Sikar_7_111_low_density_near_east_0_20250528_082322_585289.jpg,Azadirachta indica,Prosopis cineraria,23,146,0.9804179668426514,0.0015181960770860314
55,tree_Sikar_Sikar_7_234_low_density_far_southwest_0_20250528_083046_829927.jpg,Dalbergia sissoo,Prosopis cineraria,72,146,0.9958789348602295,4.6269491576822475e-05
60,tree_Sikar_Sikar_8_77_low_density_near_southeast_0_20250528_083620_048662.jpg,Dalbergia sissoo,Ailanthus excelsa,72,192,0.9554256796836853,0.00534282298758626
68,tree_Sikar_Sikar_8_201_low_density_far_east_0_20250528_084249_826973.jpg,Prosopis cineraria,Ailanthus excelsa,146,192,0.9613102674484253,0.0011293754214420915
71,tree_Sikar_Sikar_9_1_low_density_far_southwest_0_20250528_084518_960277.jpg,Azadirachta indica,Ailanthus excelsa,23,192,0.7904612421989441,0.1423855721950531
74,tree_Sikar_Sikar_9_87_low_density_near_center_0_20250528_085002_179105.jpg,Ziziphus mauritiana,Vachellia nilotica,181,176,0.9586495161056519,0.00024987419601529837
88,tree_Sikar_Sikar_11_167_low_density_near_southwest_0_20250528_092153_245676.jpg,Azadirachta indica,Vachellia nilotica,23,176,0.7924113869667053,0.13120965659618378
115,tree_Sikar_Sikar_32_18_low_density_near_southeast_0_20250528_131342_013152.jpg,Dalbergia sissoo,Azadirachta indica,72,23,0.9694738388061523,0.01482059620320797
131,tree_Sikar_Sikar_35_86_low_density_far_southeast_0_20250528_135050_525649.jpg,Prosopis cineraria,Azadirachta indica,146,23,0.8337122201919556,0.0968838706612587
156,tree_Sikar_Sikar_41_121_low_density_far_north_0_20250528_144205_621165.jpg,Prosopis cineraria,Ailanthus excelsa,146,192,0.9710947871208191,0.008962872438132763
159,tree_Sikar_Sikar_43_20_low_density_near_northeast_0_20250528_145100_877729.jpg,Vachellia nilotica,Azadirachta indica,176,23,0.9424006938934326,0.03516854718327522
162,tree_Sikar_Sikar_43_89_low_density_near_southwest_0_20250528_145615_979310.jpg,Vachellia nilotica,Prosopis cineraria,176,146,0.9561168551445007,0.02448507584631443
168,tree_Sikar_Sikar_46_22_low_density_far_north_0_20250528_151017_860564.jpg,Vachellia nilotica,Prosopis cineraria,176,146,0.8494402170181274,0.04157784953713417
177,tree_Sikar_Sikar_47_39_low_density_near_east_0_20250528_152308_913189.jpg,Ficus benghalensis,Azadirachta indica,86,23,0.974521279335022,0.00024045883037615567
178,tree_Sikar_Sikar_47_39_low_density_near_east_0_20250528_152308_913189.jpg,Ficus benghalensis,Azadirachta indica,86,23,0.974521279335022,0.00024045883037615567
