sample_index,filename,true_species,predicted_species,true_class_id,predicted_class_id,confidence,true_class_prob
12,tree_Sikar_Sikar_3_7_low_density_near_center_0_20250528_070905_434502.jpg,Ficus benghalensis,Morus Alba,86,190,0.1669229120016098,0.11315024644136429
21,tree_Sikar_Sikar_4_26_low_density_near_southeast_0_20250528_072830_875357.jpg,Ailanthus excelsa,Prosopis cineraria,192,146,0.38604962825775146,0.2267061173915863
56,tree_Sikar_Sikar_8_10_low_density_near_east_0_20250528_083234_496693.jpg,Prosopis cineraria,Azadirachta indica,146,23,0.4073045253753662,0.035950470715761185
67,tree_Sikar_Sikar_8_192_low_density_near_southwest_0_20250528_084232_711481.jpg,Morus Alba,Vachellia nilotica,190,176,0.3957889676094055,0.09618159383535385
69,tree_Sikar_Sikar_8_230_low_density_near_northwest_0_20250528_084451_454723.jpg,saraca asoca,Ailanthus excelsa,193,192,0.4183967113494873,0.3072817921638489
70,tree_Sikar_Sikar_8_230_low_density_near_northwest_0_20250528_084451_454723.jpg,saraca asoca,Ailanthus excelsa,193,192,0.4183967113494873,0.3072817921638489
80,tree_Barmer_Barmer_10_70_low_density_far_northwest_0_20250528_090343_987212.jpg,Prosopis cineraria,Azadirachta indica,146,23,0.2853650450706482,0.2802094519138336
83,tree_Sikar_Sikar_10_117_low_density_far_southeast_0_20250528_090621_485318.jpg,Morus Alba,Prosopis cineraria,190,146,0.31063345074653625,0.09257017076015472
84,tree_Sikar_Sikar_10_193_low_density_far_northwest_0_20250528_091101_812005.jpg,Aegle Marmelos,Azadirachta indica,189,23,0.3900454044342041,0.16591638326644897
89,tree_Sikar_Sikar_11_182_low_density_near_south_0_20250528_092344_857584.jpg,Ficus religiosa,Azadirachta indica,93,23,0.38694247603416443,0.007522666826844215
93,tree_Sikar_Sikar_12_101_low_density_far_northwest_0_20250528_093136_779742.jpg,Ailanthus excelsa,Azadirachta indica,192,23,0.35275301337242126,0.16820639371871948
106,tree_Sikar_Sikar_13_191_low_density_near_east_0_20250528_095213_023799.jpg,Ailanthus excelsa,Cordia myxa,192,65,0.2225550264120102,0.21578077971935272
114,tree_Sikar_Sikar_31_100_low_density_near_west_0_20250528_130944_724162.jpg,saraca asoca,Vachellia nilotica,193,176,0.298647403717041,0.23108312487602234
121,tree_Sikar_Sikar_33_123_low_density_far_south_0_20250528_133330_672433.jpg,Prosopis cineraria,Ailanthus excelsa,146,192,0.36086565256118774,0.3110506534576416
130,tree_Sikar_Sikar_35_15_low_density_near_northwest_0_20250528_134604_670755.jpg,Prosopis cineraria,Vachellia nilotica,146,176,0.4383220374584198,0.05070751905441284
134,tree_Sikar_Sikar_36_46_low_density_far_southeast_0_20250528_135624_030041.jpg,Azadirachta indica,Prosopis cineraria,23,146,0.40944209694862366,0.12622471153736115
135,tree_Sikar_Sikar_36_86_low_density_far_northwest_0_20250528_135938_545376.jpg,Vachellia nilotica,Prosopis cineraria,176,146,0.44802770018577576,0.27092432975769043
198,tree_Sikar_Sikar_53_66_low_density_near_northeast_0_20250528_161145_804668.jpg,Ficus religiosa,Ailanthus excelsa,93,192,0.42949044704437256,0.011946719139814377
215,tree_Sikar_Sikar_57_41_low_density_near_west_0_20250528_163616_909126.jpg,Ailanthus excelsa,Vachellia nilotica,192,176,0.2825038731098175,0.26113781332969666
216,tree_Sikar_Sikar_57_76_low_density_near_southeast_0_20250528_163814_853532.jpg,Vachellia nilotica,Azadirachta indica,176,23,0.3632248342037201,0.20858906209468842
