sample_index,filename,true_label,predicted_label,correct,confidence,true_class_probability,predicted_class_probability
19,tree_Sikar_Sikar_3_324_low_density_near_northeast_0_20250528_072611_127553.jpg,189,23,False,0.5823323726654053,0.1470388025045395,0.5823323726654053
36,tree_Sikar_Sikar_5_210_low_density_near_north_0_20250528_075604_249570.jpg,189,189,True,0.597073495388031,0.597073495388031,0.597073495388031
84,tree_Sikar_Sikar_10_193_low_density_far_northwest_0_20250528_091101_812005.jpg,189,23,False,0.3900454044342041,0.16591638326644897,0.3900454044342041
118,tree_Sikar_Sikar_32_81_low_density_near_southwest_0_20250528_131929_813804.jpg,189,72,False,0.45254266262054443,0.10514456778764725,0.45254266262054443
263,tree_Sikar_Sikar_80_22_low_density_near_southeast_0_20250528_183853_708601.jpg,189,72,False,0.4616178870201111,0.019411956891417503,0.4616178870201111
383,tree_Jhunjhunu_Jhunjhunu_3_80_low_density_near_west_0_20250526_062320_795449.jpg,189,189,True,0.6105504631996155,0.6105504631996155,0.6105504631996155
400,tree_Pali_Pali_4_124_low_density_far_north_0_20250526_063228_337844.jpg,189,72,False,0.2423235923051834,0.011843073181807995,0.2423235923051834
537,tree_Jhunjhunu_Jhunjhunu_23_185_low_density_near_center_0_20250526_084743_242458.jpg,189,189,True,0.4206303656101227,0.4206303656101227,0.4206303656101227
549,tree_Jhunjhunu_Jhunjhunu_27_76_low_density_near_north_0_20250526_090719_662008.jpg,189,189,True,0.9708871841430664,0.9708871841430664,0.9708871841430664
550,tree_Jhunjhunu_Jhunjhunu_27_76_low_density_far_north_1_20250526_090720_010722.jpg,189,192,False,0.349201500415802,0.3311581611633301,0.349201500415802
659,tree_Jaipur_Jaipur_191_3_low_density_far_northwest_0_20250526_150200_368447.jpg,189,23,False,0.378120094537735,0.00392384035512805,0.378120094537735
