sample_index,filename,true_label,predicted_label,correct,confidence,true_class_probability,predicted_class_probability
49,tree_Sikar_Sikar_6_222_low_density_far_north_0_20250528_081311_015390.jpg,190,190,True,0.6756570339202881,0.6756570339202881,0.6756570339202881
67,tree_Sikar_Sikar_8_192_low_density_near_southwest_0_20250528_084232_711481.jpg,190,176,False,0.3957889676094055,0.09618159383535385,0.3957889676094055
83,tree_Sikar_Sikar_10_117_low_density_far_southeast_0_20250528_090621_485318.jpg,190,146,False,0.31063345074653625,0.09257017076015472,0.31063345074653625
119,tree_Sikar_Sikar_32_87_low_density_near_south_0_20250528_131953_906937.jpg,190,176,False,0.5169463157653809,0.022414792329072952,0.5169463157653809
126,tree_Sikar_Sikar_34_50_low_density_near_north_0_20250528_133854_830707.jpg,190,176,False,0.5900812745094299,0.20855657756328583,0.5900812745094299
129,tree_Sikar_Sikar_35_12_low_density_near_east_0_20250528_134538_049811.jpg,190,190,True,0.9959281086921692,0.9959281086921692,0.9959281086921692
186,tree_Sikar_Sikar_48_74_low_density_far_northwest_0_20250528_153308_520459.jpg,190,190,True,0.9780453443527222,0.9780453443527222,0.9780453443527222
195,tree_Sikar_Sikar_52_8_low_density_near_north_0_20250528_155755_153707.jpg,190,190,True,0.9119089245796204,0.9119089245796204,0.9119089245796204
202,tree_Sikar_Sikar_54_69_low_density_far_northeast_0_20250528_161840_804397.jpg,190,190,True,0.3599466383457184,0.3599466383457184,0.3599466383457184
210,tree_Sikar_Sikar_56_57_low_density_far_north_0_20250528_163017_237489.jpg,190,72,False,0.6193711757659912,0.03529595583677292,0.6193711757659912
244,tree_Sikar_Sikar_69_4_low_density_near_center_0_20250528_173852_455468.jpg,190,190,True,0.30060234665870667,0.30060234665870667,0.30060234665870667
258,tree_Sikar_Sikar_77_30_low_density_near_east_0_20250528_182532_040956.jpg,190,190,True,0.9986483454704285,0.9986483454704285,0.9986483454704285
300,tree_Sikar_Sikar_105_39_low_density_far_south_0_20250528_201417_977809.jpg,190,190,True,0.47969451546669006,0.47969451546669006,0.47969451546669006
301,tree_Sikar_Sikar_105_57_low_density_near_southwest_0_20250528_201531_396340.jpg,190,193,False,0.9045679569244385,0.009305046871304512,0.9045679569244385
324,tree_Sikar_Sikar_132_30_low_density_near_northwest_0_20250528_212505_767985.jpg,190,176,False,0.6968942880630493,0.20593634247779846,0.6968942880630493
389,tree_Jaipur_Jaipur_3_293_low_density_near_north_0_20250526_062703_694910.jpg,190,189,False,0.6951881051063538,0.0007414685096591711,0.6951881051063538
547,tree_Pali_Pali_26_221_low_density_near_northwest_0_20250526_090529_021209.jpg,190,23,False,0.37595584988594055,0.055627383291721344,0.37595584988594055
567,tree_Jaipur_Jaipur_33_147_low_density_near_west_0_20250526_093733_287505.jpg,190,190,True,0.2286996990442276,0.2286996990442276,0.2286996990442276
644,tree_Sikar_Sikar_116_16_low_density_far_southeast_0_20250526_131115_474183.jpg,190,192,False,0.35569092631340027,0.01658988557755947,0.35569092631340027
676,tree_Kotputli-Behror_Kotputli-Behror_1_437_low_density_near_south_0_20250712_005328_952836.jpg,190,23,False,0.9914433360099792,0.000566411588806659,0.9914433360099792
801,tree_Pali_Pali_22_181_low_density_near_southwest_0_20250713_013029_240054.jpg,190,23,False,0.9656674265861511,0.0032290543895214796,0.9656674265861511
