sample_index,filename,true_label,predicted_label,correct,confidence,true_class_probability,predicted_class_probability
104,tree_Sikar_Sikar_13_176_low_density_far_west_0_20250528_095044_281794.jpg,144,144,True,0.9307800531387329,0.9307800531387329,0.9307800531387329
226,tree_Sikar_Sikar_60_36_low_density_near_southeast_0_20250528_165304_809257.jpg,144,23,False,0.2883991599082947,0.034465134143829346,0.2883991599082947
362,tree_Jaipur_Jaipur_2_25_low_density_far_north_0_20250526_061232_191127.jpg,144,23,False,0.49755215644836426,0.12539449334144592,0.49755215644836426
414,tree_Jaipur_Jaipur_5_119_low_density_near_northeast_0_20250526_063947_899395.jpg,144,176,False,0.749053418636322,1.6502337530255318e-05,0.749053418636322
416,tree_Jaipur_Jaipur_5_204_low_density_far_west_0_20250526_064105_776749.jpg,144,144,True,0.9983391761779785,0.9983391761779785,0.9983391761779785
488,tree_Jaipur_Jaipur_13_161_low_density_near_southeast_0_20250526_073918_438500.jpg,144,23,False,0.7844946384429932,0.15285779535770416,0.7844946384429932
501,tree_Jaipur_Jaipur_16_108_low_density_far_southeast_0_20250526_080302_130505.jpg,144,193,False,0.6920284032821655,0.00295892171561718,0.6920284032821655
578,tree_Jaipur_Jaipur_39_12_low_density_near_southeast_0_20250526_100058_248438.jpg,144,190,False,0.45996490120887756,0.0008620826411060989,0.45996490120887756
597,tree_Jaipur_Jaipur_48_117_low_density_near_east_0_20250526_103602_775167.jpg,144,192,False,0.42321154475212097,0.017156453803181648,0.42321154475212097
642,tree_Jhunjhunu_Jhunjhunu_111_8_low_density_far_west_0_20250526_130239_899367.jpg,144,23,False,0.4360264241695404,0.000766988261602819,0.4360264241695404
785,tree_Pali_Pali_17_281_low_density_near_northwest_0_20250712_214757_026734.jpg,144,23,False,0.6477954983711243,0.008615154772996902,0.6477954983711243
834,tree_Pali_Pali_38_54_low_density_near_northwest_0_20250713_092518_676921.jpg,144,144,True,0.9668652415275574,0.9668652415275574,0.9668652415275574
853,tree_Pali_Pali_66_22_low_density_near_east_1_20250713_153745_104107.jpg,144,144,True,0.7727756500244141,0.7727756500244141,0.7727756500244141
