,class_id,support,precision,recall,f1_score,accuracy,roc_auc,average_precision,true_positives,false_positives,true_negatives,false_negatives,specificity
Acalypha fruticosa,0.0,3.0,0.0,0.0,0.0,0.9964912280701754,0.5,0.11369232942659516,0.0,0.0,852.0,3.0,1.0
Albizia lebbeck,7.0,5.0,1.0,0.2,0.33333333333333337,0.9953216374269006,0.9628235294117647,0.3377889406191293,1.0,0.0,850.0,4.0,1.0
Albizia procera,9.0,8.0,0.0,0.0,0.0,0.9847953216374269,0.8475501770956317,0.09425327655228329,0.0,5.0,842.0,8.0,0.9940968122786304
Alstonia scholaris,12.0,1.0,0.0,0.0,0.0,0.9988304093567252,0.9859484777517564,0.07692307692307693,0.0,0.0,854.0,1.0,1.0
Azadirachta indica,23.0,251.0,0.607773851590106,0.6852589641434262,0.644194756554307,0.7777777777777778,0.8278343579325083,0.7081979607593247,172.0,111.0,493.0,79.0,0.8162251655629139
Cassia fistula,54.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,854.0,0.0,1.0
Cordia myxa,65.0,2.0,0.0,0.0,0.0,0.9964912280701754,0.9331770222743259,0.0716743119266055,0.0,1.0,852.0,2.0,0.9988276670574443
Dalbergia sissoo,72.0,27.0,0.16666666666666666,0.07407407407407407,0.10256410256410256,0.9590643274853801,0.7971014492753624,0.18007655006080145,2.0,10.0,818.0,25.0,0.9879227053140096
Ficus benghalensis,86.0,12.0,0.0,0.0,0.0,0.9847953216374269,0.9021352313167259,0.25664522075691315,0.0,1.0,842.0,12.0,0.9988137603795967
Ficus religiosa,93.0,11.0,0.0,0.0,0.0,0.9859649122807017,0.8422016372253339,0.1069599488743035,0.0,1.0,843.0,11.0,0.9988151658767772
Mangifera indica,123.0,10.0,0.0,0.0,0.0,0.9871345029239766,0.8727810650887574,0.09585988224887909,0.0,1.0,844.0,10.0,0.9988165680473373
Moringa oleifera,129.0,8.0,0.0,0.0,0.0,0.9812865497076023,0.8040141676505312,0.06559362593385154,0.0,8.0,839.0,8.0,0.9905548996458088
Phoenix sylvestris,137.0,4.0,0.0,0.0,0.0,0.9953216374269006,0.8569330199764983,0.26646317941377856,0.0,0.0,851.0,4.0,1.0
Pongamia pinnata,144.0,13.0,0.36363636363636365,0.3076923076923077,0.33333333333333337,0.9812865497076023,0.8882696875570986,0.32104952069759385,4.0,7.0,835.0,9.0,0.9916864608076009
Prosopis cineraria,146.0,91.0,0.49523809523809526,0.5714285714285714,0.5306122448979591,0.8923976608187134,0.8670962545308095,0.4941393734112042,52.0,53.0,711.0,39.0,0.930628272251309
Prosopis farcta,147.0,1.0,0.0,0.0,0.0,0.9988304093567252,0.8126463700234192,0.006211180124223602,0.0,0.0,854.0,1.0,1.0
Vachellia leucophloea,175.0,5.0,0.0,0.0,0.0,0.9941520467836257,0.7905882352941177,0.018582827645937598,0.0,0.0,850.0,5.0,1.0
Vachellia nilotica,176.0,190.0,0.6190476190476191,0.7526315789473684,0.6793349168646081,0.8421052631578947,0.884835773644638,0.7709679509681111,143.0,88.0,577.0,47.0,0.8676691729323308
Ziziphus jujuba,180.0,8.0,0.0,0.0,0.0,0.9883040935672515,0.7675619834710744,0.04075674115440462,0.0,2.0,845.0,8.0,0.9976387249114522
Ziziphus mauritiana,181.0,2.0,0.0,0.0,0.0,0.9976608187134502,0.9026963657678782,0.04803609341825902,0.0,0.0,853.0,2.0,1.0
Aegle Marmelos,189.0,11.0,0.5,0.36363636363636365,0.4210526315789474,0.9871345029239766,0.9623007324429126,0.4369811392482802,4.0,4.0,840.0,7.0,0.995260663507109
Morus Alba,190.0,21.0,0.75,0.42857142857142855,0.5454545454545454,0.9824561403508771,0.9218910585817061,0.5729005381599004,9.0,3.0,831.0,12.0,0.9964028776978417
Ailanthus excelsa,192.0,99.0,0.6310679611650486,0.6565656565656566,0.6435643564356436,0.9157894736842105,0.9413045801934691,0.7381281173227325,65.0,38.0,718.0,34.0,0.9497354497354498
saraca asoca,193.0,29.0,0.6153846153846154,0.5517241379310345,0.5818181818181819,0.9730994152046784,0.9696919094931953,0.654967750892416,16.0,10.0,816.0,13.0,0.9878934624697336
prosopis juliflora,194.0,39.0,0.6190476190476191,0.6666666666666666,0.6419753086419754,0.9660818713450292,0.9535570638511814,0.677297413024636,26.0,16.0,800.0,13.0,0.9803921568627451
Eucalyptus tereticornis,195.0,3.0,0.0,0.0,0.0,0.9953216374269006,0.9804381846635367,0.14733742959549412,0.0,1.0,851.0,3.0,0.9988262910798122
