probability,true_label,species
0.01984814,0.0,Ailanthus excelsa
0.008749332,0.0,Ailanthus excelsa
0.0017860986,0.0,Ailanthus excelsa
0.024739223,0.0,Ailanthus excelsa
0.0015986931,0.0,Ailanthus excelsa
0.0072313226,0.0,Ailanthus excelsa
0.0017934359,0.0,Ailanthus excelsa
0.0005753285,0.0,Ailanthus excelsa
0.0026694378,0.0,Ailanthus excelsa
0.0011634568,0.0,Ailanthus excelsa
0.00029283436,0.0,Ailanthus excelsa
0.051652916,0.0,Ailanthus excelsa
0.0034074134,0.0,Ailanthus excelsa
0.042029448,0.0,Ailanthus excelsa
0.026512075,0.0,Ailanthus excelsa
0.13409543,0.0,Ailanthus excelsa
0.95954114,1.0,Ailanthus excelsa
0.8760226,0.0,Ailanthus excelsa
0.089464076,0.0,Ailanthus excelsa
0.96477723,0.0,Ailanthus excelsa
0.17033035,1.0,Ailanthus excelsa
0.576719,1.0,Ailanthus excelsa
0.9878044,0.0,Ailanthus excelsa
0.89928865,0.0,Ailanthus excelsa
0.94604087,1.0,Ailanthus excelsa
0.9499487,0.0,Ailanthus excelsa
0.50515527,0.0,Ailanthus excelsa
0.511212,0.0,Ailanthus excelsa
0.93373305,0.0,Ailanthus excelsa
0.48616478,0.0,Ailanthus excelsa
0.10878532,0.0,Ailanthus excelsa
0.10075048,0.0,Ailanthus excelsa
0.6771164,0.0,Ailanthus excelsa
0.5885886,0.0,Ailanthus excelsa
0.011857511,0.0,Ailanthus excelsa
0.71540934,0.0,Ailanthus excelsa
0.74875,0.0,Ailanthus excelsa
0.13793181,0.0,Ailanthus excelsa
0.9357726,0.0,Ailanthus excelsa
0.10801276,0.0,Ailanthus excelsa
0.81967276,1.0,Ailanthus excelsa
0.0048630103,1.0,Ailanthus excelsa
0.2820989,0.0,Ailanthus excelsa
0.5946651,1.0,Ailanthus excelsa
0.81267834,0.0,Ailanthus excelsa
0.9999876,0.0,Ailanthus excelsa
0.009097881,0.0,Ailanthus excelsa
0.6128156,0.0,Ailanthus excelsa
0.35116434,0.0,Ailanthus excelsa
0.86115,0.0,Ailanthus excelsa
0.5184093,0.0,Ailanthus excelsa
0.049206387,0.0,Ailanthus excelsa
0.16333994,1.0,Ailanthus excelsa
0.8165662,0.0,Ailanthus excelsa
0.7071999,0.0,Ailanthus excelsa
0.92239845,1.0,Ailanthus excelsa
0.04243708,0.0,Ailanthus excelsa
0.76789594,0.0,Ailanthus excelsa
0.068182066,0.0,Ailanthus excelsa
0.96577257,0.0,Ailanthus excelsa
0.02742062,1.0,Ailanthus excelsa
0.34963882,0.0,Ailanthus excelsa
0.16007397,0.0,Ailanthus excelsa
0.90520394,0.0,Ailanthus excelsa
0.94300556,0.0,Ailanthus excelsa
0.98120546,0.0,Ailanthus excelsa
0.74498224,0.0,Ailanthus excelsa
0.5538142,0.0,Ailanthus excelsa
0.9814995,0.0,Ailanthus excelsa
0.26212588,0.0,Ailanthus excelsa
0.8593454,0.0,Ailanthus excelsa
0.98736227,1.0,Ailanthus excelsa
0.89261067,0.0,Ailanthus excelsa
0.7065451,0.0,Ailanthus excelsa
1.2595999e-05,0.0,Ailanthus excelsa
0.7876753,0.0,Ailanthus excelsa
0.7908747,0.0,Ailanthus excelsa
0.75515306,0.0,Ailanthus excelsa
0.23548561,0.0,Ailanthus excelsa
0.70069873,0.0,Ailanthus excelsa
0.7229158,1.0,Ailanthus excelsa
0.7229158,1.0,Ailanthus excelsa
0.9196414,0.0,Ailanthus excelsa
0.1575518,0.0,Ailanthus excelsa
0.53871053,0.0,Ailanthus excelsa
0.92123526,0.0,Ailanthus excelsa
0.9469865,0.0,Ailanthus excelsa
0.16988173,0.0,Ailanthus excelsa
0.7667496,0.0,Ailanthus excelsa
0.00095243996,0.0,Ailanthus excelsa
0.46933895,0.0,Ailanthus excelsa
0.26958442,0.0,Ailanthus excelsa
0.8663611,0.0,Ailanthus excelsa
0.05915049,0.0,Ailanthus excelsa
0.13540782,0.0,Ailanthus excelsa
0.035686444,0.0,Ailanthus excelsa
0.9736066,0.0,Ailanthus excelsa
0.9157444,0.0,Ailanthus excelsa
0.68052,1.0,Ailanthus excelsa
0.58810997,0.0,Ailanthus excelsa
0.78357357,1.0,Ailanthus excelsa
0.048532784,0.0,Ailanthus excelsa
0.870774,0.0,Ailanthus excelsa
0.027265606,0.0,Ailanthus excelsa
0.14733692,0.0,Ailanthus excelsa
0.14327374,0.0,Ailanthus excelsa
0.9661977,1.0,Ailanthus excelsa
0.93878853,0.0,Ailanthus excelsa
0.8878059,0.0,Ailanthus excelsa
0.2415664,0.0,Ailanthus excelsa
0.6105603,0.0,Ailanthus excelsa
0.022735458,0.0,Ailanthus excelsa
0.7405187,0.0,Ailanthus excelsa
0.83185655,1.0,Ailanthus excelsa
0.6810128,0.0,Ailanthus excelsa
0.18891682,0.0,Ailanthus excelsa
0.92382365,0.0,Ailanthus excelsa
0.84633327,0.0,Ailanthus excelsa
0.8937065,1.0,Ailanthus excelsa
0.14832498,0.0,Ailanthus excelsa
0.98578995,0.0,Ailanthus excelsa
0.95772314,0.0,Ailanthus excelsa
0.85699254,0.0,Ailanthus excelsa
0.9126249,0.0,Ailanthus excelsa
0.84063655,1.0,Ailanthus excelsa
0.1980087,0.0,Ailanthus excelsa
0.8609138,0.0,Ailanthus excelsa
0.30483034,0.0,Ailanthus excelsa
0.87501895,1.0,Ailanthus excelsa
0.82974917,0.0,Ailanthus excelsa
0.12981185,0.0,Ailanthus excelsa
0.99594057,0.0,Ailanthus excelsa
0.18801813,0.0,Ailanthus excelsa
0.996033,0.0,Ailanthus excelsa
0.21806382,0.0,Ailanthus excelsa
0.5189822,0.0,Ailanthus excelsa
0.12307234,0.0,Ailanthus excelsa
0.2358834,0.0,Ailanthus excelsa
0.49580032,0.0,Ailanthus excelsa
0.66659033,0.0,Ailanthus excelsa
0.07589173,0.0,Ailanthus excelsa
0.15399042,0.0,Ailanthus excelsa
0.9251886,0.0,Ailanthus excelsa
0.1000174,0.0,Ailanthus excelsa
0.9713458,0.0,Ailanthus excelsa
0.5669073,1.0,Ailanthus excelsa
0.5669073,1.0,Ailanthus excelsa
0.8623527,0.0,Ailanthus excelsa
0.74670714,0.0,Ailanthus excelsa
0.7358934,0.0,Ailanthus excelsa
0.6290615,0.0,Ailanthus excelsa
0.8289389,0.0,Ailanthus excelsa
0.5832725,1.0,Ailanthus excelsa
0.6489905,0.0,Ailanthus excelsa
0.6031889,0.0,Ailanthus excelsa
0.42197585,0.0,Ailanthus excelsa
0.17423026,0.0,Ailanthus excelsa
0.95859396,0.0,Ailanthus excelsa
0.26365662,0.0,Ailanthus excelsa
0.11168447,0.0,Ailanthus excelsa
0.2669524,0.0,Ailanthus excelsa
0.24149464,0.0,Ailanthus excelsa
0.54812855,0.0,Ailanthus excelsa
0.8751096,1.0,Ailanthus excelsa
0.29369703,0.0,Ailanthus excelsa
