probability,true_label,species
0.58546877,0.0,Azadirachta indica
0.51639175,0.0,Azadirachta indica
0.5605439,1.0,Azadirachta indica
0.5015019,0.0,Azadirachta indica
0.5222161,1.0,Azadirachta indica
0.47958466,0.0,Azadirachta indica
0.5168401,0.0,Azadirachta indica
0.55316526,1.0,Azadirachta indica
0.53155595,1.0,Azadirachta indica
0.5750204,0.0,Azadirachta indica
0.5676977,1.0,Azadirachta indica
0.5571833,1.0,Azadirachta indica
0.51013786,1.0,Azadirachta indica
0.49865654,0.0,Azadirachta indica
0.54546857,0.0,Azadirachta indica
0.3217038,0.0,Azadirachta indica
0.52351224,0.0,Azadirachta indica
0.44558656,0.0,Azadirachta indica
0.38813987,0.0,Azadirachta indica
0.5741215,0.0,Azadirachta indica
0.50237936,0.0,Azadirachta indica
0.374733,0.0,Azadirachta indica
0.3815235,1.0,Azadirachta indica
0.4160646,1.0,Azadirachta indica
0.4942692,0.0,Azadirachta indica
0.34535953,0.0,Azadirachta indica
0.3085343,0.0,Azadirachta indica
0.56741524,0.0,Azadirachta indica
0.31086668,0.0,Azadirachta indica
0.49065098,0.0,Azadirachta indica
0.4823938,0.0,Azadirachta indica
0.4511624,0.0,Azadirachta indica
0.48133853,0.0,Azadirachta indica
0.4343246,1.0,Azadirachta indica
0.6677942,0.0,Azadirachta indica
0.47390395,0.0,Azadirachta indica
0.58107805,0.0,Azadirachta indica
0.38729107,1.0,Azadirachta indica
0.4352612,0.0,Azadirachta indica
0.35907242,0.0,Azadirachta indica
0.45013192,0.0,Azadirachta indica
0.44289833,0.0,Azadirachta indica
0.42924798,1.0,Azadirachta indica
0.3629992,0.0,Azadirachta indica
0.48480824,0.0,Azadirachta indica
0.61495364,0.0,Azadirachta indica
0.45154554,0.0,Azadirachta indica
0.30894855,0.0,Azadirachta indica
0.35985258,0.0,Azadirachta indica
0.40034986,1.0,Azadirachta indica
0.5182794,0.0,Azadirachta indica
0.4843011,0.0,Azadirachta indica
0.39006272,0.0,Azadirachta indica
0.50290376,0.0,Azadirachta indica
0.50006664,1.0,Azadirachta indica
0.36932737,0.0,Azadirachta indica
0.4658194,0.0,Azadirachta indica
0.32488924,0.0,Azadirachta indica
0.39117014,0.0,Azadirachta indica
0.4741011,0.0,Azadirachta indica
0.44133267,0.0,Azadirachta indica
0.50445354,0.0,Azadirachta indica
0.53216773,0.0,Azadirachta indica
0.52390945,0.0,Azadirachta indica
0.51102525,0.0,Azadirachta indica
0.41530523,0.0,Azadirachta indica
0.4487409,0.0,Azadirachta indica
0.3715279,1.0,Azadirachta indica
0.5386211,1.0,Azadirachta indica
0.34237424,0.0,Azadirachta indica
0.45164126,0.0,Azadirachta indica
0.38178203,0.0,Azadirachta indica
0.36412436,1.0,Azadirachta indica
0.1964752,0.0,Azadirachta indica
0.5393114,1.0,Azadirachta indica
0.4473059,0.0,Azadirachta indica
0.42823038,0.0,Azadirachta indica
0.41699108,1.0,Azadirachta indica
0.33553672,0.0,Azadirachta indica
0.21196067,1.0,Azadirachta indica
0.40951195,0.0,Azadirachta indica
0.40951195,0.0,Azadirachta indica
0.44667926,0.0,Azadirachta indica
0.59287775,1.0,Azadirachta indica
0.6057506,0.0,Azadirachta indica
0.44657677,0.0,Azadirachta indica
0.47029027,0.0,Azadirachta indica
0.36825633,1.0,Azadirachta indica
0.34134027,1.0,Azadirachta indica
0.44958448,1.0,Azadirachta indica
0.4588905,0.0,Azadirachta indica
0.32436222,0.0,Azadirachta indica
0.36091715,0.0,Azadirachta indica
0.48070127,0.0,Azadirachta indica
0.5355734,1.0,Azadirachta indica
0.5270475,0.0,Azadirachta indica
0.43062863,0.0,Azadirachta indica
0.41230145,0.0,Azadirachta indica
0.4045984,0.0,Azadirachta indica
0.47635156,0.0,Azadirachta indica
0.5317068,0.0,Azadirachta indica
0.50760126,1.0,Azadirachta indica
0.34695467,0.0,Azadirachta indica
0.48655257,0.0,Azadirachta indica
0.31337115,1.0,Azadirachta indica
0.47924912,0.0,Azadirachta indica
0.48496082,0.0,Azadirachta indica
0.4432565,0.0,Azadirachta indica
0.2276516,1.0,Azadirachta indica
0.238452,0.0,Azadirachta indica
0.40869442,1.0,Azadirachta indica
0.40413386,0.0,Azadirachta indica
0.4232303,0.0,Azadirachta indica
0.4493414,0.0,Azadirachta indica
0.5044103,0.0,Azadirachta indica
0.44653574,0.0,Azadirachta indica
0.36993286,1.0,Azadirachta indica
0.46532142,1.0,Azadirachta indica
0.4096625,0.0,Azadirachta indica
0.34794423,0.0,Azadirachta indica
0.36256838,0.0,Azadirachta indica
0.44053245,0.0,Azadirachta indica
0.4726383,0.0,Azadirachta indica
0.38267195,0.0,Azadirachta indica
0.41641694,0.0,Azadirachta indica
0.34927174,1.0,Azadirachta indica
0.47363222,0.0,Azadirachta indica
