probability,true_label,species
0.22343826,0.0,Prosopis cineraria
0.37006062,0.0,Prosopis cineraria
0.3011807,0.0,Prosopis cineraria
0.12179615,0.0,Prosopis cineraria
0.046461705,0.0,Prosopis cineraria
0.10456159,0.0,Prosopis cineraria
0.2300135,0.0,Prosopis cineraria
0.08942307,0.0,Prosopis cineraria
0.040651027,0.0,Prosopis cineraria
0.009018409,0.0,Prosopis cineraria
0.19325067,0.0,Prosopis cineraria
0.035109095,0.0,Prosopis cineraria
0.02731779,0.0,Prosopis cineraria
0.1833429,1.0,Prosopis cineraria
0.31250244,0.0,Prosopis cineraria
0.3640563,0.0,Prosopis cineraria
0.5083066,0.0,Prosopis cineraria
0.7027927,0.0,Prosopis cineraria
0.6102845,0.0,Prosopis cineraria
0.97305894,0.0,Prosopis cineraria
0.227909,0.0,Prosopis cineraria
0.44772086,0.0,Prosopis cineraria
0.4010738,0.0,Prosopis cineraria
0.31253976,0.0,Prosopis cineraria
0.23157506,0.0,Prosopis cineraria
0.17036732,0.0,Prosopis cineraria
0.44293445,0.0,Prosopis cineraria
0.27677795,1.0,Prosopis cineraria
0.31099457,1.0,Prosopis cineraria
0.1328651,1.0,Prosopis cineraria
0.46177438,0.0,Prosopis cineraria
0.34514925,0.0,Prosopis cineraria
0.037470136,0.0,Prosopis cineraria
0.3316792,0.0,Prosopis cineraria
0.04992887,0.0,Prosopis cineraria
0.75529796,1.0,Prosopis cineraria
0.2494824,0.0,Prosopis cineraria
0.35782364,0.0,Prosopis cineraria
0.4779449,0.0,Prosopis cineraria
0.25850782,0.0,Prosopis cineraria
0.22414407,0.0,Prosopis cineraria
0.11257829,0.0,Prosopis cineraria
0.18715182,0.0,Prosopis cineraria
0.23132442,0.0,Prosopis cineraria
0.5544188,0.0,Prosopis cineraria
0.95403504,0.0,Prosopis cineraria
0.13455428,0.0,Prosopis cineraria
0.34409726,0.0,Prosopis cineraria
0.13728477,1.0,Prosopis cineraria
0.53284746,0.0,Prosopis cineraria
0.3709289,0.0,Prosopis cineraria
0.3942604,0.0,Prosopis cineraria
0.45572603,0.0,Prosopis cineraria
0.48862988,1.0,Prosopis cineraria
0.69328207,0.0,Prosopis cineraria
0.6519979,0.0,Prosopis cineraria
0.4935362,0.0,Prosopis cineraria
0.47636837,0.0,Prosopis cineraria
0.45796496,0.0,Prosopis cineraria
0.26156917,0.0,Prosopis cineraria
0.06392696,0.0,Prosopis cineraria
0.14999674,0.0,Prosopis cineraria
0.004541781,0.0,Prosopis cineraria
0.16197675,0.0,Prosopis cineraria
0.13234968,0.0,Prosopis cineraria
0.17626767,0.0,Prosopis cineraria
0.37505952,0.0,Prosopis cineraria
0.46004924,0.0,Prosopis cineraria
0.19597971,0.0,Prosopis cineraria
0.49652904,0.0,Prosopis cineraria
0.0967506,0.0,Prosopis cineraria
0.29169938,0.0,Prosopis cineraria
0.45072287,0.0,Prosopis cineraria
0.50624514,0.0,Prosopis cineraria
0.9600885,0.0,Prosopis cineraria
0.24941339,0.0,Prosopis cineraria
0.15799665,0.0,Prosopis cineraria
0.2507612,0.0,Prosopis cineraria
0.45497584,0.0,Prosopis cineraria
0.80678886,0.0,Prosopis cineraria
0.2050038,0.0,Prosopis cineraria
0.2050038,0.0,Prosopis cineraria
0.32581446,0.0,Prosopis cineraria
0.10097754,0.0,Prosopis cineraria
0.06298073,0.0,Prosopis cineraria
0.32386914,1.0,Prosopis cineraria
0.10167702,0.0,Prosopis cineraria
0.4576295,0.0,Prosopis cineraria
0.2596561,0.0,Prosopis cineraria
