sample_index,skysat_filename,true_species,predicted_species,true_class_id,predicted_class_id,confidence,true_class_prob
1,tree_Barmer_Barmer_0_56_low_density_near_center_0_20250528_063139_037002_skysat.jpg,prosopis juliflora,Azadirachta indica,194,23,0.38848403096199036,0.07093831896781921
7,tree_Barmer_Barmer_2_22_low_density_near_north_0_20250528_070514_296017_skysat.jpg,prosopis juliflora,Azadirachta indica,194,23,0.35829123854637146,0.08278954029083252
8,tree_Barmer_Barmer_2_57_low_density_near_center_0_20250528_070555_670140_skysat.jpg,Dalbergia sissoo,Azadirachta indica,72,23,0.4030765891075134,0.018166806548833847
21,tree_Sikar_Sikar_4_26_low_density_near_southeast_0_20250528_072830_875357_skysat.jpg,Ailanthus excelsa,Vachellia nilotica,192,176,0.33111298084259033,0.1183050200343132
22,tree_Sikar_Sikar_4_51_low_density_far_west_0_20250528_073029_298640_skysat.jpg,Vachellia nilotica,Azadirachta indica,176,23,0.3461008071899414,0.16110268235206604
32,tree_Sikar_Sikar_5_51_low_density_near_north_0_20250528_074832_916712_skysat.jpg,Prosopis cineraria,Azadirachta indica,146,23,0.383192777633667,0.044408418238162994
58,tree_Sikar_Sikar_8_39_low_density_near_southwest_0_20250528_083440_914204_skysat.jpg,Vachellia nilotica,Azadirachta indica,176,23,0.3109254837036133,0.17891082167625427
74,tree_Sikar_Sikar_9_87_low_density_near_center_0_20250528_085002_179105_skysat.jpg,Ziziphus mauritiana,Azadirachta indica,181,23,0.3232199549674988,0.002631021896377206
79,tree_Barmer_Barmer_10_34_low_density_near_northeast_0_20250528_090140_096784_skysat.jpg,prosopis juliflora,Azadirachta indica,194,23,0.329026997089386,0.05155763030052185
83,tree_Sikar_Sikar_10_117_low_density_far_southeast_0_20250528_090621_485318_skysat.jpg,Morus Alba,Azadirachta indica,190,23,0.33786457777023315,0.0315447635948658
89,tree_Sikar_Sikar_11_182_low_density_near_south_0_20250528_092344_857584_skysat.jpg,Ficus religiosa,Azadirachta indica,93,23,0.3648546636104584,0.00822962261736393
104,tree_Sikar_Sikar_13_176_low_density_far_west_0_20250528_095044_281794_skysat.jpg,Pongamia pinnata,Azadirachta indica,144,23,0.3189449906349182,0.012882187031209469
107,tree_Barmer_Barmer_18_50_low_density_far_west_0_20250528_104551_895157_skysat.jpg,Vachellia leucophloea,Azadirachta indica,175,23,0.45831072330474854,0.0019687197636812925
109,tree_Sikar_Sikar_30_66_low_density_near_south_0_20250528_125548_772058_skysat.jpg,Azadirachta indica,Vachellia nilotica,23,176,0.31113773584365845,0.24614907801151276
123,tree_Sikar_Sikar_34_19_low_density_far_north_0_20250528_133600_007609_skysat.jpg,Vachellia nilotica,Azadirachta indica,176,23,0.32432126998901367,0.17023935914039612
125,tree_Sikar_Sikar_34_46_low_density_far_northeast_0_20250528_133823_822417_skysat.jpg,saraca asoca,Azadirachta indica,193,23,0.3066026568412781,0.04279710352420807
148,tree_Sikar_Sikar_39_97_low_density_far_northwest_1_20250528_142150_767255_skysat.jpg,Vachellia nilotica,Azadirachta indica,176,23,0.30884668231010437,0.2024625539779663
149,tree_Sikar_Sikar_40_7_low_density_near_north_0_20250528_142501_169813_skysat.jpg,Ailanthus excelsa,Vachellia nilotica,192,176,0.31402450799942017,0.11882728338241577
150,tree_Sikar_Sikar_40_37_low_density_near_north_0_20250528_142722_968594_skysat.jpg,Vachellia nilotica,Azadirachta indica,176,23,0.32834291458129883,0.18363764882087708
153,tree_Sikar_Sikar_41_37_low_density_far_northeast_0_20250528_143612_265315_skysat.jpg,Prosopis cineraria,Vachellia nilotica,146,176,0.32532578706741333,0.10567101836204529
