sample_index,skysat_filename,true_species,predicted_species,true_class_id,predicted_class_id,confidence,true_class_prob
3,tree_Sikar_Sikar_0_185_low_density_far_northwest_0_20250528_063741_655422_skysat.jpg,Vachellia nilotica,Azadirachta indica,176,23,0.2611857056617737,0.23475126922130585
4,tree_Sikar_Sikar_0_303_low_density_near_north_0_20250528_064300_741592_skysat.jpg,Prosopis cineraria,Azadirachta indica,146,23,0.2612842321395874,0.14228186011314392
5,tree_Sikar_Sikar_0_320_low_density_near_east_0_20250528_064359_327108_skysat.jpg,Vachellia nilotica,Azadirachta indica,176,23,0.25882279872894287,0.25137341022491455
11,tree_Barmer_Barmer_2_108_low_density_near_west_1_20250528_070714_797168_skysat.jpg,Prosopis cineraria,Azadirachta indica,146,23,0.25953537225723267,0.18150465190410614
17,tree_Sikar_Sikar_3_313_low_density_near_north_0_20250528_072505_008689_skysat.jpg,Ailanthus excelsa,Azadirachta indica,192,23,0.25980427861213684,0.1364581286907196
20,tree_Sikar_Sikar_4_8_low_density_near_east_0_20250528_072655_427652_skysat.jpg,Ailanthus excelsa,Azadirachta indica,192,23,0.2564586400985718,0.1368585228919983
27,tree_Sikar_Sikar_4_176_low_density_near_southeast_0_20250528_073550_058642_skysat.jpg,Vachellia nilotica,Azadirachta indica,176,23,0.25979214906692505,0.24943123757839203
31,tree_Sikar_Sikar_5_21_low_density_near_west_0_20250528_074705_965398_skysat.jpg,Dalbergia sissoo,Azadirachta indica,72,23,0.24714353680610657,0.04639684036374092
46,tree_Sikar_Sikar_6_126_low_density_near_center_1_20250528_080754_057897_skysat.jpg,Ailanthus excelsa,Azadirachta indica,192,23,0.24714580178260803,0.13663551211357117
47,tree_Sikar_Sikar_6_126_low_density_near_west_0_20250528_080755_073376_skysat.jpg,Ailanthus excelsa,Azadirachta indica,192,23,0.25956130027770996,0.13327397406101227
54,tree_Sikar_Sikar_7_185_low_density_near_southeast_0_20250528_082735_419654_skysat.jpg,Dalbergia sissoo,Azadirachta indica,72,23,0.25136691331863403,0.043108630925416946
68,tree_Sikar_Sikar_8_201_low_density_far_east_0_20250528_084249_826973_skysat.jpg,Prosopis cineraria,Azadirachta indica,146,23,0.26023155450820923,0.12307337671518326
80,tree_Barmer_Barmer_10_70_low_density_far_northwest_0_20250528_090343_987212_skysat.jpg,Prosopis cineraria,Azadirachta indica,146,23,0.2538823187351227,0.19163431227207184
106,tree_Sikar_Sikar_13_191_low_density_near_east_0_20250528_095213_023799_skysat.jpg,Ailanthus excelsa,Azadirachta indica,192,23,0.23802533745765686,0.13609661161899567
113,tree_Sikar_Sikar_31_85_low_density_near_northwest_0_20250528_130909_735541_skysat.jpg,Moringa oleifera,Vachellia nilotica,129,176,0.2578712999820709,0.0062134237959980965
115,tree_Sikar_Sikar_32_18_low_density_near_southeast_0_20250528_131342_013152_skysat.jpg,Dalbergia sissoo,Azadirachta indica,72,23,0.25944632291793823,0.036548834294080734
128,tree_Sikar_Sikar_34_127_low_density_far_southwest_0_20250528_134352_771021_skysat.jpg,Ailanthus excelsa,Azadirachta indica,192,23,0.2588117718696594,0.13376833498477936
133,tree_Sikar_Sikar_36_23_low_density_near_southwest_0_20250528_135503_427180_skysat.jpg,Ailanthus excelsa,Azadirachta indica,192,23,0.24517512321472168,0.129579097032547
138,tree_Sikar_Sikar_37_71_low_density_near_northeast_0_20250528_140636_080894_skysat.jpg,Ailanthus excelsa,Azadirachta indica,192,23,0.2542329430580139,0.12929067015647888
174,tree_Sikar_Sikar_47_31_low_density_near_east_0_20250528_152214_441207_skysat.jpg,Vachellia nilotica,Azadirachta indica,176,23,0.2576078176498413,0.2538944482803345
