,class_id,support,precision,recall,f1_score,accuracy,roc_auc,average_precision,true_positives,false_positives,true_negatives,false_negatives,specificity
Acalypha fruticosa,0.0,3.0,0.0,0.0,0.0,0.9964912280701754,0.28169014084507044,0.0031165910520205174,0.0,0.0,852.0,3.0,1.0
Albizia lebbeck,7.0,5.0,0.0,0.0,0.0,0.9941520467836257,0.7087058823529412,0.01490323871837892,0.0,0.0,850.0,5.0,1.0
Albizia procera,9.0,8.0,0.0,0.0,0.0,0.9906432748538012,0.8246753246753247,0.047227806181647104,0.0,0.0,847.0,8.0,1.0
Alstonia scholaris,12.0,1.0,0.0,0.0,0.0,0.9988304093567252,0.20491803278688525,0.0014705882352941176,0.0,0.0,854.0,1.0,1.0
Azadirachta indica,23.0,251.0,0.3083219645293315,0.900398406374502,0.45934959349593496,0.37777777777777777,0.5749254637080816,0.3713410379307035,226.0,507.0,97.0,25.0,0.1605960264900662
Cassia fistula,54.0,1.0,0.0,0.0,0.0,0.9988304093567252,0.07259953161592503,0.0012610340479192938,0.0,0.0,854.0,1.0,1.0
Cordia myxa,65.0,2.0,0.0,0.0,0.0,0.9976608187134502,0.9120750293083236,0.019708737864077668,0.0,0.0,853.0,2.0,1.0
Dalbergia sissoo,72.0,27.0,0.0,0.0,0.0,0.968421052631579,0.5841832170334587,0.04801382758569074,0.0,0.0,828.0,27.0,1.0
Ficus benghalensis,86.0,12.0,0.0,0.0,0.0,0.9859649122807017,0.40055357848952156,0.019480194947334026,0.0,0.0,843.0,12.0,1.0
Ficus religiosa,93.0,11.0,0.0,0.0,0.0,0.9871345029239766,0.4701637225333908,0.020259410819232302,0.0,0.0,844.0,11.0,1.0
Mangifera indica,123.0,10.0,0.0,0.0,0.0,0.9883040935672515,0.5585207100591717,0.015608356034643453,0.0,0.0,845.0,10.0,1.0
Moringa oleifera,129.0,8.0,0.0,0.0,0.0,0.9906432748538012,0.6604191263282172,0.02284958659047554,0.0,0.0,847.0,8.0,1.0
Phoenix sylvestris,137.0,4.0,0.0,0.0,0.0,0.9953216374269006,0.37176850763807284,0.004552431683298246,0.0,0.0,851.0,4.0,1.0
Pongamia pinnata,144.0,13.0,0.0,0.0,0.0,0.9847953216374269,0.5838662525123334,0.02389582671456492,0.0,0.0,842.0,13.0,1.0
Prosopis cineraria,146.0,91.0,0.0,0.0,0.0,0.8935672514619883,0.6635046890282492,0.18052354920601577,0.0,0.0,764.0,91.0,1.0
Prosopis farcta,147.0,1.0,0.0,0.0,0.0,0.9988304093567252,0.8384074941451991,0.007194244604316547,0.0,0.0,854.0,1.0,1.0
Vachellia leucophloea,175.0,5.0,0.0,0.0,0.0,0.9941520467836257,0.49317647058823527,0.011069945673430216,0.0,0.0,850.0,5.0,1.0
Vachellia nilotica,176.0,190.0,0.3442622950819672,0.22105263157894736,0.2692307692307692,0.7333333333333333,0.6055836960823111,0.3015464821376159,42.0,80.0,585.0,148.0,0.8796992481203008
Ziziphus jujuba,180.0,8.0,0.0,0.0,0.0,0.9906432748538012,0.48465171192443923,0.012314268772152552,0.0,0.0,847.0,8.0,1.0
Ziziphus mauritiana,181.0,2.0,0.0,0.0,0.0,0.9976608187134502,0.8335287221570926,0.010171905197843556,0.0,0.0,853.0,2.0,1.0
Aegle Marmelos,189.0,11.0,0.0,0.0,0.0,0.9871345029239766,0.6512279190004309,0.06399187448758671,0.0,0.0,844.0,11.0,1.0
Morus Alba,190.0,21.0,0.0,0.0,0.0,0.9754385964912281,0.6309238323626812,0.03382494739464617,0.0,0.0,834.0,21.0,1.0
Ailanthus excelsa,192.0,99.0,0.0,0.0,0.0,0.8842105263157894,0.5439647800758912,0.1269021926567287,0.0,0.0,756.0,99.0,1.0
saraca asoca,193.0,29.0,0.0,0.0,0.0,0.9660818713450292,0.664294063621942,0.06452877713642463,0.0,0.0,826.0,29.0,1.0
prosopis juliflora,194.0,39.0,0.0,0.0,0.0,0.9543859649122807,0.6622988939165411,0.10584440022965061,0.0,0.0,816.0,39.0,1.0
Eucalyptus tereticornis,195.0,3.0,0.0,0.0,0.0,0.9964912280701754,0.16294992175273867,0.0027520270885634107,0.0,0.0,852.0,3.0,1.0
