,Acalypha fruticosa,Albizia lebbeck,Albizia procera,Alstonia scholaris,Azadirachta indica,Butea monosperma,Cassia fistula,Cordia myxa,Dalbergia sissoo,Ficus benghalensis,Ficus religiosa,Mangifera indica,Moringa oleifera,Phoenix sylvestris,Pongamia pinnata,Prosopis cineraria,Prosopis farcta,Terminalia arjuna,Vachellia leucophloea,Vachellia nilotica,Ziziphus jujuba,Ziziphus mauritiana,Aegle Marmelos,Morus Alba,Ailanthus excelsa,saraca asoca,prosopis juliflora,Eucalyptus tereticornis
Acalypha fruticosa,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Albizia lebbeck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
Albizia procera,0,0,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Alstonia scholaris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Azadirachta indica,0,0,1,0,405,0,0,0,2,1,1,2,4,0,0,15,0,0,0,32,0,0,0,1,17,3,3,1
Butea monosperma,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cassia fistula,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cordia myxa,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dalbergia sissoo,0,0,0,0,23,0,0,0,10,2,1,0,0,0,0,6,0,0,0,3,0,0,0,3,3,0,0,0
Ficus benghalensis,0,0,0,0,4,0,0,0,2,6,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Ficus religiosa,0,0,0,0,7,0,0,0,4,2,2,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0
Mangifera indica,0,0,0,0,6,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,2,1,1,2,0,0
Moringa oleifera,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0
Phoenix sylvestris,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Pongamia pinnata,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,1,2,0,0,0
Prosopis cineraria,0,0,0,0,28,0,0,0,1,1,0,0,1,1,0,80,0,0,0,36,0,0,0,0,4,1,0,0
Prosopis farcta,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terminalia arjuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Vachellia leucophloea,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0
Vachellia nilotica,0,0,0,0,36,0,0,0,2,1,0,0,0,2,2,18,0,0,0,258,0,0,0,1,8,1,4,0
Ziziphus jujuba,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,6,1,0,0,0,0,0,0,0
Ziziphus mauritiana,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Aegle Marmelos,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,1,1,0,0
Morus Alba,0,0,0,0,4,0,0,0,2,1,1,0,0,1,1,3,0,0,0,6,0,0,1,10,3,1,0,0
Ailanthus excelsa,0,0,0,0,30,0,0,0,0,1,1,0,0,1,0,9,0,0,0,15,0,0,2,1,77,2,1,0
saraca asoca,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,26,0,0
prosopis juliflora,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,0,0,0,0,0,0,50,0
Eucalyptus tereticornis,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
