sample_index,filename,true_species,predicted_species,true_class_id,predicted_class_id,confidence,true_class_prob
6,tree_Jhunjhunu_Jhunjhunu_0_285_low_density_near_southwest_0_20250526_060045_705153.jpg,Prosopis cineraria,Ailanthus excelsa,146,192,0.9146607518196106,0.062460366636514664
7,tree_Jhunjhunu_Jhunjhunu_0_285_low_density_near_west_0_20250526_060046_144992.jpg,Prosopis cineraria,Ailanthus excelsa,146,192,0.9901466965675354,0.0063527547754347324
16,tree_Jaipur_Jaipur_2_106_low_density_near_southwest_0_20250526_061405_750582.jpg,Vachellia nilotica,Azadirachta indica,176,23,0.9035606384277344,0.01640157215297222
24,tree_Jaipur_Jaipur_2_457_low_density_near_southeast_0_20250526_062118_701936.jpg,Vachellia nilotica,Azadirachta indica,176,23,0.9057514667510986,0.03527848795056343
27,tree_Jaipur_Jaipur_3_222_low_density_near_north_0_20250526_062524_614929.jpg,Ailanthus excelsa,Azadirachta indica,192,23,0.8217284083366394,0.01657930761575699
60,tree_Jaipur_Jaipur_6_424_low_density_near_north_0_20250526_065441_759721.jpg,Azadirachta indica,Vachellia nilotica,23,176,0.9586803317070007,0.01497877947986126
62,tree_Sikar_Sikar_7_77_low_density_near_northeast_0_20250526_065652_069943.jpg,Azadirachta indica,Prosopis cineraria,23,146,0.9376766085624695,0.0073455506935715675
66,tree_Jhunjhunu_Jhunjhunu_7_240_low_density_near_west_0_20250526_070000_645653.jpg,Vachellia nilotica,Prosopis cineraria,176,146,0.9896634221076965,0.003952820785343647
74,tree_Jaipur_Jaipur_9_83_low_density_near_south_0_20250526_070725_649445.jpg,Moringa oleifera,Azadirachta indica,129,23,0.8826466202735901,5.2898190915584564e-05
84,tree_Nagaur_Nagaur_10_297_low_density_far_west_0_20250526_071930_382011.jpg,Ficus religiosa,Azadirachta indica,93,23,0.8715000748634338,0.03338678181171417
89,tree_Alwar_Alwar_11_38_low_density_far_southwest_0_20250526_072048_080132.jpg,Azadirachta indica,Ailanthus excelsa,23,192,0.9059039354324341,0.056955646723508835
93,tree_Jhunjhunu_Jhunjhunu_11_215_low_density_near_north_0_20250526_072408_756104.jpg,Ailanthus excelsa,Azadirachta indica,192,23,0.9370323419570923,0.021979758515954018
98,tree_Jaipur_Jaipur_12_39_low_density_near_center_0_20250526_072738_803443.jpg,Azadirachta indica,Ailanthus excelsa,23,192,0.9914694428443909,0.005744152702391148
107,tree_Alwar_Alwar_14_12_low_density_near_southwest_0_20250526_074401_547109.jpg,Dalbergia sissoo,Ailanthus excelsa,72,192,0.9615092873573303,0.0054949866607785225
128,tree_Jhunjhunu_Jhunjhunu_17_2_low_density_far_southwest_0_20250526_080704_102807.jpg,Ailanthus excelsa,Vachellia nilotica,192,176,0.8502815365791321,0.13877573609352112
130,tree_Nagaur_Nagaur_18_237_low_density_far_south_0_20250526_081817_509702.jpg,Azadirachta indica,Ailanthus excelsa,23,192,0.9016287922859192,0.08216574788093567
156,tree_Sikar_Sikar_23_183_low_density_far_northeast_0_20250526_084740_942072.jpg,Mangifera indica,saraca asoca,123,193,0.9982292056083679,0.0010458793258294463
165,tree_Sikar_Sikar_25_160_low_density_far_west_0_20250526_085940_292288.jpg,Azadirachta indica,Ailanthus excelsa,23,192,0.9600297212600708,0.038736481219530106
175,tree_Jaipur_Jaipur_29_40_low_density_far_northwest_0_20250526_091650_732774.jpg,Azadirachta indica,Vachellia nilotica,23,176,0.8832207322120667,0.11270134896039963
178,tree_Jaipur_Jaipur_29_137_low_density_near_center_0_20250526_091902_550646.jpg,Acalypha fruticosa,Azadirachta indica,0,23,0.9006131291389465,0.01319033745676279
