sample_index,filename,true_species,predicted_species,true_class_id,predicted_class_id,confidence,true_class_prob
9,tree_Nagaur_Nagaur_0_387_low_density_far_southwest_0_20250526_060244_973101.jpg,Ficus religiosa,Vachellia nilotica,93,176,0.3753039240837097,0.016876239329576492
23,tree_Jaipur_Jaipur_2_400_low_density_far_north_0_20250526_062013_569664.jpg,Pongamia pinnata,Aegle Marmelos,144,189,0.4360160231590271,0.37350013852119446
29,tree_Pali_Pali_3_396_low_density_near_north_0_20250526_062825_517501.jpg,Albizia procera,Pongamia pinnata,9,144,0.4356534779071808,0.054462697356939316
37,tree_Pali_Pali_4_124_low_density_near_center_0_20250526_063228_087218.jpg,Mangifera indica,Ailanthus excelsa,123,192,0.29734158515930176,0.2824792265892029
41,tree_Jhunjhunu_Jhunjhunu_4_392_low_density_far_south_0_20250526_063636_009033.jpg,Prosopis cineraria,Azadirachta indica,146,23,0.39650586247444153,0.1803959608078003
73,tree_Jaipur_Jaipur_9_55_low_density_far_northwest_0_20250526_070701_872808.jpg,Acalypha fruticosa,Azadirachta indica,0,23,0.3784031569957733,0.005793586373329163
75,tree_Jaipur_Jaipur_9_195_low_density_near_northwest_0_20250526_070936_472162.jpg,Albizia lebbeck,Ailanthus excelsa,7,192,0.4489209055900574,0.06508468091487885
76,tree_Jaipur_Jaipur_9_317_low_density_near_west_0_20250526_071222_957918.jpg,Moringa oleifera,Albizia procera,129,9,0.32484138011932373,0.13222701847553253
108,tree_Jhunjhunu_Jhunjhunu_14_200_low_density_far_northwest_0_20250526_074817_188145.jpg,Aegle Marmelos,Azadirachta indica,189,23,0.3053829073905945,0.22970996797084808
115,tree_Pali_Pali_15_30_low_density_near_east_0_20250526_075303_007634.jpg,Ailanthus excelsa,Phoenix sylvestris,192,137,0.3585105538368225,0.20741678774356842
124,tree_Jaipur_Jaipur_16_108_low_density_far_east_1_20250526_080301_699475.jpg,Acalypha fruticosa,Albizia procera,0,9,0.4035749137401581,0.016078807413578033
139,tree_Jaipur_Jaipur_20_94_low_density_far_northeast_0_20250526_082758_531028.jpg,Ailanthus excelsa,Azadirachta indica,192,23,0.288411021232605,0.019087808206677437
152,tree_Jaipur_Jaipur_22_226_low_density_near_west_0_20250526_084352_288821.jpg,Vachellia nilotica,Pongamia pinnata,176,144,0.27907896041870117,0.07578625530004501
155,tree_Jhunjhunu_Jhunjhunu_23_166_low_density_far_north_0_20250526_084718_909384.jpg,Prosopis cineraria,Vachellia nilotica,146,176,0.43899932503700256,0.37413904070854187
157,tree_Jhunjhunu_Jhunjhunu_23_232_low_density_near_east_0_20250526_084833_750395.jpg,Prosopis cineraria,Vachellia nilotica,146,176,0.4176882207393646,0.1622503250837326
183,tree_Jaipur_Jaipur_31_99_low_density_near_center_0_20250526_092730_901501.jpg,Morus Alba,saraca asoca,190,193,0.4476476311683655,0.01728036068379879
196,tree_Jhunjhunu_Jhunjhunu_34_206_low_density_far_southeast_0_20250526_094316_746351.jpg,Aegle Marmelos,Vachellia nilotica,189,176,0.1792440414428711,0.1756128966808319
202,tree_Jaipur_Jaipur_36_46_low_density_near_center_0_20250526_094851_370463.jpg,Pongamia pinnata,Azadirachta indica,144,23,0.4004378020763397,0.1654464304447174
204,tree_Jaipur_Jaipur_37_40_low_density_near_southeast_0_20250526_095234_237593.jpg,Azadirachta indica,Moringa oleifera,23,129,0.34729474782943726,0.024017415940761566
207,tree_Jhunjhunu_Jhunjhunu_37_89_low_density_near_center_0_20250526_095337_426680.jpg,Prosopis cineraria,Vachellia nilotica,146,176,0.21599183976650238,0.09460671991109848
