,class_id,total_samples,errors,error_rate,accuracy
Acalypha fruticosa,0.0,5.0,5.0,1.0,0.0
Albizia lebbeck,7.0,5.0,5.0,1.0,0.0
Albizia procera,9.0,9.0,8.0,0.8888888888888888,0.11111111111111116
Alstonia scholaris,12.0,1.0,1.0,1.0,0.0
Azadirachta indica,23.0,488.0,83.0,0.17008196721311475,0.8299180327868853
Butea monosperma,43.0,1.0,0.0,0.0,1.0
Cassia fistula,54.0,2.0,2.0,1.0,0.0
Cordia myxa,65.0,2.0,2.0,1.0,0.0
Dalbergia sissoo,72.0,51.0,41.0,0.803921568627451,0.196078431372549
Ficus benghalensis,86.0,17.0,11.0,0.6470588235294118,0.3529411764705882
Ficus religiosa,93.0,21.0,19.0,0.9047619047619048,0.09523809523809523
Mangifera indica,123.0,16.0,14.0,0.875,0.125
Moringa oleifera,129.0,9.0,8.0,0.8888888888888888,0.11111111111111116
Phoenix sylvestris,137.0,9.0,1.0,0.1111111111111111,0.8888888888888888
Pongamia pinnata,144.0,15.0,7.0,0.4666666666666667,0.5333333333333333
Prosopis cineraria,146.0,153.0,73.0,0.477124183006536,0.522875816993464
Prosopis farcta,147.0,1.0,1.0,1.0,0.0
Terminalia arjuna,168.0,1.0,1.0,1.0,0.0
Vachellia leucophloea,175.0,9.0,9.0,1.0,0.0
Vachellia nilotica,176.0,333.0,75.0,0.22522522522522523,0.7747747747747747
Ziziphus jujuba,180.0,12.0,11.0,0.9166666666666666,0.08333333333333337
Ziziphus mauritiana,181.0,2.0,2.0,1.0,0.0
Aegle Marmelos,189.0,17.0,16.0,0.9411764705882353,0.05882352941176472
Morus Alba,190.0,34.0,24.0,0.7058823529411765,0.2941176470588235
Ailanthus excelsa,192.0,140.0,63.0,0.45,0.55
saraca asoca,193.0,38.0,12.0,0.3157894736842105,0.6842105263157895
prosopis juliflora,194.0,65.0,15.0,0.23076923076923078,0.7692307692307692
Eucalyptus tereticornis,195.0,9.0,6.0,0.6666666666666666,0.33333333333333337
