,class_id,support,precision,recall,f1_score,accuracy,roc_auc,average_precision,true_positives,false_positives,true_negatives,false_negatives,specificity
Acalypha fruticosa,0.0,5.0,0.0,0.0,0.0,0.9965870307167235,0.7435616438356164,0.015189825801678991,0.0,0.0,1460.0,5.0,1.0
Albizia lebbeck,7.0,5.0,0.0,0.0,0.0,0.9965870307167235,0.7961643835616439,0.03815792426247439,0.0,0.0,1460.0,5.0,1.0
Albizia procera,9.0,9.0,0.2,0.1111111111111111,0.14285714285714285,0.9918088737201365,0.9275793650793651,0.1558885902746475,1.0,4.0,1452.0,8.0,0.9972527472527473
Alstonia scholaris,12.0,1.0,0.0,0.0,0.0,0.9993174061433447,0.9924863387978142,0.08333333333333333,0.0,0.0,1464.0,1.0,1.0
Azadirachta indica,23.0,488.0,0.6887755102040817,0.8299180327868853,0.7527881040892194,0.8184300341296928,0.8883941305770426,0.8082724308251341,405.0,183.0,794.0,83.0,0.812691914022518
Butea monosperma,43.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1464.0,0.0,1.0
Cassia fistula,54.0,2.0,0.0,0.0,0.0,0.9986348122866894,0.8930280246069721,0.05881288454578357,0.0,0.0,1463.0,2.0,1.0
Cordia myxa,65.0,2.0,0.0,0.0,0.0,0.9986348122866894,0.9907723855092276,0.2857142857142857,0.0,0.0,1463.0,2.0,1.0
Dalbergia sissoo,72.0,51.0,0.38461538461538464,0.19607843137254902,0.2597402597402597,0.9610921501706484,0.8871370330310342,0.31276365840066594,10.0,16.0,1398.0,41.0,0.9886845827439887
Ficus benghalensis,86.0,17.0,0.4,0.35294117647058826,0.375,0.9863481228668942,0.9384140396490087,0.33787649051913016,6.0,9.0,1439.0,11.0,0.9937845303867403
Ficus religiosa,93.0,21.0,0.2,0.09523809523809523,0.12903225806451613,0.9815699658703072,0.87531328320802,0.26783108781503223,2.0,8.0,1436.0,19.0,0.9944598337950139
Mangifera indica,123.0,16.0,0.3333333333333333,0.125,0.18181818181818182,0.9877133105802047,0.911663216011042,0.25415184864673,2.0,4.0,1445.0,14.0,0.9972394755003451
Moringa oleifera,129.0,9.0,0.14285714285714285,0.1111111111111111,0.125,0.990443686006826,0.7477869352869353,0.08207430898541254,1.0,6.0,1450.0,8.0,0.9958791208791209
Phoenix sylvestris,137.0,9.0,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.9959044368600682,0.9965659340659341,0.8192138779095302,8.0,5.0,1451.0,1.0,0.9965659340659341
Pongamia pinnata,144.0,15.0,0.5,0.5333333333333333,0.5161290322580645,0.9897610921501706,0.9468505747126438,0.4784855519520953,8.0,8.0,1442.0,7.0,0.9944827586206897
Prosopis cineraria,146.0,153.0,0.5633802816901409,0.5228758169934641,0.5423728813559322,0.9078498293515358,0.8835535230352303,0.5579506613463622,80.0,62.0,1250.0,73.0,0.9527439024390244
Prosopis farcta,147.0,1.0,0.0,0.0,0.0,0.9993174061433447,0.9453551912568305,0.012345679012345678,0.0,0.0,1464.0,1.0,1.0
Terminalia arjuna,168.0,1.0,0.0,0.0,0.0,0.9993174061433447,0.9849726775956285,0.043478260869565216,0.0,0.0,1464.0,1.0,1.0
Vachellia leucophloea,175.0,9.0,0.0,0.0,0.0,0.9938566552901024,0.8137210012210012,0.02243196947196404,0.0,0.0,1456.0,9.0,1.0
Vachellia nilotica,176.0,333.0,0.6843501326259946,0.7747747747747747,0.7267605633802817,0.8675767918088737,0.9176429079255933,0.8066544202349596,258.0,119.0,1013.0,75.0,0.8948763250883393
Ziziphus jujuba,180.0,12.0,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.9911262798634812,0.9002638219775178,0.14760276669683883,1.0,2.0,1451.0,11.0,0.9986235375086029
Ziziphus mauritiana,181.0,2.0,0.0,0.0,0.0,0.9986348122866894,0.9993164730006836,0.75,0.0,0.0,1463.0,2.0,1.0
Aegle Marmelos,189.0,17.0,0.14285714285714285,0.058823529411764705,0.08333333333333333,0.9849829351535836,0.8851559961000974,0.15602822219046514,1.0,6.0,1442.0,16.0,0.9958563535911602
Morus Alba,190.0,34.0,0.5,0.29411764705882354,0.37037037037037035,0.9767918088737202,0.8434250010276647,0.429228649660177,10.0,10.0,1421.0,24.0,0.9930118798043326
Ailanthus excelsa,192.0,140.0,0.616,0.55,0.5811320754716981,0.9242320819112628,0.9066684636118598,0.6249977749576325,77.0,48.0,1277.0,63.0,0.9637735849056603
saraca asoca,193.0,38.0,0.6190476190476191,0.6842105263157895,0.65,0.9808873720136518,0.9696455574816508,0.6534995038352152,26.0,16.0,1411.0,12.0,0.9887876664330764
prosopis juliflora,194.0,65.0,0.8620689655172413,0.7692307692307693,0.8130081300813008,0.9843003412969283,0.985978021978022,0.8840315397061181,50.0,8.0,1392.0,15.0,0.9942857142857143
Eucalyptus tereticornis,195.0,9.0,0.75,0.3333333333333333,0.46153846153846156,0.995221843003413,0.9603937728937728,0.37392350001045654,3.0,1.0,1455.0,6.0,0.9993131868131868
