sample_index,filename,true_label,predicted_label,correct,confidence,true_class_probability,predicted_class_probability
6,tree_Jhunjhunu_Jhunjhunu_0_285_low_density_near_southwest_0_20250526_060045_705153.jpg,146,192,False,0.9146607518196106,0.062460366636514664,0.9146607518196106
7,tree_Jhunjhunu_Jhunjhunu_0_285_low_density_near_west_0_20250526_060046_144992.jpg,146,192,False,0.9901466965675354,0.0063527547754347324,0.9901466965675354
14,tree_Jhunjhunu_Jhunjhunu_2_57_low_density_near_northeast_0_20250526_061300_377457.jpg,146,146,True,0.4969806671142578,0.4969806671142578,0.4969806671142578
15,tree_Jhunjhunu_Jhunjhunu_2_67_low_density_far_southwest_0_20250526_061318_182505.jpg,146,146,True,0.6769917607307434,0.6769917607307434,0.6769917607307434
21,tree_Jhunjhunu_Jhunjhunu_2_166_low_density_near_southwest_0_20250526_061527_143888.jpg,146,146,True,0.46692991256713867,0.46692991256713867,0.46692991256713867
22,tree_Jhunjhunu_Jhunjhunu_2_328_low_density_near_east_0_20250526_061850_404740.jpg,146,146,True,0.4341851770877838,0.4341851770877838,0.4341851770877838
26,tree_Jhunjhunu_Jhunjhunu_3_215_low_density_near_north_0_20250526_062509_408111.jpg,146,176,False,0.6961898803710938,0.17565280199050903,0.6961898803710938
41,tree_Jhunjhunu_Jhunjhunu_4_392_low_density_far_south_0_20250526_063636_009033.jpg,146,23,False,0.39650586247444153,0.1803959608078003,0.39650586247444153
63,tree_Jhunjhunu_Jhunjhunu_7_71_low_density_near_southwest_0_20250526_065656_811429.jpg,146,176,False,0.6823334693908691,0.10910463333129883,0.6823334693908691
65,tree_Jhunjhunu_Jhunjhunu_7_123_low_density_far_northeast_0_20250526_065733_847044.jpg,146,176,False,0.7326852679252625,0.260713666677475,0.7326852679252625
83,tree_Jhunjhunu_Jhunjhunu_10_264_low_density_near_east_0_20250526_071912_663024.jpg,146,129,False,0.5554483532905579,0.13480070233345032,0.5554483532905579
116,tree_Jhunjhunu_Jhunjhunu_15_116_low_density_far_southwest_0_20250526_075446_386567.jpg,146,23,False,0.46162575483322144,0.04111247882246971,0.46162575483322144
123,tree_Jhunjhunu_Jhunjhunu_16_46_low_density_far_east_0_20250526_080157_317811.jpg,146,23,False,0.5258623957633972,0.40585434436798096,0.5258623957633972
134,tree_Jaipur_Jaipur_19_185_low_density_far_southwest_0_20250526_082345_968738.jpg,146,23,False,0.5209198594093323,0.0073522101156413555,0.5209198594093323
151,tree_Sikar_Sikar_22_172_low_density_far_east_0_20250526_084307_871130.jpg,146,146,True,0.6934130787849426,0.6934130787849426,0.6934130787849426
155,tree_Jhunjhunu_Jhunjhunu_23_166_low_density_far_north_0_20250526_084718_909384.jpg,146,176,False,0.43899932503700256,0.37413904070854187,0.43899932503700256
157,tree_Jhunjhunu_Jhunjhunu_23_232_low_density_near_east_0_20250526_084833_750395.jpg,146,176,False,0.4176882207393646,0.1622503250837326,0.4176882207393646
158,tree_Jhunjhunu_Jhunjhunu_23_277_low_density_near_center_0_20250526_084920_447176.jpg,146,23,False,0.7663751840591431,0.10114198923110962,0.7663751840591431
187,tree_Jhunjhunu_Jhunjhunu_32_123_low_density_near_south_0_20250526_093214_814368.jpg,146,192,False,0.7504848837852478,0.14383739233016968,0.7504848837852478
195,tree_Jhunjhunu_Jhunjhunu_34_138_low_density_near_west_0_20250526_094135_343095.jpg,146,146,True,0.9987749457359314,0.9987749457359314,0.9987749457359314
199,tree_Jhunjhunu_Jhunjhunu_35_78_low_density_near_northeast_0_20250526_094503_790980.jpg,146,176,False,0.7520338296890259,0.12613147497177124,0.7520338296890259
207,tree_Jhunjhunu_Jhunjhunu_37_89_low_density_near_center_0_20250526_095337_426680.jpg,146,176,False,0.21599183976650238,0.09460671991109848,0.21599183976650238
210,tree_Jhunjhunu_Jhunjhunu_38_21_low_density_near_west_0_20250526_095624_906631.jpg,146,146,True,0.7609623074531555,0.7609623074531555,0.7609623074531555
219,tree_Jhunjhunu_Jhunjhunu_41_66_low_density_near_west_0_20250526_101126_938854.jpg,146,72,False,0.45137450098991394,0.1987069845199585,0.45137450098991394
221,tree_Jaipur_Jaipur_41_157_low_density_near_northwest_0_20250526_101343_117786.jpg,146,23,False,0.43547043204307556,0.049034394323825836,0.43547043204307556
228,tree_Jhunjhunu_Jhunjhunu_45_71_low_density_near_center_0_20250526_102546_706431.jpg,146,146,True,0.9286370873451233,0.9286370873451233,0.9286370873451233
231,tree_Jhunjhunu_Jhunjhunu_46_13_low_density_near_southwest_0_20250526_102717_679178.jpg,146,146,True,0.5784018039703369,0.5784018039703369,0.5784018039703369
244,tree_Jaipur_Jaipur_52_19_low_density_far_southwest_0_20250526_104750_061573.jpg,146,23,False,0.9689579606056213,0.0013341894373297691,0.9689579606056213
