sample_index,filename,true_label,predicted_label,correct,confidence,true_class_probability,predicted_class_probability
12,tree_Nagaur_Nagaur_1_466_low_density_near_southwest_0_20250526_061050_582284.jpg,194,194,True,0.8324254751205444,0.8324254751205444,0.8324254751205444
28,tree_Nagaur_Nagaur_3_236_low_density_near_center_0_20250526_062545_525662.jpg,194,194,True,0.5968157052993774,0.5968157052993774,0.5968157052993774
30,tree_Nagaur_Nagaur_3_401_low_density_near_east_1_20250526_062848_532292.jpg,194,194,True,0.9926794767379761,0.9926794767379761,0.9926794767379761
34,tree_Pali_Pali_3_487_low_density_near_east_0_20250526_063006_568263.jpg,194,176,False,0.5965211391448975,0.16917060315608978,0.5965211391448975
40,tree_Nagaur_Nagaur_4_371_low_density_near_east_0_20250526_063557_593045.jpg,194,194,True,0.8092376589775085,0.8092376589775085,0.8092376589775085
70,tree_Pali_Pali_8_126_low_density_near_center_0_20250526_070313_242437.jpg,194,194,True,0.9945480227470398,0.9945480227470398,0.9945480227470398
86,tree_Pali_Pali_10_321_low_density_near_southeast_0_20250526_072002_890534.jpg,194,194,True,0.8190871477127075,0.8190871477127075,0.8190871477127075
87,tree_Pali_Pali_10_321_low_density_near_south_0_20250526_072003_044998.jpg,194,194,True,0.36836352944374084,0.36836352944374084,0.36836352944374084
101,tree_Nagaur_Nagaur_12_345_low_density_near_west_0_20250526_073453_405783.jpg,194,194,True,0.9924941062927246,0.9924941062927246,0.9924941062927246
104,tree_Jhunjhunu_Jhunjhunu_13_114_low_density_near_north_0_20250526_073824_588360.jpg,194,176,False,0.5594494938850403,0.40990111231803894,0.5594494938850403
147,tree_Bundi_Bundi_21_129_low_density_far_east_0_20250526_083608_130335.jpg,194,194,True,0.9739949107170105,0.9739949107170105,0.9739949107170105
177,tree_Pali_Pali_29_103_low_density_near_northeast_0_20250526_091830_953771.jpg,194,194,True,0.9864523410797119,0.9864523410797119,0.9864523410797119
241,tree_Sikar_Sikar_48_148_low_density_near_southeast_0_20250526_103623_410323.jpg,194,23,False,0.35268092155456543,0.0017236998537555337,0.35268092155456543
371,tree_Jalore_Jalore_1_295_low_density_near_southeast_0_20250712_004111_775922.jpg,194,194,True,0.9910072684288025,0.9910072684288025,0.9910072684288025
428,tree_Balotra_Balotra_3_175_low_density_far_east_0_20250712_034606_636413.jpg,194,194,True,0.9180026054382324,0.9180026054382324,0.9180026054382324
429,tree_Kotputli-Behror_Kotputli-Behror_3_208_low_density_near_north_0_20250712_034827_189436.jpg,194,176,False,0.4944680631160736,0.08645424246788025,0.4944680631160736
453,tree_Pali_Pali_4_54_low_density_near_center_0_20250712_050136_093397.jpg,194,194,True,0.8483471870422363,0.8483471870422363,0.8483471870422363
459,tree_Jalore_Jalore_4_187_low_density_far_northwest_0_20250712_051327_083657.jpg,194,194,True,0.993999719619751,0.993999719619751,0.993999719619751
460,tree_Balotra_Balotra_4_223_low_density_near_southeast_0_20250712_051553_796552.jpg,194,194,True,0.9973844885826111,0.9973844885826111,0.9973844885826111
470,tree_Balotra_Balotra_4_620_low_density_near_south_0_20250712_055103_365834.jpg,194,194,True,0.9748260378837585,0.9748260378837585,0.9748260378837585
498,tree_Bhilwara_Bhilwara_5_637_low_density_far_center_0_20250712_073202_510404.jpg,194,194,True,0.7442091107368469,0.7442091107368469,0.7442091107368469
549,tree_Bikaner_Bikaner_7_256_low_density_near_southwest_0_20250712_100538_389851.jpg,194,176,False,0.3316282033920288,0.31554824113845825,0.3316282033920288
619,tree_Pali_Pali_9_825_low_density_near_southwest_0_20250712_133551_847689.jpg,194,194,True,0.9281786680221558,0.9281786680221558,0.9281786680221558
641,tree_Pali_Pali_11_51_low_density_near_center_0_20250712_150907_744204.jpg,194,194,True,0.8694170713424683,0.8694170713424683,0.8694170713424683
642,tree_Pali_Pali_11_51_low_density_near_north_0_20250712_150910_422879.jpg,194,23,False,0.7670408487319946,0.07809644937515259,0.7670408487319946
643,tree_Pali_Pali_11_51_low_density_near_north_0_20250712_150910_422879.jpg,194,23,False,0.7670408487319946,0.07809644937515259,0.7670408487319946
664,tree_Pali_Pali_12_73_low_density_near_east_0_20250712_162617_818836.jpg,194,194,True,0.9634842276573181,0.9634842276573181,0.9634842276573181
677,tree_Nagaur_Nagaur_12_430_low_density_far_northeast_0_20250712_165903_707034.jpg,194,176,False,0.4594745337963104,0.2811974585056305,0.4594745337963104
695,tree_Bhilwara_Bhilwara_13_619_low_density_far_northwest_0_20250712_181858_338130.jpg,194,194,True,0.8344536423683167,0.8344536423683167,0.8344536423683167
717,tree_Pali_Pali_16_199_low_density_near_north_0_20250712_204345_603938.jpg,194,194,True,0.9967799782752991,0.9967799782752991,0.9967799782752991
755,tree_Pali_Pali_19_374_low_density_near_center_0_20250712_233802_902231.jpg,194,23,False,0.27288538217544556,0.04014568403363228,0.27288538217544556
764,tree_Tonk_Tonk_20_328_low_density_near_northwest_0_20250713_001703_730909.jpg,194,194,True,0.9644668698310852,0.9644668698310852,0.9644668698310852
769,tree_Pali_Pali_21_3_low_density_far_northeast_0_20250713_003142_300434.jpg,194,194,True,0.9825447201728821,0.9825447201728821,0.9825447201728821
812,tree_Nagaur_Nagaur_25_376_low_density_near_north_0_20250713_034504_692602.jpg,194,194,True,0.9337140321731567,0.9337140321731567,0.9337140321731567
827,tree_Pali_Pali_27_333_low_density_near_center_0_20250713_045012_962889.jpg,194,194,True,0.8423786759376526,0.8423786759376526,0.8423786759376526
831,tree_Chittorgarh_Chittorgarh_28_146_low_density_near_southwest_0_20250713_050940_194954.jpg,194,194,True,0.6202433705329895,0.6202433705329895,0.6202433705329895
844,tree_Tonk_Tonk_30_232_low_density_far_south_0_20250713_061803_797064.jpg,194,23,False,0.9757065773010254,0.0003051481326110661,0.9757065773010254
857,tree_Bundi_Bundi_32_114_low_density_far_east_0_20250713_070633_626059.jpg,194,194,True,0.9902662634849548,0.9902662634849548,0.9902662634849548
865,tree_Bhilwara_Bhilwara_33_236_low_density_near_northwest_0_20250713_074624_960311.jpg,194,194,True,0.7525803446769714,0.7525803446769714,0.7525803446769714
867,tree_Chittorgarh_Chittorgarh_33_263_low_density_near_southeast_0_20250713_074946_725787.jpg,194,176,False,0.6701092720031738,0.10550771653652191,0.6701092720031738
869,tree_Pali_Pali_34_116_low_density_near_south_0_20250713_075947_231876.jpg,194,194,True,0.9835917949676514,0.9835917949676514,0.9835917949676514
897,tree_Pali_Pali_40_92_low_density_near_center_0_20250713_100505_267129.jpg,194,194,True,0.6622836589813232,0.6622836589813232,0.6622836589813232
901,tree_Pali_Pali_41_157_low_density_near_south_0_20250713_103137_608370.jpg,194,194,True,0.989237904548645,0.989237904548645,0.989237904548645
912,tree_Tonk_Tonk_45_133_low_density_far_northeast_0_20250713_113751_667691.jpg,194,194,True,0.8136183023452759,0.8136183023452759,0.8136183023452759
943,tree_Pali_Pali_55_5_low_density_near_east_0_20250713_134555_026373.jpg,194,194,True,0.829985499382019,0.829985499382019,0.829985499382019
950,tree_Bikaner_Bikaner_58_73_low_density_near_northwest_0_20250713_142900_927667.jpg,194,194,True,0.9170422554016113,0.9170422554016113,0.9170422554016113
953,tree_Pali_Pali_61_25_low_density_far_southeast_0_20250713_145520_846728.jpg,194,194,True,0.886358916759491,0.886358916759491,0.886358916759491
966,tree_Pali_Pali_67_59_low_density_near_northwest_0_20250713_155254_125223.jpg,194,144,False,0.4765055775642395,0.17514044046401978,0.4765055775642395
975,tree_Barmer_Barmer_0_56_low_density_near_north_0_20250528_063139_518019.jpg,194,194,True,0.7227334380149841,0.7227334380149841,0.7227334380149841
978,tree_Barmer_Barmer_0_204_low_density_far_east_0_20250528_063830_831459.jpg,194,194,True,0.9666584730148315,0.9666584730148315,0.9666584730148315
979,tree_Barmer_Barmer_0_284_low_density_near_east_0_20250528_064151_328140.jpg,194,194,True,0.830679178237915,0.830679178237915,0.830679178237915
992,tree_Barmer_Barmer_1_286_low_density_far_southwest_0_20250528_070115_632869.jpg,194,194,True,0.9684827327728271,0.9684827327728271,0.9684827327728271
