probability,true_label,species
0.79202497,1.0,Azadirachta indica
0.07907382,0.0,Azadirachta indica
0.8948076,1.0,Azadirachta indica
0.14384414,0.0,Azadirachta indica
0.6427414,0.0,Azadirachta indica
0.09830916,0.0,Azadirachta indica
0.7895144,1.0,Azadirachta indica
0.5626566,0.0,Azadirachta indica
0.717226,0.0,Azadirachta indica
0.19598912,0.0,Azadirachta indica
0.10564192,0.0,Azadirachta indica
0.67677534,0.0,Azadirachta indica
0.52110565,0.0,Azadirachta indica
0.26901528,1.0,Azadirachta indica
0.6724375,1.0,Azadirachta indica
0.39865637,1.0,Azadirachta indica
0.26985297,0.0,Azadirachta indica
0.58672273,0.0,Azadirachta indica
0.89624715,1.0,Azadirachta indica
0.7032344,1.0,Azadirachta indica
0.38349092,1.0,Azadirachta indica
0.8105875,0.0,Azadirachta indica
0.8823354,1.0,Azadirachta indica
0.7671758,1.0,Azadirachta indica
0.4191288,0.0,Azadirachta indica
0.81093514,1.0,Azadirachta indica
0.2161745,0.0,Azadirachta indica
0.5021705,0.0,Azadirachta indica
0.30882335,0.0,Azadirachta indica
0.16200086,0.0,Azadirachta indica
0.25301993,0.0,Azadirachta indica
0.86146414,0.0,Azadirachta indica
0.03746435,0.0,Azadirachta indica
0.82791674,0.0,Azadirachta indica
0.8975882,1.0,Azadirachta indica
0.06395717,0.0,Azadirachta indica
0.11683162,0.0,Azadirachta indica
0.8096831,1.0,Azadirachta indica
0.42281112,0.0,Azadirachta indica
0.4623622,0.0,Azadirachta indica
0.39546132,0.0,Azadirachta indica
0.4882349,1.0,Azadirachta indica
0.14284661,0.0,Azadirachta indica
0.7488432,1.0,Azadirachta indica
0.35701233,0.0,Azadirachta indica
0.2824957,0.0,Azadirachta indica
0.9078808,1.0,Azadirachta indica
0.24064167,0.0,Azadirachta indica
0.7930095,1.0,Azadirachta indica
0.58460927,0.0,Azadirachta indica
0.70631874,1.0,Azadirachta indica
0.42585805,0.0,Azadirachta indica
0.87107134,1.0,Azadirachta indica
0.73750657,0.0,Azadirachta indica
0.28480363,0.0,Azadirachta indica
0.26650903,0.0,Azadirachta indica
0.6499349,0.0,Azadirachta indica
0.692397,0.0,Azadirachta indica
0.8329459,1.0,Azadirachta indica
0.13655002,0.0,Azadirachta indica
0.5929355,0.0,Azadirachta indica
0.13508514,1.0,Azadirachta indica
0.90527046,1.0,Azadirachta indica
0.5714201,1.0,Azadirachta indica
0.3231415,1.0,Azadirachta indica
0.7234067,0.0,Azadirachta indica
0.71350294,0.0,Azadirachta indica
0.7720727,1.0,Azadirachta indica
0.16726182,0.0,Azadirachta indica
0.35413978,0.0,Azadirachta indica
0.21684152,0.0,Azadirachta indica
0.6471143,1.0,Azadirachta indica
0.16669904,0.0,Azadirachta indica
0.85809696,1.0,Azadirachta indica
0.8037715,1.0,Azadirachta indica
0.88405854,1.0,Azadirachta indica
0.56385535,0.0,Azadirachta indica
0.57119995,0.0,Azadirachta indica
0.5286177,0.0,Azadirachta indica
0.6941695,0.0,Azadirachta indica
0.3812986,1.0,Azadirachta indica
0.7895321,0.0,Azadirachta indica
0.6222539,1.0,Azadirachta indica
0.0798919,0.0,Azadirachta indica
0.15040924,0.0,Azadirachta indica
0.7234119,1.0,Azadirachta indica
0.34362593,0.0,Azadirachta indica
0.104735635,0.0,Azadirachta indica
0.8399303,1.0,Azadirachta indica
0.09803152,0.0,Azadirachta indica
0.6904888,0.0,Azadirachta indica
0.6187165,1.0,Azadirachta indica
0.79498,1.0,Azadirachta indica
0.26683816,1.0,Azadirachta indica
0.5150951,1.0,Azadirachta indica
0.12324257,0.0,Azadirachta indica
0.6292162,0.0,Azadirachta indica
0.83002,0.0,Azadirachta indica
0.23878917,0.0,Azadirachta indica
