sample_index,skysat_filename,true_species,predicted_species,true_class_id,predicted_class_id,confidence,true_class_prob
2,tree_Alwar_Alwar_0_118_low_density_near_southeast_0_20250526_055706_494863_skysat.jpg,Azadirachta indica,Vachellia nilotica,23,176,0.37596461176872253,0.23667386174201965
3,tree_Pali_Pali_0_117_low_density_far_south_0_20250526_055707_703629_skysat.jpg,Mangifera indica,Azadirachta indica,123,23,0.3724746108055115,0.014481856487691402
4,tree_Pali_Pali_0_117_low_density_near_west_0_20250526_055707_986419_skysat.jpg,Aegle Marmelos,Azadirachta indica,189,23,0.42557722330093384,0.013603553175926208
7,tree_Jhunjhunu_Jhunjhunu_0_285_low_density_near_west_0_20250526_060046_144992_skysat.jpg,Prosopis cineraria,Vachellia nilotica,146,176,0.40299955010414124,0.14773032069206238
13,tree_Jaipur_Jaipur_2_50_low_density_near_northwest_0_20250526_061255_573075_skysat.jpg,Albizia procera,Azadirachta indica,9,23,0.4241785705089569,0.008232963271439075
22,tree_Jhunjhunu_Jhunjhunu_2_328_low_density_near_east_0_20250526_061850_404740_skysat.jpg,Prosopis cineraria,Vachellia nilotica,146,176,0.37762215733528137,0.1712862253189087
23,tree_Jaipur_Jaipur_2_400_low_density_far_north_0_20250526_062013_569664_skysat.jpg,Pongamia pinnata,Azadirachta indica,144,23,0.4045696556568146,0.011792908422648907
24,tree_Jaipur_Jaipur_2_457_low_density_near_southeast_0_20250526_062118_701936_skysat.jpg,Vachellia nilotica,Azadirachta indica,176,23,0.4333569407463074,0.19791841506958008
29,tree_Pali_Pali_3_396_low_density_near_north_0_20250526_062825_517501_skysat.jpg,Albizia procera,Azadirachta indica,9,23,0.3937169909477234,0.00867774710059166
37,tree_Pali_Pali_4_124_low_density_near_center_0_20250526_063228_087218_skysat.jpg,Mangifera indica,Azadirachta indica,123,23,0.43453601002693176,0.013754546642303467
40,tree_Nagaur_Nagaur_4_371_low_density_near_east_0_20250526_063557_593045_skysat.jpg,prosopis juliflora,Azadirachta indica,194,23,0.40214529633522034,0.07314793765544891
41,tree_Jhunjhunu_Jhunjhunu_4_392_low_density_far_south_0_20250526_063636_009033_skysat.jpg,Prosopis cineraria,Vachellia nilotica,146,176,0.3704589903354645,0.21604451537132263
49,tree_Jaipur_Jaipur_5_395_low_density_near_west_0_20250526_064508_235590_skysat.jpg,Vachellia nilotica,Azadirachta indica,176,23,0.428300142288208,0.17701095342636108
53,tree_Jaipur_Jaipur_6_67_low_density_near_center_0_20250526_064755_775314_skysat.jpg,Vachellia nilotica,Azadirachta indica,176,23,0.41923806071281433,0.20617516338825226
55,tree_Nagaur_Nagaur_6_304_low_density_far_northeast_0_20250526_065216_367212_skysat.jpg,Vachellia nilotica,Azadirachta indica,176,23,0.3835921883583069,0.17097090184688568
57,tree_Nagaur_Nagaur_6_341_low_density_far_east_0_20250526_065255_633399_skysat.jpg,Vachellia nilotica,Azadirachta indica,176,23,0.39022406935691833,0.18542005121707916
58,tree_Nagaur_Nagaur_6_341_low_density_near_west_0_20250526_065255_842372_skysat.jpg,Dalbergia sissoo,Azadirachta indica,72,23,0.4017139673233032,0.028987912461161613
72,tree_Jaipur_Jaipur_8_249_low_density_near_northeast_0_20250526_070440_190124_skysat.jpg,saraca asoca,Azadirachta indica,193,23,0.41438084840774536,0.02691105753183365
73,tree_Jaipur_Jaipur_9_55_low_density_far_northwest_0_20250526_070701_872808_skysat.jpg,Acalypha fruticosa,Azadirachta indica,0,23,0.4311480224132538,0.005342146847397089
75,tree_Jaipur_Jaipur_9_195_low_density_near_northwest_0_20250526_070936_472162_skysat.jpg,Albizia lebbeck,Azadirachta indica,7,23,0.4046393632888794,0.004111292771995068
