sample_index,skysat_filename,true_species,predicted_species,true_class_id,predicted_class_id,confidence,true_class_prob
0,tree_Pali_Pali_0_10_low_density_far_north_0_20250526_055530_617380_skysat.jpg,Aegle Marmelos,Azadirachta indica,189,23,0.2909938097000122,0.013179234229028225
1,tree_Pali_Pali_0_72_low_density_near_south_0_20250526_055625_853991_skysat.jpg,Azadirachta indica,Vachellia nilotica,23,176,0.2837015986442566,0.27800247073173523
6,tree_Jhunjhunu_Jhunjhunu_0_285_low_density_near_southwest_0_20250526_060045_705153_skysat.jpg,Prosopis cineraria,Azadirachta indica,146,23,0.28096410632133484,0.13285186886787415
21,tree_Jhunjhunu_Jhunjhunu_2_166_low_density_near_southwest_0_20250526_061527_143888_skysat.jpg,Prosopis cineraria,Azadirachta indica,146,23,0.2742735743522644,0.18372125923633575
27,tree_Jaipur_Jaipur_3_222_low_density_near_north_0_20250526_062524_614929_skysat.jpg,Ailanthus excelsa,Azadirachta indica,192,23,0.3031584918498993,0.10604456812143326
32,tree_Nagaur_Nagaur_3_463_low_density_near_center_0_20250526_062934_194526_skysat.jpg,Ailanthus excelsa,Vachellia nilotica,192,176,0.29102781414985657,0.09926894307136536
33,tree_Jhunjhunu_Jhunjhunu_3_472_low_density_far_northeast_0_20250526_062948_725630_skysat.jpg,Dalbergia sissoo,Vachellia nilotica,72,176,0.28379350900650024,0.04143260791897774
34,tree_Pali_Pali_3_487_low_density_near_east_0_20250526_063006_568263_skysat.jpg,prosopis juliflora,Azadirachta indica,194,23,0.301737517118454,0.03259706124663353
43,tree_Jhunjhunu_Jhunjhunu_5_44_low_density_near_southeast_1_20250526_063821_735999_skysat.jpg,Ziziphus jujuba,Azadirachta indica,180,23,0.25861647725105286,0.007177374325692654
45,tree_Nagaur_Nagaur_5_211_low_density_far_northeast_0_20250526_064113_994586_skysat.jpg,Azadirachta indica,Vachellia nilotica,23,176,0.28029242157936096,0.23680537939071655
47,tree_Jaipur_Jaipur_5_290_low_density_near_northwest_0_20250526_064302_863361_skysat.jpg,saraca asoca,Vachellia nilotica,193,176,0.29005685448646545,0.01466083712875843
48,tree_Sikar_Sikar_5_300_low_density_near_north_0_20250526_064320_024316_skysat.jpg,Ailanthus excelsa,Azadirachta indica,192,23,0.28617367148399353,0.10975850373506546
52,tree_Jhunjhunu_Jhunjhunu_6_30_low_density_near_west_0_20250526_064720_655108_skysat.jpg,Vachellia nilotica,Azadirachta indica,176,23,0.2640421688556671,0.2501339912414551
56,tree_Jhunjhunu_Jhunjhunu_6_298_low_density_near_center_0_20250526_065217_607119_skysat.jpg,Azadirachta indica,Vachellia nilotica,23,176,0.29703497886657715,0.2410193830728531
65,tree_Jhunjhunu_Jhunjhunu_7_123_low_density_far_northeast_0_20250526_065733_847044_skysat.jpg,Prosopis cineraria,Azadirachta indica,146,23,0.2949868142604828,0.15295641124248505
70,tree_Pali_Pali_8_126_low_density_near_center_0_20250526_070313_242437_skysat.jpg,prosopis juliflora,Azadirachta indica,194,23,0.2867855727672577,0.033044468611478806
81,tree_Jhunjhunu_Jhunjhunu_10_38_low_density_far_center_0_20250526_071435_278488_skysat.jpg,Ailanthus excelsa,Azadirachta indica,192,23,0.28516265749931335,0.12279299646615982
83,tree_Jhunjhunu_Jhunjhunu_10_264_low_density_near_east_0_20250526_071912_663024_skysat.jpg,Prosopis cineraria,Vachellia nilotica,146,176,0.29436731338500977,0.1871388852596283
88,tree_Sikar_Sikar_11_27_low_density_near_east_0_20250526_072032_558712_skysat.jpg,Vachellia nilotica,Azadirachta indica,176,23,0.3003697991371155,0.2422279566526413
108,tree_Jhunjhunu_Jhunjhunu_14_200_low_density_far_northwest_0_20250526_074817_188145_skysat.jpg,Aegle Marmelos,Azadirachta indica,189,23,0.2820068597793579,0.01194636058062315
