,class_id,total_samples,errors,error_rate,accuracy
Acalypha fruticosa,0.0,5.0,5.0,1.0,0.0
Albizia lebbeck,7.0,5.0,5.0,1.0,0.0
Albizia procera,9.0,9.0,9.0,1.0,0.0
Alstonia scholaris,12.0,1.0,1.0,1.0,0.0
Azadirachta indica,23.0,488.0,79.0,0.16188524590163936,0.8381147540983607
Butea monosperma,43.0,1.0,1.0,1.0,0.0
Cassia fistula,54.0,2.0,2.0,1.0,0.0
Cordia myxa,65.0,2.0,2.0,1.0,0.0
Dalbergia sissoo,72.0,51.0,51.0,1.0,0.0
Ficus benghalensis,86.0,17.0,17.0,1.0,0.0
Ficus religiosa,93.0,21.0,21.0,1.0,0.0
Mangifera indica,123.0,16.0,16.0,1.0,0.0
Moringa oleifera,129.0,9.0,9.0,1.0,0.0
Phoenix sylvestris,137.0,9.0,9.0,1.0,0.0
Pongamia pinnata,144.0,15.0,15.0,1.0,0.0
Prosopis cineraria,146.0,153.0,152.0,0.9934640522875817,0.006535947712418277
Prosopis farcta,147.0,1.0,1.0,1.0,0.0
Terminalia arjuna,168.0,1.0,1.0,1.0,0.0
Vachellia leucophloea,175.0,9.0,9.0,1.0,0.0
Vachellia nilotica,176.0,333.0,221.0,0.6636636636636637,0.3363363363363363
Ziziphus jujuba,180.0,12.0,12.0,1.0,0.0
Ziziphus mauritiana,181.0,2.0,2.0,1.0,0.0
Aegle Marmelos,189.0,17.0,17.0,1.0,0.0
Morus Alba,190.0,34.0,34.0,1.0,0.0
Ailanthus excelsa,192.0,140.0,140.0,1.0,0.0
saraca asoca,193.0,38.0,38.0,1.0,0.0
prosopis juliflora,194.0,65.0,65.0,1.0,0.0
Eucalyptus tereticornis,195.0,9.0,9.0,1.0,0.0
