sample_index,skysat_filename,true_label,predicted_label,correct,confidence,true_class_probability,predicted_class_probability
68,tree_Jaipur_Jaipur_8_76_low_density_near_center_0_20250526_070228_806514_skysat.jpg,190,23,False,0.34409645199775696,0.02595183253288269,0.34409645199775696
79,tree_Jhunjhunu_Jhunjhunu_9_370_low_density_near_south_0_20250526_071316_130385_skysat.jpg,190,23,False,0.3264535069465637,0.03219332545995712,0.3264535069465637
102,tree_Jhunjhunu_Jhunjhunu_12_350_low_density_far_west_0_20250526_073501_734517_skysat.jpg,190,23,False,0.33935827016830444,0.025705594569444656,0.33935827016830444
163,tree_Pali_Pali_25_53_low_density_near_west_0_20250526_085738_320736_skysat.jpg,190,23,False,0.3647420108318329,0.025623535737395287,0.3647420108318329
183,tree_Jaipur_Jaipur_31_99_low_density_near_center_0_20250526_092730_901501_skysat.jpg,190,23,False,0.34074801206588745,0.020516924560070038,0.34074801206588745
249,tree_Sikar_Sikar_54_27_low_density_near_center_0_20250526_105524_071590_skysat.jpg,190,23,False,0.30632489919662476,0.026014473289251328,0.30632489919662476
255,tree_Jhunjhunu_Jhunjhunu_59_49_low_density_near_north_0_20250526_110946_049899_skysat.jpg,190,176,False,0.35448798537254333,0.014843125827610493,0.35448798537254333
305,tree_Sikar_Sikar_131_6_low_density_far_north_0_20250526_133332_742260_skysat.jpg,190,176,False,0.3731308877468109,0.014721410349011421,0.3731308877468109
480,tree_Bundi_Bundi_4_861_low_density_near_southwest_0_20250712_061105_351260_skysat.jpg,190,23,False,0.3432082533836365,0.03411875665187836,0.3432082533836365
538,tree_Bhilwara_Bhilwara_6_870_low_density_near_east_0_20250712_093033_245649_skysat.jpg,190,23,False,0.3545651137828827,0.021880296990275383,0.3545651137828827
550,tree_Churu_Churu_7_279_low_density_far_north_0_20250712_100649_083017_skysat.jpg,190,23,False,0.28840523958206177,0.029325373470783234,0.28840523958206177
