sample_index,skysat_filename,true_label,predicted_label,correct,confidence,true_class_probability,predicted_class_probability
43,tree_Jhunjhunu_Jhunjhunu_5_44_low_density_near_southeast_1_20250526_063821_735999_skysat.jpg,180,23,False,0.25861647725105286,0.007177374325692654,0.25861647725105286
320,tree_Jaipur_Jaipur_173_1_low_density_far_southeast_0_20250526_143543_056874_skysat.jpg,180,23,False,0.3642546832561493,0.008312924765050411,0.3642546832561493
512,tree_Pali_Pali_6_196_low_density_far_southwest_0_20250712_082939_829344_skysat.jpg,180,23,False,0.3306869864463806,0.007913658395409584,0.3306869864463806
959,tree_Alwar_Alwar_64_71_low_density_near_center_0_20250713_152529_243281_skysat.jpg,180,176,False,0.3429223895072937,0.006235680542886257,0.3429223895072937
991,tree_Sikar_Sikar_1_254_low_density_near_south_0_20250528_070040_130458_skysat.jpg,180,176,False,0.2832907736301422,0.006774325855076313,0.2832907736301422
999,tree_Sikar_Sikar_3_155_low_density_near_south_0_20250528_071738_438589_skysat.jpg,180,176,False,0.3190135955810547,0.006367737427353859,0.3190135955810547
1072,tree_Sikar_Sikar_12_203_low_density_far_northwest_0_20250528_093626_523595_skysat.jpg,180,176,False,0.3341583013534546,0.006258135195821524,0.3341583013534546
1097,tree_Sikar_Sikar_14_169_low_density_near_southeast_0_20250528_100405_825737_skysat.jpg,180,23,False,0.3077252209186554,0.006586664821952581,0.3077252209186554
1141,tree_Sikar_Sikar_23_94_low_density_near_southeast_0_20250528_114626_692188_skysat.jpg,180,23,False,0.33556634187698364,0.008090758696198463,0.33556634187698364
1248,tree_Sikar_Sikar_43_41_low_density_far_southwest_0_20250528_145331_054699_skysat.jpg,180,23,False,0.2963581383228302,0.007194548845291138,0.2963581383228302
1286,tree_Sikar_Sikar_53_67_low_density_near_east_0_20250528_161152_014651_skysat.jpg,180,23,False,0.28534770011901855,0.007475820370018482,0.28534770011901855
1389,tree_Sikar_Sikar_115_17_low_density_near_southeast_0_20250528_203939_923007_skysat.jpg,180,176,False,0.30361098051071167,0.006821112707257271,0.30361098051071167
