sample_index,skysat_filename,true_label,predicted_label,correct,confidence,true_class_probability,predicted_class_probability
36,tree_Jaipur_Jaipur_4_52_low_density_near_center_0_20250526_063135_121398_skysat.jpg,193,23,False,0.3134060204029083,0.02595530077815056,0.3134060204029083
47,tree_Jaipur_Jaipur_5_290_low_density_near_northwest_0_20250526_064302_863361_skysat.jpg,193,176,False,0.29005685448646545,0.01466083712875843,0.29005685448646545
72,tree_Jaipur_Jaipur_8_249_low_density_near_northeast_0_20250526_070440_190124_skysat.jpg,193,23,False,0.41438084840774536,0.02691105753183365,0.41438084840774536
99,tree_Jaipur_Jaipur_12_200_low_density_near_northeast_0_20250526_073122_097608_skysat.jpg,193,23,False,0.36280590295791626,0.026635074988007545,0.36280590295791626
106,tree_Jaipur_Jaipur_13_325_low_density_near_west_1_20250526_074239_058060_skysat.jpg,193,23,False,0.3209383487701416,0.026005279272794724,0.3209383487701416
119,tree_Jaipur_Jaipur_15_182_low_density_far_northwest_0_20250526_075627_843124_skysat.jpg,193,23,False,0.3544079661369324,0.04089723527431488,0.3544079661369324
136,tree_Jaipur_Jaipur_19_287_low_density_near_west_0_20250526_082541_602947_skysat.jpg,193,176,False,0.30533769726753235,0.013971621170639992,0.30533769726753235
173,tree_Jaipur_Jaipur_28_205_low_density_far_southwest_1_20250526_091417_065765_skysat.jpg,193,23,False,0.43246427178382874,0.038039229810237885,0.43246427178382874
239,tree_Jaipur_Jaipur_48_117_low_density_near_center_0_20250526_103600_828953_skysat.jpg,193,23,False,0.4065256416797638,0.03203657642006874,0.4065256416797638
254,tree_Jhunjhunu_Jhunjhunu_58_119_low_density_near_south_0_20250526_110843_974658_skysat.jpg,193,176,False,0.2623034417629242,0.012988862581551075,0.2623034417629242
260,tree_Jaipur_Jaipur_64_57_low_density_far_northwest_0_20250526_112407_500259_skysat.jpg,193,23,False,0.3214663565158844,0.025650743395090103,0.3214663565158844
323,tree_Sikar_Sikar_183_19_low_density_near_east_0_20250526_145051_766937_skysat.jpg,193,23,False,0.4139740467071533,0.03288592770695686,0.4139740467071533
524,tree_Bundi_Bundi_6_619_low_density_far_northeast_0_20250712_090706_971444_skysat.jpg,193,23,False,0.3627660572528839,0.044175904244184494,0.3627660572528839
534,tree_Jodhpur_Jodhpur_6_813_low_density_near_northwest_0_20250712_092557_779805_skysat.jpg,193,23,False,0.33807915449142456,0.03699818626046181,0.33807915449142456
585,tree_Bhilwara_Bhilwara_8_450_low_density_near_southwest_0_20250712_114620_150111_skysat.jpg,193,23,False,0.36163169145584106,0.062120143324136734,0.36163169145584106
589,tree_Alwar_Alwar_8_676_low_density_near_east_0_20250712_120243_404383_skysat.jpg,193,23,False,0.3274168372154236,0.025855829939246178,0.3274168372154236
651,tree_Jaipur_Jaipur_11_429_low_density_far_north_0_20250712_154421_882043_skysat.jpg,193,23,False,0.4139862358570099,0.034183379262685776,0.4139862358570099
669,tree_Pali_Pali_12_199_low_density_near_west_1_20250712_163737_216086_skysat.jpg,193,23,False,0.37860655784606934,0.031406402587890625,0.37860655784606934
715,tree_Bhilwara_Bhilwara_16_134_low_density_far_north_0_20250712_203828_371367_skysat.jpg,193,23,False,0.370805948972702,0.06339482218027115,0.370805948972702
878,tree_Jaipur_Jaipur_36_70_low_density_far_west_0_20250713_084410_811634_skysat.jpg,193,23,False,0.3488810062408447,0.03917130455374718,0.3488810062408447
880,tree_Bhilwara_Bhilwara_36_115_low_density_near_center_0_20250713_084852_806408_skysat.jpg,193,23,False,0.32412248849868774,0.030679114162921906,0.32412248849868774
973,tree_Jaipur_Jaipur_73_14_low_density_far_northwest_0_20250713_163154_606668_skysat.jpg,193,23,False,0.3665761351585388,0.0339488610625267,0.3665761351585388
1009,tree_Sikar_Sikar_4_43_low_density_near_south_0_20250528_072954_870347_skysat.jpg,193,23,False,0.36571797728538513,0.04249020665884018,0.36571797728538513
1035,tree_Sikar_Sikar_6_151_low_density_near_southwest_0_20250528_080917_066476_skysat.jpg,193,23,False,0.3692702651023865,0.04904640093445778,0.3692702651023865
1066,tree_Sikar_Sikar_12_33_low_density_near_northwest_0_20250528_092811_946499_skysat.jpg,193,23,False,0.36981120705604553,0.05945020914077759,0.36981120705604553
1121,tree_Sikar_Sikar_18_7_low_density_near_east_0_20250528_104254_827692_skysat.jpg,193,23,False,0.34024184942245483,0.036213167011737823,0.34024184942245483
