,class_id,support,precision,recall,f1_score,accuracy,roc_auc,average_precision,true_positives,false_positives,true_negatives,false_negatives,specificity
Acalypha fruticosa,0.0,5.0,0.0,0.0,0.0,0.9965870307167235,0.5454794520547945,0.007256132756235613,0.0,0.0,1460.0,5.0,1.0
Albizia lebbeck,7.0,5.0,0.0,0.0,0.0,0.9965870307167235,0.5567123287671233,0.004839665978141023,0.0,0.0,1460.0,5.0,1.0
Albizia procera,9.0,9.0,0.0,0.0,0.0,0.9938566552901024,0.7596916971916972,0.03193985942715422,0.0,0.0,1456.0,9.0,1.0
Alstonia scholaris,12.0,1.0,0.0,0.0,0.0,0.9993174061433447,0.44193989071038253,0.0012224938875305623,0.0,0.0,1464.0,1.0,1.0
Azadirachta indica,23.0,488.0,0.36780575539568344,0.8381147540983607,0.51125,0.4662116040955631,0.6098912277463632,0.41002007788856465,409.0,703.0,274.0,79.0,0.2804503582395087
Butea monosperma,43.0,1.0,0.0,0.0,0.0,0.9993174061433447,0.8975409836065574,0.006622516556291391,0.0,0.0,1464.0,1.0,1.0
Cassia fistula,54.0,2.0,0.0,0.0,0.0,0.9986348122866894,0.9159261790840738,0.011844863731656184,0.0,0.0,1463.0,2.0,1.0
Cordia myxa,65.0,2.0,0.0,0.0,0.0,0.9986348122866894,0.4419002050580998,0.0017846543220897762,0.0,0.0,1463.0,2.0,1.0
Dalbergia sissoo,72.0,51.0,0.0,0.0,0.0,0.9651877133105802,0.5249327453753778,0.06104534253141148,0.0,0.0,1414.0,51.0,1.0
Ficus benghalensis,86.0,17.0,0.0,0.0,0.0,0.9883959044368601,0.598025674358141,0.018231014703753427,0.0,0.0,1448.0,17.0,1.0
Ficus religiosa,93.0,21.0,0.0,0.0,0.0,0.985665529010239,0.62833069515895,0.022188978674926287,0.0,0.0,1444.0,21.0,1.0
Mangifera indica,123.0,16.0,0.0,0.0,0.0,0.9890784982935154,0.7642986542443063,0.04407903360105453,0.0,0.0,1449.0,16.0,1.0
Moringa oleifera,129.0,9.0,0.0,0.0,0.0,0.9938566552901024,0.6087454212454212,0.01041310882086743,0.0,0.0,1456.0,9.0,1.0
Phoenix sylvestris,137.0,9.0,0.0,0.0,0.0,0.9938566552901024,0.6394993894993896,0.06684979938161603,0.0,0.0,1456.0,9.0,1.0
Pongamia pinnata,144.0,15.0,0.0,0.0,0.0,0.9897610921501706,0.6025287356321839,0.017204259857513147,0.0,0.0,1450.0,15.0,1.0
Prosopis cineraria,146.0,153.0,0.25,0.006535947712418301,0.012738853503184714,0.89419795221843,0.6864264506615655,0.21423219813750521,1.0,3.0,1309.0,152.0,0.9977134146341463
Prosopis farcta,147.0,1.0,0.0,0.0,0.0,0.9993174061433447,0.016393442622950838,0.0006939625260235947,0.0,0.0,1464.0,1.0,1.0
Terminalia arjuna,168.0,1.0,0.0,0.0,0.0,0.9993174061433447,0.058743169398907114,0.0007251631617113851,0.0,0.0,1464.0,1.0,1.0
Vachellia leucophloea,175.0,9.0,0.0,0.0,0.0,0.9938566552901024,0.4217796092796092,0.005697530647349814,0.0,0.0,1456.0,9.0,1.0
Vachellia nilotica,176.0,333.0,0.3209169054441261,0.33633633633633636,0.3284457478005865,0.6873720136518772,0.6236563418542217,0.32007052630386423,112.0,237.0,895.0,221.0,0.7906360424028268
Ziziphus jujuba,180.0,12.0,0.0,0.0,0.0,0.9918088737201365,0.3340789171828401,0.0062434488332282784,0.0,0.0,1453.0,12.0,1.0
Ziziphus mauritiana,181.0,2.0,0.0,0.0,0.0,0.9986348122866894,0.8007518796992481,0.005036334913112164,0.0,0.0,1463.0,2.0,1.0
Aegle Marmelos,189.0,17.0,0.0,0.0,0.0,0.9883959044368601,0.6209782255443613,0.02016286381913021,0.0,0.0,1448.0,17.0,1.0
Morus Alba,190.0,34.0,0.0,0.0,0.0,0.9767918088737202,0.6961400912566285,0.05102161340726232,0.0,0.0,1431.0,34.0,1.0
Ailanthus excelsa,192.0,140.0,0.0,0.0,0.0,0.9044368600682594,0.5954932614555256,0.11667573925993839,0.0,0.0,1325.0,140.0,1.0
saraca asoca,193.0,38.0,0.0,0.0,0.0,0.974061433447099,0.7336333124331501,0.08370473379006438,0.0,0.0,1427.0,38.0,1.0
prosopis juliflora,194.0,65.0,0.0,0.0,0.0,0.9556313993174061,0.6147362637362637,0.07828443408802685,0.0,0.0,1400.0,65.0,1.0
Eucalyptus tereticornis,195.0,9.0,0.0,0.0,0.0,0.9938566552901024,0.5553266178266179,0.014014026791292131,0.0,0.0,1456.0,9.0,1.0
