probability,true_label,species
0.44413874,0.0,Azadirachta indica
0.7408121,0.0,Azadirachta indica
0.5735107,1.0,Azadirachta indica
0.5758363,0.0,Azadirachta indica
0.542162,1.0,Azadirachta indica
0.50321364,0.0,Azadirachta indica
0.4350815,0.0,Azadirachta indica
0.37291452,1.0,Azadirachta indica
0.11893706,1.0,Azadirachta indica
0.5253024,0.0,Azadirachta indica
0.84070534,1.0,Azadirachta indica
0.37744936,1.0,Azadirachta indica
0.5967106,1.0,Azadirachta indica
0.5560028,0.0,Azadirachta indica
0.78238964,0.0,Azadirachta indica
0.2915599,0.0,Azadirachta indica
0.3111533,0.0,Azadirachta indica
0.48823014,0.0,Azadirachta indica
0.34028202,0.0,Azadirachta indica
0.7846526,0.0,Azadirachta indica
0.33602855,0.0,Azadirachta indica
0.32258165,0.0,Azadirachta indica
0.14031047,1.0,Azadirachta indica
0.33439815,1.0,Azadirachta indica
0.32942456,0.0,Azadirachta indica
0.4293306,0.0,Azadirachta indica
0.3147134,0.0,Azadirachta indica
0.26198494,0.0,Azadirachta indica
0.24748403,0.0,Azadirachta indica
0.3288711,0.0,Azadirachta indica
0.6806217,0.0,Azadirachta indica
0.24253185,0.0,Azadirachta indica
0.44788852,0.0,Azadirachta indica
0.4354178,1.0,Azadirachta indica
0.69455624,0.0,Azadirachta indica
0.20577155,0.0,Azadirachta indica
0.79546434,0.0,Azadirachta indica
0.30301845,1.0,Azadirachta indica
0.54901177,0.0,Azadirachta indica
0.24245751,0.0,Azadirachta indica
0.29900593,0.0,Azadirachta indica
0.20952235,0.0,Azadirachta indica
0.32962433,1.0,Azadirachta indica
0.40430865,0.0,Azadirachta indica
0.81888914,0.0,Azadirachta indica
0.0010094105,0.0,Azadirachta indica
0.33500424,0.0,Azadirachta indica
0.26757604,0.0,Azadirachta indica
0.47969955,0.0,Azadirachta indica
0.41149923,1.0,Azadirachta indica
0.6677615,0.0,Azadirachta indica
0.46213827,0.0,Azadirachta indica
0.43623015,0.0,Azadirachta indica
0.07980096,0.0,Azadirachta indica
0.3922444,1.0,Azadirachta indica
0.30545104,0.0,Azadirachta indica
0.5364596,0.0,Azadirachta indica
0.36241582,0.0,Azadirachta indica
0.37509373,0.0,Azadirachta indica
0.33370233,0.0,Azadirachta indica
0.53576493,0.0,Azadirachta indica
0.27582085,0.0,Azadirachta indica
0.7578878,0.0,Azadirachta indica
0.29816142,0.0,Azadirachta indica
0.62812704,0.0,Azadirachta indica
0.38564742,0.0,Azadirachta indica
0.4419238,0.0,Azadirachta indica
0.4519649,1.0,Azadirachta indica
0.22221483,1.0,Azadirachta indica
0.2885927,0.0,Azadirachta indica
0.8302017,0.0,Azadirachta indica
0.4271696,0.0,Azadirachta indica
0.6765404,1.0,Azadirachta indica
0.44683865,0.0,Azadirachta indica
0.13243902,1.0,Azadirachta indica
0.36423978,0.0,Azadirachta indica
0.38760322,0.0,Azadirachta indica
0.39048055,1.0,Azadirachta indica
0.41066307,0.0,Azadirachta indica
0.48471412,1.0,Azadirachta indica
0.7100915,0.0,Azadirachta indica
0.7100915,0.0,Azadirachta indica
0.33747575,0.0,Azadirachta indica
0.45826676,1.0,Azadirachta indica
0.5974565,0.0,Azadirachta indica
0.39365268,0.0,Azadirachta indica
0.3706845,0.0,Azadirachta indica
0.20516698,1.0,Azadirachta indica
0.22911203,1.0,Azadirachta indica
0.51434404,1.0,Azadirachta indica
0.5651944,0.0,Azadirachta indica
0.45143273,0.0,Azadirachta indica
0.2435021,0.0,Azadirachta indica
0.40522555,0.0,Azadirachta indica
0.7542932,1.0,Azadirachta indica
0.14911681,0.0,Azadirachta indica
0.5256497,0.0,Azadirachta indica
0.23024449,0.0,Azadirachta indica
0.57377297,0.0,Azadirachta indica
0.6450286,0.0,Azadirachta indica
0.2708132,0.0,Azadirachta indica
0.68833834,1.0,Azadirachta indica
0.35203236,0.0,Azadirachta indica
0.5882397,0.0,Azadirachta indica
0.36330268,1.0,Azadirachta indica
0.48396912,0.0,Azadirachta indica
0.28343084,0.0,Azadirachta indica
0.57191986,0.0,Azadirachta indica
0.35528263,1.0,Azadirachta indica
0.3122904,0.0,Azadirachta indica
0.42224625,1.0,Azadirachta indica
0.19021097,0.0,Azadirachta indica
0.521187,0.0,Azadirachta indica
0.15768498,0.0,Azadirachta indica
0.29642907,0.0,Azadirachta indica
0.59205383,0.0,Azadirachta indica
0.32196733,1.0,Azadirachta indica
0.50437206,1.0,Azadirachta indica
0.28742146,0.0,Azadirachta indica
0.25511482,0.0,Azadirachta indica
0.53209144,0.0,Azadirachta indica
0.32316062,0.0,Azadirachta indica
0.28319794,0.0,Azadirachta indica
0.20149745,0.0,Azadirachta indica
0.4877168,0.0,Azadirachta indica
0.29160324,1.0,Azadirachta indica
0.45230862,0.0,Azadirachta indica
0.50786394,0.0,Azadirachta indica
0.4922357,0.0,Azadirachta indica
0.34784448,0.0,Azadirachta indica
0.9451427,0.0,Azadirachta indica
0.8359355,0.0,Azadirachta indica
0.32006827,1.0,Azadirachta indica
0.5937311,0.0,Azadirachta indica
0.34788218,0.0,Azadirachta indica
0.40974724,0.0,Azadirachta indica
0.32294345,0.0,Azadirachta indica
0.43285024,0.0,Azadirachta indica
0.35727227,0.0,Azadirachta indica
0.4119739,0.0,Azadirachta indica
0.43988302,0.0,Azadirachta indica
0.43014297,0.0,Azadirachta indica
0.33268282,0.0,Azadirachta indica
0.29239392,0.0,Azadirachta indica
0.26044488,0.0,Azadirachta indica
0.46717265,0.0,Azadirachta indica
0.46717265,0.0,Azadirachta indica
0.377188,1.0,Azadirachta indica
0.41833594,0.0,Azadirachta indica
0.30000082,0.0,Azadirachta indica
0.6303285,0.0,Azadirachta indica
0.7650368,0.0,Azadirachta indica
0.24823499,0.0,Azadirachta indica
0.4592383,0.0,Azadirachta indica
0.4600591,0.0,Azadirachta indica
0.32769355,0.0,Azadirachta indica
0.3108047,0.0,Azadirachta indica
0.44055298,0.0,Azadirachta indica
0.24630667,0.0,Azadirachta indica
0.3902736,1.0,Azadirachta indica
0.3550921,0.0,Azadirachta indica
0.21676962,0.0,Azadirachta indica
0.15860966,0.0,Azadirachta indica
0.42868534,0.0,Azadirachta indica
0.31781554,0.0,Azadirachta indica
0.23174973,0.0,Azadirachta indica
0.115750685,0.0,Azadirachta indica
0.113180116,0.0,Azadirachta indica
0.5189715,0.0,Azadirachta indica
0.022189718,1.0,Azadirachta indica
0.43637764,0.0,Azadirachta indica
0.6355119,1.0,Azadirachta indica
0.48861608,0.0,Azadirachta indica
0.08063422,0.0,Azadirachta indica
0.3203799,0.0,Azadirachta indica
0.59714854,0.0,Azadirachta indica
0.6116828,0.0,Azadirachta indica
0.5278068,0.0,Azadirachta indica
0.22908083,0.0,Azadirachta indica
0.70740783,1.0,Azadirachta indica
0.401619,1.0,Azadirachta indica
0.6449754,0.0,Azadirachta indica
0.35195267,0.0,Azadirachta indica
0.5573914,0.0,Azadirachta indica
0.4522185,0.0,Azadirachta indica
0.30504715,0.0,Azadirachta indica
0.3467816,0.0,Azadirachta indica
0.06667853,0.0,Azadirachta indica
0.33501467,1.0,Azadirachta indica
0.59201103,0.0,Azadirachta indica
0.41363811,0.0,Azadirachta indica
0.3866075,1.0,Azadirachta indica
0.3009321,0.0,Azadirachta indica
0.34309992,0.0,Azadirachta indica
0.20955862,0.0,Azadirachta indica
0.17530048,0.0,Azadirachta indica
0.19737898,0.0,Azadirachta indica
0.17637965,0.0,Azadirachta indica
0.16737795,0.0,Azadirachta indica
0.3311013,0.0,Azadirachta indica
0.22964567,1.0,Azadirachta indica
0.53255,0.0,Azadirachta indica
0.61151284,0.0,Azadirachta indica
0.54795974,0.0,Azadirachta indica
0.27787253,0.0,Azadirachta indica
0.32421765,0.0,Azadirachta indica
0.33705863,1.0,Azadirachta indica
0.5568812,0.0,Azadirachta indica
0.37890425,0.0,Azadirachta indica
0.47315133,0.0,Azadirachta indica
