probability,true_label,species
0.07375348,0.0,Vachellia nilotica
0.064258024,0.0,Vachellia nilotica
0.09768397,0.0,Vachellia nilotica
0.08244037,0.0,Vachellia nilotica
0.06746332,0.0,Vachellia nilotica
0.6239417,1.0,Vachellia nilotica
0.2984184,0.0,Vachellia nilotica
0.099992506,0.0,Vachellia nilotica
0.7881153,0.0,Vachellia nilotica
0.33844876,0.0,Vachellia nilotica
0.06723222,0.0,Vachellia nilotica
0.18335696,0.0,Vachellia nilotica
0.0988713,0.0,Vachellia nilotica
0.85984266,0.0,Vachellia nilotica
0.25287643,0.0,Vachellia nilotica
0.9554527,0.0,Vachellia nilotica
0.073336445,0.0,Vachellia nilotica
0.15565327,0.0,Vachellia nilotica
0.6803513,1.0,Vachellia nilotica
0.2700177,1.0,Vachellia nilotica
0.122132696,0.0,Vachellia nilotica
0.20853432,0.0,Vachellia nilotica
0.29194346,0.0,Vachellia nilotica
0.110764116,0.0,Vachellia nilotica
0.21673238,0.0,Vachellia nilotica
0.18661374,1.0,Vachellia nilotica
0.7951823,0.0,Vachellia nilotica
0.24224494,0.0,Vachellia nilotica
0.8994213,0.0,Vachellia nilotica
0.13093081,0.0,Vachellia nilotica
0.013226188,0.0,Vachellia nilotica
0.12514429,0.0,Vachellia nilotica
0.70535785,1.0,Vachellia nilotica
0.069066405,0.0,Vachellia nilotica
0.7818939,0.0,Vachellia nilotica
0.425695,0.0,Vachellia nilotica
0.05924279,0.0,Vachellia nilotica
0.39357042,0.0,Vachellia nilotica
0.026196623,1.0,Vachellia nilotica
0.15133014,1.0,Vachellia nilotica
0.0718849,0.0,Vachellia nilotica
0.017272286,0.0,Vachellia nilotica
0.52052295,0.0,Vachellia nilotica
0.1480566,0.0,Vachellia nilotica
0.03348876,0.0,Vachellia nilotica
0.4920448,1.0,Vachellia nilotica
0.91469586,1.0,Vachellia nilotica
0.36714634,1.0,Vachellia nilotica
0.99001044,0.0,Vachellia nilotica
0.6809323,0.0,Vachellia nilotica
0.2978889,0.0,Vachellia nilotica
0.8410646,0.0,Vachellia nilotica
0.8535533,0.0,Vachellia nilotica
0.053513285,0.0,Vachellia nilotica
0.047586065,0.0,Vachellia nilotica
0.98123324,0.0,Vachellia nilotica
0.115845144,0.0,Vachellia nilotica
0.73313016,0.0,Vachellia nilotica
0.20522028,1.0,Vachellia nilotica
0.2660413,1.0,Vachellia nilotica
0.07840071,0.0,Vachellia nilotica
0.12361225,0.0,Vachellia nilotica
0.7174893,1.0,Vachellia nilotica
0.22725631,0.0,Vachellia nilotica
0.13914946,0.0,Vachellia nilotica
0.1628168,0.0,Vachellia nilotica
0.08168167,0.0,Vachellia nilotica
0.032356985,0.0,Vachellia nilotica
0.05250795,0.0,Vachellia nilotica
0.9307025,1.0,Vachellia nilotica
0.7036651,1.0,Vachellia nilotica
0.5869333,0.0,Vachellia nilotica
0.17445886,0.0,Vachellia nilotica
0.975024,0.0,Vachellia nilotica
0.0068915663,0.0,Vachellia nilotica
0.6640091,1.0,Vachellia nilotica
0.7081997,0.0,Vachellia nilotica
0.2263768,0.0,Vachellia nilotica
0.3623399,1.0,Vachellia nilotica
0.67050195,0.0,Vachellia nilotica
0.18278548,0.0,Vachellia nilotica
0.18278548,0.0,Vachellia nilotica
0.15762968,0.0,Vachellia nilotica
0.04010676,0.0,Vachellia nilotica
0.81390554,0.0,Vachellia nilotica
0.7385076,0.0,Vachellia nilotica
0.40715975,1.0,Vachellia nilotica
0.9939592,0.0,Vachellia nilotica
0.98847497,0.0,Vachellia nilotica
0.008935146,0.0,Vachellia nilotica
0.27626482,0.0,Vachellia nilotica
0.88749397,1.0,Vachellia nilotica
0.87848735,1.0,Vachellia nilotica
0.14482227,0.0,Vachellia nilotica
0.07212869,0.0,Vachellia nilotica
0.8775788,1.0,Vachellia nilotica
0.5969629,0.0,Vachellia nilotica
0.52194095,1.0,Vachellia nilotica
0.11076907,0.0,Vachellia nilotica
0.055436548,1.0,Vachellia nilotica
0.56604636,0.0,Vachellia nilotica
0.0073724706,0.0,Vachellia nilotica
0.5917734,1.0,Vachellia nilotica
0.002901437,0.0,Vachellia nilotica
0.5953919,0.0,Vachellia nilotica
0.352481,0.0,Vachellia nilotica
