probability,true_label,species
0.37357697,0.0,Azadirachta indica
0.6549044,1.0,Azadirachta indica
0.7763817,1.0,Azadirachta indica
0.75902414,0.0,Azadirachta indica
0.5963961,0.0,Azadirachta indica
0.6414441,0.0,Azadirachta indica
0.1966589,0.0,Azadirachta indica
0.7681448,1.0,Azadirachta indica
0.83491975,1.0,Azadirachta indica
0.32064408,0.0,Azadirachta indica
0.48982605,1.0,Azadirachta indica
0.5766657,1.0,Azadirachta indica
0.35707593,0.0,Azadirachta indica
0.64985603,0.0,Azadirachta indica
0.37085015,0.0,Azadirachta indica
0.50363374,0.0,Azadirachta indica
0.20364349,0.0,Azadirachta indica
0.32488105,1.0,Azadirachta indica
0.39416417,0.0,Azadirachta indica
0.38476366,0.0,Azadirachta indica
0.13947399,0.0,Azadirachta indica
0.27604532,0.0,Azadirachta indica
0.4315361,0.0,Azadirachta indica
0.77256095,1.0,Azadirachta indica
0.3798125,0.0,Azadirachta indica
0.4244696,0.0,Azadirachta indica
0.48919332,1.0,Azadirachta indica
0.40752226,0.0,Azadirachta indica
0.31369266,0.0,Azadirachta indica
0.8299282,1.0,Azadirachta indica
0.60815257,1.0,Azadirachta indica
0.45010096,0.0,Azadirachta indica
0.1942599,0.0,Azadirachta indica
0.21529874,0.0,Azadirachta indica
0.42787415,1.0,Azadirachta indica
0.41904765,0.0,Azadirachta indica
0.72325224,1.0,Azadirachta indica
0.5947928,0.0,Azadirachta indica
0.47425985,1.0,Azadirachta indica
0.40582573,0.0,Azadirachta indica
0.46469072,0.0,Azadirachta indica
0.44504544,0.0,Azadirachta indica
0.4827085,1.0,Azadirachta indica
0.16390474,0.0,Azadirachta indica
0.5837101,0.0,Azadirachta indica
0.7125567,0.0,Azadirachta indica
0.8407938,1.0,Azadirachta indica
0.6578465,1.0,Azadirachta indica
0.6466807,0.0,Azadirachta indica
0.57771254,0.0,Azadirachta indica
0.2119341,0.0,Azadirachta indica
0.28279248,0.0,Azadirachta indica
0.47026655,0.0,Azadirachta indica
0.8567564,0.0,Azadirachta indica
0.88480484,1.0,Azadirachta indica
0.5848153,0.0,Azadirachta indica
0.38305327,1.0,Azadirachta indica
0.8508371,1.0,Azadirachta indica
0.20895915,0.0,Azadirachta indica
0.19288924,0.0,Azadirachta indica
0.510426,0.0,Azadirachta indica
0.62831247,0.0,Azadirachta indica
0.5723396,1.0,Azadirachta indica
0.41275144,0.0,Azadirachta indica
0.46971178,1.0,Azadirachta indica
0.8129497,0.0,Azadirachta indica
0.46506965,0.0,Azadirachta indica
0.41815427,1.0,Azadirachta indica
0.29339737,0.0,Azadirachta indica
0.4292551,1.0,Azadirachta indica
0.42471015,0.0,Azadirachta indica
0.46488294,0.0,Azadirachta indica
0.498896,0.0,Azadirachta indica
0.78050894,0.0,Azadirachta indica
0.237439,0.0,Azadirachta indica
0.477436,0.0,Azadirachta indica
0.71822333,0.0,Azadirachta indica
0.48835444,0.0,Azadirachta indica
0.48374954,0.0,Azadirachta indica
0.6390779,0.0,Azadirachta indica
0.77621305,0.0,Azadirachta indica
0.7194702,0.0,Azadirachta indica
0.39588827,0.0,Azadirachta indica
0.33300015,0.0,Azadirachta indica
0.58027756,0.0,Azadirachta indica
0.70106554,0.0,Azadirachta indica
0.6327462,1.0,Azadirachta indica
0.81553596,1.0,Azadirachta indica
0.27130908,0.0,Azadirachta indica
0.46194333,0.0,Azadirachta indica
0.5345217,1.0,Azadirachta indica
0.51059365,0.0,Azadirachta indica
0.5506775,1.0,Azadirachta indica
0.59789366,0.0,Azadirachta indica
0.26479205,0.0,Azadirachta indica
0.5392783,1.0,Azadirachta indica
0.13341744,0.0,Azadirachta indica
0.30950797,0.0,Azadirachta indica
0.29354563,0.0,Azadirachta indica
0.002312325,0.0,Azadirachta indica
0.5588394,0.0,Azadirachta indica
0.7267991,1.0,Azadirachta indica
0.63452834,0.0,Azadirachta indica
0.6047841,0.0,Azadirachta indica
0.254889,0.0,Azadirachta indica
0.61401904,0.0,Azadirachta indica
0.20949116,0.0,Azadirachta indica
0.27074435,0.0,Azadirachta indica
0.39229196,0.0,Azadirachta indica
0.24088195,0.0,Azadirachta indica
0.6641937,0.0,Azadirachta indica
0.59981686,0.0,Azadirachta indica
0.52951443,0.0,Azadirachta indica
0.4826399,0.0,Azadirachta indica
0.59815073,0.0,Azadirachta indica
0.7651427,1.0,Azadirachta indica
0.15192336,0.0,Azadirachta indica
0.18635151,0.0,Azadirachta indica
0.5024054,0.0,Azadirachta indica
0.20648539,0.0,Azadirachta indica
0.39295322,0.0,Azadirachta indica
0.5586119,1.0,Azadirachta indica
0.699277,1.0,Azadirachta indica
0.4748042,0.0,Azadirachta indica
0.46119887,0.0,Azadirachta indica
0.6191727,1.0,Azadirachta indica
0.72604805,1.0,Azadirachta indica
0.54290146,0.0,Azadirachta indica
0.70091844,1.0,Azadirachta indica
0.43297267,0.0,Azadirachta indica
0.42967075,0.0,Azadirachta indica
0.29183418,0.0,Azadirachta indica
0.10401343,0.0,Azadirachta indica
0.38883853,0.0,Azadirachta indica
0.3300624,0.0,Azadirachta indica
0.20057677,1.0,Azadirachta indica
0.3546259,0.0,Azadirachta indica
0.73666453,1.0,Azadirachta indica
0.42190206,0.0,Azadirachta indica
0.19602658,0.0,Azadirachta indica
0.32549417,0.0,Azadirachta indica
0.25481543,0.0,Azadirachta indica
0.39329383,0.0,Azadirachta indica
0.21036835,0.0,Azadirachta indica
0.5040247,1.0,Azadirachta indica
0.4410688,0.0,Azadirachta indica
0.35583007,0.0,Azadirachta indica
0.8932267,1.0,Azadirachta indica
0.58071023,0.0,Azadirachta indica
0.16062365,0.0,Azadirachta indica
0.28429046,0.0,Azadirachta indica
0.69962484,1.0,Azadirachta indica
0.37627634,0.0,Azadirachta indica
0.530265,0.0,Azadirachta indica
0.37164342,1.0,Azadirachta indica
0.12589498,0.0,Azadirachta indica
0.6390779,0.0,Azadirachta indica
0.41023904,0.0,Azadirachta indica
0.60014683,0.0,Azadirachta indica
0.6935429,1.0,Azadirachta indica
0.6408528,0.0,Azadirachta indica
0.8818747,1.0,Azadirachta indica
0.61458296,1.0,Azadirachta indica
0.46887255,0.0,Azadirachta indica
0.6718043,0.0,Azadirachta indica
0.40053675,0.0,Azadirachta indica
0.5492857,1.0,Azadirachta indica
0.7558856,1.0,Azadirachta indica
0.8430391,0.0,Azadirachta indica
0.67139983,1.0,Azadirachta indica
0.58569866,0.0,Azadirachta indica
0.39240426,0.0,Azadirachta indica
0.458529,0.0,Azadirachta indica
0.5273462,1.0,Azadirachta indica
0.689195,0.0,Azadirachta indica
0.71085835,0.0,Azadirachta indica
0.48740157,1.0,Azadirachta indica
0.6288703,1.0,Azadirachta indica
0.4306389,1.0,Azadirachta indica
0.3202257,0.0,Azadirachta indica
0.75588155,1.0,Azadirachta indica
0.33852202,0.0,Azadirachta indica
0.4440765,0.0,Azadirachta indica
0.36730215,0.0,Azadirachta indica
0.6926268,0.0,Azadirachta indica
0.6012908,1.0,Azadirachta indica
0.7235438,1.0,Azadirachta indica
0.55946815,1.0,Azadirachta indica
0.48674533,0.0,Azadirachta indica
0.93117744,1.0,Azadirachta indica
0.5633906,0.0,Azadirachta indica
0.4651263,0.0,Azadirachta indica
0.50321543,0.0,Azadirachta indica
0.6035361,1.0,Azadirachta indica
0.7713215,0.0,Azadirachta indica
0.16128126,0.0,Azadirachta indica
0.65436363,0.0,Azadirachta indica
0.62258893,1.0,Azadirachta indica
0.48612815,1.0,Azadirachta indica
0.49894994,0.0,Azadirachta indica
0.77196294,0.0,Azadirachta indica
0.7101639,0.0,Azadirachta indica
0.47440448,0.0,Azadirachta indica
0.72010875,0.0,Azadirachta indica
0.5039213,0.0,Azadirachta indica
0.7784552,1.0,Azadirachta indica
0.72633255,1.0,Azadirachta indica
0.7837235,0.0,Azadirachta indica
0.49638602,0.0,Azadirachta indica
0.46605176,1.0,Azadirachta indica
0.18810546,1.0,Azadirachta indica
0.87935895,1.0,Azadirachta indica
0.38765466,0.0,Azadirachta indica
0.17702878,0.0,Azadirachta indica
0.59980077,0.0,Azadirachta indica
0.7271258,0.0,Azadirachta indica
0.6797888,0.0,Azadirachta indica
0.8499401,1.0,Azadirachta indica
0.5799377,1.0,Azadirachta indica
0.7829804,1.0,Azadirachta indica
0.36122566,0.0,Azadirachta indica
0.7829518,1.0,Azadirachta indica
0.7579064,0.0,Azadirachta indica
0.3154311,0.0,Azadirachta indica
0.44305253,0.0,Azadirachta indica
0.76514024,0.0,Azadirachta indica
0.36722395,0.0,Azadirachta indica
0.61248267,1.0,Azadirachta indica
0.5025006,0.0,Azadirachta indica
0.6740155,0.0,Azadirachta indica
0.8431302,1.0,Azadirachta indica
0.72902364,1.0,Azadirachta indica
0.35840225,0.0,Azadirachta indica
0.46488294,0.0,Azadirachta indica
0.79421043,1.0,Azadirachta indica
0.25887072,1.0,Azadirachta indica
0.8370097,1.0,Azadirachta indica
0.1594157,0.0,Azadirachta indica
0.59079504,1.0,Azadirachta indica
0.5042727,0.0,Azadirachta indica
0.65545946,1.0,Azadirachta indica
0.45011365,0.0,Azadirachta indica
0.47980884,0.0,Azadirachta indica
0.17186874,0.0,Azadirachta indica
0.5741787,0.0,Azadirachta indica
0.46672672,0.0,Azadirachta indica
0.8618983,1.0,Azadirachta indica
0.32098958,0.0,Azadirachta indica
0.7518417,0.0,Azadirachta indica
0.70834064,1.0,Azadirachta indica
0.742213,0.0,Azadirachta indica
0.6142062,0.0,Azadirachta indica
0.5708164,1.0,Azadirachta indica
0.5019085,1.0,Azadirachta indica
0.806967,1.0,Azadirachta indica
0.41554448,0.0,Azadirachta indica
0.3505879,0.0,Azadirachta indica
0.108712815,0.0,Azadirachta indica
0.44218808,0.0,Azadirachta indica
0.26885575,0.0,Azadirachta indica
0.14867632,0.0,Azadirachta indica
0.47262552,1.0,Azadirachta indica
0.5055382,0.0,Azadirachta indica
0.46291333,0.0,Azadirachta indica
0.75884604,1.0,Azadirachta indica
0.6170875,1.0,Azadirachta indica
0.5902267,1.0,Azadirachta indica
0.7405254,0.0,Azadirachta indica
0.54527545,0.0,Azadirachta indica
0.5297652,1.0,Azadirachta indica
0.81497496,1.0,Azadirachta indica
0.7295263,0.0,Azadirachta indica
0.52095556,0.0,Azadirachta indica
0.3112074,0.0,Azadirachta indica
0.4191648,0.0,Azadirachta indica
0.2527475,1.0,Azadirachta indica
0.65781724,0.0,Azadirachta indica
0.7416399,0.0,Azadirachta indica
0.8846678,1.0,Azadirachta indica
0.33486468,0.0,Azadirachta indica
0.2527475,0.0,Azadirachta indica
0.8748258,0.0,Azadirachta indica
0.6832379,1.0,Azadirachta indica
0.21767095,0.0,Azadirachta indica
0.8273624,1.0,Azadirachta indica
0.602309,0.0,Azadirachta indica
0.5931519,0.0,Azadirachta indica
0.8229941,0.0,Azadirachta indica
0.2232431,0.0,Azadirachta indica
0.41212463,1.0,Azadirachta indica
0.36094776,1.0,Azadirachta indica
0.32643023,1.0,Azadirachta indica
0.6507792,1.0,Azadirachta indica
0.72618556,0.0,Azadirachta indica
0.5821415,1.0,Azadirachta indica
0.56893945,1.0,Azadirachta indica
0.60895103,0.0,Azadirachta indica
0.6647378,0.0,Azadirachta indica
0.36479014,1.0,Azadirachta indica
0.5157216,1.0,Azadirachta indica
0.24439579,0.0,Azadirachta indica
0.29112566,0.0,Azadirachta indica
0.81631994,1.0,Azadirachta indica
0.6364696,0.0,Azadirachta indica
0.36901355,0.0,Azadirachta indica
0.7425812,1.0,Azadirachta indica
0.717104,1.0,Azadirachta indica
0.44152367,0.0,Azadirachta indica
0.6682777,0.0,Azadirachta indica
0.26784608,0.0,Azadirachta indica
0.64975536,1.0,Azadirachta indica
0.6880305,1.0,Azadirachta indica
0.54864013,0.0,Azadirachta indica
0.57924616,0.0,Azadirachta indica
0.16214594,0.0,Azadirachta indica
0.30203435,1.0,Azadirachta indica
0.6369265,1.0,Azadirachta indica
0.42190206,0.0,Azadirachta indica
0.45032215,0.0,Azadirachta indica
0.30839807,0.0,Azadirachta indica
0.590314,0.0,Azadirachta indica
0.25134525,0.0,Azadirachta indica
0.83459866,1.0,Azadirachta indica
0.21688761,0.0,Azadirachta indica
0.28090507,0.0,Azadirachta indica
0.8852393,0.0,Azadirachta indica
0.62830245,1.0,Azadirachta indica
0.7659622,1.0,Azadirachta indica
0.47730458,0.0,Azadirachta indica
0.81118464,1.0,Azadirachta indica
0.15427135,0.0,Azadirachta indica
0.50905484,1.0,Azadirachta indica
0.1251307,0.0,Azadirachta indica
0.54111624,0.0,Azadirachta indica
0.6885513,1.0,Azadirachta indica
0.57476205,0.0,Azadirachta indica
0.39770544,0.0,Azadirachta indica
0.18006887,0.0,Azadirachta indica
0.11753179,0.0,Azadirachta indica
0.80363,1.0,Azadirachta indica
0.47829744,0.0,Azadirachta indica
0.4467344,0.0,Azadirachta indica
0.42461133,0.0,Azadirachta indica
0.27040637,0.0,Azadirachta indica
0.28414142,1.0,Azadirachta indica
0.4008486,0.0,Azadirachta indica
0.5508834,0.0,Azadirachta indica
0.3911995,0.0,Azadirachta indica
0.46227935,0.0,Azadirachta indica
0.25130287,0.0,Azadirachta indica
0.63260174,1.0,Azadirachta indica
0.26823995,0.0,Azadirachta indica
0.6291947,0.0,Azadirachta indica
0.44631982,0.0,Azadirachta indica
0.44268587,1.0,Azadirachta indica
0.48095304,0.0,Azadirachta indica
0.4027293,1.0,Azadirachta indica
0.42143714,0.0,Azadirachta indica
0.27528092,0.0,Azadirachta indica
0.38114187,1.0,Azadirachta indica
0.4742554,0.0,Azadirachta indica
0.54154325,0.0,Azadirachta indica
0.4013615,1.0,Azadirachta indica
0.41008657,1.0,Azadirachta indica
0.5496539,0.0,Azadirachta indica
0.6209104,1.0,Azadirachta indica
0.5969705,0.0,Azadirachta indica
0.86681426,1.0,Azadirachta indica
0.8543793,0.0,Azadirachta indica
0.82867384,0.0,Azadirachta indica
0.20896287,0.0,Azadirachta indica
0.27996272,0.0,Azadirachta indica
0.56820863,1.0,Azadirachta indica
0.42771822,0.0,Azadirachta indica
0.47100243,0.0,Azadirachta indica
0.5762941,0.0,Azadirachta indica
0.3260656,0.0,Azadirachta indica
0.68167824,0.0,Azadirachta indica
0.28521279,0.0,Azadirachta indica
0.7181315,1.0,Azadirachta indica
0.21325068,0.0,Azadirachta indica
0.10728245,0.0,Azadirachta indica
0.7391558,0.0,Azadirachta indica
0.34888762,0.0,Azadirachta indica
0.12487469,0.0,Azadirachta indica
0.32128492,0.0,Azadirachta indica
0.6686532,1.0,Azadirachta indica
0.50617725,0.0,Azadirachta indica
0.6889686,0.0,Azadirachta indica
0.44268402,0.0,Azadirachta indica
0.3566501,0.0,Azadirachta indica
0.57599455,0.0,Azadirachta indica
0.5491499,1.0,Azadirachta indica
0.11956352,0.0,Azadirachta indica
0.27555546,0.0,Azadirachta indica
0.27750924,0.0,Azadirachta indica
0.85066223,0.0,Azadirachta indica
0.55585253,0.0,Azadirachta indica
0.30262607,0.0,Azadirachta indica
0.24709587,0.0,Azadirachta indica
0.60430586,0.0,Azadirachta indica
0.11264306,0.0,Azadirachta indica
0.48380435,0.0,Azadirachta indica
0.27022168,0.0,Azadirachta indica
0.52791065,1.0,Azadirachta indica
0.74527276,1.0,Azadirachta indica
0.44631982,0.0,Azadirachta indica
0.6876543,0.0,Azadirachta indica
0.29041943,0.0,Azadirachta indica
0.36575902,0.0,Azadirachta indica
0.67140573,0.0,Azadirachta indica
0.35919887,0.0,Azadirachta indica
0.8325661,1.0,Azadirachta indica
0.48464838,0.0,Azadirachta indica
0.84114504,1.0,Azadirachta indica
0.4444997,0.0,Azadirachta indica
0.66008174,1.0,Azadirachta indica
0.7793672,1.0,Azadirachta indica
0.66712976,0.0,Azadirachta indica
0.36770472,0.0,Azadirachta indica
0.7884949,0.0,Azadirachta indica
0.2688976,0.0,Azadirachta indica
0.6094171,1.0,Azadirachta indica
0.3934983,0.0,Azadirachta indica
0.49568042,0.0,Azadirachta indica
0.3542316,0.0,Azadirachta indica
0.7015709,0.0,Azadirachta indica
0.68603927,1.0,Azadirachta indica
0.8354151,1.0,Azadirachta indica
0.27135262,0.0,Azadirachta indica
0.70829904,0.0,Azadirachta indica
0.4390415,0.0,Azadirachta indica
0.27305272,0.0,Azadirachta indica
0.9381562,1.0,Azadirachta indica
0.8294768,0.0,Azadirachta indica
0.40626538,0.0,Azadirachta indica
0.29311287,0.0,Azadirachta indica
0.52650076,1.0,Azadirachta indica
0.77017546,1.0,Azadirachta indica
0.0,0.0,Azadirachta indica
0.31039947,0.0,Azadirachta indica
