probability,true_label,species
0.6046525,0.0,Ailanthus excelsa
0.30471405,0.0,Ailanthus excelsa
0.66957265,0.0,Ailanthus excelsa
0.50230134,0.0,Ailanthus excelsa
0.5847556,0.0,Ailanthus excelsa
0.55934143,1.0,Ailanthus excelsa
0.624609,1.0,Ailanthus excelsa
0.6052802,0.0,Ailanthus excelsa
0.46164262,0.0,Ailanthus excelsa
0.36671162,0.0,Ailanthus excelsa
0.57649416,0.0,Ailanthus excelsa
0.39215514,0.0,Ailanthus excelsa
0.18333307,0.0,Ailanthus excelsa
0.47126922,0.0,Ailanthus excelsa
0.46769994,0.0,Ailanthus excelsa
0.42216238,0.0,Ailanthus excelsa
0.5021932,1.0,Ailanthus excelsa
0.5925454,0.0,Ailanthus excelsa
0.55934083,1.0,Ailanthus excelsa
0.5741401,0.0,Ailanthus excelsa
0.47949886,0.0,Ailanthus excelsa
0.632688,1.0,Ailanthus excelsa
0.5841007,0.0,Ailanthus excelsa
0.47773206,0.0,Ailanthus excelsa
0.62329894,0.0,Ailanthus excelsa
0.5398523,0.0,Ailanthus excelsa
0.61493105,0.0,Ailanthus excelsa
0.62958074,0.0,Ailanthus excelsa
0.057572808,0.0,Ailanthus excelsa
0.5107547,0.0,Ailanthus excelsa
0.6246058,0.0,Ailanthus excelsa
0.58863825,0.0,Ailanthus excelsa
0.67455935,1.0,Ailanthus excelsa
0.5971641,0.0,Ailanthus excelsa
0.50902325,0.0,Ailanthus excelsa
0.61448556,0.0,Ailanthus excelsa
0.58753103,0.0,Ailanthus excelsa
0.43329498,0.0,Ailanthus excelsa
0.5996439,0.0,Ailanthus excelsa
0.6578943,1.0,Ailanthus excelsa
0.5479882,0.0,Ailanthus excelsa
0.5497588,0.0,Ailanthus excelsa
0.53022164,0.0,Ailanthus excelsa
0.2497616,0.0,Ailanthus excelsa
0.3976105,0.0,Ailanthus excelsa
0.34261447,0.0,Ailanthus excelsa
0.60439336,0.0,Ailanthus excelsa
0.5934882,0.0,Ailanthus excelsa
0.6063031,0.0,Ailanthus excelsa
0.61007124,0.0,Ailanthus excelsa
0.5396707,0.0,Ailanthus excelsa
0.6005418,0.0,Ailanthus excelsa
0.5689254,0.0,Ailanthus excelsa
0.53937835,0.0,Ailanthus excelsa
0.6295843,1.0,Ailanthus excelsa
0.33445445,0.0,Ailanthus excelsa
0.33055133,0.0,Ailanthus excelsa
0.5839412,0.0,Ailanthus excelsa
0.61175174,0.0,Ailanthus excelsa
0.38888207,0.0,Ailanthus excelsa
0.24605179,0.0,Ailanthus excelsa
0.53286254,0.0,Ailanthus excelsa
0.5412653,0.0,Ailanthus excelsa
0.4704888,0.0,Ailanthus excelsa
0.6066007,0.0,Ailanthus excelsa
0.6431163,0.0,Ailanthus excelsa
0.17215458,0.0,Ailanthus excelsa
0.56584495,0.0,Ailanthus excelsa
0.5464297,0.0,Ailanthus excelsa
0.4399646,0.0,Ailanthus excelsa
0.5049937,0.0,Ailanthus excelsa
0.4314916,0.0,Ailanthus excelsa
0.4917402,0.0,Ailanthus excelsa
0.611979,1.0,Ailanthus excelsa
0.5127815,0.0,Ailanthus excelsa
0.62881637,0.0,Ailanthus excelsa
0.23435912,0.0,Ailanthus excelsa
0.56820196,0.0,Ailanthus excelsa
0.47975433,0.0,Ailanthus excelsa
0.5886136,0.0,Ailanthus excelsa
0.3385675,0.0,Ailanthus excelsa
0.28112352,0.0,Ailanthus excelsa
0.38918823,0.0,Ailanthus excelsa
0.5463464,0.0,Ailanthus excelsa
0.5602616,1.0,Ailanthus excelsa
0.31868672,0.0,Ailanthus excelsa
0.58572847,0.0,Ailanthus excelsa
0.57433754,0.0,Ailanthus excelsa
0.41934597,0.0,Ailanthus excelsa
0.5868733,0.0,Ailanthus excelsa
0.50626683,0.0,Ailanthus excelsa
0.48108003,0.0,Ailanthus excelsa
0.5122089,0.0,Ailanthus excelsa
0.55094516,0.0,Ailanthus excelsa
0.6681253,0.0,Ailanthus excelsa
0.46744817,0.0,Ailanthus excelsa
0.49949297,0.0,Ailanthus excelsa
0.5653696,1.0,Ailanthus excelsa
0.56700975,0.0,Ailanthus excelsa
0.61152583,0.0,Ailanthus excelsa
0.6141615,0.0,Ailanthus excelsa
0.5226994,0.0,Ailanthus excelsa
0.34111246,0.0,Ailanthus excelsa
0.33610272,0.0,Ailanthus excelsa
0.5479082,0.0,Ailanthus excelsa
0.56416065,0.0,Ailanthus excelsa
0.4210901,0.0,Ailanthus excelsa
0.54355276,1.0,Ailanthus excelsa
0.55675656,0.0,Ailanthus excelsa
0.61032206,0.0,Ailanthus excelsa
0.4613196,0.0,Ailanthus excelsa
0.5721702,0.0,Ailanthus excelsa
0.58153164,0.0,Ailanthus excelsa
0.2540219,0.0,Ailanthus excelsa
0.37880015,0.0,Ailanthus excelsa
0.5661695,0.0,Ailanthus excelsa
0.5884119,0.0,Ailanthus excelsa
0.30894783,0.0,Ailanthus excelsa
0.5843963,1.0,Ailanthus excelsa
0.6095596,0.0,Ailanthus excelsa
0.6338161,0.0,Ailanthus excelsa
0.57076925,0.0,Ailanthus excelsa
0.54085124,0.0,Ailanthus excelsa
0.6032847,0.0,Ailanthus excelsa
0.580012,0.0,Ailanthus excelsa
0.607787,0.0,Ailanthus excelsa
0.50542754,0.0,Ailanthus excelsa
0.6629163,0.0,Ailanthus excelsa
0.5351954,0.0,Ailanthus excelsa
0.075714946,0.0,Ailanthus excelsa
0.58367246,0.0,Ailanthus excelsa
0.4539746,0.0,Ailanthus excelsa
0.515497,0.0,Ailanthus excelsa
0.5721417,1.0,Ailanthus excelsa
0.5965991,0.0,Ailanthus excelsa
0.56411105,0.0,Ailanthus excelsa
0.6460465,1.0,Ailanthus excelsa
0.5912339,0.0,Ailanthus excelsa
0.6229919,1.0,Ailanthus excelsa
0.50146,0.0,Ailanthus excelsa
0.6276255,0.0,Ailanthus excelsa
0.5506209,1.0,Ailanthus excelsa
0.3869839,0.0,Ailanthus excelsa
0.62976587,0.0,Ailanthus excelsa
0.6937217,0.0,Ailanthus excelsa
0.5153563,0.0,Ailanthus excelsa
0.64266014,0.0,Ailanthus excelsa
0.63254374,0.0,Ailanthus excelsa
0.6218216,1.0,Ailanthus excelsa
0.4902712,0.0,Ailanthus excelsa
0.6264502,1.0,Ailanthus excelsa
0.5188891,0.0,Ailanthus excelsa
0.5453314,0.0,Ailanthus excelsa
0.50564194,1.0,Ailanthus excelsa
0.5398262,0.0,Ailanthus excelsa
0.47539425,0.0,Ailanthus excelsa
0.5313578,0.0,Ailanthus excelsa
0.5550839,0.0,Ailanthus excelsa
0.52920926,0.0,Ailanthus excelsa
0.3715166,0.0,Ailanthus excelsa
0.5769596,0.0,Ailanthus excelsa
0.61112475,1.0,Ailanthus excelsa
0.399533,0.0,Ailanthus excelsa
0.62411886,0.0,Ailanthus excelsa
0.42775285,0.0,Ailanthus excelsa
0.62440956,0.0,Ailanthus excelsa
0.3936453,0.0,Ailanthus excelsa
0.31090525,0.0,Ailanthus excelsa
0.65285915,0.0,Ailanthus excelsa
0.5879221,0.0,Ailanthus excelsa
0.47775033,0.0,Ailanthus excelsa
0.49019495,0.0,Ailanthus excelsa
0.61145264,0.0,Ailanthus excelsa
0.60401154,0.0,Ailanthus excelsa
0.58819956,0.0,Ailanthus excelsa
0.5788634,0.0,Ailanthus excelsa
0.5241418,0.0,Ailanthus excelsa
0.6236976,0.0,Ailanthus excelsa
0.32276767,0.0,Ailanthus excelsa
0.59802186,0.0,Ailanthus excelsa
0.5141177,0.0,Ailanthus excelsa
0.56872845,0.0,Ailanthus excelsa
0.6332103,0.0,Ailanthus excelsa
0.67761606,0.0,Ailanthus excelsa
0.5935909,0.0,Ailanthus excelsa
0.5515378,0.0,Ailanthus excelsa
0.56396836,0.0,Ailanthus excelsa
0.62559485,0.0,Ailanthus excelsa
0.5719272,0.0,Ailanthus excelsa
0.5516944,0.0,Ailanthus excelsa
0.14541198,0.0,Ailanthus excelsa
0.40500146,0.0,Ailanthus excelsa
0.6082189,0.0,Ailanthus excelsa
0.0004735818,0.0,Ailanthus excelsa
0.37181732,0.0,Ailanthus excelsa
0.5606297,1.0,Ailanthus excelsa
0.29957202,0.0,Ailanthus excelsa
0.5592532,0.0,Ailanthus excelsa
0.62708455,0.0,Ailanthus excelsa
0.58849794,0.0,Ailanthus excelsa
0.44773117,0.0,Ailanthus excelsa
0.5735754,0.0,Ailanthus excelsa
0.5406049,0.0,Ailanthus excelsa
0.46897373,0.0,Ailanthus excelsa
0.5680318,0.0,Ailanthus excelsa
0.35251957,0.0,Ailanthus excelsa
0.22948968,0.0,Ailanthus excelsa
0.37405443,1.0,Ailanthus excelsa
0.46631524,0.0,Ailanthus excelsa
0.30887023,0.0,Ailanthus excelsa
0.54678756,0.0,Ailanthus excelsa
0.5121999,1.0,Ailanthus excelsa
0.5713781,0.0,Ailanthus excelsa
0.4398761,0.0,Ailanthus excelsa
0.56734776,0.0,Ailanthus excelsa
0.62813795,0.0,Ailanthus excelsa
0.5922692,1.0,Ailanthus excelsa
0.64501405,0.0,Ailanthus excelsa
0.59426373,0.0,Ailanthus excelsa
0.3736045,0.0,Ailanthus excelsa
0.62267816,0.0,Ailanthus excelsa
0.4093182,0.0,Ailanthus excelsa
0.38750845,0.0,Ailanthus excelsa
0.48968312,0.0,Ailanthus excelsa
0.49584344,0.0,Ailanthus excelsa
0.5938482,0.0,Ailanthus excelsa
0.47425333,0.0,Ailanthus excelsa
0.47238836,0.0,Ailanthus excelsa
0.5223708,0.0,Ailanthus excelsa
0.522729,0.0,Ailanthus excelsa
0.59895974,0.0,Ailanthus excelsa
0.62256247,0.0,Ailanthus excelsa
0.2320928,0.0,Ailanthus excelsa
0.49501288,0.0,Ailanthus excelsa
0.6107181,0.0,Ailanthus excelsa
0.5610942,1.0,Ailanthus excelsa
0.5630273,0.0,Ailanthus excelsa
0.3803456,0.0,Ailanthus excelsa
0.5811476,0.0,Ailanthus excelsa
0.6311493,0.0,Ailanthus excelsa
0.5636155,0.0,Ailanthus excelsa
0.6567195,0.0,Ailanthus excelsa
0.60296357,0.0,Ailanthus excelsa
0.5913028,0.0,Ailanthus excelsa
0.39354932,0.0,Ailanthus excelsa
0.5816342,0.0,Ailanthus excelsa
0.25930828,0.0,Ailanthus excelsa
0.6819779,0.0,Ailanthus excelsa
0.34805977,0.0,Ailanthus excelsa
0.5829531,0.0,Ailanthus excelsa
0.51698786,1.0,Ailanthus excelsa
0.56640947,0.0,Ailanthus excelsa
0.6164914,1.0,Ailanthus excelsa
0.3670108,0.0,Ailanthus excelsa
0.5599366,0.0,Ailanthus excelsa
0.19517334,0.0,Ailanthus excelsa
0.6559733,1.0,Ailanthus excelsa
0.5658526,0.0,Ailanthus excelsa
0.60896516,1.0,Ailanthus excelsa
0.23984161,0.0,Ailanthus excelsa
0.389491,0.0,Ailanthus excelsa
0.6610781,0.0,Ailanthus excelsa
0.36453927,0.0,Ailanthus excelsa
0.54590714,0.0,Ailanthus excelsa
0.4624455,0.0,Ailanthus excelsa
0.7154327,0.0,Ailanthus excelsa
0.58842885,0.0,Ailanthus excelsa
0.46953914,0.0,Ailanthus excelsa
0.5867535,0.0,Ailanthus excelsa
0.43505993,0.0,Ailanthus excelsa
0.46986833,0.0,Ailanthus excelsa
0.41730937,0.0,Ailanthus excelsa
0.56090456,0.0,Ailanthus excelsa
0.44236985,0.0,Ailanthus excelsa
0.5645447,0.0,Ailanthus excelsa
0.5314528,0.0,Ailanthus excelsa
0.42932096,0.0,Ailanthus excelsa
0.59389323,0.0,Ailanthus excelsa
0.5577212,0.0,Ailanthus excelsa
0.5316545,0.0,Ailanthus excelsa
0.61804867,0.0,Ailanthus excelsa
0.5778163,0.0,Ailanthus excelsa
0.33687153,0.0,Ailanthus excelsa
0.63172287,0.0,Ailanthus excelsa
0.63863105,1.0,Ailanthus excelsa
0.29520008,0.0,Ailanthus excelsa
0.5061317,0.0,Ailanthus excelsa
0.6391681,0.0,Ailanthus excelsa
0.48339707,0.0,Ailanthus excelsa
0.6413955,1.0,Ailanthus excelsa
0.5032575,0.0,Ailanthus excelsa
0.5856418,0.0,Ailanthus excelsa
0.13502069,0.0,Ailanthus excelsa
0.5801282,0.0,Ailanthus excelsa
0.63260186,0.0,Ailanthus excelsa
0.38077828,0.0,Ailanthus excelsa
0.5511395,0.0,Ailanthus excelsa
0.47640264,0.0,Ailanthus excelsa
0.4995774,0.0,Ailanthus excelsa
0.5491157,0.0,Ailanthus excelsa
0.17590514,0.0,Ailanthus excelsa
0.2574916,0.0,Ailanthus excelsa
0.6052835,0.0,Ailanthus excelsa
0.5813732,0.0,Ailanthus excelsa
0.6259669,1.0,Ailanthus excelsa
0.57286674,0.0,Ailanthus excelsa
0.43426436,0.0,Ailanthus excelsa
0.55376047,0.0,Ailanthus excelsa
0.23557748,0.0,Ailanthus excelsa
0.46169385,0.0,Ailanthus excelsa
0.56198263,0.0,Ailanthus excelsa
0.58830905,1.0,Ailanthus excelsa
0.5464297,1.0,Ailanthus excelsa
0.43546522,0.0,Ailanthus excelsa
0.44320038,0.0,Ailanthus excelsa
0.61740756,0.0,Ailanthus excelsa
0.43061706,0.0,Ailanthus excelsa
0.38607335,0.0,Ailanthus excelsa
0.6114292,0.0,Ailanthus excelsa
0.55875856,0.0,Ailanthus excelsa
0.5981164,1.0,Ailanthus excelsa
0.63462174,0.0,Ailanthus excelsa
0.45484856,0.0,Ailanthus excelsa
0.633367,0.0,Ailanthus excelsa
0.2686877,0.0,Ailanthus excelsa
0.23958871,0.0,Ailanthus excelsa
0.52826613,0.0,Ailanthus excelsa
0.4713835,0.0,Ailanthus excelsa
0.6022894,0.0,Ailanthus excelsa
0.43807733,0.0,Ailanthus excelsa
0.5922812,0.0,Ailanthus excelsa
0.5787339,0.0,Ailanthus excelsa
0.47365093,0.0,Ailanthus excelsa
0.61539835,0.0,Ailanthus excelsa
