probability,true_label,species
0.7637602,0.0,Prosopis cineraria
0.3083252,0.0,Prosopis cineraria
0.30816722,0.0,Prosopis cineraria
0.153196,0.0,Prosopis cineraria
0.44182518,0.0,Prosopis cineraria
0.30251715,0.0,Prosopis cineraria
0.03665088,0.0,Prosopis cineraria
0.16173065,0.0,Prosopis cineraria
0.15963218,0.0,Prosopis cineraria
0.7040234,0.0,Prosopis cineraria
0.54582036,0.0,Prosopis cineraria
0.49900872,0.0,Prosopis cineraria
0.62635434,0.0,Prosopis cineraria
0.30981752,0.0,Prosopis cineraria
0.05179365,0.0,Prosopis cineraria
0.20596412,0.0,Prosopis cineraria
0.5876918,0.0,Prosopis cineraria
0.04896258,0.0,Prosopis cineraria
0.16561535,0.0,Prosopis cineraria
0.4907208,1.0,Prosopis cineraria
0.3842264,0.0,Prosopis cineraria
0.3917454,0.0,Prosopis cineraria
0.3152813,0.0,Prosopis cineraria
0.7635866,0.0,Prosopis cineraria
0.28663665,0.0,Prosopis cineraria
0.24431682,0.0,Prosopis cineraria
0.49890673,0.0,Prosopis cineraria
0.63164026,0.0,Prosopis cineraria
0.13407001,0.0,Prosopis cineraria
0.33975744,0.0,Prosopis cineraria
0.4212604,0.0,Prosopis cineraria
0.034299374,0.0,Prosopis cineraria
0.52731746,0.0,Prosopis cineraria
0.18291341,0.0,Prosopis cineraria
0.5761326,0.0,Prosopis cineraria
0.5516346,0.0,Prosopis cineraria
0.39365715,0.0,Prosopis cineraria
0.34347084,0.0,Prosopis cineraria
0.5149771,0.0,Prosopis cineraria
0.44174284,0.0,Prosopis cineraria
0.28368837,0.0,Prosopis cineraria
0.51448065,0.0,Prosopis cineraria
0.037320692,0.0,Prosopis cineraria
0.19004706,0.0,Prosopis cineraria
0.36274555,0.0,Prosopis cineraria
0.45467627,0.0,Prosopis cineraria
0.6904257,0.0,Prosopis cineraria
0.2330964,0.0,Prosopis cineraria
0.10373652,0.0,Prosopis cineraria
0.50702417,0.0,Prosopis cineraria
0.31767708,0.0,Prosopis cineraria
0.27529526,0.0,Prosopis cineraria
0.45237496,0.0,Prosopis cineraria
0.59303415,0.0,Prosopis cineraria
0.29079798,0.0,Prosopis cineraria
0.42082638,0.0,Prosopis cineraria
0.6879554,0.0,Prosopis cineraria
0.36025777,0.0,Prosopis cineraria
0.30225265,0.0,Prosopis cineraria
0.48919475,0.0,Prosopis cineraria
0.10302967,0.0,Prosopis cineraria
0.5634482,0.0,Prosopis cineraria
0.24241029,0.0,Prosopis cineraria
0.7258921,0.0,Prosopis cineraria
0.8834137,0.0,Prosopis cineraria
0.58876836,0.0,Prosopis cineraria
0.3996929,0.0,Prosopis cineraria
0.04240871,0.0,Prosopis cineraria
0.72937834,0.0,Prosopis cineraria
