probability,true_label,species
0.39351064,0.0,Prosopis cineraria
0.23558132,0.0,Prosopis cineraria
0.36057955,0.0,Prosopis cineraria
0.43085414,0.0,Prosopis cineraria
0.6122943,0.0,Prosopis cineraria
0.24321477,0.0,Prosopis cineraria
0.23,0.0,Prosopis cineraria
0.438684,0.0,Prosopis cineraria
0.31332922,0.0,Prosopis cineraria
0.52381235,0.0,Prosopis cineraria
0.3486609,0.0,Prosopis cineraria
0.5164147,0.0,Prosopis cineraria
0.5183441,0.0,Prosopis cineraria
0.119032435,0.0,Prosopis cineraria
0.33479252,0.0,Prosopis cineraria
0.3621105,0.0,Prosopis cineraria
0.6664799,0.0,Prosopis cineraria
0.19795805,1.0,Prosopis cineraria
0.58246875,1.0,Prosopis cineraria
0.5147828,0.0,Prosopis cineraria
0.4081576,0.0,Prosopis cineraria
0.10933332,0.0,Prosopis cineraria
0.48905113,0.0,Prosopis cineraria
0.32863173,0.0,Prosopis cineraria
0.20185547,0.0,Prosopis cineraria
0.37125075,0.0,Prosopis cineraria
0.516744,1.0,Prosopis cineraria
0.43205833,0.0,Prosopis cineraria
0.26296598,0.0,Prosopis cineraria
0.7250724,0.0,Prosopis cineraria
0.3519074,0.0,Prosopis cineraria
0.4044638,1.0,Prosopis cineraria
0.49223375,0.0,Prosopis cineraria
0.4013158,0.0,Prosopis cineraria
0.5365046,1.0,Prosopis cineraria
0.60257536,0.0,Prosopis cineraria
0.51296204,0.0,Prosopis cineraria
0.46803942,1.0,Prosopis cineraria
0.4808334,0.0,Prosopis cineraria
0.30881816,0.0,Prosopis cineraria
0.47741276,0.0,Prosopis cineraria
0.5381099,0.0,Prosopis cineraria
0.3485003,0.0,Prosopis cineraria
0.3377437,0.0,Prosopis cineraria
0.5911365,0.0,Prosopis cineraria
0.5033094,0.0,Prosopis cineraria
0.46631387,1.0,Prosopis cineraria
0.17387526,0.0,Prosopis cineraria
0.20275532,0.0,Prosopis cineraria
0.1168435,0.0,Prosopis cineraria
0.46720782,0.0,Prosopis cineraria
0.23451859,0.0,Prosopis cineraria
0.6197439,0.0,Prosopis cineraria
0.3073033,0.0,Prosopis cineraria
0.3935097,0.0,Prosopis cineraria
0.29402906,0.0,Prosopis cineraria
0.4982452,0.0,Prosopis cineraria
0.3412791,0.0,Prosopis cineraria
0.5413725,0.0,Prosopis cineraria
0.7124827,1.0,Prosopis cineraria
0.55752623,0.0,Prosopis cineraria
0.17153387,0.0,Prosopis cineraria
0.05587773,0.0,Prosopis cineraria
0.43279302,0.0,Prosopis cineraria
0.4838667,0.0,Prosopis cineraria
0.16652465,0.0,Prosopis cineraria
0.40777987,0.0,Prosopis cineraria
0.4495523,0.0,Prosopis cineraria
0.32537612,1.0,Prosopis cineraria
0.46593893,0.0,Prosopis cineraria
0.5864562,1.0,Prosopis cineraria
0.44596022,0.0,Prosopis cineraria
0.47654662,0.0,Prosopis cineraria
0.48068595,0.0,Prosopis cineraria
0.3929883,0.0,Prosopis cineraria
0.2919934,0.0,Prosopis cineraria
0.32028487,0.0,Prosopis cineraria
0.4977496,0.0,Prosopis cineraria
0.33870056,0.0,Prosopis cineraria
0.2107116,0.0,Prosopis cineraria
0.3916392,0.0,Prosopis cineraria
0.6702979,0.0,Prosopis cineraria
0.5426054,0.0,Prosopis cineraria
0.32516062,0.0,Prosopis cineraria
0.43973628,0.0,Prosopis cineraria
0.52809596,0.0,Prosopis cineraria
0.15692317,0.0,Prosopis cineraria
0.41422427,0.0,Prosopis cineraria
0.70974165,1.0,Prosopis cineraria
0.4354782,1.0,Prosopis cineraria
0.34700042,0.0,Prosopis cineraria
0.4070919,0.0,Prosopis cineraria
0.13263854,0.0,Prosopis cineraria
0.32264283,0.0,Prosopis cineraria
0.7408629,1.0,Prosopis cineraria
0.22258715,0.0,Prosopis cineraria
0.30810487,0.0,Prosopis cineraria
0.77407396,0.0,Prosopis cineraria
0.35804337,0.0,Prosopis cineraria
0.6519976,0.0,Prosopis cineraria
0.5330257,0.0,Prosopis cineraria
0.26622957,0.0,Prosopis cineraria
0.58577317,0.0,Prosopis cineraria
0.28828824,0.0,Prosopis cineraria
0.39601484,0.0,Prosopis cineraria
0.53766835,0.0,Prosopis cineraria
0.46800956,0.0,Prosopis cineraria
0.43180245,0.0,Prosopis cineraria
0.45720485,0.0,Prosopis cineraria
0.3964659,0.0,Prosopis cineraria
0.7261299,0.0,Prosopis cineraria
0.49527422,0.0,Prosopis cineraria
0.3453576,0.0,Prosopis cineraria
0.11180963,0.0,Prosopis cineraria
0.6130136,0.0,Prosopis cineraria
0.72037035,0.0,Prosopis cineraria
0.11172588,0.0,Prosopis cineraria
0.15545918,0.0,Prosopis cineraria
0.5366947,0.0,Prosopis cineraria
0.2515048,0.0,Prosopis cineraria
0.43363705,0.0,Prosopis cineraria
0.24431226,0.0,Prosopis cineraria
0.65244263,0.0,Prosopis cineraria
0.108100004,0.0,Prosopis cineraria
0.12896971,0.0,Prosopis cineraria
0.3196625,0.0,Prosopis cineraria
0.5238036,0.0,Prosopis cineraria
0.5375584,0.0,Prosopis cineraria
0.5745761,0.0,Prosopis cineraria
0.43878475,1.0,Prosopis cineraria
0.0897007,0.0,Prosopis cineraria
0.08293541,0.0,Prosopis cineraria
0.59871954,1.0,Prosopis cineraria
0.80376965,0.0,Prosopis cineraria
0.5911365,0.0,Prosopis cineraria
0.33842674,0.0,Prosopis cineraria
0.69442576,0.0,Prosopis cineraria
0.2815906,0.0,Prosopis cineraria
0.45706698,0.0,Prosopis cineraria
0.4633266,0.0,Prosopis cineraria
0.27395013,0.0,Prosopis cineraria
0.55380905,0.0,Prosopis cineraria
0.46841174,0.0,Prosopis cineraria
0.40150073,0.0,Prosopis cineraria
0.24403355,0.0,Prosopis cineraria
0.6479232,1.0,Prosopis cineraria
0.40505534,0.0,Prosopis cineraria
0.31164375,0.0,Prosopis cineraria
0.18554036,0.0,Prosopis cineraria
0.29659158,0.0,Prosopis cineraria
0.47741276,0.0,Prosopis cineraria
0.4004588,0.0,Prosopis cineraria
0.31596684,0.0,Prosopis cineraria
0.37908122,0.0,Prosopis cineraria
0.13912372,0.0,Prosopis cineraria
0.22502725,0.0,Prosopis cineraria
0.14059836,0.0,Prosopis cineraria
0.6456752,0.0,Prosopis cineraria
0.42763945,0.0,Prosopis cineraria
0.3326478,0.0,Prosopis cineraria
0.5022557,1.0,Prosopis cineraria
0.64483666,0.0,Prosopis cineraria
0.51198137,1.0,Prosopis cineraria
0.40348884,0.0,Prosopis cineraria
0.28243133,0.0,Prosopis cineraria
0.42354113,0.0,Prosopis cineraria
0.4732154,0.0,Prosopis cineraria
0.3346564,0.0,Prosopis cineraria
0.28744873,0.0,Prosopis cineraria
0.40464726,1.0,Prosopis cineraria
0.21295886,0.0,Prosopis cineraria
0.17235701,0.0,Prosopis cineraria
0.6313336,1.0,Prosopis cineraria
0.14904857,0.0,Prosopis cineraria
0.12526467,0.0,Prosopis cineraria
0.2855411,0.0,Prosopis cineraria
0.44062096,0.0,Prosopis cineraria
0.49268496,0.0,Prosopis cineraria
0.4687319,0.0,Prosopis cineraria
0.17077191,0.0,Prosopis cineraria
0.4649395,0.0,Prosopis cineraria
0.42672205,1.0,Prosopis cineraria
0.5230506,0.0,Prosopis cineraria
0.32188177,0.0,Prosopis cineraria
0.7353307,0.0,Prosopis cineraria
0.40061852,0.0,Prosopis cineraria
0.2712927,0.0,Prosopis cineraria
0.30593988,0.0,Prosopis cineraria
0.5613723,0.0,Prosopis cineraria
0.30235678,0.0,Prosopis cineraria
0.46441096,0.0,Prosopis cineraria
0.67186904,1.0,Prosopis cineraria
0.739269,0.0,Prosopis cineraria
0.3824265,1.0,Prosopis cineraria
0.25592065,0.0,Prosopis cineraria
0.43422815,1.0,Prosopis cineraria
0.11872765,0.0,Prosopis cineraria
0.5342197,1.0,Prosopis cineraria
0.17781262,0.0,Prosopis cineraria
0.70333475,0.0,Prosopis cineraria
0.1376415,0.0,Prosopis cineraria
0.27488178,0.0,Prosopis cineraria
0.30918452,0.0,Prosopis cineraria
0.22545563,0.0,Prosopis cineraria
0.38901517,1.0,Prosopis cineraria
0.6443473,1.0,Prosopis cineraria
0.6111728,1.0,Prosopis cineraria
0.14147918,0.0,Prosopis cineraria
0.663975,0.0,Prosopis cineraria
0.565771,0.0,Prosopis cineraria
0.51696205,1.0,Prosopis cineraria
0.33415166,0.0,Prosopis cineraria
0.6461193,1.0,Prosopis cineraria
0.369999,0.0,Prosopis cineraria
0.5536013,0.0,Prosopis cineraria
0.2842512,0.0,Prosopis cineraria
0.35515893,0.0,Prosopis cineraria
0.44419855,0.0,Prosopis cineraria
0.70762235,1.0,Prosopis cineraria
0.5916371,0.0,Prosopis cineraria
0.71617365,1.0,Prosopis cineraria
0.4651075,0.0,Prosopis cineraria
0.2943278,0.0,Prosopis cineraria
0.46536687,0.0,Prosopis cineraria
0.15557796,0.0,Prosopis cineraria
0.28251445,1.0,Prosopis cineraria
0.39671722,0.0,Prosopis cineraria
0.06796904,0.0,Prosopis cineraria
0.41221276,0.0,Prosopis cineraria
0.15051568,0.0,Prosopis cineraria
0.44537902,0.0,Prosopis cineraria
0.2905356,1.0,Prosopis cineraria
0.11460694,0.0,Prosopis cineraria
0.64013594,0.0,Prosopis cineraria
0.2654199,0.0,Prosopis cineraria
0.19088031,0.0,Prosopis cineraria
0.5660775,0.0,Prosopis cineraria
0.49331927,0.0,Prosopis cineraria
0.627846,1.0,Prosopis cineraria
0.7179539,0.0,Prosopis cineraria
0.5066389,0.0,Prosopis cineraria
0.34651256,0.0,Prosopis cineraria
0.584983,0.0,Prosopis cineraria
0.33263412,0.0,Prosopis cineraria
0.41659555,0.0,Prosopis cineraria
0.1491977,0.0,Prosopis cineraria
0.19674282,0.0,Prosopis cineraria
0.49534136,0.0,Prosopis cineraria
0.21647681,0.0,Prosopis cineraria
0.3027125,0.0,Prosopis cineraria
0.6130355,1.0,Prosopis cineraria
0.73442566,1.0,Prosopis cineraria
0.43844938,0.0,Prosopis cineraria
0.26964214,0.0,Prosopis cineraria
0.48081052,0.0,Prosopis cineraria
0.19291262,0.0,Prosopis cineraria
0.6435364,1.0,Prosopis cineraria
0.6634578,0.0,Prosopis cineraria
0.58705664,0.0,Prosopis cineraria
0.45150146,0.0,Prosopis cineraria
0.36144975,0.0,Prosopis cineraria
0.4480822,0.0,Prosopis cineraria
0.14390214,0.0,Prosopis cineraria
0.436159,0.0,Prosopis cineraria
0.28378704,0.0,Prosopis cineraria
0.40731546,0.0,Prosopis cineraria
0.36784568,0.0,Prosopis cineraria
0.23699214,1.0,Prosopis cineraria
0.4817919,0.0,Prosopis cineraria
0.35482937,0.0,Prosopis cineraria
0.2762229,0.0,Prosopis cineraria
0.37135532,0.0,Prosopis cineraria
0.4783167,0.0,Prosopis cineraria
0.4833005,0.0,Prosopis cineraria
0.29259014,0.0,Prosopis cineraria
0.5995335,0.0,Prosopis cineraria
0.08641935,0.0,Prosopis cineraria
0.50202584,0.0,Prosopis cineraria
0.28129652,0.0,Prosopis cineraria
0.14040095,0.0,Prosopis cineraria
0.5143614,0.0,Prosopis cineraria
0.46022463,0.0,Prosopis cineraria
0.39856282,0.0,Prosopis cineraria
0.6159168,0.0,Prosopis cineraria
0.07348436,0.0,Prosopis cineraria
0.6265746,0.0,Prosopis cineraria
0.29543108,0.0,Prosopis cineraria
0.39400575,0.0,Prosopis cineraria
0.53615344,0.0,Prosopis cineraria
0.5401826,0.0,Prosopis cineraria
0.76240724,0.0,Prosopis cineraria
0.3820855,0.0,Prosopis cineraria
0.50652784,0.0,Prosopis cineraria
0.5733531,1.0,Prosopis cineraria
0.27770776,0.0,Prosopis cineraria
0.39222747,0.0,Prosopis cineraria
0.39854276,0.0,Prosopis cineraria
0.55873036,0.0,Prosopis cineraria
0.3784938,0.0,Prosopis cineraria
0.6437154,0.0,Prosopis cineraria
0.38300213,0.0,Prosopis cineraria
0.48069265,0.0,Prosopis cineraria
0.07670409,0.0,Prosopis cineraria
0.14180578,0.0,Prosopis cineraria
0.4721546,0.0,Prosopis cineraria
0.14604574,0.0,Prosopis cineraria
0.5114811,0.0,Prosopis cineraria
0.42360848,0.0,Prosopis cineraria
0.27018952,0.0,Prosopis cineraria
0.31400415,0.0,Prosopis cineraria
0.55024797,0.0,Prosopis cineraria
0.3146426,0.0,Prosopis cineraria
0.43446308,0.0,Prosopis cineraria
0.26061025,0.0,Prosopis cineraria
0.19190411,0.0,Prosopis cineraria
0.2783621,0.0,Prosopis cineraria
0.23840801,0.0,Prosopis cineraria
0.3775347,0.0,Prosopis cineraria
0.20398603,0.0,Prosopis cineraria
0.72367615,0.0,Prosopis cineraria
0.60627985,0.0,Prosopis cineraria
0.43401566,0.0,Prosopis cineraria
