probability,true_label,species
0.81363946,1.0,Ailanthus excelsa
0.30258068,0.0,Ailanthus excelsa
0.44891715,0.0,Ailanthus excelsa
0.77533567,0.0,Ailanthus excelsa
0.42493877,0.0,Ailanthus excelsa
0.6467537,0.0,Ailanthus excelsa
0.5803235,0.0,Ailanthus excelsa
0.6025911,0.0,Ailanthus excelsa
0.7196541,0.0,Ailanthus excelsa
0.37615094,0.0,Ailanthus excelsa
0.019724078,0.0,Ailanthus excelsa
0.41191885,0.0,Ailanthus excelsa
0.83328134,0.0,Ailanthus excelsa
0.2193893,0.0,Ailanthus excelsa
0.4140118,0.0,Ailanthus excelsa
0.5625705,0.0,Ailanthus excelsa
0.19103731,0.0,Ailanthus excelsa
0.11987847,0.0,Ailanthus excelsa
0.7162308,0.0,Ailanthus excelsa
0.81347835,1.0,Ailanthus excelsa
0.51474977,0.0,Ailanthus excelsa
0.3496594,0.0,Ailanthus excelsa
0.8699963,1.0,Ailanthus excelsa
0.7721376,1.0,Ailanthus excelsa
0.2196738,0.0,Ailanthus excelsa
0.74476534,0.0,Ailanthus excelsa
0.55699897,0.0,Ailanthus excelsa
0.58952206,0.0,Ailanthus excelsa
0.480516,0.0,Ailanthus excelsa
0.7737307,0.0,Ailanthus excelsa
0.7917577,0.0,Ailanthus excelsa
0.07933013,0.0,Ailanthus excelsa
0.39173988,0.0,Ailanthus excelsa
0.53688204,0.0,Ailanthus excelsa
0.6948877,0.0,Ailanthus excelsa
0.55161273,0.0,Ailanthus excelsa
0.41484925,0.0,Ailanthus excelsa
0.5395311,0.0,Ailanthus excelsa
0.3181775,0.0,Ailanthus excelsa
0.13476376,0.0,Ailanthus excelsa
0.47123083,0.0,Ailanthus excelsa
0.3843388,0.0,Ailanthus excelsa
0.07191416,0.0,Ailanthus excelsa
0.7203893,0.0,Ailanthus excelsa
0.70399743,0.0,Ailanthus excelsa
0.6509777,0.0,Ailanthus excelsa
0.26280552,0.0,Ailanthus excelsa
0.79273045,1.0,Ailanthus excelsa
0.20297973,0.0,Ailanthus excelsa
0.012425991,0.0,Ailanthus excelsa
0.8266405,0.0,Ailanthus excelsa
0.20468746,0.0,Ailanthus excelsa
0.7898353,1.0,Ailanthus excelsa
0.767407,0.0,Ailanthus excelsa
0.04970668,0.0,Ailanthus excelsa
0.018292766,0.0,Ailanthus excelsa
0.66046685,0.0,Ailanthus excelsa
0.70760757,0.0,Ailanthus excelsa
0.30529353,1.0,Ailanthus excelsa
0.6842025,1.0,Ailanthus excelsa
0.5939889,0.0,Ailanthus excelsa
0.4323024,0.0,Ailanthus excelsa
