probability,true_label,species
0.5596049,0.0,Azadirachta indica
0.70955724,1.0,Azadirachta indica
0.6024465,0.0,Azadirachta indica
0.32075256,1.0,Azadirachta indica
0.66158164,0.0,Azadirachta indica
0.31852126,0.0,Azadirachta indica
0.27865174,0.0,Azadirachta indica
0.652383,1.0,Azadirachta indica
0.5967163,1.0,Azadirachta indica
0.6787438,0.0,Azadirachta indica
0.6587688,1.0,Azadirachta indica
0.13139713,0.0,Azadirachta indica
0.3442056,0.0,Azadirachta indica
0.18308267,0.0,Azadirachta indica
0.7076915,1.0,Azadirachta indica
0.07054571,0.0,Azadirachta indica
0.5542642,0.0,Azadirachta indica
0.34335595,0.0,Azadirachta indica
0.6848052,0.0,Azadirachta indica
0.75777125,1.0,Azadirachta indica
0.42911193,0.0,Azadirachta indica
0.6579781,1.0,Azadirachta indica
0.5880656,0.0,Azadirachta indica
0.12106861,0.0,Azadirachta indica
0.44904956,0.0,Azadirachta indica
0.03386676,0.0,Azadirachta indica
0.5678943,0.0,Azadirachta indica
0.19633818,0.0,Azadirachta indica
0.717371,0.0,Azadirachta indica
0.47556376,0.0,Azadirachta indica
0.40660504,0.0,Azadirachta indica
0.30524036,0.0,Azadirachta indica
0.4882591,1.0,Azadirachta indica
0.15253338,0.0,Azadirachta indica
0.57443213,0.0,Azadirachta indica
0.49286434,1.0,Azadirachta indica
0.59383374,0.0,Azadirachta indica
0.6447526,0.0,Azadirachta indica
0.26614735,1.0,Azadirachta indica
0.0847509,0.0,Azadirachta indica
0.46224552,0.0,Azadirachta indica
0.30628568,0.0,Azadirachta indica
0.36708474,0.0,Azadirachta indica
0.64185715,1.0,Azadirachta indica
0.6372416,1.0,Azadirachta indica
0.7030544,1.0,Azadirachta indica
0.24177969,0.0,Azadirachta indica
0.31794086,1.0,Azadirachta indica
0.04418018,0.0,Azadirachta indica
0.71750945,1.0,Azadirachta indica
0.5170625,1.0,Azadirachta indica
0.26550895,1.0,Azadirachta indica
0.380577,0.0,Azadirachta indica
0.08326928,0.0,Azadirachta indica
0.13163716,0.0,Azadirachta indica
0.46224552,0.0,Azadirachta indica
0.6807797,1.0,Azadirachta indica
0.14683935,0.0,Azadirachta indica
0.3303546,0.0,Azadirachta indica
0.2562087,0.0,Azadirachta indica
0.6687225,1.0,Azadirachta indica
0.5907256,0.0,Azadirachta indica
0.34621722,0.0,Azadirachta indica
0.6623847,0.0,Azadirachta indica
0.64155835,1.0,Azadirachta indica
0.2255431,0.0,Azadirachta indica
0.43828535,0.0,Azadirachta indica
0.122899935,0.0,Azadirachta indica
0.625596,1.0,Azadirachta indica
0.32892922,0.0,Azadirachta indica
0.6371128,1.0,Azadirachta indica
0.5567278,1.0,Azadirachta indica
0.67586213,1.0,Azadirachta indica
0.079739556,0.0,Azadirachta indica
0.6454375,1.0,Azadirachta indica
0.13440558,1.0,Azadirachta indica
0.50314075,1.0,Azadirachta indica
0.68039817,1.0,Azadirachta indica
0.7405768,1.0,Azadirachta indica
0.2188455,1.0,Azadirachta indica
0.61846364,0.0,Azadirachta indica
0.61765355,1.0,Azadirachta indica
0.68491673,1.0,Azadirachta indica
0.6667994,0.0,Azadirachta indica
0.576109,0.0,Azadirachta indica
0.4406569,0.0,Azadirachta indica
0.69835573,1.0,Azadirachta indica
0.5955247,1.0,Azadirachta indica
0.39425862,0.0,Azadirachta indica
0.08015764,0.0,Azadirachta indica
0.58573973,1.0,Azadirachta indica
0.6288153,1.0,Azadirachta indica
0.64865863,1.0,Azadirachta indica
0.32059696,0.0,Azadirachta indica
0.68147373,0.0,Azadirachta indica
0.6420522,0.0,Azadirachta indica
0.110227406,0.0,Azadirachta indica
0.6675079,0.0,Azadirachta indica
0.08751463,0.0,Azadirachta indica
0.60531574,0.0,Azadirachta indica
0.6964969,0.0,Azadirachta indica
0.38293406,1.0,Azadirachta indica
0.6600911,0.0,Azadirachta indica
0.55384547,0.0,Azadirachta indica
0.6868818,0.0,Azadirachta indica
0.6868818,0.0,Azadirachta indica
0.25843135,1.0,Azadirachta indica
0.13021761,0.0,Azadirachta indica
0.6067499,1.0,Azadirachta indica
0.21410386,0.0,Azadirachta indica
0.57213414,1.0,Azadirachta indica
0.15493883,1.0,Azadirachta indica
0.5025964,0.0,Azadirachta indica
0.26629835,0.0,Azadirachta indica
0.15273783,0.0,Azadirachta indica
0.63874614,0.0,Azadirachta indica
0.63874614,0.0,Azadirachta indica
0.6281825,0.0,Azadirachta indica
0.41815603,0.0,Azadirachta indica
0.06787967,0.0,Azadirachta indica
0.06787967,0.0,Azadirachta indica
0.25474706,0.0,Azadirachta indica
0.6969874,0.0,Azadirachta indica
0.5118007,0.0,Azadirachta indica
0.3442056,0.0,Azadirachta indica
0.7190269,1.0,Azadirachta indica
0.7533397,0.0,Azadirachta indica
0.7010626,1.0,Azadirachta indica
0.41533658,0.0,Azadirachta indica
0.61625606,0.0,Azadirachta indica
0.6268427,1.0,Azadirachta indica
0.33004788,1.0,Azadirachta indica
0.550925,1.0,Azadirachta indica
0.14392637,0.0,Azadirachta indica
0.6110769,1.0,Azadirachta indica
0.13582778,0.0,Azadirachta indica
0.5440329,0.0,Azadirachta indica
0.485683,0.0,Azadirachta indica
0.26662835,1.0,Azadirachta indica
0.6099277,0.0,Azadirachta indica
0.4285524,0.0,Azadirachta indica
0.7349464,1.0,Azadirachta indica
0.7349464,1.0,Azadirachta indica
0.3138016,0.0,Azadirachta indica
0.6800673,0.0,Azadirachta indica
0.7192641,0.0,Azadirachta indica
0.4324594,0.0,Azadirachta indica
0.672801,0.0,Azadirachta indica
0.6276928,0.0,Azadirachta indica
0.42320582,1.0,Azadirachta indica
0.18964826,0.0,Azadirachta indica
0.33687666,0.0,Azadirachta indica
0.68188834,1.0,Azadirachta indica
0.53584546,0.0,Azadirachta indica
0.27432427,0.0,Azadirachta indica
0.70068526,0.0,Azadirachta indica
0.64335704,1.0,Azadirachta indica
0.19825351,1.0,Azadirachta indica
0.38820562,0.0,Azadirachta indica
0.3967353,1.0,Azadirachta indica
0.57771754,1.0,Azadirachta indica
0.23043925,0.0,Azadirachta indica
0.16046716,0.0,Azadirachta indica
0.70085937,1.0,Azadirachta indica
0.21767446,0.0,Azadirachta indica
0.6970458,1.0,Azadirachta indica
0.6785929,0.0,Azadirachta indica
0.7406709,0.0,Azadirachta indica
0.6397479,0.0,Azadirachta indica
0.6071071,0.0,Azadirachta indica
0.24112467,0.0,Azadirachta indica
0.69617146,0.0,Azadirachta indica
0.41893995,1.0,Azadirachta indica
0.35165176,1.0,Azadirachta indica
0.16720384,1.0,Azadirachta indica
0.6498109,1.0,Azadirachta indica
0.63908887,1.0,Azadirachta indica
0.32155883,0.0,Azadirachta indica
0.47822213,0.0,Azadirachta indica
0.6477739,1.0,Azadirachta indica
0.6524875,1.0,Azadirachta indica
0.17080902,0.0,Azadirachta indica
0.6297282,0.0,Azadirachta indica
0.681191,0.0,Azadirachta indica
0.6899288,1.0,Azadirachta indica
0.5122213,1.0,Azadirachta indica
0.3977866,0.0,Azadirachta indica
0.16502742,0.0,Azadirachta indica
0.67090017,1.0,Azadirachta indica
0.6465253,1.0,Azadirachta indica
0.5815657,0.0,Azadirachta indica
0.6447013,1.0,Azadirachta indica
0.84040827,0.0,Azadirachta indica
0.19149025,0.0,Azadirachta indica
0.1819557,0.0,Azadirachta indica
0.7140804,1.0,Azadirachta indica
0.65219915,0.0,Azadirachta indica
0.46879193,0.0,Azadirachta indica
0.767488,1.0,Azadirachta indica
0.6911425,0.0,Azadirachta indica
0.6962589,0.0,Azadirachta indica
0.73558474,1.0,Azadirachta indica
0.77929324,1.0,Azadirachta indica
0.58916265,1.0,Azadirachta indica
0.7524143,0.0,Azadirachta indica
0.07820622,0.0,Azadirachta indica
0.07820622,0.0,Azadirachta indica
0.56014633,0.0,Azadirachta indica
0.10808125,0.0,Azadirachta indica
0.611868,0.0,Azadirachta indica
0.50953525,0.0,Azadirachta indica
0.37500975,0.0,Azadirachta indica
0.19094656,0.0,Azadirachta indica
0.4931426,0.0,Azadirachta indica
0.41164908,0.0,Azadirachta indica
0.5437622,1.0,Azadirachta indica
0.39727893,1.0,Azadirachta indica
0.43541515,0.0,Azadirachta indica
0.15656804,0.0,Azadirachta indica
0.68420494,0.0,Azadirachta indica
0.26658803,0.0,Azadirachta indica
0.059146024,0.0,Azadirachta indica
0.15159102,0.0,Azadirachta indica
0.5757514,0.0,Azadirachta indica
0.07288951,0.0,Azadirachta indica
0.32275802,0.0,Azadirachta indica
0.39440456,1.0,Azadirachta indica
0.66326773,1.0,Azadirachta indica
0.65305644,0.0,Azadirachta indica
0.15420005,0.0,Azadirachta indica
0.2338049,0.0,Azadirachta indica
0.4651633,0.0,Azadirachta indica
0.16639274,0.0,Azadirachta indica
0.1475316,0.0,Azadirachta indica
0.5264054,0.0,Azadirachta indica
0.3501475,1.0,Azadirachta indica
0.29534686,0.0,Azadirachta indica
0.50425583,1.0,Azadirachta indica
0.19953074,0.0,Azadirachta indica
0.29799005,0.0,Azadirachta indica
0.3094872,0.0,Azadirachta indica
0.12834859,0.0,Azadirachta indica
0.5201592,0.0,Azadirachta indica
0.57137483,1.0,Azadirachta indica
0.28207526,0.0,Azadirachta indica
0.3239591,0.0,Azadirachta indica
0.55713195,1.0,Azadirachta indica
0.49939895,1.0,Azadirachta indica
0.14969444,0.0,Azadirachta indica
0.6468213,1.0,Azadirachta indica
0.32665154,1.0,Azadirachta indica
0.3818996,1.0,Azadirachta indica
0.3290304,1.0,Azadirachta indica
0.3541243,0.0,Azadirachta indica
0.6545679,1.0,Azadirachta indica
0.50950027,0.0,Azadirachta indica
0.6468213,0.0,Azadirachta indica
0.26313105,0.0,Azadirachta indica
0.35352284,0.0,Azadirachta indica
0.29099864,0.0,Azadirachta indica
0.26124722,0.0,Azadirachta indica
0.22757897,0.0,Azadirachta indica
0.2701925,0.0,Azadirachta indica
0.7461172,0.0,Azadirachta indica
0.18261595,0.0,Azadirachta indica
0.5314384,0.0,Azadirachta indica
0.27950996,0.0,Azadirachta indica
0.44411767,0.0,Azadirachta indica
0.19032985,0.0,Azadirachta indica
0.23805986,1.0,Azadirachta indica
0.25466496,0.0,Azadirachta indica
0.19088857,0.0,Azadirachta indica
0.700868,1.0,Azadirachta indica
0.046271592,0.0,Azadirachta indica
0.6179095,0.0,Azadirachta indica
0.5117634,1.0,Azadirachta indica
0.16463323,0.0,Azadirachta indica
0.15948896,0.0,Azadirachta indica
0.34159192,0.0,Azadirachta indica
0.10114835,0.0,Azadirachta indica
0.48357597,1.0,Azadirachta indica
0.29164013,0.0,Azadirachta indica
0.26726362,0.0,Azadirachta indica
0.34117693,0.0,Azadirachta indica
0.6211066,1.0,Azadirachta indica
0.12512146,1.0,Azadirachta indica
0.15459749,0.0,Azadirachta indica
0.20302126,0.0,Azadirachta indica
0.093375295,0.0,Azadirachta indica
0.112116635,0.0,Azadirachta indica
0.38308996,0.0,Azadirachta indica
0.5598198,0.0,Azadirachta indica
0.25575066,0.0,Azadirachta indica
0.50274956,0.0,Azadirachta indica
0.15073092,0.0,Azadirachta indica
0.1011604,0.0,Azadirachta indica
0.6355341,0.0,Azadirachta indica
0.54266,0.0,Azadirachta indica
0.45110357,0.0,Azadirachta indica
0.10244133,0.0,Azadirachta indica
0.477897,0.0,Azadirachta indica
0.09665469,0.0,Azadirachta indica
0.20815636,0.0,Azadirachta indica
0.22428635,0.0,Azadirachta indica
0.45432237,1.0,Azadirachta indica
0.10990341,0.0,Azadirachta indica
0.1312521,0.0,Azadirachta indica
0.21577987,0.0,Azadirachta indica
0.22821634,0.0,Azadirachta indica
0.43877146,0.0,Azadirachta indica
0.05138603,0.0,Azadirachta indica
0.2276692,1.0,Azadirachta indica
0.12427909,0.0,Azadirachta indica
0.1534063,1.0,Azadirachta indica
0.48503536,0.0,Azadirachta indica
0.22623985,0.0,Azadirachta indica
0.5396786,0.0,Azadirachta indica
0.6322179,1.0,Azadirachta indica
0.65754914,0.0,Azadirachta indica
0.3060607,0.0,Azadirachta indica
0.09499583,0.0,Azadirachta indica
0.2666868,0.0,Azadirachta indica
0.14035389,0.0,Azadirachta indica
0.23234868,0.0,Azadirachta indica
0.6131376,0.0,Azadirachta indica
