probability,true_label,species
0.7140076,1.0,Vachellia nilotica
0.45099452,0.0,Vachellia nilotica
0.4685282,0.0,Vachellia nilotica
0.7257277,1.0,Vachellia nilotica
0.271282,0.0,Vachellia nilotica
0.076800205,0.0,Vachellia nilotica
0.598708,0.0,Vachellia nilotica
0.6219068,0.0,Vachellia nilotica
0.55655676,1.0,Vachellia nilotica
0.5237927,0.0,Vachellia nilotica
0.03017583,0.0,Vachellia nilotica
0.3421807,0.0,Vachellia nilotica
0.32711944,0.0,Vachellia nilotica
0.13849558,0.0,Vachellia nilotica
0.16444708,0.0,Vachellia nilotica
0.5723258,0.0,Vachellia nilotica
0.6029772,0.0,Vachellia nilotica
0.57000744,0.0,Vachellia nilotica
0.1526351,0.0,Vachellia nilotica
0.6619571,1.0,Vachellia nilotica
0.0795637,0.0,Vachellia nilotica
0.18992496,0.0,Vachellia nilotica
0.6224713,0.0,Vachellia nilotica
0.7484223,0.0,Vachellia nilotica
0.6119976,0.0,Vachellia nilotica
0.4345996,0.0,Vachellia nilotica
0.48785114,0.0,Vachellia nilotica
0.13360119,0.0,Vachellia nilotica
0.51818585,1.0,Vachellia nilotica
0.23197065,0.0,Vachellia nilotica
0.13413669,0.0,Vachellia nilotica
0.07542064,0.0,Vachellia nilotica
0.34583637,1.0,Vachellia nilotica
0.35113576,0.0,Vachellia nilotica
0.13315286,0.0,Vachellia nilotica
0.64371526,0.0,Vachellia nilotica
0.51705575,0.0,Vachellia nilotica
0.7141494,0.0,Vachellia nilotica
0.027294023,0.0,Vachellia nilotica
0.08850602,0.0,Vachellia nilotica
0.39607754,0.0,Vachellia nilotica
0.16713506,0.0,Vachellia nilotica
0.17797394,1.0,Vachellia nilotica
0.42275852,0.0,Vachellia nilotica
0.26444662,0.0,Vachellia nilotica
0.45930818,0.0,Vachellia nilotica
0.3210795,0.0,Vachellia nilotica
0.07276335,0.0,Vachellia nilotica
0.5707704,0.0,Vachellia nilotica
0.6151101,0.0,Vachellia nilotica
0.07080366,0.0,Vachellia nilotica
0.22977729,0.0,Vachellia nilotica
0.07009673,0.0,Vachellia nilotica
0.36024114,0.0,Vachellia nilotica
0.67800915,0.0,Vachellia nilotica
0.71977365,0.0,Vachellia nilotica
0.50057274,0.0,Vachellia nilotica
0.32693425,0.0,Vachellia nilotica
0.5574542,1.0,Vachellia nilotica
0.19045705,0.0,Vachellia nilotica
0.07831982,0.0,Vachellia nilotica
0.048216656,0.0,Vachellia nilotica
0.5265452,0.0,Vachellia nilotica
0.058837153,0.0,Vachellia nilotica
0.6848097,0.0,Vachellia nilotica
0.47054484,0.0,Vachellia nilotica
0.050134875,0.0,Vachellia nilotica
0.48490578,0.0,Vachellia nilotica
0.62892616,0.0,Vachellia nilotica
0.1420732,0.0,Vachellia nilotica
0.29765087,0.0,Vachellia nilotica
0.25641096,0.0,Vachellia nilotica
0.06687822,0.0,Vachellia nilotica
0.43648088,0.0,Vachellia nilotica
0.19987932,0.0,Vachellia nilotica
0.5180613,1.0,Vachellia nilotica
0.44566542,0.0,Vachellia nilotica
0.39963016,0.0,Vachellia nilotica
0.16511956,0.0,Vachellia nilotica
0.5676171,0.0,Vachellia nilotica
0.2399208,0.0,Vachellia nilotica
0.2737159,0.0,Vachellia nilotica
0.47962144,0.0,Vachellia nilotica
0.07315678,0.0,Vachellia nilotica
0.4144946,0.0,Vachellia nilotica
0.22831213,0.0,Vachellia nilotica
0.3557879,0.0,Vachellia nilotica
0.24298033,0.0,Vachellia nilotica
0.55955064,0.0,Vachellia nilotica
0.5344539,0.0,Vachellia nilotica
0.7915487,0.0,Vachellia nilotica
0.7026738,0.0,Vachellia nilotica
0.0072774277,0.0,Vachellia nilotica
0.11523814,0.0,Vachellia nilotica
0.7709516,1.0,Vachellia nilotica
0.11730631,0.0,Vachellia nilotica
0.7412608,1.0,Vachellia nilotica
0.36304292,0.0,Vachellia nilotica
0.089423984,0.0,Vachellia nilotica
0.3294433,0.0,Vachellia nilotica
0.4700949,0.0,Vachellia nilotica
0.5191729,0.0,Vachellia nilotica
0.09066395,1.0,Vachellia nilotica
0.45980182,0.0,Vachellia nilotica
0.36936063,0.0,Vachellia nilotica
0.682572,0.0,Vachellia nilotica
0.113652684,0.0,Vachellia nilotica
0.16638893,0.0,Vachellia nilotica
0.6838683,0.0,Vachellia nilotica
0.6394934,0.0,Vachellia nilotica
0.71352327,0.0,Vachellia nilotica
0.5483645,0.0,Vachellia nilotica
0.26838773,0.0,Vachellia nilotica
0.73455864,1.0,Vachellia nilotica
0.35483673,0.0,Vachellia nilotica
0.4285257,1.0,Vachellia nilotica
0.07026931,0.0,Vachellia nilotica
0.017754601,0.0,Vachellia nilotica
0.49484193,0.0,Vachellia nilotica
0.4041382,0.0,Vachellia nilotica
0.5376204,1.0,Vachellia nilotica
0.7254622,1.0,Vachellia nilotica
0.09242396,0.0,Vachellia nilotica
0.23603468,0.0,Vachellia nilotica
0.50705904,0.0,Vachellia nilotica
0.65499824,1.0,Vachellia nilotica
0.40883327,0.0,Vachellia nilotica
0.5673232,0.0,Vachellia nilotica
0.6951679,0.0,Vachellia nilotica
0.066846445,0.0,Vachellia nilotica
0.58777547,0.0,Vachellia nilotica
0.70529354,0.0,Vachellia nilotica
0.099685185,0.0,Vachellia nilotica
0.64390546,0.0,Vachellia nilotica
0.09404048,0.0,Vachellia nilotica
0.31333128,0.0,Vachellia nilotica
0.4020138,0.0,Vachellia nilotica
0.13437407,0.0,Vachellia nilotica
0.42449582,0.0,Vachellia nilotica
0.59194654,0.0,Vachellia nilotica
0.10853041,0.0,Vachellia nilotica
0.7277874,0.0,Vachellia nilotica
0.2039099,0.0,Vachellia nilotica
0.09601717,0.0,Vachellia nilotica
0.46384937,0.0,Vachellia nilotica
0.324992,0.0,Vachellia nilotica
0.009572202,0.0,Vachellia nilotica
0.18182662,0.0,Vachellia nilotica
0.2843825,0.0,Vachellia nilotica
0.13265157,0.0,Vachellia nilotica
0.5719253,0.0,Vachellia nilotica
0.36060417,0.0,Vachellia nilotica
0.23502281,0.0,Vachellia nilotica
0.60299045,0.0,Vachellia nilotica
0.81356275,1.0,Vachellia nilotica
0.4930429,0.0,Vachellia nilotica
0.72514606,0.0,Vachellia nilotica
0.6719328,1.0,Vachellia nilotica
0.74054044,0.0,Vachellia nilotica
0.586765,1.0,Vachellia nilotica
0.562514,0.0,Vachellia nilotica
