probability,true_label,species
0.30196303,0.0,prosopis juliflora
0.024671124,0.0,prosopis juliflora
0.59630775,0.0,prosopis juliflora
0.040502522,0.0,prosopis juliflora
0.11026475,0.0,prosopis juliflora
0.027766317,0.0,prosopis juliflora
0.11762396,0.0,prosopis juliflora
0.16140169,0.0,prosopis juliflora
0.15634373,0.0,prosopis juliflora
0.50336397,0.0,prosopis juliflora
0.7398302,0.0,prosopis juliflora
0.2998874,1.0,prosopis juliflora
0.5603607,0.0,prosopis juliflora
0.10850997,0.0,prosopis juliflora
0.030578757,0.0,prosopis juliflora
0.61823994,1.0,prosopis juliflora
0.09172899,0.0,prosopis juliflora
0.15655322,0.0,prosopis juliflora
0.024279637,0.0,prosopis juliflora
0.020097375,0.0,prosopis juliflora
0.47838983,0.0,prosopis juliflora
0.0693937,0.0,prosopis juliflora
0.044642676,0.0,prosopis juliflora
0.15259707,0.0,prosopis juliflora
0.16824779,0.0,prosopis juliflora
0.058745604,0.0,prosopis juliflora
0.013141094,0.0,prosopis juliflora
0.8287592,0.0,prosopis juliflora
0.04935746,0.0,prosopis juliflora
0.016964566,0.0,prosopis juliflora
0.041002356,0.0,prosopis juliflora
0.017832939,0.0,prosopis juliflora
0.036926877,0.0,prosopis juliflora
0.20421432,0.0,prosopis juliflora
0.13781467,0.0,prosopis juliflora
0.71784776,0.0,prosopis juliflora
0.024836492,0.0,prosopis juliflora
0.024695864,0.0,prosopis juliflora
0.6239172,0.0,prosopis juliflora
0.04112175,0.0,prosopis juliflora
0.6303081,0.0,prosopis juliflora
0.023666194,0.0,prosopis juliflora
0.040706657,0.0,prosopis juliflora
0.08987641,0.0,prosopis juliflora
0.069001965,0.0,prosopis juliflora
0.054461986,0.0,prosopis juliflora
0.38767895,0.0,prosopis juliflora
0.53369474,0.0,prosopis juliflora
0.27859023,0.0,prosopis juliflora
0.06681429,0.0,prosopis juliflora
0.20779006,1.0,prosopis juliflora
0.031523135,0.0,prosopis juliflora
0.00834711,0.0,prosopis juliflora
