probability,true_label,species
0.46182862,0.0,prosopis juliflora
0.5482749,0.0,prosopis juliflora
0.33134452,0.0,prosopis juliflora
0.3209927,0.0,prosopis juliflora
0.48967955,0.0,prosopis juliflora
0.6364,1.0,prosopis juliflora
0.6383376,0.0,prosopis juliflora
0.78155047,1.0,prosopis juliflora
0.53565234,0.0,prosopis juliflora
0.33465862,0.0,prosopis juliflora
0.3779652,0.0,prosopis juliflora
0.65697193,0.0,prosopis juliflora
0.38289574,0.0,prosopis juliflora
0.4995329,0.0,prosopis juliflora
0.53480595,0.0,prosopis juliflora
0.6728667,1.0,prosopis juliflora
0.5514881,0.0,prosopis juliflora
0.36585173,0.0,prosopis juliflora
0.74696964,0.0,prosopis juliflora
0.43954107,0.0,prosopis juliflora
0.70840096,0.0,prosopis juliflora
0.41150737,0.0,prosopis juliflora
0.60856193,0.0,prosopis juliflora
0.5130109,0.0,prosopis juliflora
0.29543245,0.0,prosopis juliflora
0.4063833,0.0,prosopis juliflora
0.48236266,0.0,prosopis juliflora
0.5495295,0.0,prosopis juliflora
0.49755684,0.0,prosopis juliflora
0.50033927,0.0,prosopis juliflora
0.46233067,0.0,prosopis juliflora
0.5548053,0.0,prosopis juliflora
0.3717973,0.0,prosopis juliflora
0.40208575,0.0,prosopis juliflora
0.3485643,0.0,prosopis juliflora
0.49735028,0.0,prosopis juliflora
0.43974754,0.0,prosopis juliflora
0.61644244,0.0,prosopis juliflora
0.5591875,0.0,prosopis juliflora
0.4767593,0.0,prosopis juliflora
0.34622383,0.0,prosopis juliflora
0.44794765,0.0,prosopis juliflora
0.7019314,0.0,prosopis juliflora
0.42960364,0.0,prosopis juliflora
0.4630909,0.0,prosopis juliflora
0.47711027,1.0,prosopis juliflora
0.53265625,1.0,prosopis juliflora
0.49714312,0.0,prosopis juliflora
0.41808546,0.0,prosopis juliflora
0.4072663,0.0,prosopis juliflora
0.5237653,0.0,prosopis juliflora
0.00096864934,0.0,prosopis juliflora
0.46672535,0.0,prosopis juliflora
0.5967145,0.0,prosopis juliflora
0.61406463,0.0,prosopis juliflora
0.369952,0.0,prosopis juliflora
0.56276643,0.0,prosopis juliflora
0.55460644,0.0,prosopis juliflora
0.41180986,0.0,prosopis juliflora
0.3020247,0.0,prosopis juliflora
0.6142697,0.0,prosopis juliflora
0.38616884,0.0,prosopis juliflora
0.49594557,0.0,prosopis juliflora
0.5583493,0.0,prosopis juliflora
0.36572716,0.0,prosopis juliflora
0.6860721,0.0,prosopis juliflora
0.6596414,0.0,prosopis juliflora
0.5303763,0.0,prosopis juliflora
0.77466345,0.0,prosopis juliflora
0.5624083,0.0,prosopis juliflora
0.48053002,0.0,prosopis juliflora
0.41364956,0.0,prosopis juliflora
0.4808139,0.0,prosopis juliflora
