probability,true_label,species
0.49094152,1.0,Azadirachta indica
0.4360597,0.0,Azadirachta indica
0.42441413,0.0,Azadirachta indica
0.49131176,1.0,Azadirachta indica
0.4841967,0.0,Azadirachta indica
0.44402343,0.0,Azadirachta indica
0.4142822,0.0,Azadirachta indica
0.448365,0.0,Azadirachta indica
0.45142457,1.0,Azadirachta indica
0.5655655,1.0,Azadirachta indica
0.5942225,0.0,Azadirachta indica
0.5497657,0.0,Azadirachta indica
0.4970704,0.0,Azadirachta indica
0.40135852,0.0,Azadirachta indica
0.5097936,0.0,Azadirachta indica
0.4949274,0.0,Azadirachta indica
0.47143698,1.0,Azadirachta indica
0.46452644,0.0,Azadirachta indica
0.4562416,0.0,Azadirachta indica
0.43972144,0.0,Azadirachta indica
0.5362311,1.0,Azadirachta indica
0.52950907,0.0,Azadirachta indica
0.46063554,1.0,Azadirachta indica
0.5662689,1.0,Azadirachta indica
0.47854722,0.0,Azadirachta indica
0.50311786,0.0,Azadirachta indica
0.4327467,0.0,Azadirachta indica
0.48862475,0.0,Azadirachta indica
0.46617737,0.0,Azadirachta indica
0.40537357,0.0,Azadirachta indica
0.45515674,0.0,Azadirachta indica
0.47925082,0.0,Azadirachta indica
0.49580717,1.0,Azadirachta indica
0.41806057,1.0,Azadirachta indica
0.47719678,0.0,Azadirachta indica
0.5149311,1.0,Azadirachta indica
0.50988156,1.0,Azadirachta indica
0.40734434,0.0,Azadirachta indica
0.52651185,0.0,Azadirachta indica
0.4692434,0.0,Azadirachta indica
0.47251105,0.0,Azadirachta indica
0.47175574,0.0,Azadirachta indica
0.48213273,0.0,Azadirachta indica
0.44780514,1.0,Azadirachta indica
0.46604392,0.0,Azadirachta indica
0.58882904,0.0,Azadirachta indica
0.50040543,1.0,Azadirachta indica
0.45023802,0.0,Azadirachta indica
0.5055427,1.0,Azadirachta indica
0.53153217,1.0,Azadirachta indica
0.48865366,1.0,Azadirachta indica
0.4198916,0.0,Azadirachta indica
0.5462449,1.0,Azadirachta indica
0.52734834,0.0,Azadirachta indica
0.4847699,0.0,Azadirachta indica
0.5212742,0.0,Azadirachta indica
0.45682788,1.0,Azadirachta indica
0.46368393,0.0,Azadirachta indica
0.5091146,0.0,Azadirachta indica
0.48033682,0.0,Azadirachta indica
0.5982955,1.0,Azadirachta indica
0.49244085,0.0,Azadirachta indica
0.4515576,1.0,Azadirachta indica
0.4570019,0.0,Azadirachta indica
0.4973795,0.0,Azadirachta indica
0.50257975,1.0,Azadirachta indica
0.48877627,0.0,Azadirachta indica
0.39709035,0.0,Azadirachta indica
0.5158456,1.0,Azadirachta indica
0.46809068,0.0,Azadirachta indica
0.4113738,0.0,Azadirachta indica
0.5100741,0.0,Azadirachta indica
0.47138494,1.0,Azadirachta indica
0.5423048,0.0,Azadirachta indica
0.47196975,1.0,Azadirachta indica
0.46975708,0.0,Azadirachta indica
0.47782654,0.0,Azadirachta indica
0.45762473,1.0,Azadirachta indica
0.41426447,0.0,Azadirachta indica
0.4267634,0.0,Azadirachta indica
0.49536195,0.0,Azadirachta indica
0.50576943,0.0,Azadirachta indica
0.45737016,0.0,Azadirachta indica
0.46862495,0.0,Azadirachta indica
0.51055604,0.0,Azadirachta indica
0.42140976,0.0,Azadirachta indica
0.4774147,0.0,Azadirachta indica
0.47172594,0.0,Azadirachta indica
0.43763232,0.0,Azadirachta indica
0.47335082,0.0,Azadirachta indica
0.4830103,0.0,Azadirachta indica
0.4969645,1.0,Azadirachta indica
0.50533605,0.0,Azadirachta indica
0.48051915,0.0,Azadirachta indica
0.4832976,1.0,Azadirachta indica
0.45106372,0.0,Azadirachta indica
0.468589,0.0,Azadirachta indica
0.5214971,0.0,Azadirachta indica
0.48552832,1.0,Azadirachta indica
0.4675075,0.0,Azadirachta indica
0.44660693,0.0,Azadirachta indica
0.5021476,0.0,Azadirachta indica
0.49996066,0.0,Azadirachta indica
0.5027381,0.0,Azadirachta indica
0.48295164,1.0,Azadirachta indica
0.4665047,0.0,Azadirachta indica
0.49688467,1.0,Azadirachta indica
0.5090429,0.0,Azadirachta indica
0.45427576,0.0,Azadirachta indica
0.46277216,0.0,Azadirachta indica
0.4635353,0.0,Azadirachta indica
0.46585032,0.0,Azadirachta indica
0.43383816,0.0,Azadirachta indica
0.4826262,0.0,Azadirachta indica
0.47862703,1.0,Azadirachta indica
0.50134367,0.0,Azadirachta indica
0.47112644,0.0,Azadirachta indica
0.48949516,0.0,Azadirachta indica
0.44486776,0.0,Azadirachta indica
0.40919033,0.0,Azadirachta indica
0.46570635,0.0,Azadirachta indica
0.49541825,0.0,Azadirachta indica
0.48361602,0.0,Azadirachta indica
0.5327695,0.0,Azadirachta indica
0.45810786,0.0,Azadirachta indica
0.4335539,0.0,Azadirachta indica
0.50916314,1.0,Azadirachta indica
0.42529538,1.0,Azadirachta indica
0.47253534,1.0,Azadirachta indica
0.530329,1.0,Azadirachta indica
0.52016276,0.0,Azadirachta indica
0.3848224,0.0,Azadirachta indica
0.5215332,0.0,Azadirachta indica
0.5244124,1.0,Azadirachta indica
0.49234247,1.0,Azadirachta indica
0.52789074,1.0,Azadirachta indica
0.476374,0.0,Azadirachta indica
0.5025835,0.0,Azadirachta indica
0.47693092,0.0,Azadirachta indica
0.5091223,1.0,Azadirachta indica
0.50351673,0.0,Azadirachta indica
0.4899445,0.0,Azadirachta indica
0.49993378,0.0,Azadirachta indica
0.4678792,0.0,Azadirachta indica
0.45971575,0.0,Azadirachta indica
0.44375834,1.0,Azadirachta indica
0.4738704,0.0,Azadirachta indica
0.48780426,1.0,Azadirachta indica
0.5119261,1.0,Azadirachta indica
0.5415099,1.0,Azadirachta indica
0.52154815,0.0,Azadirachta indica
0.43505225,1.0,Azadirachta indica
0.46498096,0.0,Azadirachta indica
0.48368683,0.0,Azadirachta indica
0.4106666,0.0,Azadirachta indica
0.5227997,0.0,Azadirachta indica
0.46474624,0.0,Azadirachta indica
0.47430986,1.0,Azadirachta indica
0.40833187,0.0,Azadirachta indica
0.45752677,0.0,Azadirachta indica
0.49510393,0.0,Azadirachta indica
0.4692538,0.0,Azadirachta indica
0.44735378,0.0,Azadirachta indica
0.46996793,0.0,Azadirachta indica
0.5374602,0.0,Azadirachta indica
0.5987998,0.0,Azadirachta indica
0.57130814,1.0,Azadirachta indica
0.46461752,1.0,Azadirachta indica
0.44053406,0.0,Azadirachta indica
0.4243895,1.0,Azadirachta indica
0.48281443,0.0,Azadirachta indica
0.4821711,0.0,Azadirachta indica
0.53048337,0.0,Azadirachta indica
