probability,true_label,species
0.5106069,0.0,Prosopis cineraria
0.44519547,0.0,Prosopis cineraria
0.77896863,1.0,Prosopis cineraria
0.35778412,0.0,Prosopis cineraria
0.35988948,0.0,Prosopis cineraria
0.6030806,0.0,Prosopis cineraria
0.35740864,0.0,Prosopis cineraria
0.6808079,0.0,Prosopis cineraria
0.58607143,0.0,Prosopis cineraria
0.41686204,0.0,Prosopis cineraria
0.687858,0.0,Prosopis cineraria
0.3881554,0.0,Prosopis cineraria
0.33073747,0.0,Prosopis cineraria
0.50287235,0.0,Prosopis cineraria
0.32214788,0.0,Prosopis cineraria
0.5273999,0.0,Prosopis cineraria
0.6386473,1.0,Prosopis cineraria
0.7388706,1.0,Prosopis cineraria
0.52555937,0.0,Prosopis cineraria
0.4737411,0.0,Prosopis cineraria
0.48168817,0.0,Prosopis cineraria
0.6534092,0.0,Prosopis cineraria
0.40672347,0.0,Prosopis cineraria
0.53107744,0.0,Prosopis cineraria
0.47222248,0.0,Prosopis cineraria
0.30574155,0.0,Prosopis cineraria
0.34304196,0.0,Prosopis cineraria
0.34522748,0.0,Prosopis cineraria
0.5255615,0.0,Prosopis cineraria
0.55220616,0.0,Prosopis cineraria
0.3984364,0.0,Prosopis cineraria
0.5457795,0.0,Prosopis cineraria
0.4864871,0.0,Prosopis cineraria
0.6027472,0.0,Prosopis cineraria
0.6375615,0.0,Prosopis cineraria
0.49387935,0.0,Prosopis cineraria
0.42915094,0.0,Prosopis cineraria
0.54727966,0.0,Prosopis cineraria
0.30101433,0.0,Prosopis cineraria
0.40117198,0.0,Prosopis cineraria
0.4939772,0.0,Prosopis cineraria
0.52044094,0.0,Prosopis cineraria
0.40281275,1.0,Prosopis cineraria
0.46936408,0.0,Prosopis cineraria
0.49239856,0.0,Prosopis cineraria
0.42289987,0.0,Prosopis cineraria
0.5608598,0.0,Prosopis cineraria
0.5853999,0.0,Prosopis cineraria
0.5115235,0.0,Prosopis cineraria
0.49972096,0.0,Prosopis cineraria
0.34848025,0.0,Prosopis cineraria
0.005648244,0.0,Prosopis cineraria
0.4886244,0.0,Prosopis cineraria
0.56557137,0.0,Prosopis cineraria
0.5206511,0.0,Prosopis cineraria
0.33841497,0.0,Prosopis cineraria
0.61421895,0.0,Prosopis cineraria
0.47692874,0.0,Prosopis cineraria
0.3835756,0.0,Prosopis cineraria
0.43553346,0.0,Prosopis cineraria
0.5169743,0.0,Prosopis cineraria
0.762299,1.0,Prosopis cineraria
0.43535906,1.0,Prosopis cineraria
0.55397046,0.0,Prosopis cineraria
0.730555,1.0,Prosopis cineraria
0.5207594,0.0,Prosopis cineraria
0.5775145,0.0,Prosopis cineraria
0.6620161,1.0,Prosopis cineraria
0.2564254,0.0,Prosopis cineraria
0.4468801,0.0,Prosopis cineraria
0.41617963,0.0,Prosopis cineraria
0.38917124,0.0,Prosopis cineraria
0.5502952,0.0,Prosopis cineraria
0.706795,0.0,Prosopis cineraria
0.46685788,0.0,Prosopis cineraria
0.5372026,0.0,Prosopis cineraria
0.5171175,0.0,Prosopis cineraria
0.60097814,0.0,Prosopis cineraria
0.5517392,1.0,Prosopis cineraria
0.51660115,0.0,Prosopis cineraria
0.5830723,0.0,Prosopis cineraria
0.46568534,0.0,Prosopis cineraria
0.6633347,0.0,Prosopis cineraria
0.4746955,0.0,Prosopis cineraria
0.41329268,1.0,Prosopis cineraria
0.41763565,0.0,Prosopis cineraria
0.6069882,1.0,Prosopis cineraria
0.574591,0.0,Prosopis cineraria
0.49206108,0.0,Prosopis cineraria
0.51678985,1.0,Prosopis cineraria
0.3942384,0.0,Prosopis cineraria
0.7197456,0.0,Prosopis cineraria
0.3700388,0.0,Prosopis cineraria
0.6575212,0.0,Prosopis cineraria
0.38627625,0.0,Prosopis cineraria
0.57987255,0.0,Prosopis cineraria
0.4320404,1.0,Prosopis cineraria
0.6711247,0.0,Prosopis cineraria
0.5169641,0.0,Prosopis cineraria
0.4649826,0.0,Prosopis cineraria
0.5068092,0.0,Prosopis cineraria
0.46157253,0.0,Prosopis cineraria
0.68700236,0.0,Prosopis cineraria
0.3728986,0.0,Prosopis cineraria
0.6117463,0.0,Prosopis cineraria
0.5268118,1.0,Prosopis cineraria
0.5203684,1.0,Prosopis cineraria
0.47720093,0.0,Prosopis cineraria
0.5740862,0.0,Prosopis cineraria
0.46179673,1.0,Prosopis cineraria
0.5219657,0.0,Prosopis cineraria
0.34591502,0.0,Prosopis cineraria
0.5492961,0.0,Prosopis cineraria
0.5195861,0.0,Prosopis cineraria
0.30918074,0.0,Prosopis cineraria
0.44363618,0.0,Prosopis cineraria
0.4517079,1.0,Prosopis cineraria
0.6042977,0.0,Prosopis cineraria
0.046762694,0.0,Prosopis cineraria
0.75117207,0.0,Prosopis cineraria
0.5083011,0.0,Prosopis cineraria
0.39956382,0.0,Prosopis cineraria
0.46368563,0.0,Prosopis cineraria
0.33848235,0.0,Prosopis cineraria
0.35924292,0.0,Prosopis cineraria
0.39755148,0.0,Prosopis cineraria
0.5836759,0.0,Prosopis cineraria
0.43801636,0.0,Prosopis cineraria
0.2388964,0.0,Prosopis cineraria
