probability,true_label,species
0.45117247,0.0,Ailanthus excelsa
0.5202019,0.0,Ailanthus excelsa
0.4082526,0.0,Ailanthus excelsa
0.45234916,0.0,Ailanthus excelsa
0.6602319,0.0,Ailanthus excelsa
0.32284975,0.0,Ailanthus excelsa
0.32747716,0.0,Ailanthus excelsa
0.63801205,0.0,Ailanthus excelsa
0.44561046,0.0,Ailanthus excelsa
0.5277536,0.0,Ailanthus excelsa
0.4783618,1.0,Ailanthus excelsa
0.53142875,0.0,Ailanthus excelsa
0.36279246,0.0,Ailanthus excelsa
0.21273217,0.0,Ailanthus excelsa
0.25690177,0.0,Ailanthus excelsa
0.5714619,0.0,Ailanthus excelsa
0.3759134,0.0,Ailanthus excelsa
0.6494156,0.0,Ailanthus excelsa
0.4371624,0.0,Ailanthus excelsa
0.347054,0.0,Ailanthus excelsa
0.6129243,1.0,Ailanthus excelsa
0.6632225,0.0,Ailanthus excelsa
0.46032476,0.0,Ailanthus excelsa
0.46850708,0.0,Ailanthus excelsa
0.49244636,0.0,Ailanthus excelsa
0.42097825,0.0,Ailanthus excelsa
0.21900214,0.0,Ailanthus excelsa
0.3588675,0.0,Ailanthus excelsa
0.49542597,0.0,Ailanthus excelsa
0.4856892,0.0,Ailanthus excelsa
0.44056737,1.0,Ailanthus excelsa
0.6173679,0.0,Ailanthus excelsa
0.29235005,0.0,Ailanthus excelsa
0.62526584,1.0,Ailanthus excelsa
0.29696536,0.0,Ailanthus excelsa
0.5894138,0.0,Ailanthus excelsa
0.45512384,0.0,Ailanthus excelsa
0.38663387,0.0,Ailanthus excelsa
0.746499,0.0,Ailanthus excelsa
0.08200222,1.0,Ailanthus excelsa
0.43641815,1.0,Ailanthus excelsa
0.5273596,0.0,Ailanthus excelsa
0.78451294,1.0,Ailanthus excelsa
0.7904092,0.0,Ailanthus excelsa
0.4279028,0.0,Ailanthus excelsa
0.40871918,0.0,Ailanthus excelsa
0.63923585,1.0,Ailanthus excelsa
0.30987746,0.0,Ailanthus excelsa
0.5741391,0.0,Ailanthus excelsa
0.5904028,0.0,Ailanthus excelsa
0.67362124,0.0,Ailanthus excelsa
0.5869393,0.0,Ailanthus excelsa
0.46287277,0.0,Ailanthus excelsa
0.497744,0.0,Ailanthus excelsa
0.7373976,0.0,Ailanthus excelsa
0.31978965,0.0,Ailanthus excelsa
0.6688067,1.0,Ailanthus excelsa
0.50895256,0.0,Ailanthus excelsa
0.30763012,0.0,Ailanthus excelsa
0.66524714,0.0,Ailanthus excelsa
0.5823299,0.0,Ailanthus excelsa
0.4777426,0.0,Ailanthus excelsa
0.41239405,0.0,Ailanthus excelsa
0.434256,0.0,Ailanthus excelsa
0.46300438,0.0,Ailanthus excelsa
0.23897567,0.0,Ailanthus excelsa
0.44734365,0.0,Ailanthus excelsa
0.5844783,0.0,Ailanthus excelsa
0.40145782,0.0,Ailanthus excelsa
0.65507174,0.0,Ailanthus excelsa
0.8166448,0.0,Ailanthus excelsa
0.42411754,0.0,Ailanthus excelsa
0.36199325,0.0,Ailanthus excelsa
0.445477,0.0,Ailanthus excelsa
0.24318346,0.0,Ailanthus excelsa
0.52141714,0.0,Ailanthus excelsa
0.53302544,0.0,Ailanthus excelsa
0.4388101,0.0,Ailanthus excelsa
0.3712002,0.0,Ailanthus excelsa
0.5193747,0.0,Ailanthus excelsa
0.543742,1.0,Ailanthus excelsa
0.8068793,0.0,Ailanthus excelsa
0.5058452,0.0,Ailanthus excelsa
0.50162697,0.0,Ailanthus excelsa
0.5534122,0.0,Ailanthus excelsa
0.4665393,0.0,Ailanthus excelsa
0.50085336,0.0,Ailanthus excelsa
0.6299937,0.0,Ailanthus excelsa
0.512172,0.0,Ailanthus excelsa
0.3038996,0.0,Ailanthus excelsa
0.48823184,0.0,Ailanthus excelsa
0.3968328,0.0,Ailanthus excelsa
0.4103709,0.0,Ailanthus excelsa
0.19234592,0.0,Ailanthus excelsa
0.5498418,0.0,Ailanthus excelsa
0.5253473,0.0,Ailanthus excelsa
0.453402,0.0,Ailanthus excelsa
0.295926,0.0,Ailanthus excelsa
0.515951,0.0,Ailanthus excelsa
0.23919593,0.0,Ailanthus excelsa
0.5415381,0.0,Ailanthus excelsa
0.56419015,0.0,Ailanthus excelsa
0.43012935,0.0,Ailanthus excelsa
0.49481723,0.0,Ailanthus excelsa
0.45136386,0.0,Ailanthus excelsa
0.39931348,0.0,Ailanthus excelsa
0.31405026,0.0,Ailanthus excelsa
0.65963507,0.0,Ailanthus excelsa
0.2725729,0.0,Ailanthus excelsa
0.46660277,0.0,Ailanthus excelsa
0.40662512,0.0,Ailanthus excelsa
0.7198424,0.0,Ailanthus excelsa
0.4863877,0.0,Ailanthus excelsa
0.32924953,0.0,Ailanthus excelsa
0.46064535,0.0,Ailanthus excelsa
0.5854659,0.0,Ailanthus excelsa
0.4865546,0.0,Ailanthus excelsa
0.609901,0.0,Ailanthus excelsa
0.4908236,0.0,Ailanthus excelsa
0.4242542,0.0,Ailanthus excelsa
0.72155064,0.0,Ailanthus excelsa
0.47536844,0.0,Ailanthus excelsa
0.6093286,0.0,Ailanthus excelsa
0.51276106,0.0,Ailanthus excelsa
0.45993826,0.0,Ailanthus excelsa
0.35078663,0.0,Ailanthus excelsa
0.74034214,1.0,Ailanthus excelsa
0.6919687,0.0,Ailanthus excelsa
0.6195859,0.0,Ailanthus excelsa
0.3565878,0.0,Ailanthus excelsa
0.28440538,0.0,Ailanthus excelsa
0.49864802,0.0,Ailanthus excelsa
0.4628166,0.0,Ailanthus excelsa
0.7497063,1.0,Ailanthus excelsa
0.42425692,1.0,Ailanthus excelsa
0.1463145,0.0,Ailanthus excelsa
0.4415871,0.0,Ailanthus excelsa
0.49190873,0.0,Ailanthus excelsa
0.5987186,0.0,Ailanthus excelsa
0.39478537,0.0,Ailanthus excelsa
0.539745,0.0,Ailanthus excelsa
0.608074,0.0,Ailanthus excelsa
0.5932054,0.0,Ailanthus excelsa
0.45035428,0.0,Ailanthus excelsa
0.6523685,0.0,Ailanthus excelsa
0.41511685,0.0,Ailanthus excelsa
0.38827372,0.0,Ailanthus excelsa
0.6248558,0.0,Ailanthus excelsa
0.59090257,0.0,Ailanthus excelsa
0.6905783,0.0,Ailanthus excelsa
0.4572861,0.0,Ailanthus excelsa
0.4447061,0.0,Ailanthus excelsa
0.51174355,0.0,Ailanthus excelsa
0.0021118482,0.0,Ailanthus excelsa
0.37856466,0.0,Ailanthus excelsa
0.5000214,0.0,Ailanthus excelsa
0.33760864,0.0,Ailanthus excelsa
0.29364142,0.0,Ailanthus excelsa
0.36433792,0.0,Ailanthus excelsa
0.4987911,0.0,Ailanthus excelsa
0.4467955,0.0,Ailanthus excelsa
0.5194132,0.0,Ailanthus excelsa
0.41129306,0.0,Ailanthus excelsa
0.42432997,0.0,Ailanthus excelsa
0.28468263,0.0,Ailanthus excelsa
0.5855813,0.0,Ailanthus excelsa
0.47293234,0.0,Ailanthus excelsa
0.33154002,0.0,Ailanthus excelsa
0.46537295,0.0,Ailanthus excelsa
0.3044124,0.0,Ailanthus excelsa
0.503891,0.0,Ailanthus excelsa
0.5473879,0.0,Ailanthus excelsa
0.45391947,0.0,Ailanthus excelsa
0.50159043,0.0,Ailanthus excelsa
0.59790576,0.0,Ailanthus excelsa
0.59158444,0.0,Ailanthus excelsa
0.46640348,0.0,Ailanthus excelsa
0.4246299,0.0,Ailanthus excelsa
0.6764954,0.0,Ailanthus excelsa
0.4829965,0.0,Ailanthus excelsa
0.3314134,0.0,Ailanthus excelsa
0.5528219,1.0,Ailanthus excelsa
0.46938184,0.0,Ailanthus excelsa
0.30353588,0.0,Ailanthus excelsa
0.35700247,1.0,Ailanthus excelsa
0.33444312,0.0,Ailanthus excelsa
0.542801,0.0,Ailanthus excelsa
0.28766143,0.0,Ailanthus excelsa
0.6475289,0.0,Ailanthus excelsa
0.5291833,0.0,Ailanthus excelsa
0.5443082,0.0,Ailanthus excelsa
0.48720363,0.0,Ailanthus excelsa
0.56942946,0.0,Ailanthus excelsa
0.44249716,0.0,Ailanthus excelsa
0.685421,0.0,Ailanthus excelsa
0.4570301,0.0,Ailanthus excelsa
0.353849,0.0,Ailanthus excelsa
0.45298263,0.0,Ailanthus excelsa
0.4256727,0.0,Ailanthus excelsa
0.6254543,0.0,Ailanthus excelsa
0.3328905,0.0,Ailanthus excelsa
0.35814995,0.0,Ailanthus excelsa
0.6184843,0.0,Ailanthus excelsa
0.29817078,0.0,Ailanthus excelsa
0.7220207,1.0,Ailanthus excelsa
0.48448154,0.0,Ailanthus excelsa
0.37496474,0.0,Ailanthus excelsa
0.48777324,0.0,Ailanthus excelsa
0.47906607,0.0,Ailanthus excelsa
0.5024053,0.0,Ailanthus excelsa
0.41928232,0.0,Ailanthus excelsa
0.3959065,0.0,Ailanthus excelsa
0.5361978,0.0,Ailanthus excelsa
0.6093423,0.0,Ailanthus excelsa
0.4489139,0.0,Ailanthus excelsa
0.62358433,0.0,Ailanthus excelsa
0.29448262,0.0,Ailanthus excelsa
0.32119292,0.0,Ailanthus excelsa
0.3373215,0.0,Ailanthus excelsa
0.3761591,0.0,Ailanthus excelsa
0.4619829,0.0,Ailanthus excelsa
0.4494812,0.0,Ailanthus excelsa
0.33536616,0.0,Ailanthus excelsa
0.57208693,0.0,Ailanthus excelsa
0.36999017,0.0,Ailanthus excelsa
0.565625,1.0,Ailanthus excelsa
