probability,true_label,species
0.6530092,0.0,Ailanthus excelsa
0.69360626,1.0,Ailanthus excelsa
0.0153328385,0.0,Ailanthus excelsa
0.34278873,0.0,Ailanthus excelsa
0.043523297,0.0,Ailanthus excelsa
0.20197947,0.0,Ailanthus excelsa
0.117610216,0.0,Ailanthus excelsa
0.09064184,0.0,Ailanthus excelsa
0.6140022,0.0,Ailanthus excelsa
0.20621793,0.0,Ailanthus excelsa
0.26442543,0.0,Ailanthus excelsa
0.06568329,0.0,Ailanthus excelsa
0.49532652,0.0,Ailanthus excelsa
0.11300102,0.0,Ailanthus excelsa
0.08239442,0.0,Ailanthus excelsa
0.3616426,0.0,Ailanthus excelsa
0.019606816,0.0,Ailanthus excelsa
0.2709328,0.0,Ailanthus excelsa
0.034960613,0.0,Ailanthus excelsa
0.37725013,1.0,Ailanthus excelsa
0.017202124,0.0,Ailanthus excelsa
0.18655139,0.0,Ailanthus excelsa
0.030863691,0.0,Ailanthus excelsa
0.8492098,0.0,Ailanthus excelsa
0.08261131,0.0,Ailanthus excelsa
0.026683504,0.0,Ailanthus excelsa
0.18150733,0.0,Ailanthus excelsa
0.6285508,0.0,Ailanthus excelsa
0.6170587,0.0,Ailanthus excelsa
0.008194762,0.0,Ailanthus excelsa
0.57770634,0.0,Ailanthus excelsa
0.08126103,0.0,Ailanthus excelsa
0.023879597,0.0,Ailanthus excelsa
0.1251723,0.0,Ailanthus excelsa
0.40149376,0.0,Ailanthus excelsa
0.16575642,0.0,Ailanthus excelsa
0.10951617,0.0,Ailanthus excelsa
0.7744163,0.0,Ailanthus excelsa
0.9097976,1.0,Ailanthus excelsa
0.5848564,0.0,Ailanthus excelsa
0.12926283,0.0,Ailanthus excelsa
0.26391998,0.0,Ailanthus excelsa
0.0016314348,0.0,Ailanthus excelsa
0.09638739,0.0,Ailanthus excelsa
0.20583044,1.0,Ailanthus excelsa
0.4082843,0.0,Ailanthus excelsa
0.05592465,0.0,Ailanthus excelsa
0.07696011,0.0,Ailanthus excelsa
