probability,true_label,species
0.08301507,0.0,Azadirachta indica
0.08580033,1.0,Azadirachta indica
0.29570824,0.0,Azadirachta indica
0.09920513,0.0,Azadirachta indica
0.14126208,0.0,Azadirachta indica
0.33806813,0.0,Azadirachta indica
0.08155293,0.0,Azadirachta indica
0.2184402,0.0,Azadirachta indica
0.48749527,0.0,Azadirachta indica
0.24421866,0.0,Azadirachta indica
0.08031926,0.0,Azadirachta indica
0.09258653,0.0,Azadirachta indica
0.76428133,0.0,Azadirachta indica
0.42385647,0.0,Azadirachta indica
0.1287388,1.0,Azadirachta indica
0.70755476,0.0,Azadirachta indica
0.6600279,0.0,Azadirachta indica
0.22917946,0.0,Azadirachta indica
0.510111,0.0,Azadirachta indica
0.17518698,0.0,Azadirachta indica
0.58382946,0.0,Azadirachta indica
0.3824928,0.0,Azadirachta indica
0.28433907,0.0,Azadirachta indica
0.24472857,0.0,Azadirachta indica
0.3042233,0.0,Azadirachta indica
0.20377603,0.0,Azadirachta indica
0.208722,0.0,Azadirachta indica
0.031535003,0.0,Azadirachta indica
0.005369295,0.0,Azadirachta indica
0.3440066,0.0,Azadirachta indica
0.08664208,0.0,Azadirachta indica
0.15584366,0.0,Azadirachta indica
0.35428184,0.0,Azadirachta indica
0.04390148,0.0,Azadirachta indica
0.08510911,0.0,Azadirachta indica
0.6778283,0.0,Azadirachta indica
0.4323839,0.0,Azadirachta indica
0.044592783,0.0,Azadirachta indica
0.061386388,0.0,Azadirachta indica
0.5211666,0.0,Azadirachta indica
0.19324645,0.0,Azadirachta indica
0.052852448,0.0,Azadirachta indica
0.32362023,0.0,Azadirachta indica
0.09089414,0.0,Azadirachta indica
0.36262792,0.0,Azadirachta indica
0.86668074,1.0,Azadirachta indica
0.05991593,0.0,Azadirachta indica
0.56143236,1.0,Azadirachta indica
0.038985405,0.0,Azadirachta indica
0.19027767,0.0,Azadirachta indica
0.14744094,0.0,Azadirachta indica
0.08667309,0.0,Azadirachta indica
0.060966883,0.0,Azadirachta indica
0.32645097,0.0,Azadirachta indica
0.045417298,0.0,Azadirachta indica
0.02113942,0.0,Azadirachta indica
0.051160816,0.0,Azadirachta indica
0.14498879,0.0,Azadirachta indica
0.7123831,1.0,Azadirachta indica
0.0133053325,0.0,Azadirachta indica
0.08713135,0.0,Azadirachta indica
0.049388945,0.0,Azadirachta indica
0.7774149,0.0,Azadirachta indica
0.02756203,0.0,Azadirachta indica
0.04261564,0.0,Azadirachta indica
0.09686296,0.0,Azadirachta indica
0.21366893,0.0,Azadirachta indica
0.12665388,0.0,Azadirachta indica
0.20689803,0.0,Azadirachta indica
0.0024171004,0.0,Azadirachta indica
0.60055536,0.0,Azadirachta indica
0.33492863,0.0,Azadirachta indica
0.0020773702,0.0,Azadirachta indica
0.58382946,0.0,Azadirachta indica
0.23582469,0.0,Azadirachta indica
0.3609567,1.0,Azadirachta indica
0.06711314,0.0,Azadirachta indica
0.5610191,1.0,Azadirachta indica
0.13002315,0.0,Azadirachta indica
0.0036249978,0.0,Azadirachta indica
0.7969589,1.0,Azadirachta indica
0.64954865,0.0,Azadirachta indica
0.032466218,0.0,Azadirachta indica
0.14065957,0.0,Azadirachta indica
0.15270755,0.0,Azadirachta indica
0.08072844,0.0,Azadirachta indica
0.84221977,1.0,Azadirachta indica
0.5038606,1.0,Azadirachta indica
0.09897994,0.0,Azadirachta indica
