probability,true_label,species
0.89504635,1.0,Prosopis cineraria
0.3135355,0.0,Prosopis cineraria
0.28975582,0.0,Prosopis cineraria
0.81527776,1.0,Prosopis cineraria
0.05038594,1.0,Prosopis cineraria
0.028407909,0.0,Prosopis cineraria
0.16100106,0.0,Prosopis cineraria
0.012342922,0.0,Prosopis cineraria
0.6109132,0.0,Prosopis cineraria
0.58826596,0.0,Prosopis cineraria
0.31439343,0.0,Prosopis cineraria
0.5924435,0.0,Prosopis cineraria
0.29076263,0.0,Prosopis cineraria
0.7701175,1.0,Prosopis cineraria
0.1999908,0.0,Prosopis cineraria
0.40119296,0.0,Prosopis cineraria
0.68486947,1.0,Prosopis cineraria
0.53334004,0.0,Prosopis cineraria
0.9012509,1.0,Prosopis cineraria
0.06302916,0.0,Prosopis cineraria
0.107022844,0.0,Prosopis cineraria
0.6098911,0.0,Prosopis cineraria
0.78375983,0.0,Prosopis cineraria
0.11599739,0.0,Prosopis cineraria
0.6951489,0.0,Prosopis cineraria
0.1336817,0.0,Prosopis cineraria
0.5021044,0.0,Prosopis cineraria
0.87960976,1.0,Prosopis cineraria
0.27096745,1.0,Prosopis cineraria
0.6167518,1.0,Prosopis cineraria
0.22052944,1.0,Prosopis cineraria
0.942733,1.0,Prosopis cineraria
0.86175436,0.0,Prosopis cineraria
0.46493694,0.0,Prosopis cineraria
0.35432407,0.0,Prosopis cineraria
0.8798566,0.0,Prosopis cineraria
0.046949103,0.0,Prosopis cineraria
0.65560585,0.0,Prosopis cineraria
0.2641618,0.0,Prosopis cineraria
0.84369,1.0,Prosopis cineraria
0.165792,0.0,Prosopis cineraria
0.81584704,0.0,Prosopis cineraria
0.02985811,0.0,Prosopis cineraria
0.42678544,0.0,Prosopis cineraria
8.002159e-06,0.0,Prosopis cineraria
0.16143273,0.0,Prosopis cineraria
0.7442208,1.0,Prosopis cineraria
0.8769031,0.0,Prosopis cineraria
0.6172833,0.0,Prosopis cineraria
0.110580236,0.0,Prosopis cineraria
0.698811,0.0,Prosopis cineraria
0.17211436,0.0,Prosopis cineraria
0.1561648,0.0,Prosopis cineraria
0.045994688,0.0,Prosopis cineraria
0.84393,1.0,Prosopis cineraria
0.5305148,1.0,Prosopis cineraria
0.3823772,0.0,Prosopis cineraria
0.7582134,0.0,Prosopis cineraria
0.0451766,0.0,Prosopis cineraria
0.3565137,0.0,Prosopis cineraria
0.30890918,0.0,Prosopis cineraria
0.052584555,0.0,Prosopis cineraria
0.036829308,0.0,Prosopis cineraria
0.025488578,0.0,Prosopis cineraria
0.8253554,0.0,Prosopis cineraria
0.026190352,0.0,Prosopis cineraria
0.60002923,0.0,Prosopis cineraria
0.659125,0.0,Prosopis cineraria
