probability,true_label,species
0.69898725,0.0,Ailanthus excelsa
0.48059276,0.0,Ailanthus excelsa
0.51537913,0.0,Ailanthus excelsa
0.68428886,0.0,Ailanthus excelsa
0.4941393,1.0,Ailanthus excelsa
0.5434695,0.0,Ailanthus excelsa
0.58269703,0.0,Ailanthus excelsa
0.452937,0.0,Ailanthus excelsa
0.26581118,0.0,Ailanthus excelsa
0.5998198,0.0,Ailanthus excelsa
0.41465756,0.0,Ailanthus excelsa
0.5931961,0.0,Ailanthus excelsa
0.3521818,0.0,Ailanthus excelsa
0.44073445,0.0,Ailanthus excelsa
0.44708043,0.0,Ailanthus excelsa
0.60361326,0.0,Ailanthus excelsa
0.52155864,0.0,Ailanthus excelsa
0.6482926,0.0,Ailanthus excelsa
0.47482458,0.0,Ailanthus excelsa
0.47136718,1.0,Ailanthus excelsa
0.63586307,1.0,Ailanthus excelsa
0.5393375,0.0,Ailanthus excelsa
0.5690413,0.0,Ailanthus excelsa
0.5336302,0.0,Ailanthus excelsa
0.21009909,0.0,Ailanthus excelsa
0.36090672,0.0,Ailanthus excelsa
0.50284064,0.0,Ailanthus excelsa
0.45777935,0.0,Ailanthus excelsa
0.65285873,0.0,Ailanthus excelsa
0.6267806,1.0,Ailanthus excelsa
0.3215412,0.0,Ailanthus excelsa
0.419653,0.0,Ailanthus excelsa
0.6079061,0.0,Ailanthus excelsa
0.30602235,0.0,Ailanthus excelsa
0.35522684,0.0,Ailanthus excelsa
0.21891232,0.0,Ailanthus excelsa
0.1966549,0.0,Ailanthus excelsa
0.31988096,0.0,Ailanthus excelsa
0.45393598,0.0,Ailanthus excelsa
0.5480715,0.0,Ailanthus excelsa
0.5916731,0.0,Ailanthus excelsa
0.4881074,0.0,Ailanthus excelsa
0.21505965,0.0,Ailanthus excelsa
0.3572493,0.0,Ailanthus excelsa
0.30555463,0.0,Ailanthus excelsa
0.49576333,0.0,Ailanthus excelsa
0.5749666,0.0,Ailanthus excelsa
0.4188043,0.0,Ailanthus excelsa
0.61637974,0.0,Ailanthus excelsa
0.23672535,0.0,Ailanthus excelsa
0.3622993,0.0,Ailanthus excelsa
0.6225398,0.0,Ailanthus excelsa
0.60031945,0.0,Ailanthus excelsa
0.4905481,0.0,Ailanthus excelsa
0.5208971,0.0,Ailanthus excelsa
0.30969077,0.0,Ailanthus excelsa
0.49022314,0.0,Ailanthus excelsa
0.31137794,1.0,Ailanthus excelsa
0.3011509,0.0,Ailanthus excelsa
0.27636465,0.0,Ailanthus excelsa
0.6439328,0.0,Ailanthus excelsa
0.056793615,0.0,Ailanthus excelsa
0.2560728,0.0,Ailanthus excelsa
0.17153707,0.0,Ailanthus excelsa
0.6349347,0.0,Ailanthus excelsa
0.44251087,1.0,Ailanthus excelsa
0.44375774,0.0,Ailanthus excelsa
0.6059354,0.0,Ailanthus excelsa
0.00013353392,0.0,Ailanthus excelsa
0.4264086,0.0,Ailanthus excelsa
0.52418846,0.0,Ailanthus excelsa
0.33019313,0.0,Ailanthus excelsa
0.40568277,0.0,Ailanthus excelsa
0.6264558,0.0,Ailanthus excelsa
0.39600602,0.0,Ailanthus excelsa
0.3948589,0.0,Ailanthus excelsa
0.59252536,0.0,Ailanthus excelsa
0.3842505,0.0,Ailanthus excelsa
0.41513523,0.0,Ailanthus excelsa
0.046717364,0.0,Ailanthus excelsa
0.62204295,0.0,Ailanthus excelsa
0.45292565,0.0,Ailanthus excelsa
0.41844228,0.0,Ailanthus excelsa
0.35942712,0.0,Ailanthus excelsa
0.6489725,0.0,Ailanthus excelsa
0.60823065,0.0,Ailanthus excelsa
0.0802549,0.0,Ailanthus excelsa
0.15951936,0.0,Ailanthus excelsa
0.73951405,0.0,Ailanthus excelsa
0.41750336,0.0,Ailanthus excelsa
0.5012533,0.0,Ailanthus excelsa
0.6068511,0.0,Ailanthus excelsa
0.15655687,0.0,Ailanthus excelsa
0.54190165,0.0,Ailanthus excelsa
0.5849139,0.0,Ailanthus excelsa
0.61442816,0.0,Ailanthus excelsa
0.6338871,0.0,Ailanthus excelsa
0.43710235,0.0,Ailanthus excelsa
0.7381432,0.0,Ailanthus excelsa
0.4565167,0.0,Ailanthus excelsa
0.66426706,0.0,Ailanthus excelsa
0.70682424,0.0,Ailanthus excelsa
0.6062428,1.0,Ailanthus excelsa
0.6561031,0.0,Ailanthus excelsa
0.41456303,0.0,Ailanthus excelsa
0.7175033,0.0,Ailanthus excelsa
0.3425371,0.0,Ailanthus excelsa
0.4751431,0.0,Ailanthus excelsa
0.72454643,0.0,Ailanthus excelsa
0.44571766,0.0,Ailanthus excelsa
0.5588427,0.0,Ailanthus excelsa
0.5700495,1.0,Ailanthus excelsa
0.6992968,0.0,Ailanthus excelsa
0.4996355,0.0,Ailanthus excelsa
0.43914124,0.0,Ailanthus excelsa
0.54378563,0.0,Ailanthus excelsa
0.4440591,0.0,Ailanthus excelsa
0.4201906,0.0,Ailanthus excelsa
0.39999962,0.0,Ailanthus excelsa
0.5664932,0.0,Ailanthus excelsa
0.58298707,0.0,Ailanthus excelsa
0.34357798,0.0,Ailanthus excelsa
0.60611844,0.0,Ailanthus excelsa
0.40056163,1.0,Ailanthus excelsa
0.41109833,0.0,Ailanthus excelsa
0.37247133,0.0,Ailanthus excelsa
0.40704262,0.0,Ailanthus excelsa
0.29789153,0.0,Ailanthus excelsa
0.3738538,1.0,Ailanthus excelsa
0.41943276,0.0,Ailanthus excelsa
0.5197909,0.0,Ailanthus excelsa
0.5802297,0.0,Ailanthus excelsa
0.56992006,0.0,Ailanthus excelsa
0.39227235,0.0,Ailanthus excelsa
0.6831629,0.0,Ailanthus excelsa
0.40370342,0.0,Ailanthus excelsa
0.4012153,0.0,Ailanthus excelsa
0.6041012,0.0,Ailanthus excelsa
0.62254506,1.0,Ailanthus excelsa
0.3053633,0.0,Ailanthus excelsa
0.6153344,0.0,Ailanthus excelsa
0.631357,0.0,Ailanthus excelsa
0.69898725,0.0,Ailanthus excelsa
0.63234574,0.0,Ailanthus excelsa
0.21501172,0.0,Ailanthus excelsa
0.44105098,1.0,Ailanthus excelsa
0.63025016,1.0,Ailanthus excelsa
0.43751094,0.0,Ailanthus excelsa
0.58286554,0.0,Ailanthus excelsa
0.7196592,0.0,Ailanthus excelsa
0.62653226,0.0,Ailanthus excelsa
0.6531761,1.0,Ailanthus excelsa
0.54693496,0.0,Ailanthus excelsa
0.6403647,1.0,Ailanthus excelsa
0.6061009,0.0,Ailanthus excelsa
0.61028403,0.0,Ailanthus excelsa
0.69029504,0.0,Ailanthus excelsa
0.33964747,0.0,Ailanthus excelsa
0.6551035,1.0,Ailanthus excelsa
0.30215046,0.0,Ailanthus excelsa
0.28051257,0.0,Ailanthus excelsa
0.4071745,0.0,Ailanthus excelsa
0.7055946,0.0,Ailanthus excelsa
0.63900715,0.0,Ailanthus excelsa
0.6750394,1.0,Ailanthus excelsa
0.38206214,0.0,Ailanthus excelsa
0.6171293,1.0,Ailanthus excelsa
0.12751815,0.0,Ailanthus excelsa
0.5900033,1.0,Ailanthus excelsa
0.39933074,0.0,Ailanthus excelsa
0.53597736,0.0,Ailanthus excelsa
0.561587,1.0,Ailanthus excelsa
0.5121346,0.0,Ailanthus excelsa
0.62403697,0.0,Ailanthus excelsa
0.22200345,0.0,Ailanthus excelsa
0.59254384,0.0,Ailanthus excelsa
0.62403697,0.0,Ailanthus excelsa
0.37960073,0.0,Ailanthus excelsa
0.5257495,0.0,Ailanthus excelsa
0.6292216,0.0,Ailanthus excelsa
0.32013732,0.0,Ailanthus excelsa
0.21929501,0.0,Ailanthus excelsa
0.60197645,0.0,Ailanthus excelsa
0.23380849,0.0,Ailanthus excelsa
0.3632002,0.0,Ailanthus excelsa
0.5611804,0.0,Ailanthus excelsa
0.56072706,0.0,Ailanthus excelsa
0.587694,0.0,Ailanthus excelsa
0.5643019,0.0,Ailanthus excelsa
0.6237553,0.0,Ailanthus excelsa
0.437466,0.0,Ailanthus excelsa
0.6373628,0.0,Ailanthus excelsa
0.2475467,0.0,Ailanthus excelsa
0.4744561,0.0,Ailanthus excelsa
0.5039801,0.0,Ailanthus excelsa
0.3333385,0.0,Ailanthus excelsa
0.69624543,0.0,Ailanthus excelsa
0.69029504,0.0,Ailanthus excelsa
0.40736854,0.0,Ailanthus excelsa
0.61728126,0.0,Ailanthus excelsa
0.2255838,0.0,Ailanthus excelsa
0.64381254,0.0,Ailanthus excelsa
0.5505696,0.0,Ailanthus excelsa
0.68206877,0.0,Ailanthus excelsa
0.65817255,0.0,Ailanthus excelsa
0.36401713,0.0,Ailanthus excelsa
0.5532487,0.0,Ailanthus excelsa
0.20495602,0.0,Ailanthus excelsa
0.56713694,0.0,Ailanthus excelsa
0.747573,0.0,Ailanthus excelsa
0.57848895,0.0,Ailanthus excelsa
0.53969514,0.0,Ailanthus excelsa
0.39205977,0.0,Ailanthus excelsa
0.2222161,0.0,Ailanthus excelsa
0.60676736,0.0,Ailanthus excelsa
0.49148673,0.0,Ailanthus excelsa
0.28680748,0.0,Ailanthus excelsa
0.64409745,0.0,Ailanthus excelsa
0.48076242,0.0,Ailanthus excelsa
0.30622455,0.0,Ailanthus excelsa
0.48324826,0.0,Ailanthus excelsa
0.42030743,0.0,Ailanthus excelsa
0.7493258,0.0,Ailanthus excelsa
0.36738077,0.0,Ailanthus excelsa
0.33474517,0.0,Ailanthus excelsa
0.61442816,0.0,Ailanthus excelsa
0.63830763,0.0,Ailanthus excelsa
0.49927452,0.0,Ailanthus excelsa
0.65378386,0.0,Ailanthus excelsa
0.42097548,0.0,Ailanthus excelsa
0.33103588,0.0,Ailanthus excelsa
0.69495374,1.0,Ailanthus excelsa
0.48072037,0.0,Ailanthus excelsa
0.682657,0.0,Ailanthus excelsa
0.54795223,0.0,Ailanthus excelsa
0.71534634,0.0,Ailanthus excelsa
0.44011068,1.0,Ailanthus excelsa
0.5802738,0.0,Ailanthus excelsa
0.45392793,0.0,Ailanthus excelsa
0.7341177,0.0,Ailanthus excelsa
0.6627849,1.0,Ailanthus excelsa
0.2843113,0.0,Ailanthus excelsa
0.16394411,0.0,Ailanthus excelsa
0.60396093,0.0,Ailanthus excelsa
0.51732635,0.0,Ailanthus excelsa
0.34330618,0.0,Ailanthus excelsa
0.34244215,1.0,Ailanthus excelsa
0.6361579,0.0,Ailanthus excelsa
0.2701862,0.0,Ailanthus excelsa
0.42960137,0.0,Ailanthus excelsa
0.42191422,0.0,Ailanthus excelsa
0.24053651,0.0,Ailanthus excelsa
0.65817255,0.0,Ailanthus excelsa
0.44937572,0.0,Ailanthus excelsa
0.4448726,0.0,Ailanthus excelsa
0.3223844,1.0,Ailanthus excelsa
0.7166046,0.0,Ailanthus excelsa
0.45260713,0.0,Ailanthus excelsa
0.3346007,0.0,Ailanthus excelsa
0.5428793,0.0,Ailanthus excelsa
0.44072017,0.0,Ailanthus excelsa
0.59248096,0.0,Ailanthus excelsa
0.33791503,0.0,Ailanthus excelsa
0.70574135,1.0,Ailanthus excelsa
0.51304036,0.0,Ailanthus excelsa
0.6674215,1.0,Ailanthus excelsa
0.26472998,0.0,Ailanthus excelsa
0.5900408,0.0,Ailanthus excelsa
0.68391526,0.0,Ailanthus excelsa
0.36489204,0.0,Ailanthus excelsa
0.6106006,1.0,Ailanthus excelsa
0.30900544,1.0,Ailanthus excelsa
0.267311,0.0,Ailanthus excelsa
0.5781005,0.0,Ailanthus excelsa
0.5487451,0.0,Ailanthus excelsa
0.5248617,0.0,Ailanthus excelsa
0.5879442,0.0,Ailanthus excelsa
0.541069,0.0,Ailanthus excelsa
0.31363872,0.0,Ailanthus excelsa
0.43073973,0.0,Ailanthus excelsa
0.4515128,0.0,Ailanthus excelsa
0.5441222,0.0,Ailanthus excelsa
0.616425,0.0,Ailanthus excelsa
0.7324846,0.0,Ailanthus excelsa
0.38852805,0.0,Ailanthus excelsa
0.5192779,0.0,Ailanthus excelsa
0.6602057,0.0,Ailanthus excelsa
0.26731735,0.0,Ailanthus excelsa
0.1783077,0.0,Ailanthus excelsa
0.34783444,0.0,Ailanthus excelsa
0.24060151,0.0,Ailanthus excelsa
0.10099787,0.0,Ailanthus excelsa
0.53849226,0.0,Ailanthus excelsa
0.62972283,1.0,Ailanthus excelsa
0.30323285,0.0,Ailanthus excelsa
0.65940905,0.0,Ailanthus excelsa
0.13601248,0.0,Ailanthus excelsa
0.23473111,1.0,Ailanthus excelsa
0.3903873,0.0,Ailanthus excelsa
0.42875865,0.0,Ailanthus excelsa
0.3845644,0.0,Ailanthus excelsa
0.43193704,0.0,Ailanthus excelsa
0.51403695,0.0,Ailanthus excelsa
0.42785546,0.0,Ailanthus excelsa
0.58261174,0.0,Ailanthus excelsa
0.5963686,0.0,Ailanthus excelsa
0.4564425,0.0,Ailanthus excelsa
0.5268386,1.0,Ailanthus excelsa
0.5406438,0.0,Ailanthus excelsa
0.5857414,0.0,Ailanthus excelsa
0.31570116,0.0,Ailanthus excelsa
0.70492136,0.0,Ailanthus excelsa
0.46067783,0.0,Ailanthus excelsa
0.5735068,0.0,Ailanthus excelsa
0.45172372,0.0,Ailanthus excelsa
0.5721747,0.0,Ailanthus excelsa
0.39364007,0.0,Ailanthus excelsa
0.5581089,0.0,Ailanthus excelsa
0.41636553,0.0,Ailanthus excelsa
0.67487603,1.0,Ailanthus excelsa
0.53835404,0.0,Ailanthus excelsa
0.314205,0.0,Ailanthus excelsa
0.70130056,0.0,Ailanthus excelsa
0.13858654,0.0,Ailanthus excelsa
0.40030462,0.0,Ailanthus excelsa
0.6154881,0.0,Ailanthus excelsa
0.5377121,0.0,Ailanthus excelsa
0.5855323,0.0,Ailanthus excelsa
0.4512594,0.0,Ailanthus excelsa
0.64220643,0.0,Ailanthus excelsa
0.3981079,0.0,Ailanthus excelsa
0.48006546,0.0,Ailanthus excelsa
0.32760635,0.0,Ailanthus excelsa
0.35027125,0.0,Ailanthus excelsa
0.3786092,0.0,Ailanthus excelsa
0.22784913,0.0,Ailanthus excelsa
0.51960725,0.0,Ailanthus excelsa
0.6833501,0.0,Ailanthus excelsa
0.45607162,0.0,Ailanthus excelsa
0.7582013,0.0,Ailanthus excelsa
