probability,true_label,species
0.48198614,0.0,Azadirachta indica
0.4444958,0.0,Azadirachta indica
0.52634996,0.0,Azadirachta indica
0.5389283,0.0,Azadirachta indica
0.41821462,0.0,Azadirachta indica
0.4527755,0.0,Azadirachta indica
0.51212007,1.0,Azadirachta indica
0.33448455,0.0,Azadirachta indica
0.2971504,1.0,Azadirachta indica
0.23286127,0.0,Azadirachta indica
0.5229937,0.0,Azadirachta indica
0.4811869,0.0,Azadirachta indica
0.5662422,0.0,Azadirachta indica
0.28400433,1.0,Azadirachta indica
0.32247826,0.0,Azadirachta indica
0.7687975,0.0,Azadirachta indica
0.5814616,0.0,Azadirachta indica
0.4204885,0.0,Azadirachta indica
0.45792773,0.0,Azadirachta indica
0.6486868,0.0,Azadirachta indica
0.5997351,1.0,Azadirachta indica
0.302708,0.0,Azadirachta indica
0.45778656,1.0,Azadirachta indica
0.42222685,1.0,Azadirachta indica
0.55212724,0.0,Azadirachta indica
0.41546157,0.0,Azadirachta indica
0.3198076,0.0,Azadirachta indica
0.5998301,0.0,Azadirachta indica
0.3951332,1.0,Azadirachta indica
0.45428407,0.0,Azadirachta indica
0.680927,1.0,Azadirachta indica
0.39030743,1.0,Azadirachta indica
0.4688705,0.0,Azadirachta indica
0.40979218,0.0,Azadirachta indica
0.40826207,0.0,Azadirachta indica
0.38509333,0.0,Azadirachta indica
0.34951356,0.0,Azadirachta indica
0.29952368,1.0,Azadirachta indica
0.3732215,0.0,Azadirachta indica
0.38430804,0.0,Azadirachta indica
0.4771895,0.0,Azadirachta indica
0.43517807,1.0,Azadirachta indica
0.4913737,0.0,Azadirachta indica
0.42424446,0.0,Azadirachta indica
0.42938316,0.0,Azadirachta indica
0.29096127,0.0,Azadirachta indica
0.5207548,1.0,Azadirachta indica
0.34512407,0.0,Azadirachta indica
0.37726536,0.0,Azadirachta indica
0.45186412,0.0,Azadirachta indica
0.48511845,0.0,Azadirachta indica
0.39696595,0.0,Azadirachta indica
0.3398915,0.0,Azadirachta indica
0.21699643,0.0,Azadirachta indica
0.47716996,0.0,Azadirachta indica
0.39014474,0.0,Azadirachta indica
0.3903787,1.0,Azadirachta indica
0.59618264,0.0,Azadirachta indica
0.25590527,0.0,Azadirachta indica
0.6631638,1.0,Azadirachta indica
0.3769255,0.0,Azadirachta indica
0.6677018,0.0,Azadirachta indica
0.20393434,0.0,Azadirachta indica
0.4674488,0.0,Azadirachta indica
0.5522494,0.0,Azadirachta indica
0.7332439,0.0,Azadirachta indica
0.2541887,0.0,Azadirachta indica
0.27315235,0.0,Azadirachta indica
0.27871755,0.0,Azadirachta indica
0.49636063,1.0,Azadirachta indica
0.5918575,1.0,Azadirachta indica
0.42094827,0.0,Azadirachta indica
0.5959648,0.0,Azadirachta indica
0.5497831,0.0,Azadirachta indica
0.44584548,0.0,Azadirachta indica
0.60816115,1.0,Azadirachta indica
0.3341726,0.0,Azadirachta indica
0.3737282,0.0,Azadirachta indica
0.44293395,0.0,Azadirachta indica
0.44785666,0.0,Azadirachta indica
0.3536908,0.0,Azadirachta indica
0.5166684,0.0,Azadirachta indica
0.5785882,1.0,Azadirachta indica
0.26489392,1.0,Azadirachta indica
0.50648385,1.0,Azadirachta indica
0.5753509,1.0,Azadirachta indica
0.40029424,0.0,Azadirachta indica
0.5252075,1.0,Azadirachta indica
0.5273385,1.0,Azadirachta indica
0.49756655,1.0,Azadirachta indica
0.61520326,1.0,Azadirachta indica
0.5773208,1.0,Azadirachta indica
0.6696731,1.0,Azadirachta indica
0.58598447,0.0,Azadirachta indica
0.5358494,1.0,Azadirachta indica
0.43086615,1.0,Azadirachta indica
0.55089957,1.0,Azadirachta indica
0.64156044,0.0,Azadirachta indica
0.5765566,0.0,Azadirachta indica
0.39577657,0.0,Azadirachta indica
0.5612124,1.0,Azadirachta indica
0.36883545,0.0,Azadirachta indica
0.4489621,0.0,Azadirachta indica
0.5200689,0.0,Azadirachta indica
0.29096127,0.0,Azadirachta indica
0.30737472,0.0,Azadirachta indica
0.3253425,0.0,Azadirachta indica
0.6057268,1.0,Azadirachta indica
0.37363908,0.0,Azadirachta indica
0.42744198,0.0,Azadirachta indica
0.60536546,0.0,Azadirachta indica
0.20161238,0.0,Azadirachta indica
0.70875525,0.0,Azadirachta indica
0.334236,0.0,Azadirachta indica
0.57295996,0.0,Azadirachta indica
0.4093668,0.0,Azadirachta indica
0.6093463,0.0,Azadirachta indica
0.5293097,1.0,Azadirachta indica
0.64791566,1.0,Azadirachta indica
0.23718368,0.0,Azadirachta indica
0.6065555,0.0,Azadirachta indica
0.63746446,1.0,Azadirachta indica
0.36297542,0.0,Azadirachta indica
0.58076864,0.0,Azadirachta indica
0.5578204,0.0,Azadirachta indica
0.64375967,1.0,Azadirachta indica
0.63762003,1.0,Azadirachta indica
0.4341711,0.0,Azadirachta indica
0.46245193,0.0,Azadirachta indica
0.41781238,0.0,Azadirachta indica
0.52852404,0.0,Azadirachta indica
0.37800214,0.0,Azadirachta indica
0.46937227,0.0,Azadirachta indica
0.5109217,1.0,Azadirachta indica
0.6589958,1.0,Azadirachta indica
0.4021137,0.0,Azadirachta indica
0.41997856,0.0,Azadirachta indica
0.4557675,0.0,Azadirachta indica
0.52861845,0.0,Azadirachta indica
0.50408703,0.0,Azadirachta indica
0.2256949,1.0,Azadirachta indica
0.28847814,0.0,Azadirachta indica
0.6523,1.0,Azadirachta indica
0.55410427,1.0,Azadirachta indica
0.42447826,0.0,Azadirachta indica
0.5007452,1.0,Azadirachta indica
0.47256532,1.0,Azadirachta indica
0.34455445,0.0,Azadirachta indica
0.21804208,0.0,Azadirachta indica
0.49580592,0.0,Azadirachta indica
0.47791824,1.0,Azadirachta indica
0.36024135,0.0,Azadirachta indica
0.45869026,0.0,Azadirachta indica
0.27671167,0.0,Azadirachta indica
0.42358884,0.0,Azadirachta indica
0.5069102,0.0,Azadirachta indica
0.43084005,0.0,Azadirachta indica
0.41401798,0.0,Azadirachta indica
0.26977694,0.0,Azadirachta indica
0.5433367,0.0,Azadirachta indica
0.4125439,1.0,Azadirachta indica
0.3218254,0.0,Azadirachta indica
0.5541898,0.0,Azadirachta indica
0.32153556,0.0,Azadirachta indica
0.3658357,0.0,Azadirachta indica
0.48867655,0.0,Azadirachta indica
0.3546009,0.0,Azadirachta indica
0.45841473,0.0,Azadirachta indica
0.4203768,0.0,Azadirachta indica
0.33901376,0.0,Azadirachta indica
0.58857083,0.0,Azadirachta indica
0.46547863,0.0,Azadirachta indica
0.7158853,0.0,Azadirachta indica
0.6723936,1.0,Azadirachta indica
0.34042034,0.0,Azadirachta indica
0.78389424,1.0,Azadirachta indica
0.6004488,1.0,Azadirachta indica
0.61524653,0.0,Azadirachta indica
0.4050463,0.0,Azadirachta indica
0.55517304,1.0,Azadirachta indica
0.6254195,0.0,Azadirachta indica
0.5563817,0.0,Azadirachta indica
0.50288516,0.0,Azadirachta indica
0.44835618,0.0,Azadirachta indica
0.6752034,0.0,Azadirachta indica
0.39384887,0.0,Azadirachta indica
0.5313963,0.0,Azadirachta indica
0.63219804,1.0,Azadirachta indica
0.4615894,0.0,Azadirachta indica
0.4710586,1.0,Azadirachta indica
0.3755543,1.0,Azadirachta indica
0.47942102,0.0,Azadirachta indica
0.453723,1.0,Azadirachta indica
0.59967864,1.0,Azadirachta indica
0.46579835,0.0,Azadirachta indica
0.46211353,1.0,Azadirachta indica
0.53632385,0.0,Azadirachta indica
0.5917894,1.0,Azadirachta indica
0.6219172,1.0,Azadirachta indica
0.5048952,1.0,Azadirachta indica
0.1954652,0.0,Azadirachta indica
0.5710259,1.0,Azadirachta indica
0.29496318,0.0,Azadirachta indica
0.49473244,1.0,Azadirachta indica
0.32780194,1.0,Azadirachta indica
0.42758802,1.0,Azadirachta indica
0.40167776,1.0,Azadirachta indica
0.3169539,0.0,Azadirachta indica
0.5695029,1.0,Azadirachta indica
0.5133413,0.0,Azadirachta indica
0.45518106,0.0,Azadirachta indica
0.50509995,1.0,Azadirachta indica
0.56142646,1.0,Azadirachta indica
0.2952923,0.0,Azadirachta indica
0.6005944,1.0,Azadirachta indica
0.61016595,0.0,Azadirachta indica
0.48015156,0.0,Azadirachta indica
0.5029054,1.0,Azadirachta indica
0.3612781,0.0,Azadirachta indica
0.31674924,0.0,Azadirachta indica
0.61515385,1.0,Azadirachta indica
0.50288516,0.0,Azadirachta indica
0.39460686,0.0,Azadirachta indica
0.37299562,0.0,Azadirachta indica
0.5116018,0.0,Azadirachta indica
0.47562307,0.0,Azadirachta indica
0.39401916,0.0,Azadirachta indica
0.77194065,1.0,Azadirachta indica
0.41252664,0.0,Azadirachta indica
0.49235472,1.0,Azadirachta indica
0.7052943,1.0,Azadirachta indica
0.39014325,0.0,Azadirachta indica
0.5174644,1.0,Azadirachta indica
0.36063385,0.0,Azadirachta indica
0.59557575,0.0,Azadirachta indica
0.5526066,0.0,Azadirachta indica
0.5244003,1.0,Azadirachta indica
0.3487144,0.0,Azadirachta indica
0.36343604,0.0,Azadirachta indica
0.62571955,0.0,Azadirachta indica
0.4802737,0.0,Azadirachta indica
0.43327206,0.0,Azadirachta indica
0.41293752,0.0,Azadirachta indica
0.64469767,0.0,Azadirachta indica
0.42306125,1.0,Azadirachta indica
0.4263962,0.0,Azadirachta indica
0.434705,1.0,Azadirachta indica
0.42941895,0.0,Azadirachta indica
0.7482141,0.0,Azadirachta indica
0.38298115,0.0,Azadirachta indica
0.34586236,0.0,Azadirachta indica
0.47596806,0.0,Azadirachta indica
0.34548342,0.0,Azadirachta indica
0.4946926,0.0,Azadirachta indica
0.46967554,0.0,Azadirachta indica
0.38576415,0.0,Azadirachta indica
0.55221593,0.0,Azadirachta indica
0.5204051,1.0,Azadirachta indica
0.46429095,0.0,Azadirachta indica
0.5675002,0.0,Azadirachta indica
0.564376,0.0,Azadirachta indica
0.39944237,0.0,Azadirachta indica
0.7213117,1.0,Azadirachta indica
0.5959838,1.0,Azadirachta indica
0.4303742,1.0,Azadirachta indica
0.33250555,0.0,Azadirachta indica
0.5598548,0.0,Azadirachta indica
0.3686153,0.0,Azadirachta indica
0.45852697,0.0,Azadirachta indica
0.4402989,1.0,Azadirachta indica
0.55501854,0.0,Azadirachta indica
0.46342602,0.0,Azadirachta indica
0.5120099,1.0,Azadirachta indica
0.25920403,0.0,Azadirachta indica
0.28530687,0.0,Azadirachta indica
0.4405162,1.0,Azadirachta indica
0.5361014,0.0,Azadirachta indica
0.29227436,0.0,Azadirachta indica
0.55145615,1.0,Azadirachta indica
0.5746174,0.0,Azadirachta indica
0.372042,0.0,Azadirachta indica
0.47675645,0.0,Azadirachta indica
0.3120081,0.0,Azadirachta indica
0.5578204,0.0,Azadirachta indica
0.49986067,0.0,Azadirachta indica
0.3821211,1.0,Azadirachta indica
0.27431008,0.0,Azadirachta indica
0.5733514,0.0,Azadirachta indica
0.53895706,0.0,Azadirachta indica
0.62491065,1.0,Azadirachta indica
0.3097337,0.0,Azadirachta indica
0.5746174,0.0,Azadirachta indica
0.32196644,0.0,Azadirachta indica
0.3546009,0.0,Azadirachta indica
