probability,true_label,species
0.50777745,1.0,Vachellia nilotica
0.4776492,0.0,Vachellia nilotica
0.53541774,0.0,Vachellia nilotica
0.4117744,1.0,Vachellia nilotica
0.2877592,0.0,Vachellia nilotica
0.7509184,1.0,Vachellia nilotica
0.6855964,0.0,Vachellia nilotica
0.32976878,0.0,Vachellia nilotica
0.56483924,1.0,Vachellia nilotica
0.30804577,0.0,Vachellia nilotica
0.5691082,1.0,Vachellia nilotica
0.42051524,0.0,Vachellia nilotica
0.48685855,0.0,Vachellia nilotica
0.5911056,0.0,Vachellia nilotica
0.46198088,0.0,Vachellia nilotica
0.5413472,0.0,Vachellia nilotica
0.555669,0.0,Vachellia nilotica
0.42744848,0.0,Vachellia nilotica
0.3065745,0.0,Vachellia nilotica
0.30185795,0.0,Vachellia nilotica
0.67692757,0.0,Vachellia nilotica
0.27628168,0.0,Vachellia nilotica
0.33650842,0.0,Vachellia nilotica
0.2288313,0.0,Vachellia nilotica
0.491777,1.0,Vachellia nilotica
0.467808,0.0,Vachellia nilotica
0.6046088,0.0,Vachellia nilotica
0.3969513,0.0,Vachellia nilotica
0.43889412,0.0,Vachellia nilotica
0.36772242,0.0,Vachellia nilotica
0.62640864,0.0,Vachellia nilotica
0.39449596,1.0,Vachellia nilotica
0.6991776,0.0,Vachellia nilotica
0.3905079,0.0,Vachellia nilotica
0.46463898,0.0,Vachellia nilotica
0.7580249,0.0,Vachellia nilotica
0.6517652,1.0,Vachellia nilotica
0.47699416,1.0,Vachellia nilotica
0.66127145,1.0,Vachellia nilotica
0.5599326,0.0,Vachellia nilotica
0.48121703,0.0,Vachellia nilotica
0.39581484,1.0,Vachellia nilotica
0.6775069,1.0,Vachellia nilotica
0.49476746,0.0,Vachellia nilotica
0.5034829,0.0,Vachellia nilotica
0.7116173,0.0,Vachellia nilotica
0.45133424,0.0,Vachellia nilotica
0.49264804,0.0,Vachellia nilotica
0.6163824,1.0,Vachellia nilotica
0.51874423,0.0,Vachellia nilotica
0.49890032,0.0,Vachellia nilotica
0.63929605,1.0,Vachellia nilotica
0.34785992,1.0,Vachellia nilotica
0.54847366,0.0,Vachellia nilotica
0.22230373,0.0,Vachellia nilotica
0.46451822,0.0,Vachellia nilotica
0.7757566,1.0,Vachellia nilotica
0.627582,0.0,Vachellia nilotica
0.51170397,1.0,Vachellia nilotica
0.52291167,0.0,Vachellia nilotica
0.5683145,1.0,Vachellia nilotica
0.84259444,1.0,Vachellia nilotica
0.14428475,0.0,Vachellia nilotica
0.52826416,0.0,Vachellia nilotica
0.13374794,0.0,Vachellia nilotica
0.4135795,0.0,Vachellia nilotica
0.39210927,0.0,Vachellia nilotica
0.43484738,0.0,Vachellia nilotica
0.4175372,0.0,Vachellia nilotica
0.28222832,0.0,Vachellia nilotica
0.6725468,0.0,Vachellia nilotica
0.3935837,0.0,Vachellia nilotica
0.67412466,0.0,Vachellia nilotica
0.45413652,0.0,Vachellia nilotica
0.5117981,0.0,Vachellia nilotica
0.24258049,0.0,Vachellia nilotica
0.5205938,0.0,Vachellia nilotica
0.67931193,0.0,Vachellia nilotica
0.658993,0.0,Vachellia nilotica
0.41443056,0.0,Vachellia nilotica
0.4701517,0.0,Vachellia nilotica
0.4827881,0.0,Vachellia nilotica
0.634505,0.0,Vachellia nilotica
0.53258055,1.0,Vachellia nilotica
0.48612213,0.0,Vachellia nilotica
0.6650744,1.0,Vachellia nilotica
0.6634494,0.0,Vachellia nilotica
0.7215915,1.0,Vachellia nilotica
0.60645634,0.0,Vachellia nilotica
0.5007151,0.0,Vachellia nilotica
0.40972692,0.0,Vachellia nilotica
0.24654794,0.0,Vachellia nilotica
0.6720343,0.0,Vachellia nilotica
0.31363684,0.0,Vachellia nilotica
0.30122885,1.0,Vachellia nilotica
0.49403328,0.0,Vachellia nilotica
0.45896077,0.0,Vachellia nilotica
0.2839495,0.0,Vachellia nilotica
