probability,true_label,species
0.16032843,1.0,Prosopis cineraria
0.23441921,0.0,Prosopis cineraria
0.06670095,0.0,Prosopis cineraria
0.07356667,0.0,Prosopis cineraria
0.027954528,0.0,Prosopis cineraria
0.48163843,0.0,Prosopis cineraria
0.017659519,0.0,Prosopis cineraria
0.008036186,0.0,Prosopis cineraria
0.29774585,0.0,Prosopis cineraria
0.023264034,0.0,Prosopis cineraria
0.16317536,0.0,Prosopis cineraria
0.29944745,0.0,Prosopis cineraria
0.7178659,0.0,Prosopis cineraria
0.62249684,0.0,Prosopis cineraria
0.07510365,0.0,Prosopis cineraria
0.5851994,0.0,Prosopis cineraria
0.03620444,0.0,Prosopis cineraria
0.36502817,1.0,Prosopis cineraria
0.0902144,0.0,Prosopis cineraria
0.06069019,0.0,Prosopis cineraria
0.086904764,0.0,Prosopis cineraria
0.16813953,0.0,Prosopis cineraria
0.1885947,0.0,Prosopis cineraria
0.06415922,0.0,Prosopis cineraria
0.08584482,0.0,Prosopis cineraria
0.85800004,0.0,Prosopis cineraria
0.2972916,0.0,Prosopis cineraria
0.2161544,0.0,Prosopis cineraria
0.09086975,0.0,Prosopis cineraria
0.0438252,1.0,Prosopis cineraria
0.2097694,0.0,Prosopis cineraria
0.2758291,0.0,Prosopis cineraria
0.19906358,0.0,Prosopis cineraria
0.08975026,0.0,Prosopis cineraria
0.59695405,0.0,Prosopis cineraria
0.7553959,1.0,Prosopis cineraria
0.3808071,0.0,Prosopis cineraria
0.21579632,0.0,Prosopis cineraria
0.25089684,0.0,Prosopis cineraria
0.83605486,1.0,Prosopis cineraria
0.36067605,0.0,Prosopis cineraria
0.33425304,0.0,Prosopis cineraria
0.6164807,0.0,Prosopis cineraria
0.28854477,0.0,Prosopis cineraria
0.112443514,0.0,Prosopis cineraria
0.17484762,1.0,Prosopis cineraria
0.032719973,0.0,Prosopis cineraria
0.55529755,0.0,Prosopis cineraria
0.44613838,0.0,Prosopis cineraria
0.030567924,0.0,Prosopis cineraria
0.068803236,0.0,Prosopis cineraria
0.1790423,0.0,Prosopis cineraria
0.53038436,1.0,Prosopis cineraria
0.067485385,0.0,Prosopis cineraria
0.04254482,0.0,Prosopis cineraria
0.5843211,0.0,Prosopis cineraria
0.051653385,0.0,Prosopis cineraria
0.6660199,1.0,Prosopis cineraria
0.069440484,0.0,Prosopis cineraria
0.6831831,0.0,Prosopis cineraria
0.6682192,1.0,Prosopis cineraria
0.06412838,0.0,Prosopis cineraria
0.6309522,0.0,Prosopis cineraria
0.36390677,0.0,Prosopis cineraria
0.0123680895,0.0,Prosopis cineraria
0.028403537,0.0,Prosopis cineraria
0.24306639,0.0,Prosopis cineraria
0.09458345,0.0,Prosopis cineraria
0.21763119,0.0,Prosopis cineraria
0.16767274,0.0,Prosopis cineraria
0.054447755,0.0,Prosopis cineraria
0.555354,0.0,Prosopis cineraria
0.022347564,0.0,Prosopis cineraria
0.31502023,0.0,Prosopis cineraria
0.18282866,0.0,Prosopis cineraria
0.3526242,0.0,Prosopis cineraria
0.7664073,0.0,Prosopis cineraria
0.15140057,0.0,Prosopis cineraria
0.15045722,0.0,Prosopis cineraria
0.17708814,0.0,Prosopis cineraria
0.14705122,0.0,Prosopis cineraria
0.019726379,0.0,Prosopis cineraria
0.5649522,0.0,Prosopis cineraria
0.13790539,0.0,Prosopis cineraria
0.5007782,1.0,Prosopis cineraria
0.088062346,0.0,Prosopis cineraria
0.09167166,0.0,Prosopis cineraria
0.06015772,1.0,Prosopis cineraria
0.12435637,0.0,Prosopis cineraria
0.034198716,0.0,Prosopis cineraria
0.50278777,0.0,Prosopis cineraria
0.008984189,0.0,Prosopis cineraria
0.34373984,0.0,Prosopis cineraria
0.036452133,0.0,Prosopis cineraria
0.519631,0.0,Prosopis cineraria
0.059283655,0.0,Prosopis cineraria
0.94280434,0.0,Prosopis cineraria
0.064930506,0.0,Prosopis cineraria
0.39002487,0.0,Prosopis cineraria
0.23189503,0.0,Prosopis cineraria
0.24556398,0.0,Prosopis cineraria
4.4001186e-05,0.0,Prosopis cineraria
0.548718,0.0,Prosopis cineraria
0.49363536,0.0,Prosopis cineraria
0.08507614,0.0,Prosopis cineraria
0.024578767,0.0,Prosopis cineraria
0.33406407,0.0,Prosopis cineraria
0.50297457,0.0,Prosopis cineraria
0.4822324,0.0,Prosopis cineraria
0.1431109,0.0,Prosopis cineraria
0.43731073,0.0,Prosopis cineraria
0.032451823,0.0,Prosopis cineraria
0.03798704,0.0,Prosopis cineraria
0.55098706,0.0,Prosopis cineraria
0.3053739,0.0,Prosopis cineraria
0.29135457,0.0,Prosopis cineraria
0.12943418,0.0,Prosopis cineraria
0.05512247,0.0,Prosopis cineraria
0.25917497,0.0,Prosopis cineraria
0.6087282,0.0,Prosopis cineraria
0.72490287,1.0,Prosopis cineraria
0.04931852,0.0,Prosopis cineraria
0.082350574,0.0,Prosopis cineraria
0.07137481,0.0,Prosopis cineraria
0.11986893,0.0,Prosopis cineraria
0.043080706,0.0,Prosopis cineraria
0.64435124,0.0,Prosopis cineraria
0.11281366,0.0,Prosopis cineraria
0.13808641,0.0,Prosopis cineraria
0.42863473,0.0,Prosopis cineraria
0.45471886,0.0,Prosopis cineraria
0.22734831,0.0,Prosopis cineraria
0.28295252,0.0,Prosopis cineraria
0.6825477,1.0,Prosopis cineraria
0.0863177,0.0,Prosopis cineraria
0.11695566,0.0,Prosopis cineraria
0.2735377,0.0,Prosopis cineraria
0.39902273,0.0,Prosopis cineraria
0.28548494,0.0,Prosopis cineraria
0.39420587,1.0,Prosopis cineraria
0.29529443,0.0,Prosopis cineraria
0.014901476,0.0,Prosopis cineraria
0.08412824,0.0,Prosopis cineraria
0.105465874,0.0,Prosopis cineraria
0.38413543,0.0,Prosopis cineraria
0.03508346,0.0,Prosopis cineraria
0.089134976,0.0,Prosopis cineraria
0.8793057,1.0,Prosopis cineraria
0.49131742,1.0,Prosopis cineraria
0.635392,0.0,Prosopis cineraria
0.22097553,0.0,Prosopis cineraria
0.1781464,0.0,Prosopis cineraria
0.25682628,0.0,Prosopis cineraria
0.033328254,0.0,Prosopis cineraria
0.2557476,0.0,Prosopis cineraria
0.5173562,0.0,Prosopis cineraria
0.051030662,0.0,Prosopis cineraria
0.030028142,0.0,Prosopis cineraria
0.29569197,0.0,Prosopis cineraria
0.70274246,0.0,Prosopis cineraria
0.0328716,0.0,Prosopis cineraria
0.026972095,0.0,Prosopis cineraria
0.06445067,0.0,Prosopis cineraria
0.15859699,0.0,Prosopis cineraria
0.44831043,0.0,Prosopis cineraria
0.037651315,0.0,Prosopis cineraria
0.76714486,1.0,Prosopis cineraria
0.4569999,0.0,Prosopis cineraria
0.31619224,0.0,Prosopis cineraria
0.14281616,0.0,Prosopis cineraria
0.040776297,0.0,Prosopis cineraria
0.05547542,0.0,Prosopis cineraria
0.89912885,0.0,Prosopis cineraria
0.16386764,0.0,Prosopis cineraria
0.42937103,0.0,Prosopis cineraria
0.111875735,0.0,Prosopis cineraria
0.13413656,0.0,Prosopis cineraria
0.464529,0.0,Prosopis cineraria
0.0109936595,0.0,Prosopis cineraria
0.16159004,0.0,Prosopis cineraria
0.5629712,0.0,Prosopis cineraria
0.39154676,0.0,Prosopis cineraria
0.6428028,0.0,Prosopis cineraria
0.12781984,0.0,Prosopis cineraria
0.17979194,0.0,Prosopis cineraria
0.0029788779,0.0,Prosopis cineraria
0.69620407,0.0,Prosopis cineraria
0.7080475,0.0,Prosopis cineraria
0.7124618,0.0,Prosopis cineraria
0.42633995,0.0,Prosopis cineraria
0.70632607,0.0,Prosopis cineraria
0.07464475,0.0,Prosopis cineraria
0.06544278,0.0,Prosopis cineraria
0.02611495,0.0,Prosopis cineraria
0.17734025,0.0,Prosopis cineraria
0.43842572,0.0,Prosopis cineraria
0.03948241,0.0,Prosopis cineraria
0.6476835,1.0,Prosopis cineraria
0.06853903,0.0,Prosopis cineraria
0.1055842,0.0,Prosopis cineraria
0.09307096,0.0,Prosopis cineraria
0.033971276,0.0,Prosopis cineraria
0.118687175,0.0,Prosopis cineraria
0.11189843,0.0,Prosopis cineraria
0.18511689,0.0,Prosopis cineraria
0.046863824,1.0,Prosopis cineraria
0.049199156,0.0,Prosopis cineraria
0.34965518,0.0,Prosopis cineraria
0.36106285,0.0,Prosopis cineraria
0.05334072,0.0,Prosopis cineraria
0.64625365,1.0,Prosopis cineraria
0.5245757,0.0,Prosopis cineraria
0.21437556,0.0,Prosopis cineraria
0.048940476,0.0,Prosopis cineraria
0.32797596,0.0,Prosopis cineraria
