probability,true_label,species
0.624122,0.0,Ailanthus excelsa
0.048971757,0.0,Ailanthus excelsa
0.029098272,0.0,Ailanthus excelsa
0.25792435,0.0,Ailanthus excelsa
0.63777477,0.0,Ailanthus excelsa
0.45105407,0.0,Ailanthus excelsa
0.28054306,0.0,Ailanthus excelsa
0.047188725,0.0,Ailanthus excelsa
0.6574631,0.0,Ailanthus excelsa
0.36422536,0.0,Ailanthus excelsa
0.0030093575,0.0,Ailanthus excelsa
0.11122897,0.0,Ailanthus excelsa
0.7900828,0.0,Ailanthus excelsa
0.0011830167,0.0,Ailanthus excelsa
0.6869281,0.0,Ailanthus excelsa
0.1122724,0.0,Ailanthus excelsa
0.022006676,0.0,Ailanthus excelsa
0.59711576,1.0,Ailanthus excelsa
0.681017,0.0,Ailanthus excelsa
0.14678027,0.0,Ailanthus excelsa
0.6389234,0.0,Ailanthus excelsa
0.14430524,0.0,Ailanthus excelsa
0.66757673,0.0,Ailanthus excelsa
0.7512027,0.0,Ailanthus excelsa
0.014782941,0.0,Ailanthus excelsa
0.45469353,0.0,Ailanthus excelsa
0.019649941,0.0,Ailanthus excelsa
0.5220083,0.0,Ailanthus excelsa
0.017906835,0.0,Ailanthus excelsa
0.17562029,0.0,Ailanthus excelsa
0.006915378,0.0,Ailanthus excelsa
0.6561977,0.0,Ailanthus excelsa
0.58323544,0.0,Ailanthus excelsa
0.531306,0.0,Ailanthus excelsa
0.03833572,0.0,Ailanthus excelsa
0.4065196,0.0,Ailanthus excelsa
0.7696542,0.0,Ailanthus excelsa
0.8834711,0.0,Ailanthus excelsa
0.4099194,0.0,Ailanthus excelsa
0.023310155,0.0,Ailanthus excelsa
0.19204116,0.0,Ailanthus excelsa
0.0013660397,0.0,Ailanthus excelsa
0.0059746043,0.0,Ailanthus excelsa
0.012783434,0.0,Ailanthus excelsa
0.03114675,0.0,Ailanthus excelsa
0.8236697,0.0,Ailanthus excelsa
0.771341,1.0,Ailanthus excelsa
0.75117093,0.0,Ailanthus excelsa
0.15205763,0.0,Ailanthus excelsa
0.02114256,0.0,Ailanthus excelsa
0.056235965,0.0,Ailanthus excelsa
0.83482265,1.0,Ailanthus excelsa
0.07728196,0.0,Ailanthus excelsa
0.69420284,0.0,Ailanthus excelsa
0.035718735,0.0,Ailanthus excelsa
0.2727271,0.0,Ailanthus excelsa
0.011684323,0.0,Ailanthus excelsa
0.21452968,0.0,Ailanthus excelsa
0.8638437,1.0,Ailanthus excelsa
0.0023328832,0.0,Ailanthus excelsa
0.0016862272,0.0,Ailanthus excelsa
0.8399579,1.0,Ailanthus excelsa
0.7732229,0.0,Ailanthus excelsa
0.33706775,0.0,Ailanthus excelsa
0.1235458,0.0,Ailanthus excelsa
0.8604929,1.0,Ailanthus excelsa
0.27293316,0.0,Ailanthus excelsa
0.36359426,0.0,Ailanthus excelsa
0.5250453,0.0,Ailanthus excelsa
0.02508777,0.0,Ailanthus excelsa
0.022513052,0.0,Ailanthus excelsa
0.0022181368,0.0,Ailanthus excelsa
0.1286316,0.0,Ailanthus excelsa
0.031897366,0.0,Ailanthus excelsa
0.35551968,0.0,Ailanthus excelsa
0.0014264426,0.0,Ailanthus excelsa
0.0005875172,0.0,Ailanthus excelsa
0.7979027,0.0,Ailanthus excelsa
0.00023019397,1.0,Ailanthus excelsa
0.7472455,0.0,Ailanthus excelsa
0.034702536,0.0,Ailanthus excelsa
0.4125301,0.0,Ailanthus excelsa
0.8950221,1.0,Ailanthus excelsa
0.017396951,0.0,Ailanthus excelsa
0.004456646,0.0,Ailanthus excelsa
0.43424752,0.0,Ailanthus excelsa
0.28877345,0.0,Ailanthus excelsa
0.32581788,0.0,Ailanthus excelsa
0.48337403,0.0,Ailanthus excelsa
0.14013943,0.0,Ailanthus excelsa
0.6237991,0.0,Ailanthus excelsa
0.64596975,0.0,Ailanthus excelsa
0.069417045,0.0,Ailanthus excelsa
0.7618933,0.0,Ailanthus excelsa
0.49325302,0.0,Ailanthus excelsa
0.2599435,0.0,Ailanthus excelsa
0.8901132,1.0,Ailanthus excelsa
0.024114113,0.0,Ailanthus excelsa
0.011157116,0.0,Ailanthus excelsa
0.00048462956,0.0,Ailanthus excelsa
0.66160434,1.0,Ailanthus excelsa
0.5746134,0.0,Ailanthus excelsa
0.1117838,0.0,Ailanthus excelsa
0.03612757,0.0,Ailanthus excelsa
0.86431766,1.0,Ailanthus excelsa
0.35910732,0.0,Ailanthus excelsa
0.14691368,0.0,Ailanthus excelsa
0.030337812,0.0,Ailanthus excelsa
0.6391349,0.0,Ailanthus excelsa
0.040484853,0.0,Ailanthus excelsa
0.009080475,0.0,Ailanthus excelsa
0.2396692,1.0,Ailanthus excelsa
0.79833174,0.0,Ailanthus excelsa
0.5571312,1.0,Ailanthus excelsa
0.14532061,0.0,Ailanthus excelsa
0.36842299,0.0,Ailanthus excelsa
0.061829615,0.0,Ailanthus excelsa
0.017602904,0.0,Ailanthus excelsa
0.10808121,0.0,Ailanthus excelsa
0.0008127394,0.0,Ailanthus excelsa
0.0003522599,0.0,Ailanthus excelsa
0.69656444,1.0,Ailanthus excelsa
0.89438677,0.0,Ailanthus excelsa
0.077428915,0.0,Ailanthus excelsa
0.8550946,1.0,Ailanthus excelsa
0.6764631,0.0,Ailanthus excelsa
0.73186815,1.0,Ailanthus excelsa
0.41306123,0.0,Ailanthus excelsa
0.8981171,1.0,Ailanthus excelsa
0.60869646,0.0,Ailanthus excelsa
0.5976973,0.0,Ailanthus excelsa
0.050677486,0.0,Ailanthus excelsa
0.0020268103,0.0,Ailanthus excelsa
0.17292164,0.0,Ailanthus excelsa
0.21954028,0.0,Ailanthus excelsa
0.5333706,0.0,Ailanthus excelsa
0.2833488,0.0,Ailanthus excelsa
0.80368686,0.0,Ailanthus excelsa
0.51027024,0.0,Ailanthus excelsa
0.11203413,0.0,Ailanthus excelsa
0.7980507,0.0,Ailanthus excelsa
0.0004492206,0.0,Ailanthus excelsa
0.018488763,0.0,Ailanthus excelsa
0.73673177,0.0,Ailanthus excelsa
0.014852441,0.0,Ailanthus excelsa
0.0145903155,0.0,Ailanthus excelsa
0.054493412,0.0,Ailanthus excelsa
0.7532619,1.0,Ailanthus excelsa
0.082763575,0.0,Ailanthus excelsa
0.059476003,0.0,Ailanthus excelsa
0.24331145,0.0,Ailanthus excelsa
0.2624972,0.0,Ailanthus excelsa
0.03514011,0.0,Ailanthus excelsa
0.78049225,0.0,Ailanthus excelsa
0.87573403,0.0,Ailanthus excelsa
0.00245384,0.0,Ailanthus excelsa
0.07608027,0.0,Ailanthus excelsa
0.69437385,0.0,Ailanthus excelsa
0.7522652,0.0,Ailanthus excelsa
0.13408285,0.0,Ailanthus excelsa
0.11372489,0.0,Ailanthus excelsa
0.07275932,0.0,Ailanthus excelsa
0.7070228,1.0,Ailanthus excelsa
0.05855841,0.0,Ailanthus excelsa
0.17551407,0.0,Ailanthus excelsa
0.1023153,1.0,Ailanthus excelsa
0.7340082,0.0,Ailanthus excelsa
0.5059888,0.0,Ailanthus excelsa
0.8235431,1.0,Ailanthus excelsa
0.5009466,0.0,Ailanthus excelsa
0.69784445,0.0,Ailanthus excelsa
0.2662108,0.0,Ailanthus excelsa
0.0010115722,0.0,Ailanthus excelsa
0.6462496,0.0,Ailanthus excelsa
0.6793069,0.0,Ailanthus excelsa
0.51436025,0.0,Ailanthus excelsa
0.8829272,0.0,Ailanthus excelsa
0.8080803,1.0,Ailanthus excelsa
0.3371428,0.0,Ailanthus excelsa
0.73962486,0.0,Ailanthus excelsa
0.87940913,0.0,Ailanthus excelsa
0.22075248,0.0,Ailanthus excelsa
0.016983965,0.0,Ailanthus excelsa
0.00073783065,0.0,Ailanthus excelsa
0.03780425,0.0,Ailanthus excelsa
0.050232287,0.0,Ailanthus excelsa
0.7942026,1.0,Ailanthus excelsa
0.010623307,0.0,Ailanthus excelsa
0.0036802744,0.0,Ailanthus excelsa
0.0057236324,0.0,Ailanthus excelsa
0.034892324,0.0,Ailanthus excelsa
0.45192227,0.0,Ailanthus excelsa
0.3320574,0.0,Ailanthus excelsa
0.10118054,0.0,Ailanthus excelsa
0.75751746,0.0,Ailanthus excelsa
0.30069807,0.0,Ailanthus excelsa
0.017489906,0.0,Ailanthus excelsa
0.227266,1.0,Ailanthus excelsa
0.049669717,0.0,Ailanthus excelsa
0.7854662,0.0,Ailanthus excelsa
0.032917835,0.0,Ailanthus excelsa
0.002948309,0.0,Ailanthus excelsa
0.007659098,0.0,Ailanthus excelsa
0.07628853,0.0,Ailanthus excelsa
0.70818835,1.0,Ailanthus excelsa
0.5670715,0.0,Ailanthus excelsa
0.3549698,0.0,Ailanthus excelsa
0.13726576,0.0,Ailanthus excelsa
0.6467373,0.0,Ailanthus excelsa
0.23815939,0.0,Ailanthus excelsa
0.3272431,0.0,Ailanthus excelsa
0.041169073,0.0,Ailanthus excelsa
0.45162708,0.0,Ailanthus excelsa
0.017951922,0.0,Ailanthus excelsa
0.37489197,0.0,Ailanthus excelsa
0.004944773,0.0,Ailanthus excelsa
0.036295176,0.0,Ailanthus excelsa
0.13111511,0.0,Ailanthus excelsa
0.00052358274,0.0,Ailanthus excelsa
0.18344836,0.0,Ailanthus excelsa
0.09658058,0.0,Ailanthus excelsa
0.0015477837,0.0,Ailanthus excelsa
0.6702632,0.0,Ailanthus excelsa
0.24754451,0.0,Ailanthus excelsa
0.7328213,0.0,Ailanthus excelsa
0.01653079,0.0,Ailanthus excelsa
0.10469327,1.0,Ailanthus excelsa
0.6910913,0.0,Ailanthus excelsa
0.7616621,0.0,Ailanthus excelsa
0.6201622,0.0,Ailanthus excelsa
0.069944255,0.0,Ailanthus excelsa
0.24373667,0.0,Ailanthus excelsa
0.7002209,0.0,Ailanthus excelsa
0.14297885,0.0,Ailanthus excelsa
0.013562487,0.0,Ailanthus excelsa
0.7719299,0.0,Ailanthus excelsa
0.22983105,0.0,Ailanthus excelsa
0.777097,0.0,Ailanthus excelsa
0.25350484,0.0,Ailanthus excelsa
0.7563021,0.0,Ailanthus excelsa
0.2997482,0.0,Ailanthus excelsa
0.0007733393,0.0,Ailanthus excelsa
0.6861994,0.0,Ailanthus excelsa
0.7227929,0.0,Ailanthus excelsa
0.033220943,0.0,Ailanthus excelsa
0.17737947,0.0,Ailanthus excelsa
0.0032473789,0.0,Ailanthus excelsa
0.014750377,0.0,Ailanthus excelsa
0.64832366,0.0,Ailanthus excelsa
0.4359938,0.0,Ailanthus excelsa
0.86579204,0.0,Ailanthus excelsa
0.49899897,0.0,Ailanthus excelsa
0.106035985,0.0,Ailanthus excelsa
2.0477242e-05,0.0,Ailanthus excelsa
0.020612512,0.0,Ailanthus excelsa
0.22392197,0.0,Ailanthus excelsa
0.92790866,1.0,Ailanthus excelsa
0.37108582,0.0,Ailanthus excelsa
0.7182202,0.0,Ailanthus excelsa
0.005070668,0.0,Ailanthus excelsa
0.14698787,0.0,Ailanthus excelsa
0.10413708,0.0,Ailanthus excelsa
0.12329613,0.0,Ailanthus excelsa
0.072560005,1.0,Ailanthus excelsa
0.745793,0.0,Ailanthus excelsa
0.032354183,0.0,Ailanthus excelsa
0.48556098,0.0,Ailanthus excelsa
0.28836742,0.0,Ailanthus excelsa
0.076415084,0.0,Ailanthus excelsa
0.38704288,0.0,Ailanthus excelsa
0.013753596,0.0,Ailanthus excelsa
0.047627505,0.0,Ailanthus excelsa
0.725683,1.0,Ailanthus excelsa
0.74610955,0.0,Ailanthus excelsa
0.40604213,0.0,Ailanthus excelsa
0.41341782,0.0,Ailanthus excelsa
0.11860198,0.0,Ailanthus excelsa
0.21489586,0.0,Ailanthus excelsa
0.8651254,0.0,Ailanthus excelsa
0.086686336,0.0,Ailanthus excelsa
0.7154594,0.0,Ailanthus excelsa
0.033708688,0.0,Ailanthus excelsa
0.07453837,0.0,Ailanthus excelsa
0.06688867,0.0,Ailanthus excelsa
0.79931533,0.0,Ailanthus excelsa
0.5897262,0.0,Ailanthus excelsa
0.6465545,1.0,Ailanthus excelsa
0.045345366,0.0,Ailanthus excelsa
0.008858045,0.0,Ailanthus excelsa
0.69601035,0.0,Ailanthus excelsa
0.3181176,0.0,Ailanthus excelsa
0.12631735,0.0,Ailanthus excelsa
0.020090621,0.0,Ailanthus excelsa
0.48845494,0.0,Ailanthus excelsa
0.014866694,0.0,Ailanthus excelsa
0.108714744,0.0,Ailanthus excelsa
0.042279657,0.0,Ailanthus excelsa
0.60224324,0.0,Ailanthus excelsa
0.38060027,1.0,Ailanthus excelsa
0.013260884,0.0,Ailanthus excelsa
0.4935344,0.0,Ailanthus excelsa
0.016099386,0.0,Ailanthus excelsa
0.028512545,0.0,Ailanthus excelsa
0.15894215,0.0,Ailanthus excelsa
0.023824967,0.0,Ailanthus excelsa
0.8336988,0.0,Ailanthus excelsa
0.03816093,0.0,Ailanthus excelsa
0.0047853626,0.0,Ailanthus excelsa
0.63788986,0.0,Ailanthus excelsa
0.028439742,0.0,Ailanthus excelsa
0.6914489,1.0,Ailanthus excelsa
0.7700851,0.0,Ailanthus excelsa
0.83448035,1.0,Ailanthus excelsa
0.025821151,0.0,Ailanthus excelsa
0.084028944,0.0,Ailanthus excelsa
0.76009136,1.0,Ailanthus excelsa
0.72752535,0.0,Ailanthus excelsa
0.75129044,1.0,Ailanthus excelsa
0.8459654,0.0,Ailanthus excelsa
0.08034848,0.0,Ailanthus excelsa
0.14719653,0.0,Ailanthus excelsa
0.5971754,0.0,Ailanthus excelsa
0.017783405,0.0,Ailanthus excelsa
0.088827886,0.0,Ailanthus excelsa
0.77185315,1.0,Ailanthus excelsa
0.007637211,0.0,Ailanthus excelsa
0.7699173,1.0,Ailanthus excelsa
0.82175034,0.0,Ailanthus excelsa
0.7630459,0.0,Ailanthus excelsa
0.71918255,0.0,Ailanthus excelsa
0.059434325,0.0,Ailanthus excelsa
0.7227874,1.0,Ailanthus excelsa
0.06994572,0.0,Ailanthus excelsa
0.6155184,0.0,Ailanthus excelsa
0.4713504,0.0,Ailanthus excelsa
0.12929498,0.0,Ailanthus excelsa
0.032246247,0.0,Ailanthus excelsa
0.0023560186,0.0,Ailanthus excelsa
0.00291118,0.0,Ailanthus excelsa
0.02083799,0.0,Ailanthus excelsa
0.632861,0.0,Ailanthus excelsa
0.8148589,0.0,Ailanthus excelsa
0.46677408,0.0,Ailanthus excelsa
0.39998695,0.0,Ailanthus excelsa
0.15487859,0.0,Ailanthus excelsa
0.76969624,1.0,Ailanthus excelsa
0.05767491,0.0,Ailanthus excelsa
0.042770978,0.0,Ailanthus excelsa
0.015711972,0.0,Ailanthus excelsa
0.06551101,0.0,Ailanthus excelsa
0.024921741,0.0,Ailanthus excelsa
0.0032912178,0.0,Ailanthus excelsa
0.16185421,0.0,Ailanthus excelsa
0.19204116,0.0,Ailanthus excelsa
0.7469967,0.0,Ailanthus excelsa
0.10038061,0.0,Ailanthus excelsa
0.053203333,0.0,Ailanthus excelsa
0.66305727,0.0,Ailanthus excelsa
0.7053504,0.0,Ailanthus excelsa
0.09328108,0.0,Ailanthus excelsa
0.8236697,0.0,Ailanthus excelsa
0.0034154658,0.0,Ailanthus excelsa
0.6177614,0.0,Ailanthus excelsa
0.03812264,0.0,Ailanthus excelsa
0.009846118,0.0,Ailanthus excelsa
0.02397223,0.0,Ailanthus excelsa
0.0038579958,0.0,Ailanthus excelsa
0.14183809,0.0,Ailanthus excelsa
0.054875553,0.0,Ailanthus excelsa
0.8013831,1.0,Ailanthus excelsa
0.012556479,0.0,Ailanthus excelsa
0.0046658623,0.0,Ailanthus excelsa
0.865252,1.0,Ailanthus excelsa
0.013439535,0.0,Ailanthus excelsa
0.0033506048,0.0,Ailanthus excelsa
0.07000378,0.0,Ailanthus excelsa
