probability,true_label,species
0.22323251,0.0,Azadirachta indica
0.5694947,0.0,Azadirachta indica
0.108718894,0.0,Azadirachta indica
0.5088542,0.0,Azadirachta indica
0.4329911,0.0,Azadirachta indica
0.6339731,0.0,Azadirachta indica
0.20438391,0.0,Azadirachta indica
0.72166324,1.0,Azadirachta indica
0.48190418,0.0,Azadirachta indica
0.50007963,1.0,Azadirachta indica
0.30644578,0.0,Azadirachta indica
0.7622371,1.0,Azadirachta indica
0.48143542,0.0,Azadirachta indica
0.6127333,1.0,Azadirachta indica
0.7863436,1.0,Azadirachta indica
0.6123822,1.0,Azadirachta indica
0.6582776,1.0,Azadirachta indica
0.33893892,1.0,Azadirachta indica
0.5480272,1.0,Azadirachta indica
0.28296885,0.0,Azadirachta indica
0.38944587,0.0,Azadirachta indica
0.82527244,1.0,Azadirachta indica
0.1787589,0.0,Azadirachta indica
0.14233066,0.0,Azadirachta indica
0.3372346,0.0,Azadirachta indica
0.7452833,1.0,Azadirachta indica
0.2654751,0.0,Azadirachta indica
0.35144067,0.0,Azadirachta indica
0.3515611,0.0,Azadirachta indica
0.4406056,1.0,Azadirachta indica
0.48266757,0.0,Azadirachta indica
0.49464464,1.0,Azadirachta indica
0.6284853,1.0,Azadirachta indica
0.37600505,0.0,Azadirachta indica
0.40128532,0.0,Azadirachta indica
0.30368197,0.0,Azadirachta indica
0.5201269,0.0,Azadirachta indica
0.6848607,0.0,Azadirachta indica
0.34173614,0.0,Azadirachta indica
0.7097821,0.0,Azadirachta indica
0.11211801,0.0,Azadirachta indica
0.17303243,0.0,Azadirachta indica
0.23866694,0.0,Azadirachta indica
0.16000809,0.0,Azadirachta indica
0.3917121,0.0,Azadirachta indica
0.51283693,0.0,Azadirachta indica
0.5323192,0.0,Azadirachta indica
0.6900768,0.0,Azadirachta indica
0.2296516,0.0,Azadirachta indica
0.59453255,1.0,Azadirachta indica
0.33354253,0.0,Azadirachta indica
0.19988084,0.0,Azadirachta indica
0.56790763,1.0,Azadirachta indica
0.17791085,0.0,Azadirachta indica
0.5185254,1.0,Azadirachta indica
0.6565508,0.0,Azadirachta indica
0.6224138,0.0,Azadirachta indica
0.6520036,0.0,Azadirachta indica
0.6698664,0.0,Azadirachta indica
0.43296143,0.0,Azadirachta indica
0.5208688,0.0,Azadirachta indica
0.2489544,0.0,Azadirachta indica
0.28410003,0.0,Azadirachta indica
0.4411954,0.0,Azadirachta indica
0.45056412,0.0,Azadirachta indica
0.46407846,0.0,Azadirachta indica
0.55413586,1.0,Azadirachta indica
0.24094445,0.0,Azadirachta indica
0.4603603,0.0,Azadirachta indica
0.17124917,0.0,Azadirachta indica
0.16960824,1.0,Azadirachta indica
0.4294502,0.0,Azadirachta indica
0.33389223,0.0,Azadirachta indica
0.28042036,0.0,Azadirachta indica
0.4113622,0.0,Azadirachta indica
0.19145001,0.0,Azadirachta indica
0.5957836,0.0,Azadirachta indica
0.81214106,0.0,Azadirachta indica
0.2134564,0.0,Azadirachta indica
0.46864673,0.0,Azadirachta indica
0.2978162,0.0,Azadirachta indica
0.16391465,0.0,Azadirachta indica
0.72044563,1.0,Azadirachta indica
0.29607534,0.0,Azadirachta indica
0.74060124,1.0,Azadirachta indica
0.2320188,0.0,Azadirachta indica
0.4550915,1.0,Azadirachta indica
0.11812581,0.0,Azadirachta indica
0.36173144,1.0,Azadirachta indica
0.6288316,0.0,Azadirachta indica
0.24171406,0.0,Azadirachta indica
0.6359131,1.0,Azadirachta indica
0.7093359,1.0,Azadirachta indica
0.6422145,0.0,Azadirachta indica
0.40808013,1.0,Azadirachta indica
0.6971109,0.0,Azadirachta indica
0.36933893,0.0,Azadirachta indica
0.20692164,0.0,Azadirachta indica
0.71651936,0.0,Azadirachta indica
0.32631853,0.0,Azadirachta indica
0.26160872,0.0,Azadirachta indica
0.30805576,0.0,Azadirachta indica
0.5142705,0.0,Azadirachta indica
0.7623581,1.0,Azadirachta indica
0.51925963,1.0,Azadirachta indica
0.20074072,0.0,Azadirachta indica
0.5211351,0.0,Azadirachta indica
0.8248371,1.0,Azadirachta indica
0.13413155,1.0,Azadirachta indica
0.46703506,0.0,Azadirachta indica
0.08743108,0.0,Azadirachta indica
0.5613291,1.0,Azadirachta indica
0.7651885,1.0,Azadirachta indica
0.55118936,0.0,Azadirachta indica
0.7527703,0.0,Azadirachta indica
0.3853567,0.0,Azadirachta indica
0.63103676,0.0,Azadirachta indica
0.36416402,0.0,Azadirachta indica
0.12592563,0.0,Azadirachta indica
