probability,true_label,species
0.7959009,1.0,Vachellia nilotica
0.58350635,1.0,Vachellia nilotica
0.28637537,0.0,Vachellia nilotica
0.63708955,1.0,Vachellia nilotica
0.41120034,0.0,Vachellia nilotica
0.24950112,0.0,Vachellia nilotica
0.1703523,0.0,Vachellia nilotica
0.5039585,0.0,Vachellia nilotica
0.6926502,0.0,Vachellia nilotica
0.48699796,0.0,Vachellia nilotica
0.5568853,0.0,Vachellia nilotica
0.6529752,0.0,Vachellia nilotica
0.42613778,0.0,Vachellia nilotica
0.5964561,0.0,Vachellia nilotica
0.680642,1.0,Vachellia nilotica
0.5852163,0.0,Vachellia nilotica
0.6238329,0.0,Vachellia nilotica
0.5958003,0.0,Vachellia nilotica
0.6118169,0.0,Vachellia nilotica
0.5718989,0.0,Vachellia nilotica
0.502765,0.0,Vachellia nilotica
0.54809976,1.0,Vachellia nilotica
0.7139182,0.0,Vachellia nilotica
0.43340206,0.0,Vachellia nilotica
0.6386089,1.0,Vachellia nilotica
0.4364019,0.0,Vachellia nilotica
0.6358319,0.0,Vachellia nilotica
0.63278717,0.0,Vachellia nilotica
0.32107997,0.0,Vachellia nilotica
0.58533305,0.0,Vachellia nilotica
0.0007740459,1.0,Vachellia nilotica
0.433229,0.0,Vachellia nilotica
0.53036505,1.0,Vachellia nilotica
0.44679627,0.0,Vachellia nilotica
0.21817611,0.0,Vachellia nilotica
0.7453667,1.0,Vachellia nilotica
0.17846261,0.0,Vachellia nilotica
0.6550398,0.0,Vachellia nilotica
0.1932325,0.0,Vachellia nilotica
0.12427333,0.0,Vachellia nilotica
0.24668656,0.0,Vachellia nilotica
0.2577159,0.0,Vachellia nilotica
0.28660312,0.0,Vachellia nilotica
0.8400144,1.0,Vachellia nilotica
0.26510575,0.0,Vachellia nilotica
0.7968709,1.0,Vachellia nilotica
0.67064923,0.0,Vachellia nilotica
0.43881762,0.0,Vachellia nilotica
0.65491045,0.0,Vachellia nilotica
0.41328937,0.0,Vachellia nilotica
0.4042349,0.0,Vachellia nilotica
0.5423942,1.0,Vachellia nilotica
0.096161194,0.0,Vachellia nilotica
0.3876322,0.0,Vachellia nilotica
0.52803934,0.0,Vachellia nilotica
0.63309187,0.0,Vachellia nilotica
0.5415339,1.0,Vachellia nilotica
0.7094212,0.0,Vachellia nilotica
0.53256243,1.0,Vachellia nilotica
0.4289257,1.0,Vachellia nilotica
0.4114953,0.0,Vachellia nilotica
0.44070616,0.0,Vachellia nilotica
0.6192447,0.0,Vachellia nilotica
0.61300087,0.0,Vachellia nilotica
0.5886109,0.0,Vachellia nilotica
0.55715877,0.0,Vachellia nilotica
0.2588969,0.0,Vachellia nilotica
0.6249504,1.0,Vachellia nilotica
0.6760964,0.0,Vachellia nilotica
0.63584,1.0,Vachellia nilotica
0.7733159,1.0,Vachellia nilotica
0.33190462,0.0,Vachellia nilotica
0.7369112,0.0,Vachellia nilotica
0.27877682,0.0,Vachellia nilotica
0.7994948,1.0,Vachellia nilotica
0.51641446,0.0,Vachellia nilotica
0.5795326,0.0,Vachellia nilotica
0.6878569,1.0,Vachellia nilotica
0.3186882,0.0,Vachellia nilotica
0.48623624,0.0,Vachellia nilotica
0.6700806,0.0,Vachellia nilotica
0.69785666,1.0,Vachellia nilotica
0.6263978,0.0,Vachellia nilotica
0.6717741,1.0,Vachellia nilotica
0.47119567,0.0,Vachellia nilotica
0.76637405,1.0,Vachellia nilotica
0.6686724,0.0,Vachellia nilotica
0.6791721,0.0,Vachellia nilotica
0.27911782,0.0,Vachellia nilotica
0.32950768,0.0,Vachellia nilotica
0.2089363,0.0,Vachellia nilotica
0.25590482,0.0,Vachellia nilotica
0.7214742,1.0,Vachellia nilotica
0.62002414,0.0,Vachellia nilotica
0.52803934,0.0,Vachellia nilotica
0.5098677,0.0,Vachellia nilotica
0.47461203,0.0,Vachellia nilotica
0.7393455,0.0,Vachellia nilotica
0.6846975,1.0,Vachellia nilotica
0.60667634,1.0,Vachellia nilotica
0.29463887,0.0,Vachellia nilotica
0.21919325,0.0,Vachellia nilotica
0.19783665,0.0,Vachellia nilotica
0.6913358,0.0,Vachellia nilotica
0.5048418,0.0,Vachellia nilotica
0.41981268,0.0,Vachellia nilotica
0.5612792,0.0,Vachellia nilotica
0.55256474,1.0,Vachellia nilotica
0.34012172,0.0,Vachellia nilotica
0.8600712,1.0,Vachellia nilotica
0.40108863,0.0,Vachellia nilotica
0.2842814,0.0,Vachellia nilotica
0.26123723,0.0,Vachellia nilotica
0.22748382,0.0,Vachellia nilotica
0.0,1.0,Vachellia nilotica
0.5802067,0.0,Vachellia nilotica
0.6618086,0.0,Vachellia nilotica
0.25471565,0.0,Vachellia nilotica
0.60460997,0.0,Vachellia nilotica
0.39872313,1.0,Vachellia nilotica
0.7978166,1.0,Vachellia nilotica
0.56478137,0.0,Vachellia nilotica
0.45583582,0.0,Vachellia nilotica
0.6171666,1.0,Vachellia nilotica
0.20007059,0.0,Vachellia nilotica
0.67254746,0.0,Vachellia nilotica
0.43655923,0.0,Vachellia nilotica
0.33286604,1.0,Vachellia nilotica
0.74696165,1.0,Vachellia nilotica
0.2179424,1.0,Vachellia nilotica
0.20807377,0.0,Vachellia nilotica
0.323709,0.0,Vachellia nilotica
0.7849792,1.0,Vachellia nilotica
0.32835516,0.0,Vachellia nilotica
0.4919999,0.0,Vachellia nilotica
0.5962962,0.0,Vachellia nilotica
0.59665537,0.0,Vachellia nilotica
0.55107015,0.0,Vachellia nilotica
0.7978849,1.0,Vachellia nilotica
0.66825706,0.0,Vachellia nilotica
0.53765327,0.0,Vachellia nilotica
0.651595,0.0,Vachellia nilotica
0.5452912,0.0,Vachellia nilotica
0.79965234,1.0,Vachellia nilotica
0.3539448,0.0,Vachellia nilotica
0.5373841,1.0,Vachellia nilotica
0.63193417,1.0,Vachellia nilotica
0.38394648,1.0,Vachellia nilotica
0.4325425,0.0,Vachellia nilotica
0.54366523,0.0,Vachellia nilotica
0.39701757,0.0,Vachellia nilotica
0.57085127,1.0,Vachellia nilotica
0.3752112,1.0,Vachellia nilotica
0.809481,0.0,Vachellia nilotica
0.5550052,0.0,Vachellia nilotica
0.47882283,0.0,Vachellia nilotica
0.76314807,1.0,Vachellia nilotica
0.61300087,0.0,Vachellia nilotica
0.6963057,0.0,Vachellia nilotica
0.09719482,0.0,Vachellia nilotica
0.67499006,0.0,Vachellia nilotica
0.32363886,0.0,Vachellia nilotica
0.46628547,0.0,Vachellia nilotica
0.20135427,0.0,Vachellia nilotica
0.67830473,1.0,Vachellia nilotica
0.16701564,0.0,Vachellia nilotica
0.5584965,0.0,Vachellia nilotica
0.2166857,0.0,Vachellia nilotica
0.32338533,1.0,Vachellia nilotica
0.48471424,0.0,Vachellia nilotica
0.39007723,0.0,Vachellia nilotica
0.32968688,0.0,Vachellia nilotica
0.73912615,0.0,Vachellia nilotica
0.043962408,0.0,Vachellia nilotica
0.61142427,0.0,Vachellia nilotica
0.3193097,0.0,Vachellia nilotica
0.6854769,0.0,Vachellia nilotica
0.43465015,0.0,Vachellia nilotica
0.6065405,0.0,Vachellia nilotica
0.40673333,0.0,Vachellia nilotica
0.31551433,0.0,Vachellia nilotica
0.24340741,0.0,Vachellia nilotica
0.5605862,0.0,Vachellia nilotica
0.40260118,0.0,Vachellia nilotica
0.45391455,0.0,Vachellia nilotica
0.49665898,0.0,Vachellia nilotica
0.56757563,1.0,Vachellia nilotica
0.33651948,0.0,Vachellia nilotica
0.5827202,0.0,Vachellia nilotica
0.6062416,0.0,Vachellia nilotica
0.5865237,0.0,Vachellia nilotica
0.44728145,0.0,Vachellia nilotica
0.7005062,0.0,Vachellia nilotica
0.32558367,0.0,Vachellia nilotica
0.4924341,1.0,Vachellia nilotica
0.6497351,0.0,Vachellia nilotica
0.4182167,0.0,Vachellia nilotica
0.44087872,0.0,Vachellia nilotica
0.14676547,0.0,Vachellia nilotica
0.34857094,0.0,Vachellia nilotica
0.5918417,0.0,Vachellia nilotica
0.5992437,0.0,Vachellia nilotica
0.12929495,0.0,Vachellia nilotica
0.7366535,1.0,Vachellia nilotica
0.24485531,0.0,Vachellia nilotica
0.39931196,0.0,Vachellia nilotica
0.27502552,0.0,Vachellia nilotica
0.6627261,1.0,Vachellia nilotica
0.60109746,0.0,Vachellia nilotica
0.07440147,0.0,Vachellia nilotica
0.41076612,0.0,Vachellia nilotica
0.4550324,1.0,Vachellia nilotica
0.6840889,0.0,Vachellia nilotica
0.68573236,0.0,Vachellia nilotica
0.62700635,0.0,Vachellia nilotica
0.3752232,0.0,Vachellia nilotica
0.32181937,0.0,Vachellia nilotica
0.09526548,0.0,Vachellia nilotica
0.44096214,0.0,Vachellia nilotica
0.7740168,1.0,Vachellia nilotica
0.76816475,0.0,Vachellia nilotica
0.65952694,0.0,Vachellia nilotica
0.48132747,0.0,Vachellia nilotica
0.787193,0.0,Vachellia nilotica
0.49743876,0.0,Vachellia nilotica
0.4892572,0.0,Vachellia nilotica
0.5636189,1.0,Vachellia nilotica
0.5066471,0.0,Vachellia nilotica
0.55288714,0.0,Vachellia nilotica
0.47239196,0.0,Vachellia nilotica
0.40038064,0.0,Vachellia nilotica
0.7275428,1.0,Vachellia nilotica
0.43032598,0.0,Vachellia nilotica
0.18782373,1.0,Vachellia nilotica
0.87006867,1.0,Vachellia nilotica
0.34423804,0.0,Vachellia nilotica
0.6420996,0.0,Vachellia nilotica
0.52342206,0.0,Vachellia nilotica
0.46669388,0.0,Vachellia nilotica
0.2939528,0.0,Vachellia nilotica
0.4954273,1.0,Vachellia nilotica
0.74864835,0.0,Vachellia nilotica
0.30157945,1.0,Vachellia nilotica
0.56161326,0.0,Vachellia nilotica
0.60096943,0.0,Vachellia nilotica
0.61028904,0.0,Vachellia nilotica
0.6710667,1.0,Vachellia nilotica
0.29492122,1.0,Vachellia nilotica
0.58168954,1.0,Vachellia nilotica
0.6426799,1.0,Vachellia nilotica
0.60109,0.0,Vachellia nilotica
0.37747687,0.0,Vachellia nilotica
0.21759607,0.0,Vachellia nilotica
0.53849715,0.0,Vachellia nilotica
0.6819975,0.0,Vachellia nilotica
0.5505536,0.0,Vachellia nilotica
0.28016332,0.0,Vachellia nilotica
0.55657804,0.0,Vachellia nilotica
0.33739743,0.0,Vachellia nilotica
0.49744883,0.0,Vachellia nilotica
0.70764935,0.0,Vachellia nilotica
0.29218194,0.0,Vachellia nilotica
0.65577865,0.0,Vachellia nilotica
0.42520398,0.0,Vachellia nilotica
0.43410173,0.0,Vachellia nilotica
0.4530048,0.0,Vachellia nilotica
0.4033857,0.0,Vachellia nilotica
0.5893064,0.0,Vachellia nilotica
0.3644807,0.0,Vachellia nilotica
0.09419625,0.0,Vachellia nilotica
0.6123055,0.0,Vachellia nilotica
0.39137304,0.0,Vachellia nilotica
0.6625639,0.0,Vachellia nilotica
0.15165924,0.0,Vachellia nilotica
0.2730381,0.0,Vachellia nilotica
0.27184197,0.0,Vachellia nilotica
0.38787672,0.0,Vachellia nilotica
0.68090844,0.0,Vachellia nilotica
0.51961046,0.0,Vachellia nilotica
0.6996183,0.0,Vachellia nilotica
0.27937528,0.0,Vachellia nilotica
0.6742606,0.0,Vachellia nilotica
0.52218884,0.0,Vachellia nilotica
0.32257462,0.0,Vachellia nilotica
0.08563635,0.0,Vachellia nilotica
0.27121052,0.0,Vachellia nilotica
0.6938975,1.0,Vachellia nilotica
0.32823634,1.0,Vachellia nilotica
0.23632199,0.0,Vachellia nilotica
0.80053854,1.0,Vachellia nilotica
0.56847537,0.0,Vachellia nilotica
0.34751934,0.0,Vachellia nilotica
0.5336429,1.0,Vachellia nilotica
0.6218958,0.0,Vachellia nilotica
0.69403416,0.0,Vachellia nilotica
0.39943504,0.0,Vachellia nilotica
0.60678285,1.0,Vachellia nilotica
0.6239006,1.0,Vachellia nilotica
0.65307117,0.0,Vachellia nilotica
0.3000607,0.0,Vachellia nilotica
0.7768028,1.0,Vachellia nilotica
0.0895523,0.0,Vachellia nilotica
0.6913111,0.0,Vachellia nilotica
0.5689649,1.0,Vachellia nilotica
0.67245,0.0,Vachellia nilotica
0.5020054,0.0,Vachellia nilotica
0.49927709,0.0,Vachellia nilotica
0.42557138,0.0,Vachellia nilotica
0.42158607,0.0,Vachellia nilotica
0.47958043,1.0,Vachellia nilotica
0.36130264,1.0,Vachellia nilotica
0.3876322,0.0,Vachellia nilotica
0.5125998,1.0,Vachellia nilotica
0.27344838,0.0,Vachellia nilotica
0.8320522,0.0,Vachellia nilotica
0.28780976,0.0,Vachellia nilotica
0.73353636,1.0,Vachellia nilotica
0.16934532,0.0,Vachellia nilotica
0.24083985,0.0,Vachellia nilotica
0.2589748,0.0,Vachellia nilotica
0.71172297,0.0,Vachellia nilotica
0.5224507,0.0,Vachellia nilotica
0.45471215,0.0,Vachellia nilotica
0.2884621,0.0,Vachellia nilotica
0.7112747,1.0,Vachellia nilotica
0.5504343,0.0,Vachellia nilotica
0.695346,1.0,Vachellia nilotica
0.56309396,0.0,Vachellia nilotica
0.29955825,0.0,Vachellia nilotica
0.45401382,0.0,Vachellia nilotica
0.55145615,0.0,Vachellia nilotica
0.18898252,0.0,Vachellia nilotica
0.24088998,0.0,Vachellia nilotica
0.5021014,0.0,Vachellia nilotica
0.7250567,1.0,Vachellia nilotica
0.51974666,1.0,Vachellia nilotica
0.4534194,0.0,Vachellia nilotica
0.6508318,1.0,Vachellia nilotica
0.5587405,0.0,Vachellia nilotica
0.43278965,0.0,Vachellia nilotica
0.4146568,0.0,Vachellia nilotica
0.45561805,0.0,Vachellia nilotica
0.21246554,1.0,Vachellia nilotica
0.49665898,0.0,Vachellia nilotica
0.29732776,0.0,Vachellia nilotica
0.42153072,0.0,Vachellia nilotica
0.35113564,0.0,Vachellia nilotica
0.4337007,0.0,Vachellia nilotica
0.38193837,0.0,Vachellia nilotica
0.137229,0.0,Vachellia nilotica
0.70061827,0.0,Vachellia nilotica
0.42158607,0.0,Vachellia nilotica
0.54867953,1.0,Vachellia nilotica
0.16550379,0.0,Vachellia nilotica
0.734045,0.0,Vachellia nilotica
0.6372565,0.0,Vachellia nilotica
0.42810676,0.0,Vachellia nilotica
0.106735386,0.0,Vachellia nilotica
0.32620385,0.0,Vachellia nilotica
0.6783082,1.0,Vachellia nilotica
0.6557719,1.0,Vachellia nilotica
0.4317065,0.0,Vachellia nilotica
0.48794517,1.0,Vachellia nilotica
0.62006503,0.0,Vachellia nilotica
0.41948828,0.0,Vachellia nilotica
0.5802269,0.0,Vachellia nilotica
0.83915156,0.0,Vachellia nilotica
0.30095214,0.0,Vachellia nilotica
0.46795458,0.0,Vachellia nilotica
0.4134073,0.0,Vachellia nilotica
0.8019224,0.0,Vachellia nilotica
0.79429317,1.0,Vachellia nilotica
0.4317065,0.0,Vachellia nilotica
0.43207985,0.0,Vachellia nilotica
0.5070805,0.0,Vachellia nilotica
