probability,true_label,species
0.012954262,0.0,Ailanthus excelsa
0.43224153,0.0,Ailanthus excelsa
0.043079626,0.0,Ailanthus excelsa
0.049199745,0.0,Ailanthus excelsa
0.593353,0.0,Ailanthus excelsa
0.19215417,0.0,Ailanthus excelsa
0.296411,0.0,Ailanthus excelsa
0.34529114,0.0,Ailanthus excelsa
0.5154618,1.0,Ailanthus excelsa
0.19132853,0.0,Ailanthus excelsa
0.16836992,0.0,Ailanthus excelsa
0.039806914,0.0,Ailanthus excelsa
0.44288272,0.0,Ailanthus excelsa
0.68880236,1.0,Ailanthus excelsa
0.20391004,0.0,Ailanthus excelsa
0.007805051,0.0,Ailanthus excelsa
0.892358,1.0,Ailanthus excelsa
0.106545374,0.0,Ailanthus excelsa
0.12660505,0.0,Ailanthus excelsa
0.051284093,1.0,Ailanthus excelsa
0.26333004,0.0,Ailanthus excelsa
0.034584004,0.0,Ailanthus excelsa
0.22005858,0.0,Ailanthus excelsa
0.13027576,0.0,Ailanthus excelsa
0.06956388,0.0,Ailanthus excelsa
0.49065012,0.0,Ailanthus excelsa
0.0013782438,0.0,Ailanthus excelsa
0.0065045464,0.0,Ailanthus excelsa
0.33232683,0.0,Ailanthus excelsa
0.43800816,0.0,Ailanthus excelsa
0.09745769,0.0,Ailanthus excelsa
0.27323884,0.0,Ailanthus excelsa
0.00796317,0.0,Ailanthus excelsa
0.03793381,0.0,Ailanthus excelsa
0.58964807,0.0,Ailanthus excelsa
0.027301328,0.0,Ailanthus excelsa
0.37995198,0.0,Ailanthus excelsa
0.0069915685,0.0,Ailanthus excelsa
0.047790967,0.0,Ailanthus excelsa
0.16213696,0.0,Ailanthus excelsa
0.23071238,0.0,Ailanthus excelsa
0.0029638754,0.0,Ailanthus excelsa
0.29726824,0.0,Ailanthus excelsa
0.2244829,0.0,Ailanthus excelsa
0.26905796,0.0,Ailanthus excelsa
0.64771676,0.0,Ailanthus excelsa
0.80191344,0.0,Ailanthus excelsa
0.028904837,0.0,Ailanthus excelsa
0.052786667,0.0,Ailanthus excelsa
0.00944043,1.0,Ailanthus excelsa
0.102189004,0.0,Ailanthus excelsa
0.018854465,0.0,Ailanthus excelsa
0.12208856,0.0,Ailanthus excelsa
0.018992417,0.0,Ailanthus excelsa
0.2785173,0.0,Ailanthus excelsa
0.059605826,0.0,Ailanthus excelsa
0.09556358,0.0,Ailanthus excelsa
0.48622948,0.0,Ailanthus excelsa
0.27817535,0.0,Ailanthus excelsa
0.010769932,0.0,Ailanthus excelsa
0.13535088,0.0,Ailanthus excelsa
0.61774313,0.0,Ailanthus excelsa
0.048897028,1.0,Ailanthus excelsa
0.19471754,0.0,Ailanthus excelsa
0.8499645,0.0,Ailanthus excelsa
0.026871646,0.0,Ailanthus excelsa
0.5475787,0.0,Ailanthus excelsa
0.55955124,0.0,Ailanthus excelsa
0.3074218,0.0,Ailanthus excelsa
0.08580014,0.0,Ailanthus excelsa
0.6406378,0.0,Ailanthus excelsa
0.36106777,0.0,Ailanthus excelsa
0.34890115,1.0,Ailanthus excelsa
0.86842024,0.0,Ailanthus excelsa
0.00546001,0.0,Ailanthus excelsa
0.34175804,0.0,Ailanthus excelsa
0.80886734,0.0,Ailanthus excelsa
0.8219155,0.0,Ailanthus excelsa
0.10342541,0.0,Ailanthus excelsa
0.68357104,1.0,Ailanthus excelsa
0.43181753,0.0,Ailanthus excelsa
0.27243817,0.0,Ailanthus excelsa
0.8518845,1.0,Ailanthus excelsa
0.2771562,0.0,Ailanthus excelsa
0.86839205,0.0,Ailanthus excelsa
0.84039974,0.0,Ailanthus excelsa
0.028474823,0.0,Ailanthus excelsa
0.24016532,0.0,Ailanthus excelsa
0.2602596,0.0,Ailanthus excelsa
0.81475633,0.0,Ailanthus excelsa
0.3546871,0.0,Ailanthus excelsa
0.36825696,0.0,Ailanthus excelsa
0.08397381,0.0,Ailanthus excelsa
0.52848345,0.0,Ailanthus excelsa
0.39224023,0.0,Ailanthus excelsa
0.49800694,0.0,Ailanthus excelsa
0.3398134,0.0,Ailanthus excelsa
0.41581416,0.0,Ailanthus excelsa
0.6843904,0.0,Ailanthus excelsa
0.6450357,0.0,Ailanthus excelsa
0.86829686,1.0,Ailanthus excelsa
0.67153084,0.0,Ailanthus excelsa
0.24239494,0.0,Ailanthus excelsa
0.27744424,0.0,Ailanthus excelsa
0.07308911,0.0,Ailanthus excelsa
0.014917612,0.0,Ailanthus excelsa
0.055089112,0.0,Ailanthus excelsa
