probability,true_label,species
0.101312466,0.0,Vachellia nilotica
0.90528697,1.0,Vachellia nilotica
0.80217063,0.0,Vachellia nilotica
0.24508281,0.0,Vachellia nilotica
0.8079491,1.0,Vachellia nilotica
0.041331254,0.0,Vachellia nilotica
0.24288712,0.0,Vachellia nilotica
0.75991905,1.0,Vachellia nilotica
0.45498443,0.0,Vachellia nilotica
0.29127067,1.0,Vachellia nilotica
0.116431214,0.0,Vachellia nilotica
0.07100259,1.0,Vachellia nilotica
0.11395259,0.0,Vachellia nilotica
0.42980742,0.0,Vachellia nilotica
0.11049674,0.0,Vachellia nilotica
0.5778144,1.0,Vachellia nilotica
0.06880775,0.0,Vachellia nilotica
0.13871427,0.0,Vachellia nilotica
0.2016893,0.0,Vachellia nilotica
0.18572058,0.0,Vachellia nilotica
0.37218285,0.0,Vachellia nilotica
0.33718482,0.0,Vachellia nilotica
0.27810922,0.0,Vachellia nilotica
0.2614899,0.0,Vachellia nilotica
0.4006673,1.0,Vachellia nilotica
0.7635354,1.0,Vachellia nilotica
0.10728019,0.0,Vachellia nilotica
0.733774,0.0,Vachellia nilotica
0.28678495,0.0,Vachellia nilotica
0.3288852,1.0,Vachellia nilotica
0.18649146,0.0,Vachellia nilotica
0.18098433,0.0,Vachellia nilotica
0.33739188,0.0,Vachellia nilotica
0.36541656,1.0,Vachellia nilotica
0.761665,1.0,Vachellia nilotica
0.51347303,1.0,Vachellia nilotica
0.4831201,0.0,Vachellia nilotica
0.7253123,1.0,Vachellia nilotica
0.20317352,0.0,Vachellia nilotica
0.30879244,0.0,Vachellia nilotica
0.2127261,0.0,Vachellia nilotica
0.8234257,1.0,Vachellia nilotica
0.14394215,0.0,Vachellia nilotica
0.08413132,0.0,Vachellia nilotica
0.22945464,1.0,Vachellia nilotica
0.6936408,1.0,Vachellia nilotica
0.07858756,0.0,Vachellia nilotica
0.6869879,0.0,Vachellia nilotica
0.8185461,0.0,Vachellia nilotica
0.50158775,1.0,Vachellia nilotica
0.16673249,0.0,Vachellia nilotica
0.10096972,0.0,Vachellia nilotica
0.18863313,0.0,Vachellia nilotica
0.6873759,1.0,Vachellia nilotica
0.5303131,0.0,Vachellia nilotica
0.27479097,0.0,Vachellia nilotica
0.3132154,0.0,Vachellia nilotica
0.111410744,0.0,Vachellia nilotica
0.67823184,0.0,Vachellia nilotica
0.516207,1.0,Vachellia nilotica
0.43455338,0.0,Vachellia nilotica
0.05298737,0.0,Vachellia nilotica
0.57430786,1.0,Vachellia nilotica
0.16446239,0.0,Vachellia nilotica
0.48456034,0.0,Vachellia nilotica
0.014492092,0.0,Vachellia nilotica
0.43770716,0.0,Vachellia nilotica
0.4116567,0.0,Vachellia nilotica
0.6762787,0.0,Vachellia nilotica
0.023542875,0.0,Vachellia nilotica
0.071838036,0.0,Vachellia nilotica
0.3780013,1.0,Vachellia nilotica
0.094755754,0.0,Vachellia nilotica
0.8044773,0.0,Vachellia nilotica
0.6492084,1.0,Vachellia nilotica
0.1859606,0.0,Vachellia nilotica
0.3916641,0.0,Vachellia nilotica
0.22844261,0.0,Vachellia nilotica
0.06509194,0.0,Vachellia nilotica
0.73094815,0.0,Vachellia nilotica
0.68754315,1.0,Vachellia nilotica
0.28179812,0.0,Vachellia nilotica
0.16462535,0.0,Vachellia nilotica
0.2961638,0.0,Vachellia nilotica
0.091727264,1.0,Vachellia nilotica
0.57682246,1.0,Vachellia nilotica
0.8191284,0.0,Vachellia nilotica
0.21506518,0.0,Vachellia nilotica
0.6022927,0.0,Vachellia nilotica
0.425979,0.0,Vachellia nilotica
0.7135032,1.0,Vachellia nilotica
0.20068383,0.0,Vachellia nilotica
0.16954893,1.0,Vachellia nilotica
0.8232636,1.0,Vachellia nilotica
0.5734775,0.0,Vachellia nilotica
0.47492748,0.0,Vachellia nilotica
0.17891034,0.0,Vachellia nilotica
0.41465458,0.0,Vachellia nilotica
0.84801924,1.0,Vachellia nilotica
0.5771495,0.0,Vachellia nilotica
0.10357889,1.0,Vachellia nilotica
0.36282825,0.0,Vachellia nilotica
0.8573918,1.0,Vachellia nilotica
0.36373943,0.0,Vachellia nilotica
0.5389087,1.0,Vachellia nilotica
0.13386811,0.0,Vachellia nilotica
0.77994037,0.0,Vachellia nilotica
0.35076353,0.0,Vachellia nilotica
0.30198282,0.0,Vachellia nilotica
0.6676383,0.0,Vachellia nilotica
0.4704279,0.0,Vachellia nilotica
0.7576215,0.0,Vachellia nilotica
0.43131417,0.0,Vachellia nilotica
0.30851138,0.0,Vachellia nilotica
0.31559172,0.0,Vachellia nilotica
0.34418496,0.0,Vachellia nilotica
0.68786424,1.0,Vachellia nilotica
0.47542712,0.0,Vachellia nilotica
0.70755976,0.0,Vachellia nilotica
0.51341796,1.0,Vachellia nilotica
0.7462789,1.0,Vachellia nilotica
0.45570794,0.0,Vachellia nilotica
0.109502696,0.0,Vachellia nilotica
0.1869493,0.0,Vachellia nilotica
0.09674558,0.0,Vachellia nilotica
0.2514162,0.0,Vachellia nilotica
0.28936177,0.0,Vachellia nilotica
0.81357944,1.0,Vachellia nilotica
0.2520762,0.0,Vachellia nilotica
0.65206677,0.0,Vachellia nilotica
0.37717545,0.0,Vachellia nilotica
0.08629207,0.0,Vachellia nilotica
0.1292496,0.0,Vachellia nilotica
0.50022864,1.0,Vachellia nilotica
0.06588556,0.0,Vachellia nilotica
0.663335,0.0,Vachellia nilotica
0.23572543,0.0,Vachellia nilotica
0.14094986,1.0,Vachellia nilotica
0.099185005,0.0,Vachellia nilotica
0.5745755,1.0,Vachellia nilotica
0.2564273,0.0,Vachellia nilotica
0.5814875,1.0,Vachellia nilotica
0.8130894,1.0,Vachellia nilotica
0.4137817,0.0,Vachellia nilotica
0.21695216,0.0,Vachellia nilotica
0.09806747,0.0,Vachellia nilotica
0.49175075,0.0,Vachellia nilotica
0.47474664,0.0,Vachellia nilotica
0.6990106,0.0,Vachellia nilotica
0.032345302,0.0,Vachellia nilotica
0.4272219,0.0,Vachellia nilotica
0.2641564,0.0,Vachellia nilotica
0.78751403,1.0,Vachellia nilotica
0.41267955,0.0,Vachellia nilotica
0.6330351,0.0,Vachellia nilotica
0.6890304,0.0,Vachellia nilotica
0.23021115,0.0,Vachellia nilotica
0.20615368,0.0,Vachellia nilotica
0.55547374,0.0,Vachellia nilotica
0.46845987,0.0,Vachellia nilotica
0.6825951,0.0,Vachellia nilotica
0.34735936,0.0,Vachellia nilotica
0.32955438,0.0,Vachellia nilotica
0.7448413,0.0,Vachellia nilotica
0.5106358,0.0,Vachellia nilotica
0.51703924,0.0,Vachellia nilotica
0.8182305,0.0,Vachellia nilotica
0.5677905,0.0,Vachellia nilotica
0.39739034,0.0,Vachellia nilotica
0.4241452,0.0,Vachellia nilotica
0.83129895,1.0,Vachellia nilotica
0.36346123,0.0,Vachellia nilotica
0.82840353,1.0,Vachellia nilotica
0.21169266,0.0,Vachellia nilotica
0.450832,1.0,Vachellia nilotica
0.59923357,1.0,Vachellia nilotica
0.9174127,1.0,Vachellia nilotica
