probability,true_label,species
0.7183335,1.0,Azadirachta indica
0.24343888,0.0,Azadirachta indica
0.8481163,0.0,Azadirachta indica
0.06971593,0.0,Azadirachta indica
0.06744583,0.0,Azadirachta indica
0.069873296,0.0,Azadirachta indica
0.15361848,0.0,Azadirachta indica
0.2222926,0.0,Azadirachta indica
0.5105908,1.0,Azadirachta indica
0.37794665,1.0,Azadirachta indica
0.9090236,1.0,Azadirachta indica
0.06842143,0.0,Azadirachta indica
0.5577969,1.0,Azadirachta indica
0.90178365,1.0,Azadirachta indica
0.8531222,0.0,Azadirachta indica
0.9117216,1.0,Azadirachta indica
0.30028647,0.0,Azadirachta indica
0.84997505,1.0,Azadirachta indica
0.3529658,0.0,Azadirachta indica
0.38781896,0.0,Azadirachta indica
0.25358936,0.0,Azadirachta indica
0.08958379,0.0,Azadirachta indica
0.20923904,0.0,Azadirachta indica
0.0866826,0.0,Azadirachta indica
0.95892006,1.0,Azadirachta indica
0.47225177,0.0,Azadirachta indica
0.022940515,0.0,Azadirachta indica
0.090981565,0.0,Azadirachta indica
0.78344125,0.0,Azadirachta indica
0.7446705,0.0,Azadirachta indica
0.81967086,1.0,Azadirachta indica
0.27280772,0.0,Azadirachta indica
0.039268993,0.0,Azadirachta indica
0.080943786,0.0,Azadirachta indica
0.0347485,0.0,Azadirachta indica
0.3406438,0.0,Azadirachta indica
0.111146174,0.0,Azadirachta indica
0.54654557,1.0,Azadirachta indica
0.6534393,1.0,Azadirachta indica
0.033726078,0.0,Azadirachta indica
0.7930047,0.0,Azadirachta indica
0.08723047,0.0,Azadirachta indica
0.30147433,0.0,Azadirachta indica
0.3887866,0.0,Azadirachta indica
0.16294654,0.0,Azadirachta indica
0.15372258,0.0,Azadirachta indica
0.7154912,1.0,Azadirachta indica
0.11925529,0.0,Azadirachta indica
0.12032729,0.0,Azadirachta indica
0.53415334,1.0,Azadirachta indica
0.4869156,0.0,Azadirachta indica
0.67441624,1.0,Azadirachta indica
0.46047097,0.0,Azadirachta indica
0.27976945,1.0,Azadirachta indica
0.19659658,0.0,Azadirachta indica
0.019928984,0.0,Azadirachta indica
0.42127562,1.0,Azadirachta indica
0.09331534,0.0,Azadirachta indica
0.8104103,1.0,Azadirachta indica
0.039199054,0.0,Azadirachta indica
0.09358725,1.0,Azadirachta indica
0.27818424,0.0,Azadirachta indica
0.05190682,0.0,Azadirachta indica
0.1794748,0.0,Azadirachta indica
0.24541998,0.0,Azadirachta indica
0.8954091,1.0,Azadirachta indica
0.55289716,0.0,Azadirachta indica
0.8099882,1.0,Azadirachta indica
