probability,true_label,species
0.5435855,1.0,Azadirachta indica
0.124999166,0.0,Azadirachta indica
0.66453695,1.0,Azadirachta indica
0.49090827,1.0,Azadirachta indica
0.6749123,1.0,Azadirachta indica
0.42048034,1.0,Azadirachta indica
0.28523356,0.0,Azadirachta indica
0.4614406,1.0,Azadirachta indica
0.4256247,0.0,Azadirachta indica
0.22636713,0.0,Azadirachta indica
0.37329733,1.0,Azadirachta indica
0.40475723,0.0,Azadirachta indica
0.4434357,1.0,Azadirachta indica
0.31140944,1.0,Azadirachta indica
0.5001442,1.0,Azadirachta indica
0.40905482,0.0,Azadirachta indica
0.40904564,0.0,Azadirachta indica
0.6944559,0.0,Azadirachta indica
0.17147666,0.0,Azadirachta indica
0.6892236,0.0,Azadirachta indica
0.28887102,1.0,Azadirachta indica
0.38059205,0.0,Azadirachta indica
0.38352314,0.0,Azadirachta indica
0.6066675,1.0,Azadirachta indica
0.37194404,1.0,Azadirachta indica
0.4032038,1.0,Azadirachta indica
0.35949528,0.0,Azadirachta indica
0.50542593,1.0,Azadirachta indica
0.18672377,1.0,Azadirachta indica
0.3543677,0.0,Azadirachta indica
0.63745904,1.0,Azadirachta indica
0.29631892,0.0,Azadirachta indica
0.7622855,1.0,Azadirachta indica
0.2930323,0.0,Azadirachta indica
0.37202576,1.0,Azadirachta indica
0.3769283,0.0,Azadirachta indica
0.326502,0.0,Azadirachta indica
0.29020777,0.0,Azadirachta indica
0.33872437,0.0,Azadirachta indica
0.38167697,0.0,Azadirachta indica
0.35174224,1.0,Azadirachta indica
0.5852494,1.0,Azadirachta indica
0.48868066,0.0,Azadirachta indica
0.4867171,0.0,Azadirachta indica
0.5348096,1.0,Azadirachta indica
0.46161702,1.0,Azadirachta indica
0.33810273,0.0,Azadirachta indica
0.41927955,0.0,Azadirachta indica
0.35362405,0.0,Azadirachta indica
0.32650855,0.0,Azadirachta indica
0.47395074,1.0,Azadirachta indica
0.66674334,1.0,Azadirachta indica
0.31286648,0.0,Azadirachta indica
0.5801922,1.0,Azadirachta indica
0.55239576,0.0,Azadirachta indica
0.1647561,0.0,Azadirachta indica
0.5411151,1.0,Azadirachta indica
0.62203485,1.0,Azadirachta indica
0.6175022,1.0,Azadirachta indica
