probability,true_label,species
0.5073088,1.0,Azadirachta indica
0.47956684,1.0,Azadirachta indica
0.40612423,1.0,Azadirachta indica
0.45835274,0.0,Azadirachta indica
0.47594032,0.0,Azadirachta indica
0.387166,1.0,Azadirachta indica
0.5259601,1.0,Azadirachta indica
0.47358653,1.0,Azadirachta indica
0.44872198,0.0,Azadirachta indica
0.64012325,1.0,Azadirachta indica
0.6517766,1.0,Azadirachta indica
0.31965673,0.0,Azadirachta indica
0.48281264,0.0,Azadirachta indica
0.6396067,0.0,Azadirachta indica
0.46478269,0.0,Azadirachta indica
0.25343654,0.0,Azadirachta indica
0.6716486,0.0,Azadirachta indica
0.54638046,1.0,Azadirachta indica
0.5469815,1.0,Azadirachta indica
0.33666468,0.0,Azadirachta indica
0.5880759,0.0,Azadirachta indica
0.53639084,0.0,Azadirachta indica
0.46961957,0.0,Azadirachta indica
0.53948015,1.0,Azadirachta indica
0.41638508,1.0,Azadirachta indica
0.6505961,0.0,Azadirachta indica
0.44312304,0.0,Azadirachta indica
0.4090514,0.0,Azadirachta indica
0.48139355,0.0,Azadirachta indica
0.4703111,1.0,Azadirachta indica
0.4423556,0.0,Azadirachta indica
0.45479074,0.0,Azadirachta indica
0.37095496,0.0,Azadirachta indica
0.4806209,1.0,Azadirachta indica
0.4706189,0.0,Azadirachta indica
0.59268737,0.0,Azadirachta indica
0.55359656,0.0,Azadirachta indica
0.3547072,0.0,Azadirachta indica
0.420375,0.0,Azadirachta indica
0.22699723,0.0,Azadirachta indica
0.29831663,0.0,Azadirachta indica
0.6083585,1.0,Azadirachta indica
0.43385145,0.0,Azadirachta indica
0.53078586,1.0,Azadirachta indica
0.7616922,0.0,Azadirachta indica
0.3826438,1.0,Azadirachta indica
0.5056685,1.0,Azadirachta indica
0.4955435,1.0,Azadirachta indica
0.44003126,1.0,Azadirachta indica
0.3251013,1.0,Azadirachta indica
0.50371057,0.0,Azadirachta indica
0.47109818,0.0,Azadirachta indica
0.59470576,0.0,Azadirachta indica
0.5170074,0.0,Azadirachta indica
0.49782062,0.0,Azadirachta indica
0.47528705,1.0,Azadirachta indica
0.43673497,0.0,Azadirachta indica
0.31231245,0.0,Azadirachta indica
0.60359275,1.0,Azadirachta indica
0.44683355,0.0,Azadirachta indica
0.31644925,0.0,Azadirachta indica
0.5116801,0.0,Azadirachta indica
0.24941593,0.0,Azadirachta indica
0.4369701,1.0,Azadirachta indica
0.66297245,1.0,Azadirachta indica
0.3712466,0.0,Azadirachta indica
0.3600937,1.0,Azadirachta indica
0.22563861,0.0,Azadirachta indica
0.31580868,1.0,Azadirachta indica
0.4704729,1.0,Azadirachta indica
0.22479938,0.0,Azadirachta indica
0.6568971,1.0,Azadirachta indica
0.7078883,1.0,Azadirachta indica
0.4373099,0.0,Azadirachta indica
0.54643697,0.0,Azadirachta indica
0.37485215,0.0,Azadirachta indica
0.6723202,1.0,Azadirachta indica
0.4328985,1.0,Azadirachta indica
0.43890253,0.0,Azadirachta indica
0.4900196,1.0,Azadirachta indica
0.21516648,0.0,Azadirachta indica
0.459033,0.0,Azadirachta indica
0.48178992,0.0,Azadirachta indica
0.4978087,1.0,Azadirachta indica
0.40130928,0.0,Azadirachta indica
