probability,true_label,species
0.5701073,1.0,Azadirachta indica
0.097666346,0.0,Azadirachta indica
0.78252536,1.0,Azadirachta indica
0.505879,1.0,Azadirachta indica
0.7542113,1.0,Azadirachta indica
0.45606172,1.0,Azadirachta indica
0.18304011,0.0,Azadirachta indica
0.5298483,1.0,Azadirachta indica
0.5800836,0.0,Azadirachta indica
0.1615411,0.0,Azadirachta indica
0.23789103,1.0,Azadirachta indica
0.34211078,0.0,Azadirachta indica
0.48784795,1.0,Azadirachta indica
0.45316416,1.0,Azadirachta indica
0.64987564,1.0,Azadirachta indica
0.38395503,0.0,Azadirachta indica
0.50837153,0.0,Azadirachta indica
0.7623283,0.0,Azadirachta indica
0.18359172,0.0,Azadirachta indica
0.7287726,0.0,Azadirachta indica
0.2749453,1.0,Azadirachta indica
0.3702602,0.0,Azadirachta indica
0.40567762,0.0,Azadirachta indica
0.6403086,1.0,Azadirachta indica
0.5385905,1.0,Azadirachta indica
0.6344574,1.0,Azadirachta indica
0.43574747,0.0,Azadirachta indica
0.58963203,1.0,Azadirachta indica
0.14621575,1.0,Azadirachta indica
0.5998627,0.0,Azadirachta indica
0.7864198,1.0,Azadirachta indica
0.24956071,0.0,Azadirachta indica
0.79004264,1.0,Azadirachta indica
0.34368706,0.0,Azadirachta indica
0.5803465,1.0,Azadirachta indica
0.33080795,0.0,Azadirachta indica
0.34827518,0.0,Azadirachta indica
0.2629828,0.0,Azadirachta indica
0.53626585,0.0,Azadirachta indica
0.44674253,0.0,Azadirachta indica
0.33812496,1.0,Azadirachta indica
0.6819511,1.0,Azadirachta indica
0.46669286,0.0,Azadirachta indica
0.63070726,0.0,Azadirachta indica
0.64644414,1.0,Azadirachta indica
0.49985847,1.0,Azadirachta indica
0.27742103,0.0,Azadirachta indica
0.4710831,0.0,Azadirachta indica
0.2125832,0.0,Azadirachta indica
0.37761232,0.0,Azadirachta indica
0.7216551,1.0,Azadirachta indica
0.7956158,1.0,Azadirachta indica
0.4370519,0.0,Azadirachta indica
0.78670746,1.0,Azadirachta indica
0.6203586,0.0,Azadirachta indica
0.10427564,0.0,Azadirachta indica
0.7529896,1.0,Azadirachta indica
0.73117024,1.0,Azadirachta indica
0.73978066,1.0,Azadirachta indica
0.73076785,1.0,Azadirachta indica
0.62432057,0.0,Azadirachta indica
0.59042895,1.0,Azadirachta indica
0.7145714,1.0,Azadirachta indica
0.5435659,0.0,Azadirachta indica
0.22571336,0.0,Azadirachta indica
0.19526573,0.0,Azadirachta indica
0.31986964,0.0,Azadirachta indica
0.365491,1.0,Azadirachta indica
0.4171916,0.0,Azadirachta indica
0.454492,1.0,Azadirachta indica
0.6164954,1.0,Azadirachta indica
0.3796686,0.0,Azadirachta indica
0.32009032,0.0,Azadirachta indica
0.303283,0.0,Azadirachta indica
0.67918736,0.0,Azadirachta indica
0.60014474,0.0,Azadirachta indica
0.32872948,1.0,Azadirachta indica
0.19660862,0.0,Azadirachta indica
0.7469231,1.0,Azadirachta indica
0.6424184,1.0,Azadirachta indica
0.19544329,0.0,Azadirachta indica
0.44916242,1.0,Azadirachta indica
0.60793674,0.0,Azadirachta indica
0.27488756,1.0,Azadirachta indica
0.38780397,1.0,Azadirachta indica
0.065288104,0.0,Azadirachta indica
0.044733983,0.0,Azadirachta indica
0.20629601,0.0,Azadirachta indica
0.6317209,0.0,Azadirachta indica
0.5756287,1.0,Azadirachta indica
0.6837789,1.0,Azadirachta indica
0.7293983,1.0,Azadirachta indica
0.63184464,1.0,Azadirachta indica
0.39411676,0.0,Azadirachta indica
0.66997594,0.0,Azadirachta indica
0.6348265,1.0,Azadirachta indica
0.054614607,0.0,Azadirachta indica
0.47340736,0.0,Azadirachta indica
0.52000725,0.0,Azadirachta indica
0.6415323,1.0,Azadirachta indica
0.5754302,0.0,Azadirachta indica
0.269374,0.0,Azadirachta indica
0.69924545,0.0,Azadirachta indica
0.13300085,0.0,Azadirachta indica
0.7748514,1.0,Azadirachta indica
0.25878364,0.0,Azadirachta indica
0.5813898,0.0,Azadirachta indica
0.38224462,0.0,Azadirachta indica
0.45418647,0.0,Azadirachta indica
0.4103183,0.0,Azadirachta indica
0.41264576,0.0,Azadirachta indica
0.174853,1.0,Azadirachta indica
0.64907265,1.0,Azadirachta indica
0.3289451,0.0,Azadirachta indica
0.75209343,1.0,Azadirachta indica
0.71666247,0.0,Azadirachta indica
0.713516,1.0,Azadirachta indica
0.48817977,1.0,Azadirachta indica
0.15714718,0.0,Azadirachta indica
0.7934746,1.0,Azadirachta indica
0.21928534,0.0,Azadirachta indica
0.5660288,0.0,Azadirachta indica
0.75082743,0.0,Azadirachta indica
0.594984,1.0,Azadirachta indica
0.62951314,0.0,Azadirachta indica
0.64383096,1.0,Azadirachta indica
0.4101701,1.0,Azadirachta indica
0.27458736,1.0,Azadirachta indica
0.6439324,1.0,Azadirachta indica
0.59428996,1.0,Azadirachta indica
0.7177998,0.0,Azadirachta indica
0.7952921,1.0,Azadirachta indica
0.3890369,0.0,Azadirachta indica
0.2685663,0.0,Azadirachta indica
0.5507621,1.0,Azadirachta indica
0.7002781,1.0,Azadirachta indica
0.89386916,1.0,Azadirachta indica
0.21809858,0.0,Azadirachta indica
0.12108609,0.0,Azadirachta indica
0.10511565,0.0,Azadirachta indica
0.52347875,0.0,Azadirachta indica
0.385588,0.0,Azadirachta indica
0.70044726,0.0,Azadirachta indica
0.2801137,0.0,Azadirachta indica
0.60495216,1.0,Azadirachta indica
0.6011459,1.0,Azadirachta indica
0.5879871,0.0,Azadirachta indica
0.19009584,0.0,Azadirachta indica
0.71331483,1.0,Azadirachta indica
0.6272035,0.0,Azadirachta indica
0.51214856,1.0,Azadirachta indica
0.60673535,0.0,Azadirachta indica
0.6334277,0.0,Azadirachta indica
0.25742695,0.0,Azadirachta indica
0.6800903,0.0,Azadirachta indica
0.6089116,1.0,Azadirachta indica
0.3049036,0.0,Azadirachta indica
0.53511703,0.0,Azadirachta indica
0.65275043,1.0,Azadirachta indica
0.19695918,1.0,Azadirachta indica
0.6933387,1.0,Azadirachta indica
0.046409607,0.0,Azadirachta indica
0.704696,1.0,Azadirachta indica
0.37363487,1.0,Azadirachta indica
0.5659647,1.0,Azadirachta indica
0.21189998,0.0,Azadirachta indica
0.52418315,1.0,Azadirachta indica
0.19579898,0.0,Azadirachta indica
0.6746684,0.0,Azadirachta indica
0.31925395,0.0,Azadirachta indica
0.46537533,0.0,Azadirachta indica
0.55625796,1.0,Azadirachta indica
0.6940286,1.0,Azadirachta indica
0.8101102,1.0,Azadirachta indica
0.66557986,0.0,Azadirachta indica
0.5357903,1.0,Azadirachta indica
0.6649051,1.0,Azadirachta indica
0.62182194,0.0,Azadirachta indica
0.1415392,0.0,Azadirachta indica
0.45790115,1.0,Azadirachta indica
0.37697583,0.0,Azadirachta indica
0.45458874,0.0,Azadirachta indica
0.68885195,1.0,Azadirachta indica
0.6609906,0.0,Azadirachta indica
0.7018316,0.0,Azadirachta indica
0.6798798,0.0,Azadirachta indica
0.79711604,1.0,Azadirachta indica
0.6236049,1.0,Azadirachta indica
0.4214937,0.0,Azadirachta indica
0.6092682,1.0,Azadirachta indica
0.70240045,1.0,Azadirachta indica
0.06688591,0.0,Azadirachta indica
0.13003956,0.0,Azadirachta indica
0.5789994,1.0,Azadirachta indica
0.21251844,0.0,Azadirachta indica
0.26830336,0.0,Azadirachta indica
0.6700476,1.0,Azadirachta indica
0.54685545,0.0,Azadirachta indica
0.35294193,0.0,Azadirachta indica
0.7356358,0.0,Azadirachta indica
0.7410328,1.0,Azadirachta indica
0.26678827,1.0,Azadirachta indica
0.19954151,0.0,Azadirachta indica
0.6924019,0.0,Azadirachta indica
0.2345034,0.0,Azadirachta indica
0.62631994,1.0,Azadirachta indica
0.33418453,0.0,Azadirachta indica
0.66433966,1.0,Azadirachta indica
0.47432488,0.0,Azadirachta indica
0.34016243,0.0,Azadirachta indica
0.41422194,0.0,Azadirachta indica
0.13929221,0.0,Azadirachta indica
0.82418793,1.0,Azadirachta indica
0.643838,0.0,Azadirachta indica
0.68309206,1.0,Azadirachta indica
0.6125459,0.0,Azadirachta indica
0.63203204,0.0,Azadirachta indica
1.0,1.0,Azadirachta indica
0.67428434,1.0,Azadirachta indica
0.31101882,1.0,Azadirachta indica
0.7500332,1.0,Azadirachta indica
0.6239805,0.0,Azadirachta indica
0.18363188,0.0,Azadirachta indica
0.5020502,0.0,Azadirachta indica
0.6965964,0.0,Azadirachta indica
0.40184233,1.0,Azadirachta indica
0.66083705,1.0,Azadirachta indica
0.2804361,0.0,Azadirachta indica
0.08457289,0.0,Azadirachta indica
0.10398195,0.0,Azadirachta indica
0.695489,0.0,Azadirachta indica
0.19057679,0.0,Azadirachta indica
0.46619362,1.0,Azadirachta indica
0.3666937,1.0,Azadirachta indica
0.5661252,0.0,Azadirachta indica
0.32962865,0.0,Azadirachta indica
0.18232632,1.0,Azadirachta indica
0.2084797,1.0,Azadirachta indica
0.42999178,0.0,Azadirachta indica
0.68754476,1.0,Azadirachta indica
0.6223186,1.0,Azadirachta indica
0.22438443,0.0,Azadirachta indica
0.87455523,1.0,Azadirachta indica
0.20882507,0.0,Azadirachta indica
0.126007,0.0,Azadirachta indica
0.25150087,0.0,Azadirachta indica
0.7065433,1.0,Azadirachta indica
0.20825599,0.0,Azadirachta indica
0.4295549,1.0,Azadirachta indica
0.5012399,1.0,Azadirachta indica
0.6251194,0.0,Azadirachta indica
0.18500112,0.0,Azadirachta indica
0.10461173,0.0,Azadirachta indica
0.09316411,0.0,Azadirachta indica
0.2925387,0.0,Azadirachta indica
0.5390344,1.0,Azadirachta indica
0.59992635,0.0,Azadirachta indica
0.72418106,1.0,Azadirachta indica
0.40198213,0.0,Azadirachta indica
0.7830649,1.0,Azadirachta indica
0.78684384,1.0,Azadirachta indica
0.14487843,0.0,Azadirachta indica
0.55247813,0.0,Azadirachta indica
0.40010086,0.0,Azadirachta indica
0.35733125,0.0,Azadirachta indica
0.64386994,0.0,Azadirachta indica
0.5306645,0.0,Azadirachta indica
0.6386958,1.0,Azadirachta indica
0.21513219,1.0,Azadirachta indica
0.56973916,0.0,Azadirachta indica
0.08532643,0.0,Azadirachta indica
0.4287902,1.0,Azadirachta indica
0.6039206,0.0,Azadirachta indica
0.43005764,1.0,Azadirachta indica
0.51462543,0.0,Azadirachta indica
0.055561986,0.0,Azadirachta indica
0.24168305,0.0,Azadirachta indica
0.5168616,1.0,Azadirachta indica
0.6766443,0.0,Azadirachta indica
0.08493176,0.0,Azadirachta indica
0.598018,1.0,Azadirachta indica
0.6249492,0.0,Azadirachta indica
0.4214522,0.0,Azadirachta indica
0.25116825,0.0,Azadirachta indica
0.21757041,0.0,Azadirachta indica
0.08930208,0.0,Azadirachta indica
0.27164343,0.0,Azadirachta indica
0.67170316,0.0,Azadirachta indica
0.32189897,1.0,Azadirachta indica
0.31784326,1.0,Azadirachta indica
0.30697334,0.0,Azadirachta indica
0.6251329,0.0,Azadirachta indica
0.16185287,0.0,Azadirachta indica
0.72721493,1.0,Azadirachta indica
0.4419128,0.0,Azadirachta indica
0.6698731,0.0,Azadirachta indica
0.5685275,0.0,Azadirachta indica
0.309406,0.0,Azadirachta indica
0.7061325,1.0,Azadirachta indica
0.565515,1.0,Azadirachta indica
0.8128373,1.0,Azadirachta indica
0.6581298,1.0,Azadirachta indica
0.077811085,0.0,Azadirachta indica
0.47759062,0.0,Azadirachta indica
0.38815868,0.0,Azadirachta indica
0.1656024,0.0,Azadirachta indica
0.76986325,0.0,Azadirachta indica
0.03819837,0.0,Azadirachta indica
0.5335788,0.0,Azadirachta indica
0.6460821,1.0,Azadirachta indica
0.63637984,1.0,Azadirachta indica
0.38396442,0.0,Azadirachta indica
0.6804377,1.0,Azadirachta indica
0.24347365,0.0,Azadirachta indica
0.2651601,0.0,Azadirachta indica
0.32302853,0.0,Azadirachta indica
0.645936,0.0,Azadirachta indica
0.74594986,1.0,Azadirachta indica
0.62804234,1.0,Azadirachta indica
0.628073,1.0,Azadirachta indica
0.7659674,0.0,Azadirachta indica
0.6959512,1.0,Azadirachta indica
0.08199238,0.0,Azadirachta indica
0.19651468,0.0,Azadirachta indica
0.3776121,0.0,Azadirachta indica
0.3821043,0.0,Azadirachta indica
0.4428701,0.0,Azadirachta indica
0.42764702,1.0,Azadirachta indica
0.21946302,0.0,Azadirachta indica
0.13108526,0.0,Azadirachta indica
0.36150545,1.0,Azadirachta indica
0.66813475,1.0,Azadirachta indica
0.2857077,0.0,Azadirachta indica
0.7178488,1.0,Azadirachta indica
0.14502499,0.0,Azadirachta indica
0.61869234,1.0,Azadirachta indica
0.47332916,0.0,Azadirachta indica
0.5020558,0.0,Azadirachta indica
0.51659256,0.0,Azadirachta indica
0.7959757,1.0,Azadirachta indica
0.25764096,0.0,Azadirachta indica
0.09642109,0.0,Azadirachta indica
0.5767418,0.0,Azadirachta indica
0.40089503,0.0,Azadirachta indica
0.7391947,0.0,Azadirachta indica
0.5073058,0.0,Azadirachta indica
0.7281707,1.0,Azadirachta indica
0.75774634,1.0,Azadirachta indica
0.4354764,1.0,Azadirachta indica
0.64195067,0.0,Azadirachta indica
0.39042306,0.0,Azadirachta indica
0.48418385,1.0,Azadirachta indica
0.507548,1.0,Azadirachta indica
0.39889166,0.0,Azadirachta indica
0.3148978,0.0,Azadirachta indica
0.7614364,0.0,Azadirachta indica
0.31772134,0.0,Azadirachta indica
0.71768576,0.0,Azadirachta indica
0.48280337,1.0,Azadirachta indica
0.661046,1.0,Azadirachta indica
0.74264294,1.0,Azadirachta indica
0.4876061,0.0,Azadirachta indica
0.7191638,1.0,Azadirachta indica
0.32106423,0.0,Azadirachta indica
0.30128184,1.0,Azadirachta indica
0.70311725,0.0,Azadirachta indica
0.582719,0.0,Azadirachta indica
0.38102844,0.0,Azadirachta indica
0.68463665,1.0,Azadirachta indica
0.73916763,1.0,Azadirachta indica
0.60730267,1.0,Azadirachta indica
0.65913314,1.0,Azadirachta indica
0.29072464,0.0,Azadirachta indica
0.32639247,0.0,Azadirachta indica
0.35210693,0.0,Azadirachta indica
0.39314297,0.0,Azadirachta indica
0.7248394,1.0,Azadirachta indica
0.58922476,0.0,Azadirachta indica
0.44653183,1.0,Azadirachta indica
0.5748985,0.0,Azadirachta indica
0.6626548,1.0,Azadirachta indica
0.60530823,0.0,Azadirachta indica
0.68266994,1.0,Azadirachta indica
0.15018421,0.0,Azadirachta indica
0.67726916,1.0,Azadirachta indica
0.3653352,1.0,Azadirachta indica
0.57499015,1.0,Azadirachta indica
0.38593733,0.0,Azadirachta indica
0.5654516,1.0,Azadirachta indica
0.6494939,0.0,Azadirachta indica
0.6978243,1.0,Azadirachta indica
0.3136449,1.0,Azadirachta indica
0.19321248,1.0,Azadirachta indica
0.42602777,0.0,Azadirachta indica
0.677132,1.0,Azadirachta indica
0.14297862,0.0,Azadirachta indica
0.58271414,0.0,Azadirachta indica
0.11446217,0.0,Azadirachta indica
0.1526109,0.0,Azadirachta indica
0.37513053,1.0,Azadirachta indica
0.62537146,0.0,Azadirachta indica
0.11556399,0.0,Azadirachta indica
0.13551934,1.0,Azadirachta indica
0.3066589,1.0,Azadirachta indica
0.1939338,0.0,Azadirachta indica
0.77028775,1.0,Azadirachta indica
0.24970971,0.0,Azadirachta indica
0.41668528,0.0,Azadirachta indica
0.09529255,0.0,Azadirachta indica
0.6096701,0.0,Azadirachta indica
0.4800054,0.0,Azadirachta indica
0.36836094,1.0,Azadirachta indica
0.37558457,0.0,Azadirachta indica
0.4354969,1.0,Azadirachta indica
0.7313567,1.0,Azadirachta indica
0.10524851,0.0,Azadirachta indica
0.6598362,0.0,Azadirachta indica
0.39952198,0.0,Azadirachta indica
0.30297533,0.0,Azadirachta indica
0.7810822,1.0,Azadirachta indica
0.29703504,0.0,Azadirachta indica
0.5257919,1.0,Azadirachta indica
0.44276974,0.0,Azadirachta indica
0.2468086,1.0,Azadirachta indica
0.7164058,0.0,Azadirachta indica
0.5113382,0.0,Azadirachta indica
0.47882882,0.0,Azadirachta indica
0.232104,0.0,Azadirachta indica
0.48324838,0.0,Azadirachta indica
0.33346212,1.0,Azadirachta indica
0.10955959,0.0,Azadirachta indica
0.29329225,0.0,Azadirachta indica
0.31292516,0.0,Azadirachta indica
0.12335471,0.0,Azadirachta indica
0.21309169,0.0,Azadirachta indica
0.6178164,0.0,Azadirachta indica
0.59461987,1.0,Azadirachta indica
0.590831,1.0,Azadirachta indica
0.38287222,1.0,Azadirachta indica
0.6825866,1.0,Azadirachta indica
0.35343277,0.0,Azadirachta indica
0.56283617,0.0,Azadirachta indica
0.25706136,1.0,Azadirachta indica
0.20633583,0.0,Azadirachta indica
0.5353847,1.0,Azadirachta indica
0.69264764,1.0,Azadirachta indica
0.5968376,1.0,Azadirachta indica
0.117814705,0.0,Azadirachta indica
0.30671772,0.0,Azadirachta indica
0.07067623,0.0,Azadirachta indica
0.6641952,1.0,Azadirachta indica
3.3100068e-06,1.0,Azadirachta indica
0.15932602,0.0,Azadirachta indica
0.6168614,1.0,Azadirachta indica
0.5661994,0.0,Azadirachta indica
0.20629601,0.0,Azadirachta indica
0.65917474,1.0,Azadirachta indica
0.20310101,0.0,Azadirachta indica
0.3405147,0.0,Azadirachta indica
0.21318491,0.0,Azadirachta indica
0.4582002,1.0,Azadirachta indica
0.43690625,1.0,Azadirachta indica
0.86200744,0.0,Azadirachta indica
0.85175604,1.0,Azadirachta indica
0.4791438,0.0,Azadirachta indica
0.3142982,1.0,Azadirachta indica
0.42202434,0.0,Azadirachta indica
0.16218044,1.0,Azadirachta indica
0.57167536,1.0,Azadirachta indica
0.33957553,0.0,Azadirachta indica
0.60911644,1.0,Azadirachta indica
0.6120633,1.0,Azadirachta indica
0.200821,0.0,Azadirachta indica
0.27338436,0.0,Azadirachta indica
0.7875185,1.0,Azadirachta indica
0.7423693,1.0,Azadirachta indica
0.6753761,1.0,Azadirachta indica
0.65873134,1.0,Azadirachta indica
0.41474473,0.0,Azadirachta indica
0.6024012,0.0,Azadirachta indica
0.73197556,1.0,Azadirachta indica
0.5465143,1.0,Azadirachta indica
0.59996814,1.0,Azadirachta indica
0.73190004,0.0,Azadirachta indica
0.42007926,0.0,Azadirachta indica
0.60585207,0.0,Azadirachta indica
0.406781,0.0,Azadirachta indica
0.2635916,0.0,Azadirachta indica
0.11255907,1.0,Azadirachta indica
0.60010666,1.0,Azadirachta indica
0.67384213,0.0,Azadirachta indica
0.07664471,0.0,Azadirachta indica
0.266895,0.0,Azadirachta indica
0.7412891,1.0,Azadirachta indica
0.42036402,0.0,Azadirachta indica
0.072081804,0.0,Azadirachta indica
0.20132865,1.0,Azadirachta indica
0.30060238,1.0,Azadirachta indica
0.38308436,0.0,Azadirachta indica
0.37585688,1.0,Azadirachta indica
0.2872524,0.0,Azadirachta indica
0.11590822,0.0,Azadirachta indica
0.65738004,0.0,Azadirachta indica
0.79361606,0.0,Azadirachta indica
0.56809,0.0,Azadirachta indica
0.7190073,1.0,Azadirachta indica
0.5927482,1.0,Azadirachta indica
0.40908265,0.0,Azadirachta indica
0.72167647,1.0,Azadirachta indica
0.54414976,1.0,Azadirachta indica
0.39114955,0.0,Azadirachta indica
0.616129,1.0,Azadirachta indica
0.18742432,0.0,Azadirachta indica
0.61289185,0.0,Azadirachta indica
0.33518085,0.0,Azadirachta indica
0.54347414,1.0,Azadirachta indica
0.24681471,0.0,Azadirachta indica
0.52347875,0.0,Azadirachta indica
0.32305455,1.0,Azadirachta indica
0.5323096,0.0,Azadirachta indica
0.2222699,1.0,Azadirachta indica
0.78956133,1.0,Azadirachta indica
0.38347203,1.0,Azadirachta indica
0.7350406,1.0,Azadirachta indica
0.23868665,0.0,Azadirachta indica
0.39703584,0.0,Azadirachta indica
0.7814328,1.0,Azadirachta indica
0.24805444,0.0,Azadirachta indica
0.25840738,0.0,Azadirachta indica
0.07295711,0.0,Azadirachta indica
0.6809537,1.0,Azadirachta indica
0.66396165,1.0,Azadirachta indica
0.655541,0.0,Azadirachta indica
0.1343358,0.0,Azadirachta indica
0.6471041,1.0,Azadirachta indica
0.15534341,0.0,Azadirachta indica
0.4120288,1.0,Azadirachta indica
0.68310726,1.0,Azadirachta indica
0.6084079,1.0,Azadirachta indica
0.37207508,0.0,Azadirachta indica
0.7527459,1.0,Azadirachta indica
0.58402485,1.0,Azadirachta indica
0.6209287,1.0,Azadirachta indica
0.27510065,0.0,Azadirachta indica
0.5214203,0.0,Azadirachta indica
0.299064,0.0,Azadirachta indica
0.7403691,0.0,Azadirachta indica
0.394733,0.0,Azadirachta indica
