probability,true_label,species
0.59644544,1.0,Azadirachta indica
0.27380916,0.0,Azadirachta indica
0.806294,1.0,Azadirachta indica
0.52158284,1.0,Azadirachta indica
0.7704724,1.0,Azadirachta indica
0.5281533,1.0,Azadirachta indica
0.43203244,0.0,Azadirachta indica
0.63348866,1.0,Azadirachta indica
0.69489324,0.0,Azadirachta indica
0.35480452,0.0,Azadirachta indica
0.38038138,1.0,Azadirachta indica
0.47675374,0.0,Azadirachta indica
0.57400036,1.0,Azadirachta indica
0.626341,1.0,Azadirachta indica
0.7222598,1.0,Azadirachta indica
0.4269349,0.0,Azadirachta indica
0.637469,0.0,Azadirachta indica
0.8295631,0.0,Azadirachta indica
0.32356387,0.0,Azadirachta indica
0.7565883,0.0,Azadirachta indica
0.41813636,1.0,Azadirachta indica
0.53370756,0.0,Azadirachta indica
0.5265142,0.0,Azadirachta indica
0.70194954,1.0,Azadirachta indica
0.6673076,1.0,Azadirachta indica
0.7559383,1.0,Azadirachta indica
0.6402227,0.0,Azadirachta indica
0.55646646,1.0,Azadirachta indica
0.2946164,1.0,Azadirachta indica
0.7084416,0.0,Azadirachta indica
0.8288806,1.0,Azadirachta indica
0.43019575,0.0,Azadirachta indica
0.83909625,1.0,Azadirachta indica
0.60684574,0.0,Azadirachta indica
0.7223155,1.0,Azadirachta indica
0.58073413,0.0,Azadirachta indica
0.6034082,0.0,Azadirachta indica
0.4719665,0.0,Azadirachta indica
0.693493,0.0,Azadirachta indica
0.58545846,0.0,Azadirachta indica
0.57632375,1.0,Azadirachta indica
0.7600217,1.0,Azadirachta indica
0.645046,0.0,Azadirachta indica
0.7319459,0.0,Azadirachta indica
0.69900006,1.0,Azadirachta indica
0.4764679,1.0,Azadirachta indica
0.5156825,0.0,Azadirachta indica
0.6082534,0.0,Azadirachta indica
0.3529619,0.0,Azadirachta indica
0.56052476,0.0,Azadirachta indica
0.72912383,1.0,Azadirachta indica
0.83148533,1.0,Azadirachta indica
0.679606,0.0,Azadirachta indica
0.80319685,1.0,Azadirachta indica
0.60843384,0.0,Azadirachta indica
0.38146356,0.0,Azadirachta indica
0.8288085,1.0,Azadirachta indica
0.7914231,1.0,Azadirachta indica
0.8252751,1.0,Azadirachta indica
0.70542866,1.0,Azadirachta indica
0.61481476,0.0,Azadirachta indica
0.63620025,1.0,Azadirachta indica
0.7229372,1.0,Azadirachta indica
0.5157053,0.0,Azadirachta indica
0.4200209,0.0,Azadirachta indica
0.38873798,0.0,Azadirachta indica
0.55060667,0.0,Azadirachta indica
0.48851058,1.0,Azadirachta indica
0.49061123,0.0,Azadirachta indica
0.53883076,1.0,Azadirachta indica
0.66884923,1.0,Azadirachta indica
0.6576356,0.0,Azadirachta indica
0.5429283,0.0,Azadirachta indica
0.50936586,0.0,Azadirachta indica
0.72668684,0.0,Azadirachta indica
0.67891794,0.0,Azadirachta indica
0.5488449,1.0,Azadirachta indica
0.45168018,0.0,Azadirachta indica
0.8079938,1.0,Azadirachta indica
0.62825793,1.0,Azadirachta indica
0.49086648,0.0,Azadirachta indica
0.58685136,1.0,Azadirachta indica
0.71173644,0.0,Azadirachta indica
0.41855788,1.0,Azadirachta indica
0.5696183,1.0,Azadirachta indica
0.19989567,0.0,Azadirachta indica
0.12830745,0.0,Azadirachta indica
0.44491345,0.0,Azadirachta indica
0.7174455,0.0,Azadirachta indica
0.59344286,1.0,Azadirachta indica
0.7538144,1.0,Azadirachta indica
0.77277094,1.0,Azadirachta indica
0.7883821,1.0,Azadirachta indica
0.581401,0.0,Azadirachta indica
0.7388808,0.0,Azadirachta indica
0.66578895,1.0,Azadirachta indica
0.19300444,0.0,Azadirachta indica
0.62408864,0.0,Azadirachta indica
0.65787935,0.0,Azadirachta indica
0.6549253,1.0,Azadirachta indica
0.673419,0.0,Azadirachta indica
0.5222184,0.0,Azadirachta indica
0.76459,0.0,Azadirachta indica
0.3253353,0.0,Azadirachta indica
0.78009236,1.0,Azadirachta indica
0.3411129,0.0,Azadirachta indica
0.6117463,0.0,Azadirachta indica
0.43122387,0.0,Azadirachta indica
0.541989,0.0,Azadirachta indica
0.576307,0.0,Azadirachta indica
0.5981421,0.0,Azadirachta indica
0.38009968,1.0,Azadirachta indica
0.6518811,1.0,Azadirachta indica
0.6002725,0.0,Azadirachta indica
0.7817266,1.0,Azadirachta indica
0.77655315,0.0,Azadirachta indica
0.7401575,1.0,Azadirachta indica
0.5651041,1.0,Azadirachta indica
0.42343584,0.0,Azadirachta indica
0.8715866,1.0,Azadirachta indica
0.45732644,0.0,Azadirachta indica
0.60632026,0.0,Azadirachta indica
0.74037886,0.0,Azadirachta indica
0.6629076,1.0,Azadirachta indica
0.685453,0.0,Azadirachta indica
0.69631577,1.0,Azadirachta indica
0.642295,1.0,Azadirachta indica
0.5655652,1.0,Azadirachta indica
0.616069,1.0,Azadirachta indica
0.6863796,1.0,Azadirachta indica
0.773747,0.0,Azadirachta indica
0.8708515,1.0,Azadirachta indica
0.47420675,0.0,Azadirachta indica
0.42495736,0.0,Azadirachta indica
0.65206593,1.0,Azadirachta indica
0.73319536,1.0,Azadirachta indica
0.83636683,1.0,Azadirachta indica
0.52342385,0.0,Azadirachta indica
0.30320725,0.0,Azadirachta indica
0.29653117,0.0,Azadirachta indica
0.6122416,0.0,Azadirachta indica
0.6435848,0.0,Azadirachta indica
0.74027467,0.0,Azadirachta indica
0.43121445,0.0,Azadirachta indica
0.6388901,1.0,Azadirachta indica
0.5911084,1.0,Azadirachta indica
0.6880498,0.0,Azadirachta indica
0.43006343,0.0,Azadirachta indica
0.7887617,1.0,Azadirachta indica
0.7011337,0.0,Azadirachta indica
0.62065804,1.0,Azadirachta indica
0.632726,0.0,Azadirachta indica
0.731425,0.0,Azadirachta indica
0.29187894,0.0,Azadirachta indica
0.6819057,0.0,Azadirachta indica
0.713543,1.0,Azadirachta indica
0.46541116,0.0,Azadirachta indica
0.6702321,0.0,Azadirachta indica
0.6343337,1.0,Azadirachta indica
0.58647555,1.0,Azadirachta indica
0.6600984,1.0,Azadirachta indica
0.24030183,0.0,Azadirachta indica
0.769469,1.0,Azadirachta indica
0.5974575,1.0,Azadirachta indica
0.654038,1.0,Azadirachta indica
0.4508857,0.0,Azadirachta indica
0.6607484,1.0,Azadirachta indica
0.3240413,0.0,Azadirachta indica
0.74093884,0.0,Azadirachta indica
0.53478515,0.0,Azadirachta indica
0.53144044,0.0,Azadirachta indica
0.6508794,1.0,Azadirachta indica
0.682256,1.0,Azadirachta indica
0.8685977,1.0,Azadirachta indica
0.71810204,0.0,Azadirachta indica
0.58372456,1.0,Azadirachta indica
0.74801666,1.0,Azadirachta indica
0.62124854,0.0,Azadirachta indica
0.3517685,0.0,Azadirachta indica
0.6283722,1.0,Azadirachta indica
0.60646313,0.0,Azadirachta indica
0.46809015,0.0,Azadirachta indica
0.7217483,1.0,Azadirachta indica
0.7243002,0.0,Azadirachta indica
0.6910355,0.0,Azadirachta indica
0.73973984,0.0,Azadirachta indica
0.8628565,1.0,Azadirachta indica
0.6556721,1.0,Azadirachta indica
0.5562848,0.0,Azadirachta indica
0.66899186,1.0,Azadirachta indica
0.76502126,1.0,Azadirachta indica
0.23884834,0.0,Azadirachta indica
0.40589172,0.0,Azadirachta indica
0.68546695,1.0,Azadirachta indica
0.48459807,0.0,Azadirachta indica
0.5268454,0.0,Azadirachta indica
0.6962118,1.0,Azadirachta indica
0.5816488,0.0,Azadirachta indica
0.616053,0.0,Azadirachta indica
0.81543076,0.0,Azadirachta indica
0.79930544,1.0,Azadirachta indica
0.46496618,1.0,Azadirachta indica
0.40174,0.0,Azadirachta indica
0.7786073,0.0,Azadirachta indica
0.56457686,0.0,Azadirachta indica
0.6869038,1.0,Azadirachta indica
0.53627694,0.0,Azadirachta indica
0.80088645,1.0,Azadirachta indica
0.497676,0.0,Azadirachta indica
0.4978182,0.0,Azadirachta indica
0.49249232,0.0,Azadirachta indica
0.31255424,0.0,Azadirachta indica
0.87044805,1.0,Azadirachta indica
0.67183614,0.0,Azadirachta indica
0.78315705,1.0,Azadirachta indica
0.6568037,0.0,Azadirachta indica
0.62397593,0.0,Azadirachta indica
0.9999672,1.0,Azadirachta indica
0.6850711,1.0,Azadirachta indica
0.4970223,1.0,Azadirachta indica
0.7850841,1.0,Azadirachta indica
0.73530906,0.0,Azadirachta indica
0.42064133,0.0,Azadirachta indica
0.5898636,0.0,Azadirachta indica
0.7701895,0.0,Azadirachta indica
0.45623964,1.0,Azadirachta indica
0.7334834,1.0,Azadirachta indica
0.5242265,0.0,Azadirachta indica
0.2586135,0.0,Azadirachta indica
0.42681465,0.0,Azadirachta indica
0.7064804,0.0,Azadirachta indica
0.5464473,0.0,Azadirachta indica
0.6555074,1.0,Azadirachta indica
0.6120498,1.0,Azadirachta indica
0.7050474,0.0,Azadirachta indica
0.4541818,0.0,Azadirachta indica
0.43242842,1.0,Azadirachta indica
0.59744084,1.0,Azadirachta indica
0.5693741,0.0,Azadirachta indica
0.6668379,1.0,Azadirachta indica
0.6648778,1.0,Azadirachta indica
0.4024353,0.0,Azadirachta indica
0.919858,1.0,Azadirachta indica
0.56318593,0.0,Azadirachta indica
0.39311004,0.0,Azadirachta indica
0.53918815,0.0,Azadirachta indica
0.69371134,1.0,Azadirachta indica
0.34142777,0.0,Azadirachta indica
0.57945853,1.0,Azadirachta indica
0.5716188,1.0,Azadirachta indica
0.6584948,0.0,Azadirachta indica
0.53858024,0.0,Azadirachta indica
0.25226763,0.0,Azadirachta indica
0.27223724,0.0,Azadirachta indica
0.4962554,0.0,Azadirachta indica
0.659602,1.0,Azadirachta indica
0.55736816,0.0,Azadirachta indica
0.8173032,1.0,Azadirachta indica
0.47217217,0.0,Azadirachta indica
0.80098546,1.0,Azadirachta indica
0.82460314,1.0,Azadirachta indica
0.41030958,0.0,Azadirachta indica
0.62884724,0.0,Azadirachta indica
0.49317157,0.0,Azadirachta indica
0.45677993,0.0,Azadirachta indica
0.6943652,0.0,Azadirachta indica
0.582159,0.0,Azadirachta indica
0.6936813,1.0,Azadirachta indica
0.46069697,1.0,Azadirachta indica
0.5896242,0.0,Azadirachta indica
0.20850332,0.0,Azadirachta indica
0.44683173,1.0,Azadirachta indica
0.6359892,0.0,Azadirachta indica
0.4159891,1.0,Azadirachta indica
0.6095821,0.0,Azadirachta indica
0.12906566,0.0,Azadirachta indica
0.5884264,0.0,Azadirachta indica
0.62075347,1.0,Azadirachta indica
0.6719796,0.0,Azadirachta indica
0.34555894,0.0,Azadirachta indica
0.638673,1.0,Azadirachta indica
0.7592087,0.0,Azadirachta indica
0.45475,0.0,Azadirachta indica
0.4382913,0.0,Azadirachta indica
0.4972828,0.0,Azadirachta indica
0.3061912,0.0,Azadirachta indica
0.67345995,0.0,Azadirachta indica
0.7154451,0.0,Azadirachta indica
0.46118346,1.0,Azadirachta indica
0.5396746,1.0,Azadirachta indica
0.56269366,0.0,Azadirachta indica
0.63002664,0.0,Azadirachta indica
0.4170658,0.0,Azadirachta indica
0.7286462,1.0,Azadirachta indica
0.5509745,0.0,Azadirachta indica
0.70440894,0.0,Azadirachta indica
0.6123879,0.0,Azadirachta indica
0.40767914,0.0,Azadirachta indica
0.73431665,1.0,Azadirachta indica
0.5505506,1.0,Azadirachta indica
0.76724946,1.0,Azadirachta indica
0.68011504,1.0,Azadirachta indica
0.24224064,0.0,Azadirachta indica
0.6685126,0.0,Azadirachta indica
0.521066,0.0,Azadirachta indica
0.35187444,0.0,Azadirachta indica
0.790283,0.0,Azadirachta indica
0.15406367,0.0,Azadirachta indica
0.62674814,0.0,Azadirachta indica
0.6892513,1.0,Azadirachta indica
0.6939156,1.0,Azadirachta indica
0.5519675,0.0,Azadirachta indica
0.79371274,1.0,Azadirachta indica
0.49279442,0.0,Azadirachta indica
0.5114172,0.0,Azadirachta indica
0.4941619,0.0,Azadirachta indica
0.7130064,0.0,Azadirachta indica
0.8485174,1.0,Azadirachta indica
0.6503807,1.0,Azadirachta indica
0.7072085,1.0,Azadirachta indica
0.6829548,0.0,Azadirachta indica
0.6886838,1.0,Azadirachta indica
0.27341732,0.0,Azadirachta indica
0.41403487,0.0,Azadirachta indica
0.4619875,0.0,Azadirachta indica
0.49681976,0.0,Azadirachta indica
0.5163649,0.0,Azadirachta indica
0.59573394,1.0,Azadirachta indica
0.542467,0.0,Azadirachta indica
0.31348062,0.0,Azadirachta indica
0.56622225,1.0,Azadirachta indica
0.7733371,1.0,Azadirachta indica
0.40566844,0.0,Azadirachta indica
0.8298277,1.0,Azadirachta indica
0.34686998,0.0,Azadirachta indica
0.70564884,1.0,Azadirachta indica
0.6551451,0.0,Azadirachta indica
