Azadirachta indica
Lower Threshold: 0.005,     	Prevalence: 0.33298429319371725 (4134 / 12415)
Lower Threshold: 0.0051,     	Prevalence: 0.3331452977677492 (4134 / 12409)
Lower Threshold: 0.0052,     	Prevalence: 0.33344108614837564 (4126 / 12374)
Lower Threshold: 0.0053,     	Prevalence: 0.3351386837354341 (4084 / 12186)
Lower Threshold: 0.0054,     	Prevalence: 0.34306632964351086 (3936 / 11473)
Lower Threshold: 0.0055,     	Prevalence: 0.35657131426285255 (3565 / 9998)
Lower Threshold: 0.0056,     	Prevalence: 0.3950109649122807 (2882 / 7296)
Lower Threshold: 0.0057,     	Prevalence: 0.4535754824063564 (1998 / 4405)
Lower Threshold: 0.0058,     	Prevalence: 0.5534208059981256 (1181 / 2134)
Lower Threshold: 0.0059,     	Prevalence: 0.6883977900552486 (623 / 905)
Lower Threshold: 0.006,     	Prevalence: 0.816 (306 / 375)
Lower Threshold: 0.0061,     	Prevalence: 0.8623188405797102 (119 / 138)
Lower Threshold: 0.0062,     	Prevalence: 0.8974358974358975 (35 / 39)
Lower Threshold: 0.0063,     	Prevalence: 0.8 (4 / 5)

Vachellia nilotica
Lower Threshold: 0.005,     	Prevalence: 0.2367313915857605 (2926 / 12360)
Lower Threshold: 0.0051,     	Prevalence: 0.2383093525179856 (2915 / 12232)
Lower Threshold: 0.0052,     	Prevalence: 0.24280181848796092 (2884 / 11878)
Lower Threshold: 0.0053,     	Prevalence: 0.2541866570109532 (2808 / 11047)
Lower Threshold: 0.0054,     	Prevalence: 0.2768586387434555 (2644 / 9550)
Lower Threshold: 0.0055,     	Prevalence: 0.3119545093890505 (2359 / 7562)
Lower Threshold: 0.0056,     	Prevalence: 0.3660081997763697 (1964 / 5366)
Lower Threshold: 0.0057,     	Prevalence: 0.41989881956155145 (1494 / 3558)
Lower Threshold: 0.0058,     	Prevalence: 0.47998159226875287 (1043 / 2173)
Lower Threshold: 0.0059,     	Prevalence: 0.5617495711835334 (655 / 1166)
Lower Threshold: 0.006,     	Prevalence: 0.654320987654321 (371 / 567)
Lower Threshold: 0.0061,     	Prevalence: 0.7428571428571429 (156 / 210)
Lower Threshold: 0.0062,     	Prevalence: 0.8166666666666667 (49 / 60)
Lower Threshold: 0.0063,     	Prevalence: 0.7857142857142857 (11 / 14)
Lower Threshold: 0.0064,     	Prevalence: 1.0 (2 / 2)

Ailanthus excelsa
Lower Threshold: 0.005,     	Prevalence: 0.1262587141750581 (1467 / 11619)
Lower Threshold: 0.0051,     	Prevalence: 0.13460988853958275 (1413 / 10497)
Lower Threshold: 0.0052,     	Prevalence: 0.14929185047596935 (1286 / 8614)
Lower Threshold: 0.0053,     	Prevalence: 0.17131474103585656 (1075 / 6275)
Lower Threshold: 0.0054,     	Prevalence: 0.19955763086753503 (812 / 4069)
Lower Threshold: 0.0055,     	Prevalence: 0.24929577464788732 (531 / 2130)
Lower Threshold: 0.0056,     	Prevalence: 0.31649484536082473 (307 / 970)
Lower Threshold: 0.0057,     	Prevalence: 0.41102756892230574 (164 / 399)
Lower Threshold: 0.0058,     	Prevalence: 0.5263157894736842 (80 / 152)
Lower Threshold: 0.0059,     	Prevalence: 0.7272727272727273 (32 / 44)
Lower Threshold: 0.006,     	Prevalence: 0.75 (9 / 12)
Lower Threshold: 0.0061,     	Prevalence: 1.0 (2 / 2)
Lower Threshold: 0.0062,     	Prevalence: 1.0 (1 / 1)

Prosopis cineraria
