Azadirachta indica
Lower Threshold: 0,     	    Prevalence: 0.1990235496840896 (1386 / 6964)
Lower Threshold: 0.0055,     	Prevalence: 0.19956803455723543 (1386 / 6945)
Lower Threshold: 0.0056,     	Prevalence: 0.20359988197108292 (1380 / 6778)
Lower Threshold: 0.0057,     	Prevalence: 0.2176772537696503 (1357 / 6234)
Lower Threshold: 0.0058,     	Prevalence: 0.27180616740088104 (1234 / 4540)
Lower Threshold: 0.0059,     	Prevalence: 0.44126659856996936 (864 / 1958)
Lower Threshold: 0.006,     	Prevalence: 0.7126805778491172 (444 / 623)
Lower Threshold: 0.0061,     	Prevalence: 0.9197530864197531 (149 / 162)
Lower Threshold: 0.0062,     	Prevalence: 0.9523809523809523 (20 / 21)

Vachellia nilotica
Lower Threshold: 0,     	    Prevalence: 0.23190695002871914 (1615 / 6964)
Lower Threshold: 0.0055,     	Prevalence: 0.2505450015571473 (1609 / 6422)
Lower Threshold: 0.0056,     	Prevalence: 0.2694056238423977 (1600 / 5939)
Lower Threshold: 0.0057,     	Prevalence: 0.3058526152051332 (1573 / 5143)
Lower Threshold: 0.0058,     	Prevalence: 0.35851290551740467 (1514 / 4223)
Lower Threshold: 0.0059,     	Prevalence: 0.4680041508128675 (1353 / 2891)
Lower Threshold: 0.006,     	Prevalence: 0.6133260513380666 (1123 / 1831)
Lower Threshold: 0.0061,     	Prevalence: 0.7576601671309192 (816 / 1077)
Lower Threshold: 0.0062,     	Prevalence: 0.8791732909379968 (553 / 629)
Lower Threshold: 0.0063,     	Prevalence: 0.9614243323442137 (324 / 337)
Lower Threshold: 0.0064,     	Prevalence: 0.992 (124 / 125)
Lower Threshold: 0.0065,     	Prevalence: 1.0 (21 / 21)

Ailanthus excelsa
Lower Threshold: 0,     	    Prevalence: 0.2208500861573808 (1538 / 6964)
Lower Threshold: 0.0055,     	Prevalence: 0.22424861394805953 (1537 / 6854)
Lower Threshold: 0.0056,     	Prevalence: 0.24096385542168675 (1520 / 6308)
Lower Threshold: 0.0057,     	Prevalence: 0.2918156535558204 (1469 / 5034)
Lower Threshold: 0.0058,     	Prevalence: 0.39756468797564687 (1306 / 3285)
Lower Threshold: 0.0059,     	Prevalence: 0.5769682726204466 (982 / 1702)
Lower Threshold: 0.006,     	Prevalence: 0.7905308464849354 (551 / 697)
Lower Threshold: 0.0061,     	Prevalence: 0.9372384937238494 (224 / 239)
Lower Threshold: 0.0062,     	Prevalence: 1.0 (53 / 53)
Lower Threshold: 0.0063,     	Prevalence: 1.0 (20 / 20)
Lower Threshold: 0.0064,     	Prevalence: 1.0 (1 / 1)

Prosopis cineraria
Lower Threshold: 0,     	    Prevalence: 0.16211947156806433 (1129 / 6964)
Lower Threshold: 0.0055,     	Prevalence: 0.17281672816728166 (1124 / 6504)
Lower Threshold: 0.0056,     	Prevalence: 0.18575233022636484 (1116 / 6008)
Lower Threshold: 0.0057,     	Prevalence: 0.20252929142644596 (1089 / 5377)
Lower Threshold: 0.0058,     	Prevalence: 0.23063022362773888 (1021 / 4427)
Lower Threshold: 0.0059,     	Prevalence: 0.27250682024856016 (899 / 3299)
Lower Threshold: 0.006,     	Prevalence: 0.3144540099682827 (694 / 2207)
Lower Threshold: 0.0061,     	Prevalence: 0.34615384615384615 (387 / 1118)
Lower Threshold: 0.0062,     	Prevalence: 0.35405405405405405 (131 / 370)
Lower Threshold: 0.0063,     	Prevalence: 0.5689655172413793 (33 / 58)
Lower Threshold: 0.0064,     	Prevalence: 0.75 (3 / 4)

prosopis juliflora
Lower Threshold: 0,     	    Prevalence: 0.024411257897759907 (170 / 6964)
Lower Threshold: 0.0055,     	Prevalence: 0.03291384317521781 (170 / 5165)
Lower Threshold: 0.0056,     	Prevalence: 0.04123962908735969 (169 / 4098)
Lower Threshold: 0.0057,     	Prevalence: 0.05636179547755653 (167 / 2963)
Lower Threshold: 0.0058,     	Prevalence: 0.08004212743549237 (152 / 1899)
Lower Threshold: 0.0059,     	Prevalence: 0.14078674948240166 (136 / 966)
Lower Threshold: 0.006,     	Prevalence: 0.2676056338028169 (95 / 355)
Lower Threshold: 0.0061,     	Prevalence: 0.42105263157894735 (32 / 76)
Lower Threshold: 0.0062,     	Prevalence: 0.8571428571428571 (6 / 7)
Lower Threshold: 0.0063,     	Prevalence: 1.0 (1 / 1)
