Vachellia nilotica
Lower Threshold: 0,     	Prevalence: 0.23190695002871914 (1615 / 6964)
Lower Threshold: 0.0053,     	Prevalence: 0.23365162037037038 (1615 / 6912)
Lower Threshold: 0.0054,     	Prevalence: 0.2378282679256418 (1612 / 6778)
Lower Threshold: 0.0055,     	Prevalence: 0.2505450015571473 (1609 / 6422)
Lower Threshold: 0.0056,     	Prevalence: 0.2694056238423977 (1600 / 5939)
Lower Threshold: 0.0057,     	Prevalence: 0.3058526152051332 (1573 / 5143)
Lower Threshold: 0.0058,     	Prevalence: 0.35851290551740467 (1514 / 4223)
Lower Threshold: 0.0059,     	Prevalence: 0.4680041508128675 (1353 / 2891)
Lower Threshold: 0.006,     	Prevalence: 0.6133260513380666 (1123 / 1831)
Lower Threshold: 0.0061,     	Prevalence: 0.7576601671309192 (816 / 1077)
Lower Threshold: 0.0062,     	Prevalence: 0.8791732909379968 (553 / 629)
Lower Threshold: 0.0063,     	Prevalence: 0.9614243323442137 (324 / 337)
Lower Threshold: 0.0064,     	Prevalence: 0.992 (124 / 125)
Lower Threshold: 0.0065,     	Prevalence: 1.0 (21 / 21)

Ailanthus excelsa
Lower Threshold: 0,     	Prevalence: 0.2208500861573808 (1538 / 6964)
Lower Threshold: 0.0053,     	Prevalence: 0.2209135305946567 (1538 / 6962)
Lower Threshold: 0.0054,     	Prevalence: 0.2212631276075385 (1538 / 6951)
Lower Threshold: 0.0055,     	Prevalence: 0.22424861394805953 (1537 / 6854)
Lower Threshold: 0.0056,     	Prevalence: 0.24096385542168675 (1520 / 6308)
Lower Threshold: 0.0057,     	Prevalence: 0.2918156535558204 (1469 / 5034)
Lower Threshold: 0.0058,     	Prevalence: 0.39756468797564687 (1306 / 3285)
Lower Threshold: 0.0059,     	Prevalence: 0.5769682726204466 (982 / 1702)
Lower Threshold: 0.006,     	Prevalence: 0.7905308464849354 (551 / 697)
Lower Threshold: 0.0061,     	Prevalence: 0.9372384937238494 (224 / 239)
Lower Threshold: 0.0062,     	Prevalence: 1.0 (53 / 53)
Lower Threshold: 0.0063,     	Prevalence: 1.0 (20 / 20)
