Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.8443686006825939,0.7928406593406594,0.17987405022741915,1465.0,65.0
Transitional plain zone of Inland drainage,0.8630412890231621,0.7404313921877235,0.11309531572727809,993.0,29.0
Semi arid eastern plain,0.9044943820224719,0.7213872832369943,0.14237430142296856,178.0,5.0
Transitional plain zone of Luni Basin,0.640625,0.7885044642857143,0.31097796252216364,128.0,16.0
Flood prone eastern plain,0.8979591836734694,0.33333333333333337,0.030303030303030304,49.0,1.0
Arid Western Plain and Hyper Arid Partial irrigated,0.5957446808510638,0.6923076923076923,0.4248704248197149,47.0,13.0
Southern humid plain,0.9722222222222222,0.0,0.0,36.0,0.0
Sub humid southern plain and alluvial hill,0.8695652173913043,0.0,0.0,23.0,0.0
South eastern humid plain,0.9,1.0,1.0,10.0,1.0
Irrigated North Western Plain,1.0,0.0,0.0,1.0,0.0
