Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.6805460750853243,0.7119159795838241,0.4276001746352425,1465.0,333.0
Transitional plain zone of Inland drainage,0.6287425149700598,0.6900333270452117,0.39408846676272263,668.0,155.0
Semi arid eastern plain,0.708,0.6912160508930756,0.47478021120994135,250.0,67.0
Transitional plain zone of Luni Basin,0.9270833333333334,0.7559015570065294,0.32948781617435735,192.0,11.0
Flood prone eastern plain,0.5865384615384616,0.7615974183138362,0.7036623224132448,104.0,37.0
Sub humid southern plain and alluvial hill,0.7111111111111111,0.5924075924075924,0.18922063812815554,90.0,13.0
South eastern humid plain,0.6885245901639344,0.582687338501292,0.39627029991574675,61.0,18.0
Arid Western Plain and Hyper Arid Partial irrigated,0.5471698113207547,0.5942307692307693,0.35299031730396085,53.0,13.0
Southern humid plain,0.575,0.7070707070707071,0.6480252519811298,40.0,18.0
Irrigated North Western Plain,0.42857142857142855,0.16666666666666663,0.16666666666666666,7.0,1.0
