Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.7508532423208191,0.7390204049099315,0.22948324971169348,1465.0,153.0
Transitional plain zone of Inland drainage,0.5913173652694611,0.650428764131552,0.2530677622022493,668.0,112.0
Semi arid eastern plain,0.916,0.5444897959183674,0.06658523323596728,250.0,5.0
Transitional plain zone of Luni Basin,0.9375,0.5486631016042781,0.14398124119346623,192.0,5.0
Flood prone eastern plain,0.75,0.7253313696612667,0.13748211783482228,104.0,7.0
Sub humid southern plain and alluvial hill,0.9222222222222223,0.5325670498084292,0.051709401709401706,90.0,3.0
South eastern humid plain,0.9016393442622951,0.7675438596491229,0.25376676986584107,61.0,4.0
Arid Western Plain and Hyper Arid Partial irrigated,0.6792452830188679,0.7032967032967032,0.5080322067618883,53.0,14.0
Southern humid plain,0.975,0.3589743589743589,0.038461538461538464,40.0,1.0
Irrigated North Western Plain,0.7142857142857143,0.7,0.7,7.0,2.0
